@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.521765,13.7491,1.01025,0.32913,2
1.524089,13.8289,2.90054,0.08073,2
1.522221,14.4274,0,0.09936,2
1.521765,13.19715,3.6818,0.54027,2
1.518508,13.19715,3.62792,0.57132,2
1.518121,13.33015,3.84793,0.52164,2
1.516276,12.99765,3.57853,0.60858,2
1.516253,13.35675,3.57853,0.44712,2
1.53393,12.2994,0,0.11799,2
1.516594,12.991,3.17892,0.57753,2
1.517893,13.1905,3.90181,0.55269,2
1.515957,13.0176,3.56057,0.72036,2
1.527779,12.63855,0,0.0621,2
1.52475,11.4482,0,0.8073,2
1.517073,13.7225,3.6818,0.63963,2
1.517301,12.3526,2.72094,0.70173,2
1.515934,13.09075,3.592,0.67068,2
1.518121,12.95775,2.95891,0.60237,2
1.518417,13.0176,3.61894,0.63963,2
1.520809,13.78235,2.28092,0.49059,2
1.52664,11.22875,0,0,2
1.516891,12.6718,2.87809,0.73278,2
1.51664,12.93115,3.53812,0.63963,2
1.518007,13.7092,3.92875,0.54027,2
1.516458,13.4432,3.60996,0.65826,2
1.526139,13.70255,0,0.19251,2
1.515911,12.8181,3.52016,0.68931,2
1.51844,13.25035,3.75813,0.57753,2
1.516731,12.8713,3.56057,0.65205,2
1.515934,13.09075,3.52016,0.6831,2
1.531242,10.73,0,0.57753,2
1.518417,12.93115,3.74017,0.63963,2
1.517118,12.89125,3.61894,0.60858,2
1.518121,13.4299,3.97814,0.57753,2
1.515911,13.0176,3.57853,0.68931,2
1.514089,14.24785,3.08912,1.09917,2
1.518462,13.0974,3.96916,0.60237,2
1.518918,13.46315,3.82997,0.57132,2
1.516891,13.33015,3.53812,0.6831,2
1.515888,13.11735,3.40791,0.06831,2
1.516731,13.2969,3.64139,0.65205,2
1.518189,12.6186,2.76135,0.34776,2
1.516617,12.85135,3.51118,0.6831,2
1.516458,13.40995,3.55159,0.6831,2
1.518485,13.6427,3.87038,0.54027,2
1.516731,12.7915,3.52016,0.65826,2
1.518713,12.93115,3.65935,0.57753,2
1.518189,13.7225,0,0,2
1.51828,13.23705,3.90181,0.55269,2
1.516526,13.5629,3.56955,0.63963,2
1.516868,13.2304,3.53812,0.5589,2
1.515911,13.23705,3.34056,0.39123,2
1.515934,13.25035,3.44832,0.60858,2
1.516321,13.3368,3.56955,0.60858,2
1.516458,13.4033,3.48873,0.67068,2
1.527255,13.8023,3.15198,0.08073,2
1.516139,13.922,3.52016,0.3726,2
1.515683,13.23705,3.48873,0.37881,2
1.520672,13.5496,2.08785,0.52785,2
1.517096,12.99765,3.47077,0.65826,2
1.516048,12.8979,3.43934,0.44091,2
1.517961,13.50305,3.35852,0.57132,3
1.516549,13.40995,3.38995,0.52164,3
1.516708,13.23705,3.56955,0.5589,3
1.522107,14.188,3.78058,0.22977,3
1.517688,13.64935,3.65935,0.11178,3
1.517756,13.52965,3.40791,0.57753,3
1.516093,13.42325,3.39893,0.58995,3
1.516435,12.15975,3.52016,0.57132,3
1.521264,14.321,3.90181,0,3
1.516936,12.858,3.57853,0.60858,3
1.51664,13.1373,3.44832,0.60237,3
1.517779,13.6427,3.65037,0.0621,3
1.518326,13.33015,3.34056,0.5589,3
1.516458,13.03755,3.39893,0.52164,3
1.521219,14.0284,3.75813,0.11178,3
1.519692,12.63855,0,0.37881,5
1.521515,11.02925,1.71069,0.57753,5
1.520581,12.85135,1.61191,0.75762,5
1.5132,12.99765,0,6.21,5
1.520421,13.3767,0,0.32913,5
1.521196,12.97105,0.32777,0.13041,5
1.519943,13.2703,0,0.47196,5
1.516663,12.858,0,0.96876,5
1.515137,14.00845,2.68053,1.68291,5
1.523679,13.4432,0,0.32292,5
1.519146,12.73165,1.84988,0.60237,5
1.519692,14.5604,0,0,6
1.518531,14.08825,2.19112,0,6
1.519374,13.789,2.41113,0,6
1.518872,14.99265,0.78126,0,6
1.519055,14.0018,2.38868,0,6
1.512995,14.4008,1.74212,0,6
1.51828,14.46065,2.24051,0,6
1.519169,14.1481,0,0,6
1.516458,14.93945,0,0,7
1.518371,14.321,3.25974,1.45935,7
1.523656,15.79065,1.83192,0.3105,7
1.516025,14.853,0,0,7
1.515137,14.853,0,0,7
1.516389,14.36755,0,0,7
1.51623,14.14145,0,0.08073,7
1.517278,14.70005,0,0,7
1.516822,14.5604,0,0,7
1.516572,14.7998,0,0,7
1.517323,14.95275,0,0,7
1.515569,13.8688,0,0.14283,7
1.516093,15.126,0,0.04968,7
1.515319,14.38085,0,0.03726,7
1.516162,14.95275,0,0,7
1.522472,14.85965,2.2001,0.75762,7
1.515091,15.15225,0,0,7
1.516845,14.9195,0,0,7
1.516503,14.38085,0,0,7
1.515455,14.14145,0,0.08073,7
1.511309,13.68925,3.20137,1.75743,7
1.516526,11.94695,0,2.70135,7
1.516139,13.8821,1.77804,0,7
1.523155,13.4432,3.34056,0.60237,7
1.51623,14.2013,0,0.03726,7
1.517118,14.2279,0,0,7
