@relation glass

@attribute Na numeric
@attribute Al numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
13.1506,1.05077,0.57132,1
12.73165,1.1888,0.621,1
13.21045,1.41029,0.58995,1
12.65185,1.30115,0.60858,1
12.63855,0.66878,0.0621,2
13.3368,1.57079,0.60858,2
13.7225,1.81154,0.63963,2
13.23705,1.47128,0.39123,2
13.0176,1.53869,0.72036,2
13.40995,1.33004,0.50922,2
10.73,2.10044,0.57753,2
13.23705,1.41029,0.55269,2
12.95775,1.42955,0.60237,2
13.25035,1.32041,0.57753,2
13.7225,0.55964,0,2
13.40995,1.24979,0.6831,2
12.8979,1.44881,0.44091,2
13.01095,1.48091,0.60237,2
13.09075,1.51943,0.67068,2
12.93115,1.61894,0.63963,2
14.85965,1.74092,0.16146,2
12.7117,1.49054,0.67068,2
11.0226,0.74903,0,2
13.70255,1.35893,0.19251,2
11.4482,1.87895,0.8073,2
12.85135,1.24016,0.621,2
13.6427,1.26905,0.54027,2
13.7092,1.53869,0.54027,2
13.19715,1.15028,0.54027,2
13.1905,1.30115,0.55269,2
12.99765,1.53869,0.60858,2
12.19965,1.15991,0.621,2
13.35675,1.42955,0.50922,2
13.5496,1.6703,0.52785,2
12.858,2.1197,0.68931,2
13.8023,0.65915,0.08073,2
12.99765,1.78907,0.65826,2
13.4831,1.70882,0.621,2
13.0176,1.0604,0.63963,2
13.98185,1.62857,0.39123,2
13.0974,1.1888,0.60237,2
13.2969,1.52906,0.65205,2
13.35675,1.49054,0.44712,2
12.85135,1.43918,0.6831,2
12.8713,1.64141,0.65205,2
14.24785,2.08118,1.09917,2
12.5521,1.86932,0.62721,2
12.9378,1.25942,0.5589,2
13.19715,1.07003,0.57132,2
12.6186,0.82928,0.34776,2
12.6718,1.70882,0.73278,2
13.78235,1.42955,0.49059,2
12.93115,1.56116,0.57753,2
13.25035,1.42955,0.60858,2
13.922,1.24979,0.3726,2
13.2304,1.48091,0.5589,2
13.4033,1.51943,0.67068,2
13.7491,1.35893,0.32913,2
11.22875,0.7715,0,2
14.4274,0.99941,0.09936,2
12.93115,1.10855,0.63963,2
12.2994,0.99941,0.11799,2
12.8181,1.90142,0.68931,2
13.5629,1.47128,0.63963,2
12.3526,1.62857,0.70173,2
13.0176,1.5098,0.68931,2
12.99765,1.07966,0.5589,2
13.4432,1.53869,0.65826,2
13.11735,1.58042,0.06831,2
12.991,1.23053,0.57753,2
13.4299,1.17917,0.57753,2
12.89125,1.57079,0.60858,2
13.33015,1.33967,0.5589,3
13.64935,1.10855,0.11178,3
14.321,0.82928,0,3
13.03755,1.25942,0.52164,3
13.6427,0.64952,0.0621,3
13.52965,1.51943,0.57753,3
12.15975,1.3493,0.57132,3
14.188,0.90953,0.22977,3
13.1373,1.76018,0.60237,3
13.40995,1.27868,0.52164,3
13.42325,1.2209,0.58995,3
13.50305,1.62857,0.57132,3
12.858,1.31078,0.60858,3
13.6427,0.74903,0.16146,3
13.23705,1.3814,0.5589,3
12.63855,1.65104,0.37881,5
13.4432,1.58042,0.32292,5
12.97105,1.5098,0.13041,5
12.858,1.8308,0.96876,5
13.2703,1.76018,0.47196,5
12.73165,1.85969,0.60237,5
11.56125,1.56116,0.47196,5
12.99765,3.0185,6.21,5
12.85135,2.17106,0.75762,5
14.00845,3.5,1.68291,5
13.0176,3.04097,6.21,5
13.3767,1.40066,0.32913,5
14.0018,1.56116,0,6
13.789,1.1888,0,6
17.38,0.34136,0,6
14.4008,1.53869,0,6
14.5604,0.55964,0,6
14.08825,1.66067,0,6
14.99265,1.74092,0,6
14.1481,2.09081,0,6
14.3875,1.82117,1.40967,7
14.38085,1.93994,0,7
14.75325,2.00093,0,7
15.126,2.51132,0.04968,7
15.79065,1.31078,0.3105,7
14.14145,2.68145,0.08073,7
14.85965,2.05871,0.75762,7
13.8821,1.78907,0,7
14.14145,2.88047,0.08073,7
13.4432,1.23053,0.60237,7
14.3609,2.02019,0,7
15.15225,2.25131,0,7
14.853,2.42144,0,7
14.9195,1.9913,0,7
14.853,2.37971,0,7
14.5604,1.97846,0,7
14.38085,2.65898,0.03726,7
14.95275,2.27057,0,7
14.36755,2.73923,0,7
14.321,2.21921,1.45935,7
14.95275,1.7987,0,7
13.68925,1.81154,1.75743,7
14.7998,1.9913,0,7
11.94695,1.1888,2.70135,7
14.93945,1.86932,0,7
14.2013,2.79059,0.03726,7
