@relation glass

@attribute Na numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
11.22875,0,0,2
12.7516,2.85115,0.57132,2
12.6718,2.87809,0.73278,2
13.7225,0,0,2
13.09075,3.592,0.67068,2
13.23705,3.90181,0.55269,2
12.8181,3.52016,0.68931,2
13.33015,3.84793,0.52164,2
12.93115,3.65935,0.57753,2
12.63855,0,0.0621,2
13.2304,3.53812,0.5589,2
13.40995,3.88834,0.50922,2
13.46315,3.82997,0.57132,2
13.8289,2.90054,0.08073,2
14.4274,0,0.09936,2
13.19715,3.62792,0.57132,2
12.99765,3.79854,0.5589,2
12.858,3.52016,0.68931,2
13.4831,3.47975,0.621,2
12.8713,3.56057,0.65205,2
12.85135,3.51118,0.6831,2
14.24785,3.08912,1.09917,2
12.991,3.17892,0.57753,2
13.23705,3.34056,0.39123,2
13.2969,3.64139,0.65205,2
13.8023,3.15198,0.08073,2
13.922,3.52016,0.3726,2
13.5629,3.56955,0.63963,2
12.19965,3.25076,0.621,2
13.7092,3.92875,0.54027,2
13.33015,3.53812,0.6831,2
12.99765,3.57853,0.60858,2
13.19715,3.6818,0.54027,2
14.85965,3.66833,0.16146,2
12.3526,2.72094,0.70173,2
13.40995,3.55159,0.6831,2
12.95775,2.95891,0.60237,2
13.25035,3.75813,0.57753,2
12.6186,2.76135,0.34776,2
12.2994,0,0.11799,2
13.35675,3.57853,0.44712,2
13.5496,2.08785,0.52785,2
13.4432,3.60996,0.65826,2
13.0176,3.61894,0.63963,2
13.0176,3.57853,0.68931,2
13.7225,3.6818,0.63963,2
13.0974,3.96916,0.60237,2
13.4299,3.97814,0.57753,2
12.93115,3.74017,0.63963,2
12.99765,3.47077,0.65826,2
13.1905,3.90181,0.55269,2
13.25035,3.44832,0.60858,2
13.7491,1.01025,0.32913,2
10.73,0,0.57753,2
13.11735,3.40791,0.06831,2
13.6427,3.87038,0.54027,2
13.23705,3.48873,0.37881,2
12.93115,3.53812,0.63963,2
12.9378,3.60996,0.5589,2
12.85135,3.66833,0.621,2
12.89125,3.61894,0.60858,2
12.8979,3.43934,0.44091,2
13.70255,0,0.19251,2
12.7117,3.33158,0.67068,2
13.09075,3.52016,0.6831,2
12.7915,3.52016,0.65826,2
13.4033,3.48873,0.67068,2
11.0226,0,0,2
14.0284,3.75813,0.11178,3
13.03755,3.39893,0.52164,3
14.321,3.90181,0,3
13.23705,3.56955,0.5589,3
12.858,3.57853,0.60858,3
14.188,3.78058,0.22977,3
13.52965,3.40791,0.57753,3
12.15975,3.52016,0.57132,3
13.40995,3.38995,0.52164,3
13.1373,3.44832,0.60237,3
13.42325,3.39893,0.58995,3
13.6427,3.53812,0.16146,3
13.50305,3.35852,0.57132,3
13.33015,3.52914,0.5589,3
13.33015,3.34056,0.5589,3
13.64935,3.65935,0.11178,3
12.63855,0,0.37881,5
13.2703,0,0.47196,5
12.97105,0.32777,0.13041,5
12.73165,1.84988,0.60237,5
14.00845,2.68053,1.68291,5
11.56125,1.88131,0.47196,5
12.85135,1.61191,0.75762,5
12.858,0,0.96876,5
11.02925,1.71069,0.57753,5
13.4432,0,0.32292,5
13.0176,0,6.21,5
12.99765,0,6.21,5
14.4008,1.74212,0,6
14.46065,2.24051,0,6
14.1481,0,0,6
17.38,0,0,6
14.08825,2.19112,0,6
13.789,2.41113,0,6
14.5604,0,0,6
14.99265,0.78126,0,6
14.75325,0,0,7
14.95275,0,0,7
14.38085,0,0.03726,7
14.85965,2.2001,0.75762,7
14.5604,0,0,7
14.14145,0,0.08073,7
14.321,3.25974,1.45935,7
15.15225,0,0,7
14.853,0,0,7
14.2279,0,0,7
11.94695,0,2.70135,7
14.14145,0,0.08073,7
14.70005,0,0,7
14.9195,0,0,7
14.3609,0,0,7
14.93945,0,0,7
14.36755,0,0,7
13.68925,3.20137,1.75743,7
14.7998,0,0,7
15.79065,1.83192,0.3105,7
13.4432,3.34056,0.60237,7
15.126,0,0.04968,7
13.8688,0,0.14283,7
14.3875,0,1.40967,7
13.8821,1.77804,0,7
14.853,0,0,7
