@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.516458,14.93945,8.66876,1.3797,7
1.516503,14.38085,8.47508,1.5687,7
1.523656,15.79065,8.61496,1.67895,7
1.515137,14.853,8.389,0.5607,7
1.523155,13.4432,8.83016,0,7
1.517187,14.75325,8.52888,1.59075,7
1.51623,14.14145,9.18524,1.06155,7
1.511309,13.68925,5.43,1.1907,7
1.516822,14.5604,8.51812,1.5687,7
1.516139,13.8821,8.66876,0.75915,7
1.517278,14.70005,8.94852,0.6615,7
1.515319,14.38085,9.07764,0.63945,7
1.522472,14.85965,9.75552,0,7
1.518303,14.3875,6.47372,2.8791,7
1.517323,14.95275,8.61496,1.5498,7
1.518371,14.321,5.78508,1.62855,7
1.515569,13.8688,9.4112,0.80955,7
1.516093,15.126,8.83016,0.5292,7
1.516389,14.36755,9.45424,0.53865,7
1.516162,14.95275,8.7118,0.67095,7
1.51623,14.2013,9.04536,0.40005,7
1.515091,15.15225,8.3352,0.63,7
1.516526,11.94695,8.927,0,7
1.520649,14.3609,8.4428,1.64115,7
1.516025,14.853,8.75484,0.63945,7
1.517118,14.2279,8.61496,1.6695,7
