@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Wheel-base numeric
@attribute Curb-weight numeric
@attribute Engine-size numeric
@attribute Stroke numeric
@attribute Compression-ratio numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
148,dodge,93.7,1989,90,3.23,9.4,38,1
168,toyota,94.5,2265,98,3.08,9.4,29,1
87,toyota,95.7,1985,92,3.03,9,39,1
119,plymouth,93.7,2128,98,3.39,7.6,30,1
104,mazda,93.1,1890,91,3.15,9,31,1
101,honda,93.7,1837,79,3.07,10.1,42,1
128,nissan,94.5,2028,97,3.29,9.4,37,1
103,nissan,94.5,2024,97,3.29,9.4,37,1
128,nissan,94.5,1951,97,3.29,9.4,37,1
104,mazda,93.1,1900,91,3.15,9,38,1
154,plymouth,93.7,1967,90,3.23,9.4,38,1
125,mitsubishi,96.3,2365,122,3.46,8.5,32,1
129,mazda,98.8,2385,122,3.39,8.6,32,1
113,mazda,93.1,1950,91,3.15,9,38,1
119,plymouth,93.7,1918,90,3.23,9.4,41,1
231,nissan,99.2,3139,181,3.27,9,25,1
118,dodge,93.7,1876,90,3.23,9.4,38,1
122,nissan,94.5,1938,97,3.29,9.4,37,1
161,mitsubishi,93,2145,98,3.39,7.6,30,1
168,toyota,94.5,2300,98,3.08,9.4,29,1
87,toyota,95.7,2040,92,3.03,9,38,1
128,nissan,94.5,1889,97,3.29,9.4,37,1
148,dodge,93.7,1989,90,3.23,9.4,38,1
122,nissan,94.5,1971,97,3.29,9.4,37,1
122,volkswagen,97.3,2209,109,3.4,9,34,2
94,volkswagen,97.3,2300,109,3.4,10,32,2
83,subaru,93.7,2120,108,2.64,8.7,31,2
134,toyota,98.4,2551,146,3.5,9.3,30,2
164,audi,99.8,2337,109,3.4,10,30,2
134,toyota,98.4,2714,146,3.5,9.3,30,2
168,nissan,95.1,2008,97,3.29,9.4,37,2
161,mitsubishi,93.7,1918,92,3.23,9.4,41,2
192,bmw,101.2,2395,108,2.8,8.8,29,2
104,saab,99.1,2758,121,3.07,9.3,28,2
83,subaru,93.3,2240,108,2.64,8.7,31,2
134,toyota,98.4,2540,146,3.5,9.3,30,2
121,chevrolet,88.4,1488,61,3.03,9.5,53,2
94,volkswagen,97.3,2275,109,3.4,9,34,2
104,saab,99.1,2847,121,3.07,9,26,2
94,volkswagen,97.3,2264,97,3.4,23,46,2
134,toyota,98.4,2679,146,3.5,9.3,30,2
137,honda,86.6,1713,92,3.41,9.6,54,2
122,volkswagen,97.3,2261,97,3.4,23,46,2
137,honda,86.6,1819,92,3.41,9.2,38,2
94,volkswagen,97.3,2212,109,3.4,9,34,2
161,mitsubishi,93.7,2004,92,3.23,9.4,38,2
134,toyota,98.4,2536,146,3.5,9.3,30,2
161,mitsubishi,93.7,1944,92,3.23,9.4,38,2
164,audi,99.4,2824,136,3.4,8,22,2
104,saab,99.1,2695,121,3.07,9.3,28,2
153,mitsubishi,96.3,2370,110,3.46,7.5,30,3
153,mitsubishi,96.3,2328,122,3.46,8.5,32,3
150,saab,99.1,2808,121,3.07,9,26,3
142,mercedes-benz,96.6,3685,234,3.1,8.3,18,3
256,volkswagen,94.5,2221,109,3.4,8.5,29,3
197,toyota,102.9,2976,171,3.35,9.3,24,3
150,saab,99.1,2707,121,2.07,9.3,28,3
186,porsche,94.5,2778,151,3.11,9.5,27,3
197,toyota,102.9,3016,171,3.35,9.3,24,3
194,nissan,91.3,3071,181,3.27,9,25,3
150,saab,99.1,2658,121,3.07,9.31,28,3
194,nissan,91.3,3139,181,3.27,7.8,23,3
