@relation automobile

@attribute Aspiration {std,turbo}
@attribute Engine-location {front,rear}
@attribute Width numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
std,front,60.3,53.2,1488,5151,2
std,front,65.6,52,2540,8449,2
turbo,front,66.3,50.2,2811,12964,3
std,front,68.3,50.2,2778,22018,3
std,front,65.4,49.4,2328,8499,3
turbo,front,66.5,56.1,2808,18150,3
std,front,67.9,49.7,3071,17199,3
turbo,front,65.4,49.4,2370,9959,3
std,front,70.5,50.8,3685,35056,3
std,front,64,51.4,2221,9980,3
std,front,66.5,56.1,2707,15040,3
std,front,67.7,52,3016,15998,3
turbo,front,67.9,49.7,3139,19699,3
std,front,66.5,56.1,2658,11850,3
