@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Aspiration {std,turbo}
@attribute Num-of-doors {four,two}
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Bore numeric
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
dodge,std,two,93.7,157.3,2.97,9.41,5500,5572,1
nissan,std,two,94.5,165.3,2.99,21.9,4800,7099,1
nissan,std,four,94.5,165.3,3.15,9.4,5200,6849,1
mitsubishi,std,four,96.3,172.4,3.35,8.5,5000,6989,1
dodge,std,four,93.7,157.3,2.97,9.4,5500,7609,1
nissan,std,four,94.5,170.2,3.15,9.4,5200,7349,1
plymouth,std,four,93.7,167.3,2.97,9.4,5500,6692,1
dodge,std,two,93.7,157.3,2.97,9.4,5500,6377,1
honda,std,two,93.7,150,2.91,9.2,6000,6529,1
plymouth,std,two,93.7,157.3,2.97,9.4,5500,5572,1
mazda,std,four,93.1,166.8,3.03,9,5000,6695,1
nissan,std,two,94.5,165.3,3.15,9.4,5200,6649,1
mazda,std,two,98.8,177.8,3.39,8.6,4800,10595,1
audi,turbo,four,105.8,192.7,3.13,8.3,5500,23875,1
mazda,std,two,93.1,159.1,3.03,9,5000,6795,1
mitsubishi,std,four,96.3,172.4,3.35,8.5,5000,8189,1
toyota,std,two,94.5,168.7,3.24,9.4,6600,9538,1
mitsubishi,turbo,four,96.3,172.4,3.17,7.5,5500,9279,1
mitsubishi,turbo,two,93,157.3,3.03,7.6,5500,7689,1
nissan,std,two,94.5,165.3,3.15,9.4,5200,7299,1
mazda,std,two,93.1,159.1,3.03,9,5000,6095,1
mazda,std,two,93.1,159.1,3.03,9,5000,5195,1
toyota,std,four,95.7,158.7,3.05,9,4800,6488,1
honda,std,two,93.7,150,2.91,9.2,6000,7129,1
mazda,std,four,93.1,166.8,3.08,9,5000,7395,1
toyota,std,two,94.5,168.7,3.24,9.4,6600,9298,1
honda,std,two,93.7,150,2.91,10.1,5500,5399,1
toyota,std,two,94.5,168.7,3.19,9,4800,8238,1
plymouth,turbo,two,93.7,157.3,3.03,7.6,5500,7957,1
nissan,std,four,94.5,170.2,3.15,9.4,5200,7999,1
audi,std,four,105.8,192.7,3.19,8.5,5500,17710,1
plymouth,std,four,93.7,167.3,2.97,9.4,5500,7609,1
toyota,std,two,95.7,158.7,3.05,9,4800,5348,1
toyota,std,two,95.7,158.7,3.05,9,4800,6338,1
honda,std,two,86.6,144.6,2.91,9.6,4800,6479,2
volkswagen,turbo,four,97.3,171.7,3.01,23,4500,9495,2
saab,std,four,99.1,186.6,3.54,9.3,5250,15510,2
volkswagen,std,two,97.3,171.7,3.19,9,5250,7975,2
toyota,std,two,98.4,176.2,3.62,9.3,4800,17669,2
audi,std,four,99.4,176.6,3.19,8,5500,17450,2
nissan,std,two,95.1,162.4,3.15,9.4,5200,8249,2
mitsubishi,std,two,93.7,157.3,2.97,9.4,5500,5389,2
toyota,std,two,98.4,176.2,3.62,9.3,4800,11199,2
audi,std,four,99.8,176.6,3.19,10,5500,13950,2
subaru,std,two,93.7,156.9,3.62,9,4900,5118,2
bmw,std,two,101.2,176.8,3.5,8.8,5800,16430,2
toyota,std,two,98.4,176.2,3.62,9.3,4800,11549,2
subaru,std,two,93.3,157.3,3.62,8.7,4400,7603,2
toyota,std,two,98.4,176.2,3.62,9.3,4800,9639,2
subaru,std,two,93.7,157.9,3.62,8.7,4400,7053,2
mitsubishi,std,two,93.7,157.3,2.97,9.4,5500,6669,2
mitsubishi,std,two,93.7,157.3,2.97,9.4,5500,6189,2
volkswagen,std,four,97.3,171.7,3.01,23,4800,7995,2
toyota,std,two,98.4,176.2,3.62,9.3,4800,8449,2
honda,std,two,86.6,144.6,2.91,9.2,6000,6855,2
volkswagen,std,four,97.3,171.7,3.19,9,5250,8495,2
saab,std,four,99.1,186.6,3.54,9.3,5250,12170,2
volkswagen,std,two,97.3,171.7,3.01,23,4800,7775,2
volkswagen,std,four,97.3,171.7,3.19,10,5500,9995,2
volkswagen,std,four,97.3,171.7,3.19,9,5250,8195,2
saab,turbo,two,99.1,186.6,3.54,9,5500,18150,3
mitsubishi,std,two,96.3,173,3.35,8.5,5000,8499,3
nissan,std,two,91.3,170.7,3.43,9,5200,17199,3
dodge,turbo,two,95.9,173.2,3.6,7,5000,12964,3
saab,std,two,99.1,186.6,3.54,9.31,5250,11850,3
toyota,std,two,102.9,183.5,3.27,9.3,5200,16558,3
porsche,std,two,94.5,168.9,3.94,9.5,5500,22018,3
nissan,turbo,two,91.3,170.7,3.43,7.8,5200,19699,3
mitsubishi,turbo,two,96.3,173,3.17,7.5,5500,9959,3
saab,std,two,99.1,186.6,2.54,9.3,5250,15040,3
toyota,std,two,102.9,183.5,3.27,9.3,5200,15998,3
