@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Length numeric
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Symboling {-2,-1,0,1,2,3}

@data
saab,186.6,2758,ohc,four,2
toyota,176.2,2975,ohc,four,2
honda,144.6,1819,ohc,four,2
volkswagen,171.7,2261,ohc,four,2
volkswagen,165.7,2221,ohc,four,3
toyota,183.5,3016,dohc,six,3
porsche,168.9,2778,ohc,four,3
mercedes-benz,180.3,3685,ohcv,eight,3
saab,186.6,2808,dohc,four,3
nissan,170.7,3139,ohcv,six,3
saab,186.6,2707,ohc,four,3
dodge,173.2,2811,ohc,four,3
toyota,183.5,2976,dohc,six,3
mitsubishi,173,2328,ohc,four,3
mitsubishi,173,2370,ohc,four,3
