@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Num-of-doors {four,two}
@attribute Wheel-base numeric
@attribute Curb-weight numeric
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Peak-rpm numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
toyota,two,98.4,2679,four,4800,2
mitsubishi,two,93.7,1944,four,5500,2
audi,four,99.4,2824,five,5500,2
toyota,two,98.4,2540,four,4800,2
volkswagen,two,97.3,2209,four,5250,2
honda,two,86.6,1819,four,6000,2
mitsubishi,two,93.7,2004,four,5500,2
toyota,two,98.4,2714,four,4800,2
saab,four,99.1,2695,four,5250,2
volkswagen,two,97.3,2261,four,4800,2
volkswagen,four,97.3,2212,four,5250,2
nissan,two,95.1,2008,four,5200,2
subaru,two,93.3,2240,four,4400,2
volkswagen,four,97.3,2264,four,4800,2
bmw,two,101.2,2395,four,5800,2
honda,two,86.6,1713,four,4800,2
mercedes-benz,two,96.6,3685,eight,4750,3
volkswagen,two,94.5,2221,four,5500,3
porsche,two,94.5,2778,four,5500,3
saab,two,99.1,2808,four,5500,3
nissan,two,91.3,3139,six,5200,3
toyota,two,102.9,2976,six,5200,3
saab,two,99.1,2707,four,5250,3
nissan,two,91.3,3071,six,5200,3
mitsubishi,two,96.3,2370,four,5500,3
toyota,two,102.9,3016,six,5200,3
saab,two,99.1,2658,four,5250,3
mitsubishi,two,96.3,2328,four,5000,3
