@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Length numeric
@attribute Engine-size numeric
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
chevrolet,fwd,158.8,90,9.6,5400,6575,0
peugot,rwd,186.7,120,8.4,5000,11900,0
subaru,fwd,172,108,9.5,4800,7126,0
bmw,rwd,176.8,108,8.8,5800,16925,0
peugot,rwd,186.7,152,21,4150,16900,0
peugot,rwd,186.7,134,7,5600,18150,0
subaru,fwd,172,108,9.5,4400,7775,0
toyota,fwd,166.3,98,9,4800,7738,0
nissan,fwd,184.6,181,9,5200,14399,0
toyota,fwd,158.7,92,9,4800,6488,1
mazda,fwd,166.8,91,9,5000,6695,1
audi,fwd,192.7,131,8.3,5500,23875,1
nissan,fwd,165.3,97,9.4,5200,6649,1
nissan,fwd,165.3,97,9.4,5200,5499,1
mazda,fwd,159.1,91,9,5000,6795,1
nissan,fwd,165.3,97,9.4,5200,7299,1
nissan,rwd,178.5,181,9,5200,18399,1
plymouth,fwd,157.3,98,7.6,5500,7957,1
chevrolet,fwd,155.9,90,9.6,5400,6295,1
nissan,fwd,165.6,97,9.4,5200,7799,1
nissan,fwd,165.3,103,21.9,4800,7099,1
toyota,rwd,168.7,98,9.4,6600,9298,1
mazda,fwd,159.1,91,9,5000,6095,1
nissan,fwd,165.3,97,9.4,5200,7499,1
dodge,fwd,157.3,90,9.4,5500,6229,1
toyota,rwd,168.7,98,9.4,6600,9538,1
mazda,fwd,159.1,91,9,5000,5195,1
mitsubishi,fwd,172.4,122,8.5,5000,8189,1
mitsubishi,fwd,172.4,110,7.5,5500,9279,1
dodge,fwd,157.3,90,9.41,5500,5572,1
mitsubishi,fwd,172.4,122,8.5,5000,6989,1
dodge,fwd,157.3,90,9.4,5500,7609,1
toyota,rwd,168.7,98,9,4800,8058,1
honda,fwd,150,92,9.2,6000,7129,1
nissan,fwd,170.2,97,9.4,5200,7999,1
honda,fwd,169.1,110,9.1,5500,10345,1
honda,fwd,150,79,10.1,5500,5399,1
dodge,fwd,157.3,90,9.4,5500,6692,1
mazda,fwd,177.8,122,8.6,4800,8845,1
mazda,fwd,166.8,91,9,5000,7395,1
audi,fwd,192.7,136,8.5,5500,17710,1
toyota,fwd,158.7,92,9,4800,5348,1
plymouth,fwd,167.3,98,9.4,5500,7609,1
plymouth,fwd,157.3,90,9.4,5500,6229,1
mazda,fwd,177.8,122,8.6,4800,10595,1
toyota,fwd,158.7,92,9,4800,6338,1
mitsubishi,fwd,157.3,98,7.6,5500,7689,1
nissan,fwd,170.2,97,9.4,5200,7349,1
nissan,fwd,165.3,97,9.4,5200,6849,1
honda,fwd,150,92,9.2,6000,6529,1
mitsubishi,fwd,157.3,92,9.4,5500,6189,2
volkswagen,fwd,171.7,97,23,4500,9495,2
saab,fwd,186.6,121,9.3,5250,15510,2
mitsubishi,fwd,157.3,92,9.4,5500,6669,2
toyota,rwd,176.2,146,9.3,4800,8449,2
volkswagen,fwd,171.7,109,9,5250,7975,2
toyota,rwd,176.2,146,9.3,4800,9989,2
audi,4wd,176.6,136,8,5500,17450,2
toyota,rwd,176.2,146,9.3,4800,11549,2
subaru,fwd,156.9,97,9,4900,5118,2
bmw,rwd,176.8,108,8.8,5800,16430,2
toyota,rwd,176.2,146,9.3,4800,11199,2
subaru,fwd,157.9,108,8.7,4400,7053,2
nissan,fwd,162.4,97,9.4,5200,8249,2
audi,fwd,176.6,109,10,5500,13950,2
volkswagen,fwd,171.7,109,9,5250,8195,2
saab,fwd,186.6,121,9,5500,18620,2
chevrolet,fwd,141.1,61,9.5,5100,5151,2
honda,fwd,144.6,92,9.6,4800,6479,2
volkswagen,fwd,171.7,109,9,5250,8495,2
mitsubishi,fwd,157.3,92,9.4,5500,5389,2
honda,fwd,144.6,92,9.2,6000,6855,2
volkswagen,fwd,171.7,109,10,5500,9995,2
toyota,rwd,176.2,146,9.3,4800,9639,2
toyota,rwd,176.2,146,9.3,4800,17669,2
subaru,4wd,157.3,108,8.7,4400,7603,2
saab,fwd,186.6,121,9.31,5250,11850,3
mitsubishi,fwd,173,122,8.5,5000,8499,3
mitsubishi,fwd,173,110,7.5,5500,9959,3
mercedes-benz,rwd,180.3,234,8.3,4750,35056,3
volkswagen,fwd,165.7,109,8.5,5500,9980,3
saab,fwd,186.6,121,9.3,5250,15040,3
toyota,rwd,183.5,171,9.3,5200,16558,3
porsche,rwd,168.9,151,9.5,5500,22018,3
nissan,rwd,170.7,181,9,5200,17199,3
dodge,fwd,173.2,156,7,5000,12964,3
nissan,rwd,170.7,181,7.8,5200,19699,3
saab,fwd,186.6,121,9,5500,18150,3
