@relation automobile

@attribute Normalized-losses numeric
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Width numeric
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Engine-size numeric
@attribute Stroke numeric
@attribute Horsepower numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
122,sedan,fwd,65.5,2209,ohc,109,3.4,85,2
161,hatchback,fwd,64.4,1918,ohc,92,3.23,68,2
83,hatchback,fwd,63.6,2120,ohcf,108,2.64,73,2
121,hatchback,fwd,60.3,1488,l,61,3.03,48,2
94,sedan,fwd,65.5,2212,ohc,109,3.4,85,2
134,convertible,rwd,65.6,2975,ohc,146,3.5,116,2
94,sedan,fwd,65.5,2275,ohc,109,3.4,85,2
104,sedan,fwd,66.5,2847,dohc,121,3.07,160,2
134,hardtop,rwd,65.6,2540,ohc,146,3.5,116,2
104,sedan,fwd,66.5,2695,ohc,121,3.07,110,2
83,hatchback,4wd,63.8,2240,ohcf,108,2.64,73,2
168,hardtop,fwd,63.8,2008,ohc,97,3.29,69,2
134,hardtop,rwd,65.6,2536,ohc,146,3.5,116,2
122,sedan,fwd,65.5,2261,ohc,97,3.4,52,2
164,sedan,fwd,66.2,2337,ohc,109,3.4,102,2
192,sedan,rwd,64.8,2395,ohc,108,2.8,101,2
137,hatchback,fwd,63.9,1819,ohc,92,3.41,76,2
134,hatchback,rwd,65.6,2551,ohc,146,3.5,116,2
142,convertible,rwd,70.5,3685,ohcv,234,3.1,155,3
256,hatchback,fwd,64,2221,ohc,109,3.4,90,3
153,hatchback,fwd,65.4,2370,ohc,110,3.46,116,3
150,hatchback,fwd,66.5,2707,ohc,121,2.07,110,3
145,hatchback,fwd,66.3,2811,ohc,156,3.9,145,3
197,hatchback,rwd,67.7,2976,dohc,171,3.35,161,3
197,hatchback,rwd,67.7,3016,dohc,171,3.35,161,3
150,hatchback,fwd,66.5,2658,ohc,121,3.07,110,3
194,hatchback,rwd,67.9,3071,ohcv,181,3.27,160,3
150,hatchback,fwd,66.5,2808,dohc,121,3.07,160,3
194,hatchback,rwd,67.9,3139,ohcv,181,3.27,200,3
