@relation automobile

@attribute Normalized-losses numeric
@attribute Length numeric
@attribute Width numeric
@attribute Height numeric
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Compression-ratio numeric
@attribute City-mpg numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
125,172.4,65.4,51.6,four,8.5,25,32,1
103,170.2,63.8,53.5,four,9.4,31,37,1
74,158.7,63.6,54.5,four,9,31,38,1
104,159.1,64.2,54.1,four,9,31,38,1
87,158.7,63.6,54.5,four,9,35,39,1
101,150,64,52.6,four,9.2,30,34,1
113,166.8,64.2,54.1,four,9,31,38,1
148,157.3,63.8,50.6,four,9.4,31,38,1
154,167.3,63.8,50.8,four,9.4,31,38,1
103,170.2,63.8,53.5,four,9.4,31,37,1
122,165.3,63.8,54.5,four,9.4,31,37,1
107,169.1,66,51,four,9.1,25,31,1
128,165.3,63.8,54.5,four,9.4,31,37,1
168,168.7,64,52.6,four,9,29,34,1
128,165.3,63.8,54.5,four,9.4,31,37,1
158,192.7,71.4,55.7,five,8.5,19,25,1
128,165.3,63.8,54.5,four,21.9,45,50,1
158,192.7,71.4,55.9,five,8.3,17,20,1
128,165.3,63.8,54.5,four,9.4,31,37,1
87,158.7,63.6,54.5,four,9,31,38,1
104,159.1,64.2,54.1,four,9,31,38,1
128,165.6,63.8,53.3,four,9.4,31,37,1
113,166.8,64.2,54.1,four,9,31,38,1
125,172.4,65.4,51.6,four,8.5,25,32,1
119,157.3,63.8,50.8,four,7.6,24,30,1
125,172.4,65.4,51.6,four,7.5,23,30,1
161,157.3,63.8,50.8,four,7.6,24,30,1
98,155.9,63.6,52,four,9.6,38,43,1
118,157.3,63.8,50.8,four,9.41,37,41,1
148,157.3,63.8,50.6,four,9.4,31,38,1
168,168.7,64,52.6,four,9.4,26,29,1
101,150,64,52.6,four,10.1,38,42,1
129,177.8,66.5,53.7,four,8.6,26,32,1
168,168.7,64,52.6,four,9.4,26,29,1
154,157.3,63.8,50.6,four,9.4,31,38,1
148,157.3,63.8,50.6,four,9.4,31,38,1
231,178.5,67.9,49.7,six,9,19,25,1
94,171.7,65.5,55.7,four,9,27,34,2
134,176.2,65.6,52,four,9.3,24,30,2
104,186.6,66.5,56.1,four,9.3,21,28,2
137,144.6,63.9,50.8,four,9.2,31,38,2
83,157.9,63.6,53.7,four,8.7,26,31,2
134,176.2,65.6,52,four,9.3,24,30,2
161,157.3,64.4,50.8,four,9.4,31,38,2
134,176.2,65.6,52,four,9.3,24,30,2
137,144.6,63.9,50.8,four,9.6,49,54,2
134,176.2,65.6,52,four,9.3,24,30,2
134,176.2,65.6,52,four,9.3,24,30,2
168,162.4,63.8,53.3,four,9.4,31,37,2
104,186.6,66.5,56.1,four,9,19,26,2
134,176.2,65.6,53,four,9.3,24,30,2
164,176.6,66.4,54.3,five,8,18,22,2
122,171.7,65.5,55.7,four,9,27,34,2
161,157.3,64.4,50.8,four,9.4,31,38,2
161,157.3,64.4,50.8,four,9.4,37,41,2
83,157.3,63.8,55.7,four,8.7,26,31,2
94,171.7,65.5,55.7,four,10,26,32,2
94,171.7,65.5,55.7,four,9,27,34,2
121,141.1,60.3,53.2,three,9.5,47,53,2
83,156.9,63.4,53.7,four,9,31,36,2
164,176.6,66.2,54.3,four,10,24,30,2
192,176.8,64.8,54.3,four,8.8,23,29,2
94,171.7,65.5,55.7,four,23,37,42,2
194,170.7,67.9,49.7,six,9,19,25,3
150,186.6,66.5,56.1,four,9.31,21,28,3
153,173,65.4,49.4,four,8.5,25,32,3
145,173.2,66.3,50.2,four,7,19,24,3
197,183.5,67.7,52,six,9.3,20,24,3
194,170.7,67.9,49.7,six,7.8,17,23,3
153,173,65.4,49.4,four,7.5,23,30,3
256,165.7,64,51.4,four,8.5,24,29,3
186,168.9,68.3,50.2,four,9.5,19,27,3
150,186.6,66.5,56.1,four,9.3,21,28,3
150,186.6,66.5,56.1,four,9,19,26,3
142,180.3,70.5,50.8,eight,8.3,16,18,3
