@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,18,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
52,66,114.22222,0.174128,2
7,114,14.518518,0.408644,1
13,73,19.074074,0.421504,1
128,175,23.777779,0.284954,7
23,55,23.444445,0.43507,1
78,108,17.11111,0.378839,1
221,50,122.07407,0.213809,2
250,196,47.77778,0.289138,6
11,50,109.25926,0.2797,2
159,138,2.666667,0.826852,5
194,57,135.96297,0.111695,2
40,142,1.222222,1,5
70,44,122.59259,0.181821,2
224,124,43.148148,0.290982,4
214,161,40.444443,0.298056,6
8,93,19.88889,0.480246,5
37,189,30,0.265248,6
66,41,109.703705,0.262046,2
160,73,58.814816,0.253364,4
227,104,19.62963,0.380292,5
45,67,64.74074,0.298145,4
173,219,5.592593,0.561254,7
242,164,19.814816,0.409529,7
32,88,67.25926,0.320122,4
20,248,13.444445,0.403437,7
65,75,21.333334,0.417046,1
75,67,22.25926,0.414836,1
27,68,21.592592,0.440354,1
96,133,0.481482,1,3
11,163,19.814816,0.344267,7
240,16,102.51852,0.299601,2
253,201,43.962963,0.28083,6
201,183,52.62963,0.30372,6
21,216,16.555555,0.426777,7
173,152,0,0,5
220,61,6.888889,0.655892,5
68,198,58.074074,0.291301,6
249,87,31.703703,0.312482,4
35,96,21.74074,0.399499,1
52,82,44.88889,0.246605,4
229,195,47.703705,0.290278,6
115,156,24.25926,0.417328,7
86,74,22.407408,0.422206,1
14,117,5.777778,0.543651,1
86,179,50.555557,0.296547,6
153,204,19.407408,0.420366,7
80,87,67.44444,0.306281,3
62,224,14.62963,0.408965,7
219,80,39.703705,0.282964,4
237,191,7.333334,0.53582,7
36,21,129.85185,0.153497,2
57,117,6.333334,0.510362,1
240,190,20.11111,0.409309,7
10,223,15.037037,0.330665,7
81,229,10.925926,0.496142,7
33,142,0.037037,0.111111,3
35,135,0.222222,0.333333,3
58,122,34.185184,0.349652,4
64,186,30.777779,0.276726,6
96,84,23.851852,0.398791,1
77,177,48.407406,0.297431,6
35,107,9.518518,0.674956,3
146,201,10.666667,0.570851,7
219,80,14.481482,0.43286,5
69,81,19.851852,0.41031,1
52,89,28.925926,0.331128,4
95,57,26.296297,0.425691,1
96,141,4.962963,0.66524,5
181,87,135.40741,0.126571,2
174,112,31.62963,0.445039,5
78,201,56.444443,0.28043,6
63,203,58.48148,0.287107,6
20,122,60.74074,0.342363,4
139,16,140.40741,0.101526,2
124,162,10.037037,0.479931,4
247,115,28.851852,0.331663,4
198,122,36.185184,0.29185,4
130,145,0,0,5
72,222,14.962963,0.425441,7
42,188,30.777779,0.301747,6
84,40,127.40741,0.174209,2
89,43,107.14815,0.266023,2
50,50,124.111115,0.197162,2
233,184,11.851851,0.405556,7
226,84,4.555555,0.847729,3
198,183,54.037037,0.298622,6
