@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,13-14,16,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
209,191,48.22222,42.11111,-13,-18.333334,6
184,145,0.555556,0.111111,-0.666667,-1.333333,5
193,125,37.444443,32.444447,-15.333333,-15,4
41,77,5,3.555556,-11.333333,-4.333334,3
185,102,56.77778,50.11111,-17,-20,4
80,95,21.407408,16.222223,-0.222222,-15.555555,1
121,113,20.25926,15.333333,-0.777778,-14.777778,1
85,70,23.666666,17.88889,-2,-17.333334,1
85,124,14.666667,12.333333,-21.333334,-7,3
99,132,0.740741,0.111111,-1.888889,-1.888889,3
103,174,23.185184,29,-7.555555,17.444445,7
14,110,17.925926,13.444445,2.888889,-13.444445,1
180,123,57.48148,51.333332,-14.777778,-18.444445,4
145,33,124.55556,119.55556,-34,-15,2
199,25,103.62963,94.888885,-43.555557,-26.222221,2
159,111,5.925926,3.222222,5.222222,-8.111111,1
41,139,1.296296,0,-3.888889,-3.888889,5
249,178,47.962963,42.333336,-15.888889,-16.88889,6
161,73,43.851852,39.77778,-2.555556,-12.222222,4
244,211,13.62963,17.222223,-8.555555,10.777778,7
97,123,52.814816,46.333332,-14.444445,-19.444445,4
230,12,119.03704,114.55556,-35.444443,-13.444445,2
58,113,20.851852,17.222223,-11.888889,-10.888889,5
29,78,69.74074,61.11111,-30.222221,-25.88889,4
191,119,39.851852,35.11111,-10.888889,-14.222222,4
190,105,45.74074,39.666668,-13.555555,-18.222221,4
108,138,3.185185,1.444444,-5.222222,-5.222222,5
25,199,17.518518,21.555555,-13.222222,12.111111,7
38,200,55.962963,48.666668,-20.88889,-21.88889,6
18,66,39.88889,37.77778,-22.666666,-6.333334,3
35,132,5.37037,2.888889,5.222222,-7.444445,1
224,63,120.22222,114.666664,-35.333332,-16.666666,2
214,79,4.851852,3.333333,-8.555555,-4.555555,3
181,115,132.77777,129.77779,-28.666666,-9,2
217,115,1.888889,0.777778,-5,-3.333333,3
217,145,5.296296,3,3.111111,-6.888889,1
44,79,107.74074,102.77778,-41.555557,-14.888889,2
231,91,6,3.666667,-4.333334,-7,5
10,112,0.444444,0.111111,-1.333333,-1,3
96,80,26,19.555555,-6,-19.333334,1
179,69,40.666668,36.555557,0.666667,-12.333333,4
145,163,39.444443,36.555557,-16.333334,-8.666667,6
237,191,7.333334,11.222222,-6,11.666667,7
196,95,7.62963,5.333334,-2.555556,-6.888889,5
136,193,60.703705,52.77778,-18.777779,-23.777779,6
89,53,27.074074,20.11111,-12.888889,-20.88889,1
68,172,30.11111,35.666668,-16.666666,16.666666,7
125,46,124.55556,119.888885,-35.333332,-14,2
220,124,0.888889,0.222222,-2.666667,-2,3
171,89,0,0,0,0,5
169,131,35.703705,30.666666,-15.111111,-15.111111,4
95,95,6.481482,4.555555,-12.444445,-5.777778,3
163,210,11.851851,17.333334,-7.555555,16.444445,7
188,42,108.92593,104.888885,-39.77778,-12.111111,2
52,170,25.444445,30.88889,-16,16.333334,7
199,66,122.55556,116.888885,-34.666668,-17,2
201,40,123.77778,118.333336,-31.333334,-16.333334,2
112,197,50.333332,44.11111,-17,-18.666666,6
103,185,30.88889,27.88889,-9.333333,-9,6
166,185,54.22222,46.88889,-17,-22,6
107,21,126.77778,122.666664,-33,-12.333333,2
54,126,23.296297,20,-6.888889,-9.888889,4
94,144,1.148148,0,-3.444444,-3.444444,3
22,200,54.703705,47.22222,-20.444445,-22.444445,6
205,190,49.48148,43,-14.111111,-19.444445,6
137,182,34.925926,30.444445,-10.444445,-13.444445,6
48,85,4.296296,2.666667,-8.888889,-4.888889,3
42,135,2.407408,0.777778,-3.222222,-4.888889,5
108,75,116.703705,111.22222,-32.444443,-16.444445,2
78,99,4.148148,2.333334,-9.111111,-5.444445,3
125,46,124.55556,119.888885,-35.333332,-14,2
203,120,49.407406,44,-13.555555,-16.222221,4
239,137,40.851852,37.333336,-2.888889,-10.555555,4
93,231,12.296296,17,-10.555555,14.111111,7
174,59,122.03704,116.77778,-34.444443,-15.777778,2
103,237,8,11.777778,-4.333334,11.333333,7
145,170,16.407408,19.555555,-10.888889,9.444445,7
186,188,49.962963,43.333332,-14.555555,-19.88889,6
116,211,13.740741,17.777779,-7.888889,12.111111,7
138,188,60.333332,52.555557,-20.333334,-23.333334,6
28,188,29.962963,26.555555,-9.222222,-10.222222,6
150,113,5.592593,3,4.555555,-7.777778,1
20,137,0.222222,0,-0.666667,-0.666667,3
11,108,17.666666,12.888889,4,-14.333333,1
137,182,34.925926,30.444445,-10.444445,-13.444445,6
219,176,60.296295,51.88889,-20.88889,-25.222221,6
52,185,19.25926,24.666666,-13.111111,16.222221,7
10,61,18.962963,14,-0.888889,-14.888889,1
83,96,19.592592,15.111111,-13.111111,-13.444445,5
110,174,13.481482,17,-7.777778,10.555555,7
19,55,21.037037,15.888889,-1.444444,-15.444445,1
161,136,5.62963,3.333333,4.444445,-6.888889,1
73,31,126.85185,121.888885,-33.88889,-14.888889,2
34,116,61,54.11111,-25.666666,-20.666666,4
103,64,108.77778,103.77778,-37.333332,-15,2
183,157,19.666666,23.88889,-9.666667,12.666667,7
98,135,5.703704,3.222222,5.222222,-7.444445,1
209,122,39.22222,34.333336,-10.333333,-14.666667,4
33,114,16.11111,12.444445,-13,-11,5
236,117,45.88889,39.666668,-19,-18.666666,4
51,15,132.22223,128.33334,-27.666666,-11.666667,2
235,35,97.92593,88.77778,-44.77778,-27.444445,2
131,125,1.37037,0.222222,-4.111111,-3.444444,3
68,109,1.962963,0.777778,-4.888889,-3.555556,3
74,64,56.592594,49.11111,-20.777779,-22.444445,4
18,90,2.814815,1,-6.777778,-5.444445,3
26,67,20,14.555555,-1.333333,-16.333334,1
204,161,44.074074,39.666668,-18.222221,-13.222222,6
186,173,17.148148,22.333334,-10.777778,15.555555,7
21,122,0.555556,0.444444,-1.666667,-0.333333,3
85,121,17.222221,13.555555,-25,-11,3
69,136,19.444445,15.666667,-7.666666,-11.333333,3
238,61,8.777778,6.111111,-8.666667,-8,5
