@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,11,15-17,20'

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
190,42,32.666668,-18,57.77778,6
27,132.55556,27.11111,-12.222222,146.55556,2
63,20.333334,21.88889,-15.777778,29.666666,1
196,56,46.77778,-24.222221,79.111115,6
142,6.222222,1.888889,-6.777778,6.333334,1
96,1.111111,14.222222,-6.111111,8.555555,3
197,17.444445,-7.444445,18.88889,27.555555,7
134,37.11111,40.555557,-17.777779,58.22222,4
126,7.666666,0.777778,-7.555555,7.666666,1
80,11.888889,22.11111,-10.222222,23.222221,5
136,0.666667,10,-4.666666,5.777778,5
69,53.444443,41,-22.666666,73.22222,4
138,0,4.666666,-2.333333,2.333334,3
189,53.444443,44.88889,-25.444445,74.888885,6
122,0,8.555555,-3.777778,4.444445,3
133,1,6,-4.333334,3.555556,5
145,5.333334,2.777778,-6.555555,5.444445,1
131,0,3.111111,-1.555556,1.555556,3
111,4.111111,5.222222,-6.111111,5.555555,1
104,52.77778,32.666668,-19,68.22222,4
128,32.11111,24.555555,-14.111111,43.77778,4
214,5,-6.111111,11.555555,10.666667,7
158,16.444445,0.111111,17.11111,27.88889,7
131,0,1.333333,-0.666667,0.666667,5
139,7.555555,3.333333,-7.666666,7.555555,1
140,7.888889,3,-7.666666,8.222222,1
90,4.666667,13.888889,-8.111111,11.222222,5
43,117.333336,42.22222,-14.777778,140.55556,2
113,0,5.444445,-2.555556,2.777778,3
82,1.777778,13.888889,-2.444444,10.222222,3
56,21.11111,22.444445,-17.555555,30.222221,1
18,133.33334,26.777779,-10.888889,147.55556,2
93,9.888889,25.444445,-11.888889,22.88889,5
184,43.88889,31.222221,-18.11111,58.666668,6
185,50.11111,42.11111,-21.222221,71.111115,6
148,21.444445,37.444443,-14.555555,41.555557,4
176,46.333332,42.22222,-22.444445,67,6
189,45.11111,33.666668,-20,60.88889,6
138,2,12.444445,-2.888889,9.333334,3
23,111,50.333332,-14.333333,139.77779,2
143,0.222222,3.333333,-2,1.777778,5
215,14.333333,-8.555555,17.11111,22.88889,7
118,7,3.111111,-7.222222,7.111111,1
133,0,0,0,0,3
145,6.333334,3.777778,-6.888889,7,1
124,6.888889,1.666667,-7,6.888889,1
107,125.77778,34.666668,-11,145.22223,2
104,20.555555,20.222221,-16.11111,28.666666,1
138,0.111111,4.888889,-1.777778,2.777778,3
96,76,74.55556,-30.11111,115.666664,2
104,48.88889,41.444443,-20.88889,69.55556,4
246,18.88889,-9.444445,21.222221,29.88889,7
207,46,38.333332,-20,64.88889,6
15,134.33334,28,-8.666667,150.11111,2
176,45.22222,33.77778,-20.222221,61,6
194,16.555555,-6.888889,17.777779,26.11111,7
116,6.777778,4.111111,-7.555555,7.333334,1
28,53.444443,50.11111,-23.222221,79.111115,4
195,42.555557,33.88889,-17.777779,59.22222,6
199,11.111111,0.111111,10.111111,17.88889,7
221,10.666667,-4.888889,15.111111,19.11111,7
134,7.666666,2.333333,-7.666666,7.888889,1
154,1.555556,3.444444,-2.555556,3,5
236,12.888889,-5.777778,16.88889,22.222221,7
33,96.77778,62,-22.666666,130.55556,2
34,9.777778,21.444445,-9.555555,20.88889,5
66,41,15.555555,-10.777778,47.77778,4
32,99.22222,61.555557,-23.11111,132.55556,2
156,13.444445,-2.777778,17.222221,24,7
126,16.11111,24.333334,-11,28.666666,4
95,15.555555,25.777779,-11.888889,28.777779,5
133,0,4.444445,-2.222222,2.222222,3
33,31.333334,29.222221,-15.777778,45.555557,4
47,127.44444,33,-11,145.77777,2
101,39,36.22222,-18.11111,57.11111,4
125,14.888889,19.666666,-9.666667,24.777779,4
119,40.666668,31.11111,-16.222221,56,4
110,23,33.444443,-14.555555,40.444443,5
106,0.444444,11.111111,-5.222222,6.111111,3
189,55,42.11111,-22.88889,75.44444,6
116,6.555555,4.111111,-7.555555,6.888889,1
98,0.555556,4.555555,-0.111111,3.555556,3
93,18.88889,19.222221,-14.777778,26.777779,1
24,117.666664,42.11111,-12.222222,141.66667,2
133,0,5.444445,-2.555556,2.777778,3
