@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,9-11,16,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,0.566667,2.888889,0.666667,-3.666667,-2.261719,3
12,1.966384,6.259259,3.888889,-8.111111,-2.057978,5
234,0.285185,7.111111,6,12,1.83826,7
199,0.712325,15,13.333333,14.666667,1.905303,7
184,1.929306,56.25926,51.22222,-23.11111,-1.958014,6
67,1.94079,106.07407,92.111115,-16.555555,-2.357338,2
60,1.366668,23.777779,22.444445,-17.666666,-1.713134,1
101,1.555158,64.37037,56.88889,-22.777779,-2.08957,4
145,2.062963,0.851852,0.333333,-0.222222,-2.53095,3
90,2.018434,4.666666,2.555556,3,-3.044175,3
105,0.651852,65.55556,60,-23,-1.989475,4
227,0.807373,12.62963,9.444445,14.444445,2.291847,7
49,0.266668,120.703705,108.111115,-18.11111,-2.315477,2
186,1.781593,49.62963,45,-21.222221,-1.958085,6
190,1.405018,60.444443,53.444443,-24.333334,-2.043617,6
136,0.444444,6.259259,7.777778,-7.444445,-0.924607,1
191,4.607407,15.185185,12.111111,10.111111,2.545329,7
114,0.122222,5.888889,7,-8,-1.151837,1
111,0.443053,60.185184,53.22222,-23.222221,-2.058,4
68,0.962963,56.77778,52,-20,-1.984308,4
25,0.477775,102.48148,88,-26.11111,-2.253408,2
187,2.389019,48.51852,44.11111,-20.88889,-1.947472,6
51,0.888889,25.74074,22.666666,-18.88889,-1.873032,1
54,1.003697,124.37037,112.666664,-15.777778,-2.328661,2
71,5.677779,22.333334,21.777779,-17,-1.636863,1
237,2.564718,13.222222,10.888889,16.666666,1.990381,7
111,0.240741,1.333333,0,-4,-2.094395,3
105,1.67778,45.74074,41.22222,-18.222221,-1.996082,4
125,0.691215,1.777778,0.444444,-2.333333,-2.237562,3
202,1.003697,61.62963,55,-23.222221,-2.043538,6
101,0.607407,16.925926,18.333334,-13.111111,-1.21111,1
77,0.533333,40.22222,37.22222,-15,-1.932066,4
226,1.020167,16.703703,15.333333,15.222222,1.82234,7
62,0.501848,6.444445,4.111111,-8,-2.048717,5
193,2.489236,41.703705,37.88889,-15.444445,-1.992997,6
125,0.574133,60.925926,52.555557,-21.444445,-2.145045,4
84,0.344265,17.185184,13,-10.555555,-2.152852,5
27,0.255555,138.07408,132.55556,-8.888889,-2.264532,2
91,889.3629,42.814816,35.88889,-8.777778,-2.346057,3
186,3.507134,53.444443,48.22222,-21.666666,-1.988249,6
123,0.062963,6.111111,8,-7.666666,-0.761648,1
209,0.928958,11.62963,9.555555,13.444445,2.060955,7
110,0.02963,9.444445,6.111111,-9.333333,-2.120265,5
109,3.084009,13.296296,7,-8.222222,-2.344093,3
122,0.403687,0.555556,0,-0.333333,-2.444563,3
201,5.795274,40.296295,35.77778,-12.555555,-2.175826,6
68,0.651852,125.77778,115.666664,-15.333333,-2.300618,2
32,1.310922,126.22222,115.111115,-14.666667,-2.333746,2
153,3.896296,8.333333,5.333334,-6.333334,-2.14389,5
124,0.107407,6,7.444445,-8,-0.987873,1
125,0.760117,43.22222,37.22222,-17.333334,-2.096474,4
140,0.02963,0.259259,0,-0.777778,-2.094395,5
50,0.952579,107.44444,94.666664,-16.666666,-2.337296,2
143,0.133333,4.518518,6.111111,-7.555555,-0.87829,1
72,0.744447,125.44444,114.111115,-13,-2.366197,2
191,2.800133,59.74074,52.88889,-24.555555,-2.03548,6
102,3.262961,17.925926,18.555555,-13.777778,-1.447037,1
154,1.218518,6.37037,9.666667,-4.777778,-0.004927,5
189,114.59634,26.444445,23.444445,-10.666667,-2.101002,6
118,0.4,6.444445,7.555555,-8.333333,-1.134543,1
137,37.500004,5,2.555556,-4.666666,-2.193967,3
199,3.466775,54.962963,47.88889,-21.555555,-2.084754,6
56,1.022222,19.851852,19.444445,-15.555555,-1.622211,1
123,0.122222,5.814815,7.555555,-7.777778,-0.837598,1
34,2.033333,20.333334,18.222221,-16.333334,-1.823148,1
121,0.833334,3.703704,0.777778,-3.444444,-2.351514,3
129,0.151852,0.518518,0,-1.555556,-2.094395,3
165,1.140741,14.296296,12,7.444445,2.593543,7
133,0.077778,6.666666,8.333334,-8.333333,-0.924817,1
120,1.869838,19.074074,10.555555,-16.555555,-2.231261,3
196,0.816497,13.37037,11.555555,14.222222,1.956772,7
183,1.798147,15.37037,12.666667,16.88889,2.075874,7
140,0.088889,5,6.555555,-6.333334,-0.783647,1
155,151.68887,14.333333,13,-9,-1.797435,5
113,1.066667,133.11111,124.666664,-12.333333,-2.309551,2
145,4.385186,2.074074,0.666667,-0.222222,-2.569768,3
98,1.29386,21.518518,16.88889,-12.888889,-2.118236,5
90,8.507409,20.148148,15.666667,-13.111111,-2.101515,5
198,1.22963,15.814815,12.444445,14.888889,2.32489,7
21,0.408248,126.77778,115.77778,-12.333333,-2.370372,2
133,1.218682,21.444445,19.88889,-8.333333,-1.90381,4
17,2.319004,44.592594,40.333336,-15.444445,-2.030048,4
166,0.32963,13.37037,11.222222,10.222222,2.264277,7
90,0.399999,24.851852,23.666666,-18.555555,-1.705942,1
233,1.327766,14.481482,12.555555,15.222222,1.950405,7
133,0.750308,36.77778,32,-14.333333,-2.091572,4
22,0.488884,137.62962,132.11111,-14.222222,-2.146204,2
38,2.294114,14.444445,10.111111,-9.666667,-2.193098,5
68,0.534027,6.888889,5.666666,-6.666666,-1.780255,5
62,1.333336,125.333336,115.77778,-13.666667,-2.314232,2
33,2.973961,8.740741,6.444445,-6.222222,-2.056119,5
124,0.311111,6.185185,7.666666,-7.888889,-0.95784,1
115,2.936362,7.555555,3.555556,-4,-2.390992,3
117,0.860663,39.037037,33.555557,-15.777778,-2.106235,4
182,9.218522,34.925926,31.444445,-13.444445,-2.001125,6
161,99.63333,42.37037,36.88889,-11.444445,-2.395566,6
158,1.048807,39.333332,35.555557,-13,-2.049172,4
195,2.888676,47.74074,42.77778,-17.555555,-2.038956,6
63,5.675157,105.59259,92.666664,-14.111111,-2.375282,2
115,0.033333,1.222222,0.444444,-2.666667,-2.065536,5
56,0.107408,126.44444,116.22222,-15,-2.307657,2
18,1.289561,68.296295,59,-25.555555,-2.123641,4
87,1.746955,2.925926,1.222222,-3.111111,-2.229493,3
48,4.305036,42.074074,38.77778,-13.555555,-2.003259,4
106,53.244434,37.703705,34.11111,-13.444445,-2.010178,4
245,0.507408,16.11111,11.888889,16,2.432783,7
154,0.02963,0.074074,0,-0.222222,-2.094395,5
122,1.996293,20.148148,14.222222,-15.111111,-2.06017,3
108,1.563473,58.074074,52.666668,-18.222221,-2.053869,4
177,27.333357,32.88889,29,-11.666667,-2.10084,6
89,0.285185,22.666666,16.444445,-14,-2.188149,5
34,0.779362,47.592594,41.11111,-17.777779,-2.122875,4
141,0.182574,0.777778,0,-2.333333,-2.094395,5
