@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13,15,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
86,3.555556,17.88889,19.222221,-1.60859,1
89,0.333333,14.222222,23.333334,-2.113032,5
116,1.111111,25,26.666666,-2.090781,4
249,2.666667,27.555555,-4.888889,2.28263,7
80,16.666666,21.88889,24.11111,-2.431513,3
168,0.666666,31.444445,-6.333334,2.302124,7
135,0.833332,62.22222,41.88889,-2.024945,4
133,0.222222,0.111111,3.111111,-1.999063,5
152,0,0,0,0,5
61,0.833333,17.88889,20.777779,-1.700913,1
120,1.277779,53.88889,27.88889,-1.892977,4
44,1,90.55556,67.333336,-2.254541,2
30,0.611109,107,53.333332,-2.405295,2
110,0.444444,28.333334,23.11111,-2.187242,5
76,1.333333,79.111115,79.44444,-2.208019,2
88,0.944445,1.444444,11,-2.269545,3
222,1.166667,16.11111,-11.444445,1.870487,7
148,0,0,0,0,5
31,0.666664,133,27.11111,-2.251504,2
91,2.555556,14.888889,14.444445,-1.55225,1
233,1.722223,33.444447,-5.111111,2.38935,7
136,2.111111,9,26.11111,-2.268991,3
36,1.055556,108.888885,55.22222,-2.362237,2
119,1.222222,6.333334,15.111111,-2.142708,5
194,4.611112,52.77778,46,-2.060549,6
77,1.555555,53.11111,35.333332,-2.030875,4
133,0.055556,0,1.777778,-2.094395,5
127,8.555555,36,22.444445,-1.908348,4
30,1.222223,108.888885,50.555557,-2.385308,2
62,1.111112,121.111115,40.11111,-2.315962,2
98,1.888889,15.777778,15,-1.528895,1
93,1.055556,10.444445,25.444445,-2.137493,5
192,5.944445,52.555557,46.88889,-2.055457,6
159,14.833333,32.333336,28.777779,-2.316872,6
124,0.222222,0,6.444445,-2.094395,3
62,1.166668,121.55556,41.555557,-2.275425,2
210,1.555556,17.444445,-2.888889,2.42875,7
130,0.277778,0,4.666666,-2.094395,3
124,0.388889,3.333333,3.888889,-1.02473,1
65,2,120,48,-2.273744,2
93,1.5,3.666667,13,-2.329423,3
226,1.111111,24.222221,-6.666666,2.27303,7
98,1.666667,82.77778,73.666664,-2.238522,2
195,2.999999,42.555557,34,-2.081095,6
127,1.666667,39,36.22222,-2.061036,4
111,0.5,2.888889,4.666666,-1.181388,1
54,2.722222,18.444445,23.88889,-1.760752,1
131,0,0,0,0,3
181,1.277778,24,-2.555556,2.458471,7
90,1.277777,58.11111,43.77778,-2.108813,4
98,5.944444,29.88889,21.11111,-1.96031,4
248,2.111111,32.333336,-5.333334,2.285098,7
137,0.666667,1.444444,9.666667,-2.075071,5
220,3.666667,11.555555,-5.222222,2.09315,7
218,1.611111,19.11111,-3.444444,2.362146,7
190,1.555556,44.11111,35.666668,-2.048697,6
113,2.944444,15.333333,15.555555,-1.585609,1
21,5.222221,35.77778,25.777779,-1.990806,4
95,7.055555,41.333336,28.444445,-1.970802,4
131,1.333333,3,2.333333,-0.850783,1
126,0.944445,50.666668,37.88889,-2.006029,4
186,3.555556,30.777779,25.777779,-2.060122,6
187,3.055555,41.555557,34.11111,-1.947472,6
115,2.222223,12.222222,15.666667,-1.54801,1
110,0.5,0.444444,9.222222,-2.152507,3
110,2.722222,4,7.444445,-2.618651,3
58,1.444444,117.55556,49.555557,-2.357271,2
159,14.833333,32.333336,28.777779,-2.316872,6
68,0.166667,1.888889,1.777778,-1.861154,5
95,0.888891,47.77778,48.11111,-2.107858,4
215,3.388889,21.444445,-4.555555,2.266094,7
196,2.222222,54.11111,42.22222,-2.048736,6
111,4.111111,3.333333,12.666667,-2.216473,3
142,1.722222,2.444444,1.222222,-0.675123,1
45,2.055555,47.333332,32.11111,-2.045905,4
183,2,23,-2.333333,2.483198,7
132,0.944444,3.555556,1.444444,-0.726018,1
80,16.666666,21.88889,24.11111,-2.431513,3
233,1.777778,15.777778,-2.111111,2.476615,7
62,3.388889,20.666668,30.88889,-1.888408,1
102,0.888889,51.555557,34.333332,-1.985584,4
208,2.444444,20,-7.666666,2.112617,7
124,0.555556,0.555556,4.888889,-2.18129,3
138,1.055553,62,39.22222,-1.999045,4
123,0.166667,0,6.888889,-2.094395,3
46,2.222221,54.666668,50.333332,-2.152304,4
76,15,27.333334,10.888889,-1.903624,4
92,0.555555,13.111111,25.555555,-2.11184,5
140,0.277778,3.555556,11.666667,-2.072268,5
32,1.777779,121.333336,48,-2.333746,2
78,0.777779,131,34.333332,-2.225537,2
175,3.444445,50,44.666668,-2.063776,6
134,1.055556,0.888889,10.333333,-2.071242,5
111,1.333333,13.888889,10.777778,-1.333792,1
74,1.388889,15.555555,17.222221,-1.554234,1
195,4.111111,41.77778,33.555557,-2.052705,6
144,0.611111,0.888889,12.111111,-2.212162,3
87,44.722225,64.55556,34.666668,-2.422127,3
154,0.777778,0.666667,5.444445,-1.988202,5
126,1.222222,0.555556,6.111111,-2.107303,3
126,0.944444,2.555556,7.333334,-2.536514,3
32,2.611109,132.77779,30.11111,-2.280755,2
57,9.277778,13.888889,16.555555,-2.370613,5
137,1,5.888889,18.777779,-2.360782,3
248,3.166667,18.222221,-7.222222,1.783512,7
81,9.222222,19.444445,27.666666,-2.438409,3
95,2.499999,16,15.333333,-1.555549,1
182,0.722223,23.333334,-10.777778,1.937594,7
181,3.000001,40.77778,30,-1.949088,6
132,0.388889,0.444444,6.444445,-2.204847,3
180,3.111111,42.555557,31.333334,-1.996042,6
73,9.444445,26.222221,67.888885,-2.255561,3
69,0.722223,34,9.777778,-1.640134,4
176,3.444444,46.22222,42,-2.052258,6
81,1.333333,17,18.222221,-1.606794,1
181,2.555556,52.555557,45.11111,-2.044563,6
81,5.722223,10.888889,19.222221,-2.388561,3
248,3.222223,26.444445,-8.666667,2.205099,7
77,7.722223,30.444445,14.666667,-2.12336,4
163,18.888887,36.555557,24.777779,-2.395213,6
94,0.888888,60.555557,43.666668,-2.068537,4
130,1.277778,0.777778,4.111111,-1.959823,5
189,2.111111,50.77778,44.11111,-2.048058,6
191,1.444445,53.555557,45,-2.041277,6
189,12.388889,20.333334,17.222221,-2.01975,6
57,1.388891,131.22223,32.666668,-2.187422,2
224,3.055556,27.555555,-7.444445,2.304153,7
138,0.833333,3.333333,2.444444,-0.862108,1
155,10.777778,5.555555,11.111111,-2.115567,5
123,2.999999,39.555557,26.88889,-1.978328,4
84,0.388889,13.555555,23,-2.143897,5
134,0.833333,0.333333,7,-2.013143,5
62,1.000001,91.888885,65.333336,-2.277142,2
109,0.388889,18.333334,20.777779,-2.082762,5
129,0,0,0,0,5
172,6.666666,39.333336,29.666666,-2.052453,6
89,2.555556,14.222222,14.777778,-1.544214,1
104,1.833335,94.44444,58.11111,-2.326201,2
161,10.499999,37.333336,28.88889,-2.316506,6
30,0.611111,120.111115,46.77778,-2.295989,2
109,2,4.777778,12,-2.413992,3
154,3.833333,43.555557,39.88889,-2.033077,4
55,1.777777,17.555555,23,-1.771163,1
35,0.388889,10.888889,17.222221,-2.153332,5
77,0.666667,52.22222,44.666668,-2.143048,4
15,1.888888,125.44444,45.555557,-2.32497,2
119,1.055556,0.333333,6,-2.133095,3
20,0.833333,120.44444,46.666668,-2.348006,2
94,0.555556,11.666667,25.222221,-2.142756,5
215,2.555556,24.555555,-7.888889,2.224013,7
163,18.777777,38,24.555555,-2.388454,6
190,2.611111,26.555555,-8.333333,2.204408,7
100,1.222222,15.555555,14.777778,-1.477019,1
83,2.333333,4.666667,16.88889,-2.345005,3
185,3.111111,41.333336,31.222221,-1.937924,6
67,2.444445,14.555555,17.666666,-1.623202,1
89,0.944444,2.666667,13.555555,-2.065342,5
176,2.722222,29,-8.888889,2.126901,7
124,2.444445,48.333332,32.666668,-2.030079,4
40,0.666667,105.77778,56.88889,-2.419456,2
135,0.666667,2,1.888889,-0.807848,1
134,0.944444,0.666667,7.666666,-2.013143,5
45,1,93.111115,67.888885,-2.238324,2
116,0.833333,0.666667,9.111111,-2.163434,3
182,3,47.555557,39.11111,-1.989221,6
29,1.388891,123.666664,42.88889,-2.29776,2
200,2.5,49.11111,40.666668,-2.015374,6
160,1.555555,36.666668,37.555557,-2.102318,6
241,1.166667,11.888889,-3.777778,2.277351,7
229,2.444445,18.777779,-7.777778,2.099905,7
195,0.611111,20.333334,-8.111111,1.94304,7
137,0.277778,0,8.222222,-2.094395,5
147,0.722222,3.222222,9.555555,-1.50837,1
149,0.666666,13.222222,20.88889,-2.069251,4
