@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,13,15,19-20'

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
129,0,3.111111,-2.094395,3
165,16.777779,-0.555556,2.593543,7
133,3.888889,3.333333,-0.924817,1
120,13.555555,42.11111,-2.231261,3
196,18.11111,-8.777778,1.956772,7
183,21,-8.777778,2.075874,7
140,2.888889,1.666667,-0.783647,1
155,11.333333,13,-1.797435,5
113,129,37.666668,-2.309551,2
145,2,4.444445,-2.569768,3
98,17.222223,26.777779,-2.118236,5
90,15.777778,26.555555,-2.101515,5
198,20.777779,-4.777778,2.32489,7
21,122.666664,45.333332,-2.370372,2
133,18.666668,13,-1.90381,4
17,39.444443,28.222221,-2.030048,4
166,16.777779,-3.777778,2.264277,7
90,18.666668,22.11111,-1.705942,1
233,19.555555,-9.444445,1.950405,7
133,32,28.666666,-2.091572,4
22,132.88889,30.777779,-2.146204,2
38,11.222222,22.666666,-2.193098,5
68,4.666667,10.333333,-1.780255,5
62,120.77778,42.333332,-2.314232,2
33,6.666666,13.111111,-2.056119,5
124,3.555556,3.444444,-0.95784,1
115,6.222222,16,-2.390992,3
117,33.77778,32.22222,-2.106235,4
182,30.444445,23.88889,-2.001125,6
161,38.555557,27.88889,-2.395566,6
158,35,24.333334,-2.049172,4
195,41.88889,32.444443,-2.038956,6
63,100.888885,52.88889,-2.375282,2
115,0.333333,5,-2.065536,5
56,121.44444,45.666668,-2.307657,2
18,59.77778,53.444443,-2.123641,4
87,1.888889,8.222222,-2.229493,3
48,37.555557,23.444445,-2.003259,4
106,33.22222,24.222221,-2.010178,4
245,21.444445,-3.333333,2.432783,7
154,0,0.444444,-2.094395,5
122,15.111111,32.88889,-2.06017,3
108,52,34.444443,-2.053869,4
177,29,23.333334,-2.10084,6
89,18,32.666668,-2.188149,5
34,41.666668,37.22222,-2.122875,4
141,0,4.666666,-2.094395,5
