@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R9,19-20'

@attribute Hedge-sd numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
488.02975,-2.416817,3
1.405018,2.292736,7
4.435546,-2.081891,6
93.98522,-2.38829,6
0.620633,1.877146,7
1.048809,-2.367282,2
3.208784,-2.110233,4
4.091997,-2.045943,6
2.518818,-1.974394,6
1.055555,-2.007117,4
0.507407,-1.065066,1
0.211111,-2.27511,2
0.562963,-1.783388,1
36.12222,-2.326257,3
2.480293,-2.116733,6
0.077778,-2.220553,2
1.047041,1.798302,7
48.8889,-2.384441,6
1.1,2.252368,7
3.807407,1.917421,7
0.505525,2.206642,7
0.349603,-2.408019,2
0.562963,-2.097815,2
1.455513,1.940832,7
0,0,5
3.262964,-2.165731,4
0.272165,-2.187242,5
10.4,2.274128,7
1.096297,-1.18068,1
3.83792,-2.107311,5
1.725624,-2.102295,5
0.250924,-1.989546,5
0.888194,-2.519165,3
2.870668,-2.021784,6
0.177779,-2.083043,4
0.711111,-1.986567,4
70.02964,-2.418074,3
0.800464,-2.376054,2
2.526893,-2.028618,6
8.66859,-2.295381,3
1.0256,-2.145323,4
1.224745,-2.303991,2
3.344425,-2.070717,6
0.074074,-1.670314,1
63.35185,-2.183125,6
0.062963,-2.094395,3
0.374074,-0.57094,1
1.455556,2.190305,7
0.172133,-2.160912,5
0,0,5
1.356739,-2.334512,2
1.307409,-1.541502,1
0.574134,-2.313534,3
0.062963,-2.11372,3
0,0,5
1.574082,-2.29776,2
2.433334,2.170543,7
0.018519,-2.094395,3
0,0,5
1.264912,-2.043399,6
0.836659,-2.078154,4
0.421637,-2.354617,3
1.424651,2.544142,7
1.090362,-2.094395,5
0.836659,-2.042422,4
0.533334,-2.246316,2
2.55185,-1.836328,1
1.277778,-2.174468,4
1.796296,-2.18361,3
0.151852,-0.889024,1
0.074074,-1.921217,5
2.562962,2.259398,7
3.244499,-2.392741,6
44.374123,-1.942179,4
2.596295,2.401137,7
1.108887,2.835614,7
2.290076,-2.368082,2
2.166668,-1.634396,1
0.344266,-2.139002,4
0.488889,-2.237562,3
0.54433,-2.371807,2
7.61852,2.604303,7
0.829629,2.033629,7
0.374079,-2.214612,2
0.699206,-2.166151,4
5.86667,-1.610448,1
0.033333,-1.931332,5
1.709451,-2.063044,6
1.662962,-2.1343,4
1.1,-2.417517,3
1.333332,-2.390383,2
1.011049,-2.129523,4
0.088889,-2.15274,5
0.785185,1.938468,7
0.02963,-0.877707,1
3.124574,-2.075226,6
0.151852,-2.270225,2
0.772203,-2.434692,2
7.574073,-2.173204,3
1.040741,-1.785147,1
3.275611,-2.033505,6
0.166667,-1.997796,5
0.712325,-2.007606,5
0.062963,-2.132635,3
2.051197,-1.904978,6
2.561829,-1.992052,6
0.488889,-1.741254,1
0.8,-2.118223,4
0.666667,-2.094395,5
1.730981,-2.138762,4
0.562963,-2.097815,2
5.051852,-2.521648,2
2.825808,-2.001558,6
