@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13,20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
194,3.222223,53.666668,6
17,0.888891,62.88889,4
154,2.333333,15.666667,4
62,0,0,5
12,1.777779,123.666664,2
123,1,0.555556,3
24,1.611109,116.333336,2
194,3.833333,42.555557,6
175,2.833333,20.11111,7
137,1.111111,3.333333,1
88,2.166666,4.111111,3
50,1.055557,57.666668,4
121,6.611111,48.444443,4
187,2.111111,51.333332,6
219,2.111111,19.666668,7
29,0.777779,94.666664,2
121,2.722222,27.88889,4
50,0.944445,101.888885,2
142,0.944444,2.777778,1
96,2.777778,2.333334,3
81,5.722223,10.888889,3
135,0.222222,0,5
90,0.666667,1,3
156,2.055556,21.777779,7
12,2.333333,3.555556,5
196,2.222222,54.11111,6
184,4.166667,22.222221,7
73,2.333333,4.444445,3
162,11.666667,39.22222,6
122,0.5,3.444444,1
25,0.999996,121.55556,2
190,6.111111,51,6
125,0.666667,3.555556,1
194,2.055556,25.333334,7
15,0.666668,109.111115,2
60,2.444445,16.555555,1
115,3.333333,13,3
121,2.055556,11.888889,3
139,2.111111,15.666667,3
108,6.833332,35.77778,4
108,0.944444,16.555555,1
106,0.111111,0,3
112,0.555555,25.777779,5
141,0,0,5
51,0.833335,117.44444,2
204,1.888889,25.555555,7
189,11.722221,22.88889,6
236,1.722222,18.666668,7
247,2.222222,15.888889,7
58,1.000001,117.111115,2
34,1.388888,120.77778,2
92,2,14.555555,1
70,0.777777,52.88889,4
81,1.055557,79.111115,2
83,5.833334,6.666666,5
97,0.555555,0.666667,3
192,4.388889,39.22222,6
67,1.499999,53.333332,4
86,1.222222,20.222221,1
71,0.888888,116.77778,2
147,1.333333,4.555555,4
140,1,3.777778,1
198,4.833334,52.22222,6
173,3.611111,47.444443,6
25,1.111111,123.888885,2
39,1.111111,123.111115,2
115,0.333333,4,1
127,0.222222,0,3
197,2.388889,15.333333,7
195,2,41.22222,6
119,1.333333,4.222222,3
114,1,3.666667,1
235,2.722222,19.222221,7
104,1.5,13.666667,1
196,1,20.444445,7
191,2.333333,43.11111,6
182,7,35,6
159,15.72222,31.88889,6
125,2.111111,58.555557,4
245,3.166667,7,7
101,0.611109,131.11111,2
31,5.055555,8.888889,5
190,1.611111,43,6
64,1.388889,17.666668,1
154,0.666666,27.333334,4
182,2.944445,37.88889,6
217,1.666667,17,7
29,1.055553,123.22222,2
131,0,0,5
47,0.666667,87.333336,2
111,0.555555,25.777779,5
156,2,28.333334,7
182,4.166666,49.666668,6
116,2.111111,2.111111,3
218,1.166667,17.777779,7
64,1.333331,103.77778,2
145,1,22.777779,4
33,0.500001,106.333336,2
92,0.777778,7.222222,5
185,6.222221,28.777779,6
196,2.388889,19.555555,7
149,0.722222,3.555556,1
118,1.222222,16.11111,5
124,0.277778,0,3
55,1.166668,119.111115,2
216,0.833333,11.111111,7
142,0.111111,0,5
99,1.722222,47.77778,4
240,3.388889,28.11111,7
135,0.277778,1,5
212,1.833333,17.88889,7
117,0.611111,0.222222,3
152,0,0,5
193,4.611111,36.11111,6
110,2.666667,13.444445,1
116,0.555555,41.555557,4
136,1,3.777778,1
61,0.555556,103.77778,2
169,1,32,7
125,2.444445,50.666668,4
127,15.388888,32.666668,4
103,2.944445,3.444444,3
54,1.722223,103.666664,2
32,0.833334,53.333332,4
65,1.222221,52.77778,4
40,1.333332,118.888885,2
80,1.444445,87.22222,2
91,0.833333,1.222222,3
138,0.833333,3.333333,1
54,0.944444,108.77778,2
75,26.611113,52.11111,3
139,0.222222,0,5
167,1.5,24.666666,7
115,0.722221,41.444443,4
109,2.833333,3,3
120,2.222222,18.444445,5
180,3,27.222221,7
42,1.333334,51.444443,4
99,2.777778,5.222222,3
124,1.888889,37.444443,4
122,0.5,3.888889,1
59,1.055556,121.44444,2
95,1.055556,2.444444,3
155,10.777778,5.555555,5
82,2.722222,12.444445,5
222,1.777778,17.555555,7
23,1.166665,119.77778,2
216,2.166666,19.11111,7
73,10.722222,37.77778,3
87,2.722222,12.777778,1
123,0.444444,2.333334,1
66,5.277777,38,4
116,0.333333,3.111111,1
102,1.166667,51,4
236,2,17.222223,7
160,2.166668,37.555557,6
201,4.444444,51,6
28,0.833333,54.666668,4
139,1.833334,41.666668,4
138,0.722222,1.666667,5
108,0.666667,13.777778,5
116,1.222222,2.222222,3
102,1.333333,15.444445,1
