@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10-12,16,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
191,47,0.385188,135.74074,129,146.33334,-11.555555,2
103,125,0.827759,1.777778,0.444444,3.888889,-2.333333,3
148,192,2.180723,58.11111,51.77778,72,-22.666666,6
127,120,0.477778,1.518519,0.111111,4.111111,-3.555556,3
68,103,0.577778,2.148148,0.111111,5.666666,-4.444445,3
180,179,2.507411,35.48148,31.333334,44.11111,-13.444445,6
149,92,0.562964,23.666666,23.11111,30.333334,-18.333334,1
91,115,1.440742,19.925926,20.555555,24.11111,-14.444445,1
32,240,1.540803,12.148149,9.777778,9.333334,15.555555,7
161,89,5.116423,3.111111,2.888889,3.777778,-1.333333,5
71,197,1.854924,55.444443,49.11111,69.55556,-23.333334,6
118,38,0.58373,124.85185,113.333336,141.66667,-15.888889,2
95,141,0.240741,1.555556,0.111111,3.666667,-2,3
189,142,0,0,0,0,0,5
63,179,0.222222,11.814815,9.777778,9.444445,13.222222,7
26,211,1.466667,16.37037,13.777778,14.666667,12.888889,7
152,199,0.518519,17.962963,15.222222,15.444445,15.777778,7
201,92,0.211111,90.333336,74.888885,115.44444,-29,2
200,165,3.974076,17.333334,12.888889,16.444445,16,7
33,99,1.259041,15.481482,11.222222,23.777779,-12.111111,5
187,36,0.250924,7.518518,4.777778,13,-8.222222,5
140,73,0.82776,46.296295,45.666668,51.11111,-12.555555,4
30,91,6.462962,6.259259,2.444444,12.111111,-6.111111,3
23,188,0.488888,30.592592,27.444445,37.77778,-12.111111,6
231,124,14.962965,3,1.444444,5.888889,-4,3
113,128,0.074074,0.740741,0,2.222222,-2.222222,3
178,185,1.806368,49.037037,44,60.666668,-19.777779,6
189,68,1.619327,38.592594,38.333336,42.333336,-10.444445,4
151,143,0.062963,5.666666,7.555555,6.444445,-8,1
88,115,1.822221,22.037037,21.333334,28,-15.777778,1
46,88,1.366667,3.296296,0.666667,7.666666,-5.222222,3
44,162,0.455421,24.518518,19.555555,24.11111,16.11111,7
42,57,0.975628,65.703705,59.444443,79.44444,-22.444445,4
13,103,0.596296,16.148148,17.666668,19.11111,-13.444445,1
22,60,0.3,19.925926,19.333334,25.777779,-15.777778,1
200,250,1.420746,9.222222,6.555555,7.333334,13.666667,7
221,195,1.408966,14.740741,11.666667,12.444445,16.11111,7
243,48,0.207406,134.85185,127.55556,146.11111,-11.888889,2
162,159,0.960324,26.11111,25.222221,29.555555,-7.666666,4
34,93,0.272165,14.814815,10.444445,23.444445,-12.777778,5
238,211,0.490654,20.518518,16.11111,19.222221,17.11111,7
79,58,0.534027,109.07407,96.333336,126.44444,-13.888889,2
146,124,0.166667,6.037037,7.444445,7.333334,-8.111111,1
36,207,3.179215,56.814816,50.444443,70.111115,-20.777779,6
16,246,1.085185,9.407408,9.555555,10.111111,-2.555556,7
43,152,1.707408,1.518519,1,2.888889,-2.555556,5
116,184,2.118519,31.703703,28.777779,38,-10.111111,6
210,232,1.206464,8.814815,6.555555,7.222222,11.555555,7
29,111,0.240741,5.407407,6.888889,6.333334,-7.222222,1
83,133,2.139573,48.666668,41.555557,62.555557,-20.333334,4
241,90,23.377783,9,4.777778,15.666667,-7.333334,3
240,58,0.774072,92.703705,76.888885,118.55556,-30.11111,2
212,81,0.107409,92.18519,77.22222,118.44444,-33.88889,2
41,61,1.574074,21.74074,20.333334,28.777779,-16.88889,1
89,68,3.040739,17.703703,17.666668,23,-15.777778,1
62,26,0.272165,112.22222,98.333336,130.88889,-14.333333,2
230,180,0.518518,13.851851,9.666667,13.111111,14.777778,7
127,143,0.122222,4.185185,0.888889,9.444445,-5.888889,3
59,141,1.540803,12.666667,7.888889,18.555555,-3.333333,3
239,123,0.077778,1.518519,0,4.222222,-3.555556,3
138,133,0.444444,6.444445,7.777778,7.888889,-8.333333,1
118,126,0.4,20.555555,16.11111,28.666666,-11,4
210,114,1.307407,16.185184,11.444445,25,-12.222222,5
183,185,1.424649,44.962963,40.666668,55,-17.222221,6
76,64,5.496297,23.62963,21.777779,31.222221,-17.222221,1
78,72,1.00741,125.55556,115.333336,140.55556,-14.333333,2
174,188,2.880329,50.407406,45.444443,62,-19.88889,6
51,237,2.535671,14.148149,11.111111,13,12.555555,7
187,75,0.91084,39.703705,35.77778,48.22222,-13.777778,4
191,101,0.779363,45.037037,39,57.11111,-18.11111,4
177,130,0.136083,1.185185,0.666667,2.888889,-3.555556,5
223,185,0.349603,12.962963,11.555555,9.777778,13.777778,7
212,48,0.251852,122.37037,112.22222,138.11111,-16.777779,2
100,111,0.907407,19.925926,19.777779,24.88889,-14.444445,1
222,38,0.403687,113.48148,100.44444,131.44444,-14.777778,2
151,138,0.074074,5.444445,7,6.333334,-7.333334,1
66,101,0.329629,19.037037,19.666668,23.555555,-15.444445,1
189,124,0.951853,38.592594,35.88889,46.22222,-14.777778,4
45,126,3.870114,10.185185,4.888889,17.222223,-5.222222,3
124,191,2.738614,59.74074,52.88889,74.77778,-24.555555,6
80,83,1.77778,49.444443,45.666668,58.666668,-16.333334,4
198,185,1.229272,50.22222,45.444443,61.333332,-19,6
72,235,1.748015,15.074074,12,15,9.444445,7
102,203,0.760117,9.777778,7.444445,6.444445,17,7
194,118,0.118518,6.259259,7.555555,7.666666,-8.111111,1
99,156,2.640739,21,16.777779,29.222221,-12,4
205,83,688.0741,23.296297,19.777779,28.555555,-5.222222,3
205,82,1.148267,15.222222,11.888889,21.666666,-9.333333,5
217,45,0.207408,121.51852,111.111115,137.33334,-16.222221,2
226,131,0,0,0,0,0,5
2,171,1.218681,45.77778,41,56.333332,-17.333334,6
104,112,0.250924,59.148148,52.22222,73.333336,-21.777779,4
94,13,0.507406,141.59259,134.88889,149.88889,-4.777778,2
121,55,2.877772,103.07407,90,124.111115,-23.88889,2
114,102,1.22963,4.037037,1,8.444445,-4.111111,3
216,15,0.340743,106.51852,90.888885,131.11111,-26.88889,2
189,62,0.250924,7.62963,5,13.111111,-8.555555,5
225,143,0.207407,5.444445,6.777778,6.777778,-8,1
24,188,1.218519,30.62963,27.333334,38,-12.222222,6
247,174,2.68052,56.185184,49.444443,70.88889,-23.88889,6
109,100,0.490655,57.148148,51.555557,69.66667,-20.777779,4
230,124,0.107407,0.666667,0,2,-2,3
76,249,2.062964,13.37037,12.222222,13.111111,4.222222,7
14,90,2.435083,5,2.555556,7.333334,0.333333,3
182,186,2.043961,48.444443,43.77778,59.88889,-20.333334,6
190,136,1.529629,4.851852,2.888889,8.555555,-5.222222,4
116,245,0.551851,14.222222,11.111111,13.111111,12.666667,7
194,183,0.583731,54.74074,49.22222,67.77778,-22.555555,6
35,62,0.518519,21.222221,20.777779,27.222221,-16.666666,1
221,201,1.128748,19.148148,14.666667,17.666668,17.88889,7
9,130,0.018519,1.740741,1,3.222222,-2.222222,5
252,71,0.329628,89.14815,72.77778,115.55556,-30.11111,2
178,183,2.398302,55.74074,49.666668,69.66667,-23.555555,6
216,126,0.207407,4.925926,6.444445,5.777778,-7.111111,1
58,109,0.251852,4.296296,1.444444,8.444445,-3.888889,3
206,105,0.062963,50.185184,45.666668,60.88889,-18.555555,4
121,112,1.769076,23.703703,19.444445,32.333336,-13.111111,5
201,191,0.760117,49.185184,44.666668,59.77778,-18.222221,6
90,134,0.018519,2.111111,1,4.666667,-4.333334,5
86,197,1.451691,63.22222,56.22222,77.77778,-22.666666,6
137,147,1.274076,27.222221,20.555555,38.666668,-14.333333,4
236,115,3.662964,14.740741,10.666667,22.222221,-10.222222,5
219,132,0.655462,35.22222,29.555555,45.666668,-14.333333,4
75,240,1.951258,21.148148,17,17.88889,22.222221,7
97,63,0.443052,108.92593,96.22222,126.111115,-13.444445,2
219,80,0.32963,39.703705,36.333336,48.22222,-15.444445,4
219,176,1.857917,60.296295,53.333332,75.66667,-25.222221,6
112,102,0.207407,3.37037,0.555556,7.666666,-4.444445,3
163,166,1.096297,16.962963,12.333333,16.333334,15.777778,7
18,142,0.651852,0.555556,0.111111,1.333333,-1,3
247,108,0.611616,14.518518,11.333333,20.555555,-8.555555,5
229,102,0.720082,42.77778,37,54.444443,-17.666666,4
2,88,7.218519,7.777778,3.555556,13.333333,-4,3
85,223,1.047042,14.740741,12.666667,11.555555,15.777778,7
34,137,0.166667,5.851852,7.777778,6.444445,-7.555555,1
188,190,0.975629,48.88889,44.22222,60,-19.333334,6
3,78,356.16672,79.666664,70.77778,91.44444,-8.666667,3
238,55,0.490652,113.666664,101,132.22223,-17.666666,2
114,129,1.143417,62.407406,54.22222,78,-22.222221,4
75,49,0.388888,127.40741,117,143.11111,-15.888889,2
69,68,0.862812,56.296295,49.22222,71,-22.88889,4
94,144,0.118518,1.148148,0,3.444444,-3.444444,3
64,176,0.918938,50.77778,46,62.333332,-20.333334,6
124,101,27.97407,10.185185,5.777778,15.555555,-2.888889,3
49,40,0.421635,125.111115,114,141.55556,-16,2
119,192,2.084333,59.555557,52.555557,74.77778,-24.666666,6
76,134,1.440164,48.925926,41.88889,63.11111,-21.444445,4
220,149,0.172133,0.037037,0,0.111111,-0.111111,5
152,18,0.455422,112.111115,97.22222,130.44444,-10.333333,2
156,79,2.453267,14.185185,10.555555,20.555555,-8.222222,5
123,136,1.096296,1.111111,0.111111,3,-2.666667,3
139,185,0.632455,59.148148,52.22222,73.44444,-22.11111,6
157,85,1.241266,18.925926,14.555555,26.88889,-10.777778,5
151,89,4.577317,31.703703,27.333334,41,-14.777778,4
45,185,3.722221,18.666666,14.666667,17.11111,16.666666,7
33,90,0.408248,16.666666,11.888889,25.777779,-13,5
104,136,0.122222,6.814815,8.333334,8,-8.111111,1
90,237,1.327766,22.222221,17.555555,19.666668,21.666666,7
211,139,0.088889,5.222222,3.222222,9.555555,-7,5
121,189,2.195113,62.074074,54.77778,77.55556,-24.555555,6
26,137,0.018519,0.259259,0,0.777778,-0.777778,3
56,141,0.182574,0.185185,0,0.555556,-0.555556,5
239,174,1.445299,57.851852,50.444443,73.22222,-23.88889,6
80,72,1.003697,59,51.333332,74.44444,-23.333334,4
