@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,8,14-15,17,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
112,102,1.555556,-8.444445,12.888889,7.666666,3
163,166,2.444445,-13.888889,-1.888889,22.222221,7
18,142,0.277778,-1.333333,2.333333,1.333333,3
247,108,2.111111,-9.555555,18.11111,20.555555,5
229,102,7.944444,-17.333334,35,54.444443,4
2,88,2.5,-12.666667,16.666666,13.333333,3
85,223,1.944444,-6.222222,-9.555555,20,7
34,137,1.111111,5.777778,1.777778,7.777778,1
188,190,2.055556,-14,33.333332,60,6
3,78,43.333332,-26.666666,35.333332,91.44444,3
238,55,1,-38,55.666668,132.22223,2
114,129,0.777776,-24.555555,46.77778,78,4
75,49,1.166668,-31.222221,47.11111,143.11111,2
69,68,0.777777,-21.222221,44.11111,71,4
94,144,0.5,-3.444444,6.888889,3.444444,3
64,176,1.000001,-14.333333,34.666668,62.333332,6
124,101,6.444445,-13.222222,16.11111,15.555555,3
49,40,0.833333,-33.333332,49.333332,141.55556,2
119,192,6.166667,-21,45.666668,74.77778,6
76,134,1.444444,-21.11111,42.555557,63.11111,4
220,149,0.111111,-0.111111,0.222222,0.111111,5
152,18,0.555557,-44.666668,55,130.44444,2
156,79,4.777778,-10.888889,19.11111,20.555555,5
123,136,0.666667,-3,5.666666,3,3
139,185,1.222222,-20.777779,42.88889,73.44444,6
157,85,0.222222,-13.111111,23.88889,26.88889,5
151,89,0.722222,-13.111111,27.88889,41,4
45,185,1.944444,-12,-4.666666,24.222221,7
33,90,1.833333,-14.333333,27.333334,25.777779,5
104,136,0.666667,4.555555,3.555556,8.666667,1
90,237,2.722222,-14,-7.666666,29.444445,7
211,139,0.277778,-6,13,9.555555,5
121,189,4.944445,-21.88889,46.444443,77.55556,6
26,137,0.111111,-0.777778,1.555556,0.777778,3
56,141,0.333333,-0.555556,1.111111,0.555556,5
239,174,1.388889,-22.222221,46.11111,73.22222,6
80,72,1.444444,-23,46.333332,74.44444,4
