@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,12,15,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
204,116,2.185185,5.111111,8.777778,3
128,196,19.62963,18.555555,-3.222222,7
60,132,0.37037,1.111111,2.222222,3
194,178,33.666668,41.88889,24.666666,6
174,113,31.777779,43.77778,36,5
80,40,110.703705,129,54.88889,2
94,224,13.444445,11.888889,-4.666666,7
63,13,132.25926,145.44444,39.555557,2
208,65,56.703705,64.44444,23.222221,4
167,135,31.185184,43.11111,35.77778,5
136,77,26.407408,34.444447,24.11111,1
138,133,6.444445,7.888889,4.333334,1
58,146,22.74074,31.555555,26.444445,4
77,36,111.92593,130.33334,55.22222,2
8,162,8.37037,12,10.888889,4
222,62,6.407407,11.444445,15.111111,5
151,89,31.703703,41,27.88889,4
244,194,49.74074,61.666668,35.77778,6
123,194,60.814816,74.888885,42.22222,6
59,99,2.037037,5.555555,10.555555,3
58,48,40.851852,52.444443,34.77778,4
221,35,98.74074,122.55556,71.44444,2
127,57,124.25926,140.33334,48.22222,2
8,199,15,11.777778,-9.666667,7
17,204,57.25926,71.22222,41.88889,6
228,90,16.851852,24.444445,22.777779,5
236,42,135.2963,146.44444,33.444443,2
14,60,19.333334,24.777779,16.333334,1
21,53,21.555555,27.444445,17.666666,1
44,20,113.85185,132.33334,55.444443,2
225,91,3.666667,8,13,3
183,91,14.444445,21,19.666666,5
179,150,18.925926,20,3.222222,7
158,151,19,18.333334,-2,7
71,125,16.407408,23.666666,21.777779,3
118,111,62.25926,75.333336,39.22222,4
215,193,45.22222,55.333332,30.333334,6
126,20,126.55556,142.33334,47.333332,2
223,161,42.037037,52.22222,30.555555,6
