@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,12-13,20'

@attribute Region-centroid-row numeric
@attribute Rawblue-mean numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
125,7.666666,3.555556,1
194,15.333333,25.333334,7
15,132,109.111115,2
60,30,16.555555,1
115,22.88889,13,3
121,23.444445,11.888889,3
139,22.555555,15.666667,3
108,48.22222,35.77778,4
108,28.222221,16.555555,1
106,1.666667,0,3
112,36.22222,25.777779,5
141,0,0,5
51,140.77779,117.44444,2
204,17.11111,25.555555,7
189,33,22.88889,6
236,12.444445,18.666668,7
247,12.444445,15.888889,7
58,138.77779,117.111115,2
34,142,120.77778,2
92,23.333334,14.555555,1
70,77,52.88889,4
81,116.44444,79.111115,2
83,17,6.666666,5
97,5.555555,0.666667,3
192,58.11111,39.22222,6
67,75.888885,53.333332,4
86,35,20.222221,1
71,138.33334,116.77778,2
147,8.444445,4.555555,4
140,7.333334,3.777778,1
198,74,52.22222,6
173,69.55556,47.444443,6
25,142.33334,123.888885,2
39,142.88889,123.111115,2
115,8.555555,4,1
127,1.888889,0,3
197,12.777778,15.333333,7
195,57.333332,41.22222,6
119,6.777778,4.222222,3
114,7.444445,3.666667,1
235,15.888889,19.222221,7
104,23.222221,13.666667,1
196,11.444445,20.444445,7
191,60.555557,43.11111,6
182,47.333332,35,6
159,45,31.88889,6
125,79.111115,58.555557,4
245,6,7,7
101,147.22223,131.11111,2
31,16.555555,8.888889,5
190,60.666668,43,6
64,31.88889,17.666668,1
154,46.555557,27.333334,4
182,52.555557,37.88889,6
217,9,17,7
29,142.88889,123.22222,2
131,0,0,5
47,121.44444,87.333336,2
111,35.88889,25.777779,5
156,25.444445,28.333334,7
182,72.44444,49.666668,6
116,6,2.111111,3
218,12.666667,17.777779,7
64,126.22222,103.77778,2
145,33.333336,22.777779,4
33,128.66667,106.333336,2
92,15.555555,7.222222,5
185,39.666668,28.777779,6
196,15.111111,19.555555,7
149,8.666667,3.555556,1
118,26.555555,16.11111,5
124,2,0,3
55,139.33334,119.111115,2
216,5,11.111111,7
142,0.333333,0,5
99,56,47.77778,4
240,19.777779,28.11111,7
135,6,1,5
212,9,17.88889,7
117,3.555556,0.222222,3
152,0,0,5
193,50,36.11111,6
110,21.444445,13.444445,1
116,56.555557,41.555557,4
136,7.222222,3.777778,1
61,128.33334,103.77778,2
169,25,32,7
125,73.77778,50.666668,4
127,41,32.666668,4
103,6.222222,3.444444,3
54,126.111115,103.666664,2
32,70.88889,53.333332,4
65,73.888885,52.77778,4
40,140.55556,118.888885,2
80,119.333336,87.22222,2
91,8,1.222222,3
138,6.555555,3.333333,1
54,132.44444,108.77778,2
75,65.44444,52.11111,3
139,3.222222,0,5
167,15.666667,24.666666,7
115,56.333332,41.444443,4
109,8.444445,3,3
120,28.666666,18.444445,5
180,21.444445,27.222221,7
42,74.55556,51.444443,4
99,11.555555,5.222222,3
124,56.333332,37.444443,4
122,7.222222,3.888889,1
59,140.44444,121.44444,2
95,7.222222,2.444444,3
155,11,5.555555,5
82,22.444445,12.444445,5
222,13.666667,17.555555,7
23,141.66667,119.77778,2
216,13.666667,19.11111,7
73,70.111115,37.77778,3
87,21,12.777778,1
123,5.333334,2.333334,1
66,46.333332,38,4
116,7,3.111111,1
102,73.44444,51,4
236,10.777778,17.222223,7
160,57.11111,37.555557,6
201,72.22222,51,6
28,79.111115,54.666668,4
139,60.444443,41.666668,4
138,7.222222,1.666667,5
108,23.444445,13.777778,5
116,5.666666,2.222222,3
102,25,15.444445,1
