@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R12,14,20'

@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
53.666668,-17.11111,4
128.33334,-22.333334,2
53,-14.222222,4
34,-4.777778,1
31.444445,-12.222222,5
14.888889,-9.222222,7
145.55556,-20.333334,2
24.88889,0.111111,1
62.22222,-17.222221,6
3.888889,-2.555556,5
19,-15.888889,7
60.444443,-13.666667,4
51.77778,-20.333334,6
144,-32.77778,2
78.111115,-25,4
6.666666,4.777778,1
64.66667,-15.888889,4
25.444445,-19.11111,7
42.22222,-11.333333,4
58.666668,-15.111111,6
9.222222,-10.888889,3
17.333334,-9.666667,7
42.88889,-15.111111,6
21.11111,-14.111111,5
13.111111,-7.111111,5
2.333334,-1.111111,5
7.666666,-6.888889,3
117.333336,-43,2
25.11111,-2.444444,7
14.555555,-8.777778,7
7.666666,-8.444445,3
52.666668,-19.777779,3
17,-11.777778,7
71.55556,-18.222221,6
51.22222,-16.222221,6
8.111112,-5.666666,7
138.11111,-31.11111,2
66.88889,-20.333334,4
71,-18,6
61.11111,-14.333333,6
66.333336,-14.888889,4
7,3.555556,1
147.88889,-19.333334,2
11,-4,1
15.111111,-10.444445,3
67.333336,-21.333334,6
123.22222,-38.22222,2
19.11111,-4.111111,7
51.333332,-18.666666,6
14.555555,-7.555555,7
7.555555,-1.666667,7
9.777778,-8,7
128.66667,-41.444443,2
128.55556,-22.777779,2
7.666666,-5.777778,7
0,0,5
37.666668,-18.666666,4
39.333336,-13.222222,5
18.11111,-7.666666,7
8.444445,2.777778,1
22.11111,-12,5
25.11111,-10.777778,5
12.111111,-6.222222,5
6,-6.888889,3
71.44444,-19.444445,6
77.111115,-20.11111,4
76.55556,-16.222221,4
23.444445,-14.666667,3
139,-34,2
67.88889,-17.555555,6
47.22222,-34.444443,3
86.888885,-28.88889,4
140,-34,2
61,-17.777779,6
28.11111,-2.333333,1
38.77778,-11.222222,6
3,-3,3
4,4.888889,1
21.11111,-10.777778,7
26.88889,-13.111111,5
0,0,5
138.66667,-33.333332,2
23.555555,-0.111111,1
20,-17.88889,3
4.111111,-4.222222,3
0,0,5
142.77777,-28.444445,2
13.111111,-8.444445,7
0.111111,-0.111111,3
0,0,5
61.444443,-16.222221,6
89.111115,-23.666666,4
36,-28.666666,3
14,-10.333333,7
1.666667,-1.333333,5
70.88889,-15.777778,4
118.77778,-47.444443,2
34.333336,-8.222222,1
38.666668,-19.222221,4
7.222222,-7.333334,3
6.222222,4.666666,1
1.777778,-1.111111,5
6.555555,-6.222222,7
48.555557,-16.333334,6
43,-7.888889,4
14,-10.444445,7
15.666667,-10.444445,7
125.666664,-40.88889,2
28,-1.888889,1
54.11111,-18.88889,4
3.444444,-3.888889,3
126.888885,-39.22222,2
24.222221,-15.222222,7
4.888889,-4.111111,7
147.55556,-15.888889,2
76.77778,-26,4
31.222221,-1.777778,1
4.444445,-2.777778,5
60.666668,-16.88889,6
30,-13.666667,4
12.444445,-12.555555,3
134.11111,-38.333332,2
49.22222,-16.666666,4
34.666668,-14.444445,5
5.111111,-4.111111,7
6,4.666666,1
67.22222,-19.777779,6
145.88889,-20.333334,2
129,-43.444443,2
5.222222,-5.111111,3
27.333334,-5.444445,1
68,-17.88889,6
5.777778,-2.777778,5
1.777778,-1.222222,5
2,-2.111111,3
52.88889,-9.888889,6
73.333336,-18.222221,6
30,-4.111111,1
23.666666,-11.777778,4
3.333333,-0.666667,5
47.444443,-15.777778,4
128.55556,-22.777779,2
150.88889,-19.666666,2
69.111115,-17.222221,6
