@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,11,14,17,19-20'

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
147,0.222222,-0.222222,0.444444,-2.094395,5
73,115.44444,-30.222221,140.55556,-2.307396,2
125,63.22222,-18.333334,83.111115,-2.019545,4
69,19.222221,-13.777778,29.333334,-2.488979,3
98,2.333334,-9.555555,10.444445,-2.272973,3
112,12.111111,-12.222222,23.88889,-2.133313,5
232,11.222222,-10.444445,19.333334,2.402851,7
169,13.444445,-11,19.88889,2.834822,7
203,48.666668,-17.555555,67.111115,-2.046535,6
129,46.88889,-12.333333,60.666668,-1.997241,4
140,7.444445,4.333334,7.555555,-0.91962,1
134,6.444445,5.111111,6.444445,-0.730465,1
154,0.444444,-0.888889,1.555556,-1.919639,5
188,13.333333,-7.222222,19.88889,2.20467,7
180,11.111111,-7.444445,17.777779,2.212898,7
245,6.222222,-0.555556,7.222222,1.756645,7
66,41.555557,-1.666667,45.88889,-1.68385,4
96,2.111111,-9.333333,9.777778,-2.330693,3
85,45,-12.444445,59.555557,-1.95422,4
21,116.22222,-33.22222,143.11111,-2.339377,2
68,37.555557,-1.222222,41.666668,-1.659641,4
232,11.333333,-6.666666,17,2.283147,7
223,4.888889,-5.333334,10.444445,2.046588,7
144,0,-2.888889,2.888889,-2.094395,3
86,8.777778,-13.888889,19.88889,-2.363577,3
134,1,-3.333333,4.666667,-2.013143,5
32,110.22222,-33.666668,138.11111,-2.309391,2
140,0.222222,-0.555556,0.777778,-2.094395,5
64,22,-1.444444,28.88889,-1.625668,1
189,10.888889,-6.111111,18.666668,1.910864,7
141,0,-0.222222,0.222222,-2.094395,5
122,17.88889,-6,26.444445,-1.540214,3
162,37.444443,-19.88889,54.666668,-2.386671,6
89,0.777778,-3.111111,4.111111,-2.042259,5
67,0.777778,0.111111,1.111111,-1.512684,5
133,0,-1.111111,1.111111,-2.094395,5
24,117.666664,-29.88889,141.66667,-2.349252,2
220,5.333334,-3.888889,9.555555,2.030867,7
200,5.777778,-5.777778,11.444445,2.10726,7
57,24,-8.444445,36.22222,-1.837675,1
82,4.333334,-12.444445,14.555555,-2.320628,3
140,2.666667,-1.666667,5,-1.853161,5
201,6.222222,-4.666666,11.555555,1.982987,7
131,0.222222,-1.555556,1.777778,-2.094395,3
243,9.888889,-10.333333,18,2.368311,7
19,131.55556,-18.666666,146.44444,-2.358602,2
67,99.44444,-28.222221,125.55556,-2.173099,2
193,53.11111,-21,75.111115,-2.047766,6
222,8.555555,-2.333333,11.777778,1.905045,7
89,13,-12,24.555555,-2.129746,5
197,4.111111,-5.666666,9.888889,2.074957,7
94,20.666668,-1.666667,27.333334,-1.627145,1
244,6.666666,-3.222222,9.555555,2.340587,7
22,42.77778,-20.666666,62.88889,-2.123537,4
136,3.666667,-7.555555,10.666667,-2.175296,5
194,51.77778,-21.11111,72.55556,-2.112941,6
189,10.444445,-7.333334,18.777779,1.985552,7
35,96.44444,-38,125.44444,-2.420203,2
236,13.111111,-8.888889,18.555555,2.7898,7
159,5.111111,-4.555555,10.111111,-1.999443,4
198,45.555557,-18.333334,64.22222,-2.072616,6
47,114.111115,-29.222221,139.77779,-2.23989,2
100,2.777778,-9.888889,11.555555,-2.226247,3
113,16.88889,-11.888889,28.444445,-2.125693,5
184,28.444445,-8.222222,37.11111,-2.16033,6
144,0,0,0,0,5
185,29.222221,-10,39.666668,-2.085272,6
79,73.55556,-47.666668,115.333336,-2.241633,2
189,28.333334,-11.333333,40.333336,-2.037982,6
80,37.77778,-8.222222,47.666668,-1.942698,4
194,44.22222,-17.666666,62.444443,-2.064277,6
75,115.888885,-30.555555,141.22223,-2.309804,2
124,0.222222,-2.777778,2.666667,-2.16921,3
105,53.333332,-15.888889,70.333336,-2.032243,4
189,51.333332,-21.222221,72.44444,-2.101326,6
62,100.77778,-27.777779,126.333336,-2.185419,2
135,41,-19.11111,60.666668,-2.06346,4
185,49.88889,-19.11111,69.88889,-2.051056,6
21,120.77778,-28.11111,143.22223,-2.357178,2
124,1,-5.444445,5.555555,-2.284608,3
206,50.444443,-21.555555,72.111115,-2.085934,6
34,131.44444,-16.777779,146.66667,-2.2,2
150,16.222223,-13.555555,29.222221,-2.134876,4
144,0.333333,-1.111111,1.666667,-1.986938,5
72,23.777779,-7.333334,35.444447,-1.807866,1
81,1,-7.444445,7.444445,-2.248134,3
117,21.11111,-0.333333,26.333334,-1.574477,1
145,0,0,0,0,5
215,5.111111,-5.444445,11.222222,1.991157,7
91,0.888889,-9,8.111112,-2.354575,3
195,39.666668,-16.222221,55.555557,-2.118572,6
128,7.333334,4.111111,7.666666,-1.005054,1
83,19.11111,1.111111,23.333334,-1.456819,1
193,54.77778,-23.777779,78.77778,-2.084935,6
96,2.666667,-10.888889,11.888889,-2.275792,3
129,7.888889,4.666666,8.222222,-0.932783,1
135,0,-2.222222,2.111111,-2.137446,3
203,8.777778,-7.444445,16.88889,2.019747,7
39,102.55556,-32.444443,132,-2.198158,2
96,22.11111,0.666667,27.333334,-1.530686,1
154,0,-0.777778,0.777778,-2.094395,5
186,44,-12.666667,58.88889,-1.956023,6
118,7.666666,4.777778,7.666666,-0.87829,1
139,16,-6.222222,23.88889,-1.702833,3
53,112.333336,-33.333332,138.22223,-2.39327,2
198,51.88889,-19.333334,72.333336,-2.035874,6
135,20.222221,-18.666666,37,-2.211986,5
134,0.111111,-5,3.888889,-2.422506,3
138,0,-0.777778,0.666667,-2.181439,3
183,12.666667,-8.111111,21,2.075874,7
200,41.333336,-14.333333,56.555557,-2.038016,6
217,11.444445,-9.333333,18.88889,2.363871,7
185,44.11111,-11.555555,57.333332,-1.982099,6
59,109.22222,-37.444443,139,-2.364216,2
103,53.333332,-14.555555,69.55556,-1.997589,4
123,0,-4.111111,3.777778,-2.169865,3
19,115.44444,-33.666668,142.44444,-2.352834,2
196,42.11111,-15.222222,58.22222,-2.039491,6
149,14.444445,-13.666667,22.777779,2.741647,7
208,13,-11.555555,21.555555,2.483291,7
125,1.555556,-7.111111,7.777778,-2.234241,3
117,20.666668,2.333333,24.11111,-1.420087,1
201,14,-11.666667,24.777779,2.176993,7
41,95.111115,-43.77778,128.88889,-2.404745,2
112,7.111111,3.555556,7.555555,-1.058277,1
48,107.44444,-25,132.44444,-2.090557,2
186,31.11111,-11.555555,43.444443,-2.036642,6
128,6.888889,4,7.111111,-0.985811,1
240,10.888889,-9.777778,18.555555,2.392487,7
184,28.777779,-8.777778,38.333336,-2.215464,6
137,18.666668,-20,36.555557,-2.213033,5
102,22.11111,-2.888889,29.777779,-1.68544,1
120,48.22222,-8.555555,59.22222,-1.896425,4
141,7,4.777778,7,-0.843732,1
22,133,-14.888889,147,-2.158304,2
73,35.666668,-13.555555,49.77778,-2.054964,4
103,20.222221,3.777778,22.777779,-1.334127,1
190,46.88889,-17,65,-2.03483,6
91,7.555555,-13.777778,20.666668,-2.147571,5
89,23.11111,-2.333333,30.444445,-1.664008,1
129,33.11111,-14.333333,47.444443,-2.097799,4
186,46.555557,-15.666667,63.666668,-2.014102,6
134,4.666667,-6.888889,11.222222,-2.138459,5
32,48.555557,-23.444445,72.77778,-2.060607,4
75,40.333336,-2.333333,45.666668,-1.722278,4
108,5.111111,-10.666667,14.111111,-2.275553,3
196,47.333332,-18,65.66667,-2.079185,6
126,16.444445,-11,27.333334,-2.104102,4
202,12,-9.333333,18.555555,2.522748,7
121,37.444443,-10.777778,49.444443,-1.995536,4
245,13.555555,-8.444445,21.222221,2.198051,7
135,4,-6.666666,10.444445,-2.125516,5
56,26.11111,-7.555555,37.666668,-1.819915,1
32,129.77779,-19.555555,146.33334,-2.280755,2
135,6.888889,5.666666,6.888889,-0.692028,1
57,114.22222,-31.444445,139.66667,-2.34019,2
63,19.666668,-3.777778,27.777779,-1.72683,1
69,23.444445,-6.666666,34.444447,-1.79139,1
193,11.666667,-8.333333,19.11111,2.210055,7
148,21.444445,-22.88889,41.555557,-2.237972,4
114,20,0.444444,24.666666,-1.508658,1
86,13.222222,-11.777778,24.666666,-2.123611,5
191,55.333332,-23.222221,79.22222,-2.065948,6
90,41.22222,-21,61.444443,-2.131861,4
221,10.666667,-10.222222,19.11111,2.317212,7
98,18.333334,2.555556,20.777779,-1.360437,1
210,45.444443,-17.555555,64.333336,-2.020895,6
110,29.11111,-15,44.444443,-2.068653,4
56,22.11111,-4.777778,31.333334,-1.748835,1
121,0,-3.444444,3.333333,-2.132635,3
130,7.444445,5,7.555555,-0.871495,1
41,99,-39.333332,129.33334,-2.404553,2
19,121,-26.777779,142.66667,-2.340765,2
57,59.444443,-18.777779,79.44444,-2.030703,4
149,4.111111,-4.222222,8.777778,-2.009108,1
110,0.111111,-4.666666,4.444445,-2.155984,3
122,7.333334,4.444445,7.444445,-0.942559,1
177,28.444445,-12,40.333336,-2.121237,6
51,111.77778,-34.22222,138.88889,-2.368498,2
158,7,-4.333334,12.222222,-1.943449,4
135,0,-0.444444,0.444444,-2.094395,5
117,6.888889,3,7.444445,-1.179692,1
62,53.444443,-22.777779,76.22222,-2.093744,4
224,15.444445,-14.444445,27.555555,2.304153,7
201,6.222222,-4.666666,11.555555,1.982987,7
95,2.111111,-0.111111,2.555556,-1.628908,5
34,111.44444,-35.333332,140,-2.343381,2
203,47.666668,-19,67.66667,-2.040013,6
57,86.22222,-42.666668,122.22222,-2.288131,2
83,1.555556,-6.444445,6,-2.573381,3
57,76.44444,-49.444443,119.333336,-2.254208,2
151,23.11111,-22.11111,42.77778,-2.219625,4
184,11.444445,-6.555555,18.11111,2.080445,7
147,3.888889,-0.777778,7,-1.475643,1
