@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,11,A101,35,1,A201,1
A14,18,A101,30,1,A201,1
A11,20,A101,39,1,A201,1
A11,18,A101,27,1,A201,1
A12,36,A101,27,1,A201,1
A14,6,A101,34,1,A201,1
A14,12,A101,22,1,A201,1
A13,30,A101,47,1,A201,1
A14,24,A101,26,1,A201,1
A12,48,A101,30,1,A201,1
A14,18,A101,35,1,A201,1
A14,12,A101,61,1,A201,1
A14,24,A101,50,1,A201,1
A14,48,A101,46,2,A201,1
A11,24,A103,63,2,A201,1
A11,24,A101,34,1,A201,1
A12,21,A101,27,1,A201,1
A11,24,A101,64,1,A201,1
A11,48,A101,26,2,A201,1
A13,42,A101,56,1,A201,1
A12,18,A101,42,1,A201,1
A14,24,A101,54,2,A201,1
A12,48,A101,31,1,A201,1
A14,12,A101,31,1,A201,1
A14,30,A101,33,1,A201,1
A12,36,A101,24,1,A201,1
A14,24,A101,28,1,A201,1
A11,12,A101,58,1,A201,1
A14,15,A101,40,1,A201,1
A14,24,A101,26,1,A201,1
A14,6,A101,62,1,A201,1
A14,36,A101,45,1,A201,1
A14,12,A102,49,1,A201,1
A12,24,A101,26,1,A201,1
A13,30,A101,49,1,A201,1
A14,24,A101,60,1,A201,1
A14,12,A101,37,2,A201,1
A14,12,A101,24,1,A201,1
A12,8,A101,26,1,A201,1
A12,12,A101,22,1,A201,1
A14,24,A101,33,1,A201,1
A12,48,A101,24,1,A201,1
A12,7,A103,45,1,A201,1
A14,24,A101,53,1,A201,1
A14,18,A101,29,1,A201,1
A14,12,A101,34,2,A201,1
A12,12,A101,24,1,A201,1
A13,24,A101,47,1,A201,1
A14,24,A101,31,2,A201,1
A14,24,A102,27,1,A201,1
A14,13,A101,64,1,A201,1
A11,18,A101,35,2,A201,1
A12,18,A101,25,1,A201,1
A14,15,A101,47,1,A201,1
A11,12,A101,35,1,A201,1
A13,10,A101,23,1,A201,1
A14,24,A101,43,2,A201,1
A11,21,A102,24,1,A202,1
A14,36,A101,30,1,A201,1
A14,39,A101,24,1,A201,1
A11,39,A101,30,1,A201,1
A14,18,A101,32,1,A201,1
A14,4,A101,37,2,A201,1
A14,15,A101,30,1,A201,1
A13,24,A101,26,1,A201,1
A14,27,A101,27,1,A201,1
A11,30,A101,40,1,A201,1
A14,24,A101,36,2,A201,1
A14,10,A102,32,2,A201,1
A14,48,A101,37,1,A201,1
A11,42,A103,45,2,A201,1
A14,36,A101,51,1,A201,1
A14,15,A101,20,1,A201,1
A14,24,A101,43,1,A201,1
A12,12,A101,49,2,A201,1
A11,42,A102,65,1,A201,1
A11,9,A101,59,1,A201,1
A12,12,A101,36,1,A201,1
A11,6,A101,36,1,A201,1
A12,18,A103,26,2,A201,1
A13,36,A101,24,1,A201,1
A14,12,A101,49,1,A201,1
A14,24,A101,29,1,A201,1
A14,9,A101,30,1,A201,1
A14,36,A101,31,1,A201,1
A14,15,A101,33,1,A201,1
A14,30,A101,58,1,A201,1
A14,15,A101,31,1,A201,1
A11,24,A101,55,1,A201,1
A14,24,A101,35,1,A201,1
A12,18,A101,44,2,A201,1
A11,30,A103,32,1,A201,1
A14,12,A101,42,2,A201,1
A12,39,A101,32,1,A201,1
A14,28,A103,40,2,A201,1
A14,36,A101,34,1,A201,1
A14,24,A101,26,1,A201,1
A12,24,A101,42,1,A201,1
A11,47,A101,35,1,A201,1
A14,15,A101,23,1,A201,1
A13,4,A101,29,2,A202,1
A14,21,A101,31,1,A201,1
A14,15,A101,31,1,A201,1
A13,6,A101,27,1,A202,1
A11,24,A101,49,2,A201,1
A12,12,A101,26,1,A201,1
A11,24,A101,26,1,A201,1
A14,24,A101,38,1,A201,1
A14,12,A103,29,1,A201,1
A14,12,A101,50,1,A201,1
A14,18,A101,43,1,A201,1
A14,12,A101,35,1,A201,1
A14,6,A101,35,1,A202,1
A12,18,A101,33,1,A201,1
A13,24,A101,36,1,A201,1
A14,24,A101,25,1,A201,1
A12,18,A101,40,2,A201,1
A14,15,A101,45,2,A201,1
A12,9,A101,37,1,A201,1
A14,6,A101,45,2,A201,1
A12,24,A101,30,1,A201,1
A13,10,A101,63,1,A201,1
A11,24,A101,28,1,A201,1
A11,30,A101,24,1,A201,1
A14,24,A101,27,1,A201,1
A14,24,A101,44,2,A201,1
A14,15,A101,47,1,A201,1
A14,15,A101,34,2,A201,1
A12,24,A101,29,1,A201,1
A13,6,A101,28,2,A201,1
A14,10,A101,64,1,A201,1
A13,6,A101,46,2,A202,1
A11,18,A101,22,1,A201,1
A11,15,A103,46,1,A201,1
A14,6,A101,51,2,A201,1
A14,18,A101,33,1,A201,1
A12,48,A101,40,1,A201,1
A11,6,A101,67,1,A201,1
A14,24,A101,28,1,A201,1
A11,30,A103,39,2,A201,1
A11,6,A101,75,1,A201,1
A12,42,A101,41,1,A201,1
A14,15,A101,35,1,A201,1
A14,12,A101,38,1,A201,1
A14,24,A101,25,1,A201,1
A14,12,A101,31,2,A201,1
A11,15,A101,25,1,A201,1
A14,9,A101,51,1,A201,1
A14,10,A101,31,1,A201,1
A14,6,A101,41,1,A201,1
A12,26,A101,30,1,A201,1
A14,10,A101,32,2,A202,1
A14,12,A101,57,1,A201,1
A12,9,A101,24,1,A201,1
A11,12,A101,55,1,A201,1
A14,18,A101,31,1,A201,1
A14,24,A101,27,1,A201,1
A11,21,A101,65,1,A201,1
A11,12,A101,39,2,A202,1
A14,6,A101,29,1,A201,1
A14,12,A101,35,2,A201,1
A12,9,A101,22,1,A201,1
A11,24,A101,32,1,A201,1
A12,24,A101,42,1,A201,1
A12,18,A101,35,1,A201,1
A11,10,A102,27,1,A202,1
A12,15,A101,27,1,A201,1
A14,24,A101,28,1,A201,1
A14,12,A101,41,1,A201,1
A14,36,A101,25,1,A201,1
A14,12,A101,52,1,A201,1
A12,24,A101,29,1,A201,1
A14,48,A101,31,1,A201,1
A12,18,A101,34,1,A201,1
A11,15,A101,36,1,A201,1
A11,14,A101,22,1,A201,1
A14,12,A101,26,1,A201,1
A11,6,A101,39,1,A201,1
A14,60,A101,63,1,A201,1
A14,24,A102,46,1,A201,1
A12,6,A101,31,2,A201,1
A12,16,A101,68,1,A201,1
A14,18,A101,47,2,A201,1
A14,24,A101,32,1,A201,1
A14,12,A101,57,1,A201,1
A14,24,A101,31,1,A201,1
A11,12,A101,24,1,A201,1
A12,15,A103,22,1,A201,1
A12,12,A103,49,1,A201,1
A14,18,A101,46,1,A201,1
A11,36,A101,30,1,A201,1
A11,24,A101,29,1,A201,1
A11,24,A101,22,1,A201,1
A14,9,A101,52,1,A201,1
A14,9,A101,33,2,A201,1
A12,7,A103,35,1,A201,1
A12,48,A101,48,1,A201,1
A14,18,A101,34,1,A201,1
A14,15,A101,20,1,A201,1
A12,18,A102,33,1,A201,1
A12,8,A103,33,1,A202,1
A13,36,A101,23,1,A201,1
A11,18,A101,23,1,A201,1
A14,15,A101,28,1,A201,1
A14,36,A101,45,2,A201,1
A14,48,A101,47,1,A201,1
A14,12,A101,52,1,A201,1
A13,10,A101,37,1,A201,1
A14,15,A101,30,1,A201,1
A14,10,A101,23,1,A201,1
A12,45,A101,27,1,A201,1
A12,36,A101,54,1,A201,1
A12,12,A101,34,1,A201,1
A14,9,A102,35,1,A201,1
A11,18,A101,36,1,A201,1
A12,18,A101,27,1,A201,1
A13,42,A101,33,1,A201,1
A13,18,A101,23,1,A201,1
A12,60,A101,27,1,A201,1
A12,27,A101,32,2,A201,1
A14,12,A101,37,1,A201,1
A14,6,A101,29,1,A201,1
A12,20,A101,29,1,A201,1
A14,12,A101,32,1,A201,1
A11,6,A101,39,1,A201,1
A11,12,A101,54,1,A201,1
A14,24,A101,25,1,A201,1
A11,12,A103,21,1,A201,1
A12,12,A101,47,2,A201,1
A12,18,A101,37,1,A201,1
A14,12,A101,38,1,A201,1
A11,10,A101,48,2,A202,1
A11,11,A101,40,2,A201,1
A14,24,A101,34,2,A201,1
A14,36,A101,36,1,A201,1
A12,24,A101,38,1,A201,1
A11,24,A101,44,2,A201,1
A14,24,A101,74,1,A201,1
A14,10,A101,26,1,A202,1
A12,12,A101,23,1,A201,1
A14,18,A101,34,1,A201,1
A14,24,A101,32,2,A201,1
A11,12,A101,45,1,A201,1
A14,21,A101,41,1,A201,1
A14,24,A101,50,1,A201,1
A12,36,A101,30,1,A201,1
A14,48,A101,38,2,A201,1
A14,24,A101,28,1,A201,1
A12,20,A101,60,1,A201,1
A12,6,A101,35,1,A201,1
A11,6,A101,31,1,A201,1
A14,10,A101,40,1,A201,1
A11,6,A101,41,2,A201,1
A12,24,A101,48,1,A201,1
A14,36,A101,35,2,A201,1
A14,12,A101,29,1,A201,1
A12,18,A101,36,1,A201,1
A14,36,A101,34,1,A201,1
A13,21,A101,28,1,A201,1
A11,21,A101,30,1,A201,1
A14,30,A101,26,1,A201,1
A11,6,A101,37,2,A201,1
A11,10,A101,52,1,A201,1
A12,24,A101,36,1,A201,1
A12,18,A101,67,1,A201,1
A14,30,A101,40,2,A201,1
A14,12,A101,52,1,A201,1
A14,12,A101,26,1,A201,1
A11,12,A102,30,1,A201,1
A14,24,A101,30,1,A201,1
A11,21,A101,29,1,A201,1
A12,21,A101,47,1,A201,1
A11,24,A101,26,1,A201,1
A12,18,A101,28,1,A201,1
A14,24,A101,41,1,A201,1
A14,6,A101,39,1,A201,1
A12,42,A101,55,1,A201,1
A12,8,A103,44,1,A201,1
A11,9,A101,25,1,A201,1
A13,12,A101,55,1,A201,1
A14,39,A101,45,1,A201,1
A12,6,A103,28,1,A201,1
A11,6,A101,44,2,A201,1
A14,24,A101,60,1,A201,1
A14,12,A101,43,1,A201,1
A11,21,A101,26,1,A201,1
A13,24,A102,20,1,A201,1
A11,8,A101,47,1,A201,1
A14,48,A101,35,1,A201,1
A14,24,A101,52,1,A201,1
A13,15,A101,36,1,A201,1
A14,24,A101,34,1,A201,1
A11,24,A101,28,1,A201,1
A14,24,A101,33,1,A201,1
A14,9,A101,27,1,A201,1
A14,24,A101,27,1,A201,1
A14,18,A101,47,1,A201,1
A14,21,A101,46,1,A201,1
A12,36,A101,34,1,A201,1
A14,36,A101,38,1,A201,1
A14,12,A101,61,1,A201,1
A14,15,A101,63,1,A201,1
A11,15,A101,25,1,A201,1
A11,12,A101,43,2,A201,1
A13,12,A101,36,1,A201,1
A12,6,A101,38,1,A201,1
A14,10,A101,35,1,A202,1
A14,9,A101,41,1,A201,1
A14,18,A101,30,1,A201,1
A11,15,A101,28,1,A201,1
A12,30,A101,36,1,A201,1
A13,12,A101,42,1,A201,1
A12,24,A101,34,2,A201,1
A14,18,A101,46,1,A201,1
A11,15,A101,27,1,A202,1
A14,30,A101,25,1,A201,1
A14,48,A101,27,1,A201,1
A14,27,A101,48,2,A201,1
A14,12,A101,35,1,A201,1
A11,15,A101,44,2,A201,1
A14,30,A101,26,1,A201,1
A12,48,A102,36,1,A201,1
A14,9,A101,22,1,A201,1
A12,12,A103,26,1,A201,1
A11,8,A101,51,2,A201,1
A12,9,A101,24,1,A201,1
A14,12,A101,47,2,A201,1
A12,30,A101,34,2,A201,1
A11,18,A103,25,1,A201,1
A13,15,A101,26,1,A201,1
A12,13,A103,23,1,A201,1
A14,21,A101,36,1,A201,1
A11,30,A101,25,1,A201,1
A14,18,A101,65,1,A201,1
A14,7,A101,36,1,A201,1
A14,24,A101,29,1,A201,1
A12,18,A101,40,1,A201,1
A11,12,A101,24,1,A201,1
A14,15,A101,46,1,A201,1
A14,18,A101,39,1,A201,1
A11,24,A101,57,1,A201,1
A14,54,A101,39,2,A201,1
A14,12,A101,28,1,A201,1
A14,6,A101,24,1,A201,1
A14,9,A101,26,1,A201,1
A14,6,A101,30,1,A201,1
A14,18,A101,32,1,A201,1
A14,7,A101,46,1,A201,1
A11,10,A102,49,1,A201,1
A14,4,A101,42,2,A201,1
A12,21,A101,35,1,A201,1
A11,6,A101,49,1,A201,1
A13,9,A101,49,1,A201,1
A12,18,A101,41,1,A201,1
A14,36,A101,28,1,A201,1
A13,18,A101,49,1,A201,1
A12,6,A101,22,1,A201,1
A12,12,A101,28,1,A201,1
A14,4,A101,42,2,A201,1
A14,42,A101,36,1,A201,1
A14,4,A101,23,2,A201,1
A11,12,A101,23,1,A201,1
A12,7,A103,34,1,A201,1
A11,6,A101,43,1,A201,1
A14,9,A101,32,2,A201,1
A14,24,A101,35,1,A201,1
A12,36,A101,35,1,A201,1
A12,12,A101,34,1,A201,1
A14,4,A101,42,2,A201,1
A14,24,A101,41,1,A201,1
A14,12,A101,42,1,A201,1
A13,12,A101,23,1,A201,1
A11,12,A102,29,2,A201,1
A12,12,A101,31,1,A201,1
A14,6,A101,23,1,A201,1
A11,24,A101,22,1,A201,1
A14,15,A101,43,1,A201,1
A14,18,A101,24,1,A201,1
A14,15,A101,35,1,A201,1
A14,12,A101,38,1,A201,1
A14,18,A101,28,1,A201,1
A14,9,A101,20,1,A201,1
A13,12,A101,46,1,A201,1
A13,24,A101,26,1,A201,1
A14,36,A101,31,2,A201,1
A14,22,A101,25,1,A201,1
A12,18,A101,28,1,A201,1
A12,24,A101,33,1,A201,1
A14,30,A101,63,1,A201,1
A14,6,A101,50,1,A201,1
A11,9,A101,25,1,A201,1
A11,36,A103,28,1,A201,1
A14,12,A101,26,1,A202,1
A11,12,A101,38,1,A202,1
A14,12,A101,21,1,A201,1
A14,9,A101,48,1,A201,1
A14,24,A101,54,1,A201,1
A14,60,A101,42,1,A201,1
A14,12,A101,38,2,A201,1
A11,18,A101,31,1,A201,1
A14,48,A101,32,2,A201,1
A11,12,A101,49,1,A201,1
A14,15,A101,27,1,A201,1
A14,21,A101,26,1,A201,1
A14,12,A101,55,1,A202,1
A13,12,A101,24,1,A201,1
A14,15,A101,24,1,A201,1
A14,12,A101,45,2,A201,1
A12,12,A101,23,1,A201,1
A14,24,A101,35,1,A201,1
A11,30,A101,38,2,A201,1
A12,9,A101,35,1,A201,1
A11,12,A101,22,1,A201,1
A12,36,A101,31,2,A201,1
A14,6,A101,45,2,A201,1
A14,15,A101,29,1,A201,1
A14,24,A101,28,1,A201,1
A14,30,A102,38,1,A201,1
A14,33,A101,35,1,A201,1
A14,12,A101,27,1,A201,1
A14,24,A101,37,1,A201,1
A11,12,A101,27,1,A201,1
A14,12,A101,39,1,A201,1
A14,12,A101,38,1,A201,1
A14,5,A101,74,1,A201,1
A11,24,A101,63,1,A201,1
A14,18,A101,21,1,A201,1
A12,12,A101,30,2,A201,1
A14,27,A101,32,2,A201,1
A12,6,A101,39,1,A201,1
A14,12,A101,34,1,A201,1
A11,6,A101,52,1,A201,1
A14,36,A101,40,1,A201,1
A13,6,A101,74,2,A202,1
A12,20,A101,31,1,A201,1
A14,15,A101,36,1,A201,1
A14,36,A101,32,1,A201,1
A14,6,A101,36,1,A201,1
A12,24,A101,23,1,A201,1
A11,24,A101,22,1,A201,1
A13,10,A103,37,2,A201,1
A11,6,A101,23,1,A201,1
A14,36,A101,31,1,A201,1
A12,10,A101,31,1,A201,1
A11,6,A101,37,1,A202,1
A14,12,A101,44,1,A201,1
A12,30,A101,28,1,A201,1
A12,14,A101,35,1,A201,1
A12,36,A101,32,2,A201,1
A11,24,A101,30,1,A202,1
A14,12,A101,49,2,A201,1
A11,24,A101,21,1,A201,1
A12,9,A101,37,2,A201,1
A11,6,A101,44,2,A201,1
A13,12,A101,26,1,A201,1
A12,9,A101,66,1,A201,1
A11,24,A103,58,1,A201,1
A11,12,A101,42,1,A201,1
A14,24,A101,23,1,A201,1
A14,24,A101,33,1,A201,1
A14,15,A101,33,1,A201,1
A12,30,A101,26,1,A201,1
A14,15,A101,46,1,A201,1
A12,21,A101,32,1,A201,1
A11,24,A103,22,1,A202,1
A12,12,A101,26,1,A201,1
A14,12,A101,27,1,A201,1
A14,22,A101,40,1,A201,1
A14,12,A101,26,1,A201,1
A11,9,A101,36,2,A201,1
A12,36,A101,30,1,A201,1
A12,6,A103,64,1,A201,1
A12,12,A101,27,1,A201,1
A14,9,A101,31,1,A201,1
A14,36,A101,37,1,A201,1
A11,9,A103,48,2,A202,1
A12,13,A103,23,1,A201,1
A14,10,A101,31,2,A202,1
A11,13,A101,28,1,A201,1
A12,9,A101,25,1,A201,1
A14,10,A102,45,1,A202,1
A11,36,A101,39,2,A201,1
A12,48,A101,30,1,A201,1
A14,11,A101,39,1,A201,1
A14,14,A101,27,1,A201,1
A14,12,A102,28,1,A201,1
A12,15,A101,25,1,A201,1
A14,11,A101,28,1,A201,1
A14,9,A101,64,1,A201,1
A14,30,A101,36,1,A201,1
A13,12,A101,33,1,A201,1
A13,15,A101,40,1,A201,1
A11,12,A101,20,2,A201,1
A14,6,A103,26,1,A201,1
A14,24,A101,36,1,A201,1
A12,12,A101,32,1,A201,1
A13,18,A101,45,1,A201,1
A12,12,A101,39,1,A201,1
A14,24,A101,43,1,A201,1
A12,48,A101,38,2,A201,1
A14,48,A101,37,1,A201,1
A14,60,A101,34,2,A201,1
A12,18,A101,61,1,A201,1
A12,12,A101,22,1,A201,1
A12,6,A101,30,1,A201,1
A13,6,A101,50,1,A201,1
A12,24,A101,24,1,A201,1
A14,15,A101,35,1,A201,1
A14,18,A101,25,1,A201,1
A12,11,A101,20,1,A201,1
A13,24,A101,57,1,A201,1
A14,30,A101,24,1,A201,1
A11,48,A101,50,1,A201,1
A12,24,A101,36,1,A201,1
A14,24,A101,44,1,A201,1
A14,24,A101,43,2,A201,1
A14,11,A101,57,1,A201,1
A11,18,A101,28,1,A201,1
A14,6,A101,54,1,A201,1
A14,24,A101,35,1,A201,1
A11,11,A101,36,2,A201,1
A14,15,A101,59,1,A201,1
A14,27,A101,26,1,A201,1
A11,12,A103,38,2,A201,1
A12,9,A101,27,1,A201,1
A12,20,A101,36,2,A201,1
A13,36,A101,31,1,A201,1
A12,24,A101,48,1,A201,1
A12,36,A101,36,1,A201,1
A11,27,A101,43,2,A201,1
A14,12,A101,20,1,A201,1
A12,12,A101,30,1,A201,1
A13,12,A101,44,1,A201,1
A12,9,A101,27,1,A201,1
A14,12,A101,35,1,A201,1
A14,24,A101,26,1,A201,1
A12,12,A101,19,1,A201,1
A13,12,A101,66,1,A201,1
A11,6,A101,27,1,A201,1
A14,6,A101,27,1,A201,1
A12,24,A101,37,1,A201,1
A11,15,A101,23,1,A201,1
A13,24,A101,25,1,A201,1
A14,24,A101,27,1,A201,1
A12,12,A101,27,1,A201,1
A11,36,A103,37,2,A201,1
A14,18,A101,38,1,A201,1
A12,36,A101,29,1,A201,1
A14,18,A101,33,1,A201,1
A14,18,A101,32,1,A202,1
A14,21,A101,36,1,A201,1
A14,15,A102,24,1,A201,1
A14,18,A101,26,1,A201,1
A14,24,A101,32,2,A201,1
A14,28,A101,29,1,A201,1
A14,24,A101,46,2,A201,1
A11,36,A102,43,1,A201,1
A14,36,A101,42,1,A201,1
A13,6,A101,29,1,A201,1
A12,18,A103,48,1,A201,1
A14,24,A101,48,1,A201,1
A14,6,A101,21,1,A201,1
A14,18,A101,32,1,A201,1
A14,6,A101,32,1,A201,1
A11,12,A103,29,1,A201,1
A11,36,A101,42,2,A201,2
A11,12,A102,29,1,A201,2
A14,24,A101,27,1,A201,2
A11,48,A101,24,1,A201,2
A12,24,A102,39,2,A201,2
A12,18,A101,40,1,A201,2
A11,18,A101,27,1,A201,2
A12,54,A101,58,1,A201,2
A11,30,A101,31,1,A201,2
A11,12,A101,23,1,A201,2
A11,12,A101,60,1,A201,2
A11,18,A101,23,1,A201,2
A11,24,A101,29,1,A201,2
A12,9,A101,29,1,A202,2
A11,12,A101,57,1,A201,2
A12,36,A101,57,1,A201,2
A12,48,A101,25,1,A201,2
A11,9,A101,27,1,A201,2
A12,24,A101,36,1,A201,2
A12,24,A101,20,1,A201,2
A11,18,A101,44,1,A201,2
A11,24,A101,32,1,A201,2
A11,27,A101,50,1,A201,2
A12,72,A101,24,1,A201,2
A11,24,A102,31,1,A201,2
A12,36,A101,57,1,A201,2
A11,24,A101,31,1,A201,2
A11,24,A101,27,1,A201,2
A12,24,A102,29,1,A201,2
A11,24,A101,30,2,A201,2
A13,24,A101,37,2,A201,2
A12,15,A101,25,1,A201,2
A11,6,A101,35,1,A201,2
A13,18,A101,34,2,A201,2
A14,12,A101,42,1,A201,2
A11,12,A101,26,1,A201,2
A11,36,A101,34,1,A201,2
A11,24,A101,24,1,A201,2
A12,36,A101,27,1,A201,2
A11,15,A101,24,1,A201,2
A11,33,A101,23,1,A201,2
A13,12,A101,26,1,A201,2
A13,15,A101,39,1,A201,2
A11,24,A101,25,1,A201,2
A14,6,A101,32,1,A201,2
A11,24,A101,32,1,A201,2
A12,21,A101,61,1,A201,2
A14,27,A101,21,1,A201,2
A14,36,A101,28,1,A201,2
A14,12,A101,26,1,A201,2
A12,60,A101,42,1,A201,2
A11,36,A101,29,1,A201,2
A11,24,A101,23,1,A201,2
A14,48,A101,24,1,A201,2
A11,12,A101,33,2,A201,2
A11,18,A101,26,1,A201,2
A12,8,A101,24,1,A201,2
A12,12,A101,22,1,A201,2
A12,24,A101,25,1,A201,2
A11,18,A101,24,1,A201,2
A12,12,A101,25,1,A201,2
A11,45,A101,29,1,A201,2
A14,48,A101,38,1,A201,2
A11,24,A101,20,1,A201,2
A11,48,A103,37,1,A201,2
A14,12,A101,33,2,A201,2
A12,48,A101,59,1,A201,2
A11,36,A101,24,1,A201,2
A11,9,A101,22,1,A201,2
A11,48,A101,53,2,A201,2
A12,18,A101,28,1,A201,2
A12,12,A101,52,1,A201,2
A11,12,A101,21,1,A201,2
A14,24,A101,44,1,A201,2
A11,18,A101,25,1,A201,2
A12,48,A101,23,1,A201,2
A12,21,A101,39,2,A201,2
A13,9,A101,28,1,A201,2
A13,36,A101,26,1,A201,2
A14,36,A101,27,1,A201,2
A12,6,A101,32,1,A201,2
A12,24,A101,25,1,A201,2
A12,30,A101,28,1,A201,2
A11,24,A101,33,1,A201,2
A12,24,A101,23,1,A201,2
A13,30,A101,66,1,A201,2
A11,12,A101,36,1,A201,2
A14,18,A102,22,1,A201,2
A11,24,A101,55,1,A201,2
A11,18,A101,33,1,A201,2
A11,36,A102,23,1,A201,2
A11,6,A101,23,1,A201,2
A12,24,A101,31,1,A201,2
A14,18,A101,23,1,A201,2
A11,18,A101,55,2,A201,2
A14,36,A101,37,1,A201,2
A11,12,A101,20,1,A201,2
A12,60,A101,60,1,A201,2
A12,45,A101,25,1,A201,2
A11,42,A101,30,1,A201,2
A11,24,A101,32,1,A201,2
A11,24,A101,35,1,A201,2
A12,12,A101,23,1,A201,2
A12,36,A102,29,1,A201,2
A14,36,A101,26,1,A201,2
A13,18,A102,37,1,A201,2
A14,10,A101,25,1,A201,2
A12,6,A101,24,2,A201,2
A12,18,A101,36,2,A201,2
A12,30,A103,24,1,A201,2
A11,42,A101,26,2,A201,2
A14,24,A101,31,1,A201,2
A12,12,A101,41,2,A201,2
A12,12,A101,30,1,A201,2
A11,36,A101,47,1,A201,2
A12,24,A101,38,2,A201,2
A11,45,A101,23,1,A201,2
A11,12,A101,29,1,A201,2
A11,24,A102,29,1,A201,2
A12,36,A101,42,1,A201,2
A14,36,A101,23,1,A201,2
A11,21,A101,25,1,A201,2
A12,36,A101,33,1,A201,2
A12,36,A101,61,1,A201,2
A12,6,A101,47,1,A201,2
A14,9,A101,22,1,A201,2
A11,12,A101,28,1,A201,2
A12,12,A101,27,1,A201,2
A13,21,A101,33,1,A201,2
A12,36,A101,42,1,A201,2
A12,24,A101,34,1,A201,2
A12,15,A101,34,2,A201,2
A11,48,A101,46,2,A201,2
A12,36,A101,47,2,A201,2
A12,18,A101,27,1,A201,2
A11,18,A101,26,1,A201,2
A11,9,A101,28,1,A201,2
A12,9,A101,32,2,A201,2
A11,48,A103,34,1,A201,2
A11,12,A101,40,2,A201,2
A12,24,A101,22,1,A201,2
A14,18,A101,39,2,A201,2
A11,18,A101,25,1,A201,2
A11,36,A101,31,1,A201,2
A14,24,A101,35,1,A201,2
A11,15,A101,29,1,A201,2
A11,18,A101,47,1,A201,2
A11,6,A101,44,1,A201,2
A11,12,A101,33,1,A201,2
A11,24,A101,40,1,A201,2
A11,21,A101,40,2,A201,2
A11,12,A101,22,1,A201,2
A11,12,A101,35,1,A201,2
A11,24,A101,43,2,A201,2
A14,15,A101,40,1,A201,2
A11,24,A102,45,1,A201,2
A11,12,A101,20,1,A201,2
A11,36,A101,24,1,A201,2
A12,48,A101,22,1,A201,2
A14,12,A101,29,1,A201,2
A11,36,A101,41,2,A201,2
A12,39,A103,25,1,A201,2
A11,30,A101,23,1,A201,2
A12,27,A101,36,2,A201,2
A12,48,A101,26,1,A201,2
A11,36,A101,40,1,A201,2
A11,24,A101,60,1,A201,2
A11,12,A102,43,1,A201,2
A11,12,A101,53,1,A201,2
A12,15,A101,37,2,A201,2
A11,24,A101,30,2,A201,2
A12,48,A101,32,1,A202,2
A12,48,A101,30,1,A201,2
A13,10,A101,48,2,A201,2
A12,12,A101,23,1,A201,2
A12,12,A101,66,1,A201,2
A12,48,A101,34,2,A201,2
A14,21,A101,29,1,A201,2
A12,18,A101,31,1,A201,2
