@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,A34,A41,7596,A152,A173,1
A14,A32,A43,3835,A152,A172,1
A14,A34,A40,1255,A152,A172,1
A14,A32,A43,1311,A152,A173,1
A14,A32,A43,3568,A151,A174,1
A14,A34,A40,3485,A152,A173,1
A14,A34,A43,1240,A152,A173,1
A11,A34,A42,1433,A151,A173,1
A14,A34,A43,3578,A152,A173,1
A11,A32,A43,1053,A152,A173,1
A14,A32,A40,1393,A152,A173,1
A11,A32,A42,428,A152,A173,1
A14,A32,A43,4594,A152,A173,1
A12,A34,A40,3124,A152,A172,1
A12,A32,A42,3069,A153,A173,1
A12,A32,A40,6078,A152,A173,1
A14,A32,A43,1493,A152,A173,1
A14,A34,A42,1935,A152,A173,1
A12,A33,A40,2353,A152,A173,1
A11,A32,A40,1721,A152,A173,1
A14,A32,A43,2394,A152,A173,1
A12,A33,A42,1050,A152,A174,1
A14,A30,A42,2759,A152,A173,1
A11,A34,A43,385,A152,A172,1
A14,A30,A43,426,A152,A172,1
A14,A32,A43,1413,A152,A173,1
A12,A32,A43,2930,A152,A173,1
A11,A32,A42,2212,A152,A173,1
A14,A34,A41,5842,A152,A173,1
A14,A32,A40,3186,A151,A173,1
A11,A34,A42,1872,A153,A174,1
A12,A32,A43,3758,A151,A171,1
A11,A34,A40,3905,A151,A173,1
A12,A32,A40,1549,A152,A171,1
A11,A32,A43,3660,A152,A173,1
A11,A32,A43,2315,A152,A172,1
A14,A34,A43,2611,A152,A173,1
A14,A33,A43,846,A153,A173,1
A14,A32,A43,2284,A152,A173,1
A11,A32,A42,2136,A152,A173,1
A13,A34,A40,1299,A152,A171,1
A14,A32,A43,2051,A152,A173,1
A14,A32,A43,1386,A151,A173,1
A12,A32,A43,458,A152,A173,1
A12,A34,A42,3612,A152,A173,1
A11,A34,A41,6419,A153,A174,1
A11,A34,A45,1288,A152,A173,1
A11,A34,A42,5371,A152,A173,1
A12,A32,A40,1201,A152,A173,1
A11,A32,A43,1107,A151,A174,1
A14,A32,A43,2697,A152,A173,1
A11,A32,A43,3509,A152,A173,1
A11,A32,A41,4788,A152,A173,1
A14,A34,A42,2406,A152,A174,1
A12,A34,A49,3652,A152,A173,1
A14,A34,A43,9566,A152,A173,1
A14,A32,A42,2221,A151,A173,1
A14,A34,A410,6314,A152,A174,1
A14,A34,A40,13756,A153,A174,1
A14,A32,A43,1409,A152,A173,1
A14,A32,A43,1473,A152,A173,1
A11,A34,A40,3676,A151,A173,1
A12,A34,A43,3573,A152,A172,1
A14,A32,A43,7166,A151,A173,1
A12,A34,A40,2181,A152,A173,1
A14,A32,A40,672,A152,A171,1
A14,A32,A40,909,A152,A173,1
A14,A34,A45,5507,A153,A173,1
A12,A32,A40,2002,A151,A173,1
A11,A32,A42,1289,A152,A172,1
A14,A34,A40,250,A152,A172,1
A14,A34,A42,5801,A151,A173,1
A11,A32,A42,3590,A152,A172,1
A12,A34,A49,2326,A152,A173,1
A14,A32,A46,9055,A153,A172,1
A12,A34,A42,3617,A151,A173,1
A14,A34,A41,3229,A152,A174,1
A12,A34,A43,1795,A151,A172,1
A11,A31,A41,3632,A151,A173,1
A11,A34,A40,666,A152,A172,1
A14,A34,A42,4526,A152,A172,1
A14,A34,A49,4526,A152,A174,1
A11,A32,A42,1620,A152,A173,1
A13,A32,A42,1925,A152,A173,1
A14,A32,A40,3518,A151,A173,1
A12,A32,A42,1521,A152,A172,1
A11,A32,A41,1352,A151,A171,1
A14,A32,A42,5511,A152,A173,1
A14,A33,A40,10875,A152,A173,1
A12,A32,A49,1037,A152,A172,1
A11,A32,A42,3650,A151,A173,1
A14,A34,A40,1163,A152,A173,1
A12,A33,A46,11760,A151,A173,1
A14,A32,A40,10366,A152,A174,1
A14,A34,A43,1382,A152,A173,1
A11,A32,A42,1657,A152,A173,1
A12,A32,A45,2631,A152,A172,1
A12,A34,A40,1175,A153,A171,1
A11,A32,A43,2389,A152,A173,1
A11,A34,A49,1382,A152,A173,1
A11,A32,A42,4169,A152,A173,1
A14,A32,A40,1287,A152,A172,1
A14,A34,A43,3342,A152,A173,1
A12,A32,A41,2760,A153,A173,1
A11,A31,A42,2828,A152,A173,1
A14,A32,A42,2301,A151,A173,1
A14,A32,A40,2390,A152,A173,1
A14,A34,A42,2788,A152,A173,1
A12,A33,A410,2629,A152,A173,1
A11,A32,A42,1845,A151,A173,1
A12,A31,A41,9283,A153,A174,1
A11,A34,A41,10623,A153,A174,1
A12,A32,A43,1068,A152,A173,1
A12,A32,A43,1715,A152,A173,1
A14,A32,A41,9277,A153,A173,1
A12,A31,A42,3496,A152,A173,1
A14,A34,A46,6110,A153,A173,1
A13,A32,A40,1330,A152,A173,1
A14,A34,A43,2831,A152,A173,1
A14,A34,A41,3275,A152,A174,1
A14,A34,A46,1927,A152,A173,1
A14,A32,A40,640,A152,A172,1
A11,A32,A40,3973,A153,A173,1
A14,A34,A41,3868,A151,A174,1
A14,A32,A43,2675,A152,A173,1
A12,A34,A40,2366,A152,A174,1
A14,A31,A41,7824,A151,A173,1
A14,A34,A46,936,A152,A173,1
A12,A30,A40,8358,A152,A173,1
A14,A32,A43,999,A152,A173,1
A14,A33,A49,5117,A152,A173,1
A12,A33,A49,1449,A152,A173,1
A14,A34,A43,4530,A151,A174,1
A11,A34,A45,3394,A152,A171,1
A12,A33,A49,2503,A152,A173,1
A14,A32,A40,2255,A152,A173,1
A12,A34,A49,5954,A152,A172,1
A12,A32,A49,1941,A152,A172,1
A14,A34,A43,1740,A151,A173,1
A12,A32,A43,2329,A152,A173,1
A14,A32,A43,2073,A152,A173,1
A14,A32,A40,3527,A152,A174,1
A14,A33,A49,2978,A152,A173,1
A12,A32,A42,1577,A152,A173,1
A14,A32,A40,2662,A152,A173,1
A14,A32,A49,1542,A152,A173,1
A11,A32,A43,1936,A151,A172,1
A12,A32,A43,1567,A152,A173,1
A14,A32,A43,3105,A152,A173,1
A12,A32,A43,2576,A152,A173,1
A11,A32,A40,3763,A152,A172,1
A14,A32,A40,1525,A152,A173,1
A11,A32,A43,2606,A151,A174,1
A14,A32,A43,1533,A152,A173,1
A12,A33,A49,4712,A152,A174,1
A14,A33,A41,1503,A151,A173,1
A11,A34,A40,2122,A151,A172,1
A11,A32,A40,1203,A152,A173,1
A11,A34,A40,571,A152,A173,1
A14,A33,A40,2032,A153,A173,1
A14,A32,A42,3422,A152,A173,1
A11,A32,A42,2578,A153,A174,1
A14,A32,A40,1249,A152,A173,1
A12,A32,A41,6948,A151,A174,1
A12,A32,A49,1391,A152,A173,1
A14,A32,A41,2476,A152,A174,1
A14,A34,A40,1055,A152,A173,1
A12,A32,A45,454,A152,A172,1
A14,A33,A49,1743,A152,A172,1
A11,A32,A42,3959,A152,A174,1
A14,A32,A43,1346,A153,A173,1
A12,A34,A41,4576,A152,A173,1
A14,A33,A41,8947,A152,A174,1
A12,A32,A46,1199,A152,A174,1
A14,A34,A40,1028,A152,A173,1
A14,A34,A40,1224,A152,A173,1
A13,A32,A43,3913,A152,A173,1
A11,A33,A40,1344,A152,A172,1
A12,A32,A49,907,A152,A173,1
A12,A32,A43,625,A152,A172,1
A12,A32,A43,1967,A152,A173,1
A11,A31,A48,339,A152,A172,1
A12,A32,A43,484,A152,A172,1
A11,A34,A49,2442,A152,A174,1
A12,A32,A46,2273,A152,A173,1
A14,A32,A49,2142,A152,A173,1
A13,A34,A40,1323,A152,A173,1
A14,A32,A49,5742,A152,A173,1
A14,A32,A43,776,A152,A173,1
A12,A34,A49,3590,A152,A171,1
A14,A32,A42,601,A151,A172,1
A14,A34,A43,1169,A152,A173,1
A14,A32,A44,1262,A152,A173,1
A14,A32,A41,8133,A152,A173,1
A14,A34,A43,1316,A152,A172,1
A14,A32,A42,1984,A153,A173,1
A12,A32,A49,2528,A152,A173,1
A14,A34,A43,2872,A152,A173,1
A14,A32,A41,1300,A153,A173,1
A14,A34,A42,1817,A152,A173,1
A14,A34,A42,1402,A151,A173,1
A14,A34,A42,2069,A152,A173,1
A14,A32,A43,707,A152,A173,1
A14,A34,A43,522,A152,A173,1
A12,A32,A49,1410,A152,A173,1
A14,A32,A49,1076,A152,A173,1
A14,A34,A42,1520,A152,A173,1
A13,A32,A43,1377,A153,A173,1
A11,A32,A40,4380,A152,A172,1
A11,A32,A42,1374,A152,A172,1
A14,A34,A41,7253,A152,A174,1
A14,A33,A43,1478,A152,A173,1
A12,A32,A46,3711,A152,A173,1
A14,A32,A43,1453,A152,A173,1
A14,A32,A49,3448,A152,A172,1
A14,A34,A42,4042,A152,A173,1
A14,A33,A43,2320,A152,A173,1
A14,A34,A43,1291,A152,A173,1
A13,A32,A40,2923,A152,A174,1
A11,A34,A43,1169,A152,A173,1
A12,A33,A43,9157,A153,A174,1
A11,A32,A46,7476,A153,A174,1
A14,A32,A44,874,A152,A173,1
A14,A34,A40,926,A152,A171,1
A11,A32,A42,7721,A152,A173,1
A14,A32,A41,4686,A153,A174,1
A11,A32,A42,2577,A152,A173,1
A11,A32,A40,10722,A152,A172,1
A14,A34,A43,2238,A152,A173,1
A14,A32,A43,3059,A152,A172,1
A14,A32,A42,1768,A151,A172,1
A12,A32,A41,2028,A152,A173,1
A13,A32,A42,2892,A153,A173,1
A14,A32,A44,1338,A152,A173,1
A11,A34,A43,1880,A152,A174,1
A14,A32,A45,660,A151,A172,1
A12,A34,A42,1919,A151,A173,1
A12,A32,A45,3872,A152,A173,1
A14,A32,A40,3556,A152,A173,1
A14,A34,A42,1258,A151,A172,1
A13,A32,A43,1258,A152,A172,1
A13,A34,A46,1047,A152,A172,1
A14,A32,A43,3235,A152,A174,1
A14,A32,A41,2569,A152,A173,1
A14,A32,A43,3595,A152,A173,1
A12,A30,A42,3244,A152,A173,1
A13,A34,A49,1275,A152,A173,1
A11,A34,A40,2241,A151,A172,1
A14,A34,A41,3368,A151,A173,1
A14,A32,A41,3378,A152,A173,1
A11,A32,A41,2924,A152,A173,1
A11,A34,A42,2132,A151,A173,1
A14,A32,A41,2901,A151,A173,1
A13,A31,A43,1445,A152,A172,1
A11,A34,A43,1957,A152,A173,1
A12,A32,A43,368,A152,A173,1
A12,A34,A40,958,A152,A172,1
A11,A34,A40,2799,A151,A173,1
A14,A32,A43,804,A152,A173,1
A11,A30,A42,4583,A152,A173,1
A12,A31,A44,3990,A152,A171,1
A14,A32,A42,3062,A151,A173,1
A11,A32,A42,1262,A152,A172,1
A12,A32,A42,3017,A151,A174,1
A11,A34,A41,2957,A152,A173,1
A14,A32,A40,3079,A152,A173,1
A12,A34,A42,6361,A152,A173,1
A14,A34,A43,1554,A151,A173,1
A14,A32,A43,1867,A152,A173,1
A14,A32,A41,2670,A152,A174,1
A14,A32,A41,6313,A152,A174,1
A14,A32,A40,2507,A153,A172,1
A14,A34,A42,2028,A152,A172,1
A11,A34,A40,2121,A152,A173,1
A14,A32,A48,937,A152,A172,1
A14,A34,A45,2058,A152,A173,1
A14,A34,A43,618,A152,A173,1
A14,A34,A43,1829,A152,A173,1
A11,A31,A42,2483,A152,A173,1
A12,A32,A40,8487,A152,A173,1
A14,A32,A42,2186,A151,A172,1
A11,A32,A42,4020,A152,A173,1
A13,A33,A40,2247,A152,A173,1
A12,A32,A43,1155,A152,A172,1
A11,A32,A40,3651,A152,A173,1
A14,A32,A43,1963,A151,A174,1
A14,A32,A42,2835,A152,A173,1
A14,A33,A49,3863,A153,A173,1
A11,A31,A40,2325,A152,A173,1
A12,A34,A43,1743,A152,A172,1
A13,A34,A40,1343,A152,A173,1
A14,A32,A43,10222,A152,A173,1
A14,A33,A49,2764,A152,A173,1
A14,A34,A43,1098,A152,A171,1
A13,A34,A43,3017,A152,A173,1
A11,A32,A43,1498,A152,A173,1
A13,A34,A40,781,A153,A173,1
A14,A34,A42,5150,A152,A173,1
A14,A34,A43,2578,A152,A173,1
A14,A33,A42,7678,A152,A173,1
A14,A32,A45,5190,A152,A173,1
A11,A32,A43,701,A152,A172,1
A11,A32,A43,1364,A152,A173,1
A14,A33,A41,3594,A152,A172,1
A14,A34,A43,1149,A152,A173,1
A14,A34,A40,2463,A152,A173,1
A14,A34,A43,1800,A152,A173,1
A12,A32,A43,1206,A152,A173,1
A14,A32,A42,1766,A151,A173,1
A14,A32,A40,6527,A153,A173,1
A14,A31,A43,1750,A152,A172,1
A11,A34,A41,1409,A152,A173,1
A14,A32,A41,5433,A151,A174,1
A14,A34,A42,3777,A152,A173,1
A11,A32,A43,2214,A152,A172,1
A14,A32,A49,1449,A152,A173,1
A14,A32,A43,1979,A152,A173,1
A14,A34,A43,3077,A152,A173,1
A13,A32,A43,5152,A152,A173,1
A14,A31,A48,3447,A152,A172,1
A14,A32,A40,3577,A151,A173,1
A12,A32,A46,1239,A153,A173,1
A14,A34,A49,7629,A152,A174,1
A11,A32,A41,2964,A153,A173,1
A12,A32,A43,2415,A152,A173,1
A14,A32,A43,886,A152,A173,1
A12,A32,A49,4439,A152,A174,1
A12,A33,A43,6403,A152,A173,1
A14,A32,A40,7393,A152,A172,1
A14,A32,A49,1258,A152,A173,1
A14,A33,A41,8613,A152,A173,1
A11,A34,A40,2171,A152,A172,1
A11,A34,A42,14179,A152,A174,1
A14,A32,A43,1376,A152,A173,1
A12,A34,A42,1295,A152,A173,1
A12,A33,A40,2862,A153,A173,1
A14,A32,A40,1364,A152,A173,1
A14,A32,A43,3181,A152,A173,1
A14,A34,A42,2288,A152,A173,1
A12,A33,A49,6967,A151,A174,1
A13,A34,A41,2360,A152,A173,1
A14,A32,A40,1884,A152,A174,1
A14,A32,A41,1236,A151,A173,1
A13,A33,A43,683,A152,A173,1
A14,A34,A43,5103,A153,A173,1
A11,A34,A43,338,A152,A173,1
A14,A32,A42,3972,A151,A173,1
A13,A32,A43,3016,A152,A173,1
A11,A32,A42,3149,A153,A173,1
A12,A32,A43,4795,A152,A174,1
A12,A34,A44,1424,A152,A173,1
A14,A34,A40,1231,A152,A172,1
A14,A34,A43,1459,A152,A172,1
A11,A30,A49,8072,A152,A173,1
A12,A32,A40,276,A151,A172,1
A14,A34,A40,1393,A152,A174,1
A14,A34,A43,2223,A152,A173,1
A14,A33,A43,932,A152,A173,1
A14,A32,A41,7814,A152,A174,1
A14,A34,A43,6070,A152,A173,1
A13,A32,A42,3749,A152,A173,1
A14,A31,A49,3609,A152,A173,1
A14,A32,A40,1546,A152,A172,1
A11,A32,A42,3620,A152,A173,1
A13,A34,A43,3148,A152,A173,1
A12,A31,A40,12169,A153,A174,1
A12,A34,A43,882,A152,A173,1
A14,A34,A49,1264,A151,A172,1
A14,A34,A43,629,A152,A174,1
A14,A32,A43,10144,A152,A173,1
A14,A32,A43,2108,A151,A173,1
A12,A33,A49,2427,A152,A173,1
A14,A32,A42,2708,A152,A172,1
A11,A34,A43,1138,A152,A172,1
A12,A34,A43,1154,A152,A172,1
A11,A34,A40,4716,A152,A172,1
A12,A34,A41,7758,A151,A173,1
A12,A32,A42,4351,A152,A172,1
A11,A34,A49,1797,A152,A172,1
A13,A32,A42,2116,A152,A173,1
A11,A32,A410,1755,A152,A172,1
A11,A32,A40,1374,A152,A174,1
A11,A34,A40,5302,A153,A174,1
A11,A32,A41,5493,A153,A173,1
A12,A33,A40,7432,A151,A173,1
A11,A32,A43,3416,A152,A174,1
A14,A31,A43,1569,A152,A172,1
A14,A34,A42,3343,A153,A173,1
A14,A34,A49,4139,A152,A172,1
A11,A34,A42,1478,A152,A173,1
A14,A32,A43,3160,A152,A173,1
A12,A32,A40,7472,A151,A171,1
A11,A32,A42,1858,A151,A173,1
A14,A32,A46,3832,A152,A172,1
A12,A33,A49,9857,A152,A172,1
A12,A32,A42,2030,A152,A173,1
A14,A34,A42,1592,A152,A173,1
A14,A34,A43,1934,A152,A173,1
A12,A30,A49,12204,A152,A174,1
A14,A32,A42,2515,A152,A173,1
A13,A34,A41,4796,A153,A173,1
A14,A34,A43,2424,A152,A173,1
A13,A32,A43,1881,A151,A172,1
A14,A32,A43,1595,A152,A173,1
A14,A32,A49,1950,A152,A173,1
A14,A32,A41,1413,A152,A173,1
A14,A34,A46,1532,A152,A173,1
A14,A34,A43,3074,A152,A173,1
A12,A32,A43,790,A152,A172,1
A12,A32,A410,5381,A153,A171,1
A12,A33,A41,7057,A151,A174,1
A14,A34,A40,7228,A152,A172,1
A14,A34,A43,1516,A152,A172,1
A11,A34,A410,1164,A153,A174,1
A14,A33,A40,802,A152,A172,1
A14,A34,A40,3380,A152,A173,1
A11,A32,A40,3249,A153,A174,1
A14,A32,A42,1388,A151,A173,1
A13,A32,A40,1961,A152,A174,1
A12,A32,A49,841,A151,A172,1
A13,A34,A43,3656,A152,A172,1
A14,A32,A43,2141,A152,A173,1
A14,A34,A41,6842,A152,A174,1
A14,A32,A41,4657,A152,A173,1
A14,A30,A41,9436,A152,A172,1
A12,A34,A49,1887,A152,A173,1
A12,A34,A43,2337,A152,A173,1
A14,A33,A42,960,A152,A173,1
A12,A33,A45,6204,A152,A172,1
A11,A32,A43,1680,A152,A173,1
A13,A31,A43,409,A151,A173,1
A14,A34,A46,701,A152,A173,1
A12,A34,A42,2745,A152,A173,1
A12,A32,A43,1414,A152,A173,1
A13,A32,A42,2251,A152,A172,1
A14,A32,A40,1283,A151,A173,1
A14,A32,A41,2679,A152,A174,1
A14,A32,A41,3812,A152,A173,1
A13,A32,A46,1905,A151,A174,1
A11,A34,A40,1038,A152,A173,1
A13,A32,A46,392,A151,A173,1
A14,A32,A43,1278,A152,A174,1
A14,A34,A43,1237,A152,A173,1
A11,A34,A40,609,A152,A173,1
A14,A34,A49,1185,A152,A173,1
A11,A32,A41,3857,A152,A174,1
A13,A32,A49,2687,A151,A173,1
A13,A32,A40,3949,A152,A172,1
A14,A32,A41,4675,A151,A173,1
A12,A32,A43,2896,A152,A173,1
A12,A32,A43,1082,A152,A172,1
A11,A32,A42,708,A152,A172,1
A11,A32,A42,3021,A151,A172,1
A14,A34,A40,2134,A152,A173,1
A14,A32,A41,8588,A152,A174,1
A14,A32,A46,1393,A152,A173,1
A11,A32,A40,2249,A152,A174,1
A14,A34,A40,6761,A152,A174,1
A12,A33,A49,6681,A153,A173,1
A14,A34,A43,1360,A152,A173,1
A12,A32,A43,5084,A152,A173,1
A12,A31,A49,3566,A152,A173,1
A14,A32,A49,1572,A152,A172,1
A12,A32,A43,2118,A152,A172,1
A14,A32,A40,2859,A152,A174,1
A14,A32,A43,1552,A152,A173,1
A14,A34,A42,3780,A152,A174,1
A14,A34,A43,1154,A152,A172,1
A13,A32,A40,1494,A152,A172,1
A11,A32,A43,2384,A151,A172,1
A14,A32,A42,1736,A152,A172,1
A11,A34,A41,1526,A153,A174,1
A14,A34,A43,700,A153,A173,1
A11,A32,A44,343,A152,A173,1
A14,A34,A40,6614,A152,A174,1
A14,A34,A42,3331,A152,A173,1
A14,A34,A41,4042,A152,A173,1
A12,A32,A43,3213,A151,A173,1
A11,A34,A40,3939,A152,A172,1
A12,A34,A41,5800,A152,A173,1
A11,A32,A40,1893,A152,A173,1
A12,A32,A43,1444,A152,A173,1
A14,A32,A41,3488,A152,A173,1
A14,A32,A41,2445,A151,A173,1
A12,A32,A43,2101,A152,A172,1
A13,A32,A40,709,A152,A171,1
A11,A34,A40,1361,A152,A172,1
A13,A32,A42,1424,A152,A174,1
A14,A32,A40,1418,A151,A172,1
A14,A32,A42,2978,A152,A173,1
A12,A32,A48,754,A152,A173,1
A14,A32,A49,7409,A152,A173,1
A11,A32,A40,1403,A151,A173,1
A12,A32,A43,1092,A152,A173,1
A11,A32,A42,652,A151,A173,1
A14,A32,A43,518,A152,A173,1
A13,A32,A43,4473,A152,A173,1
A14,A33,A43,4454,A152,A173,1
A12,A32,A43,3979,A152,A173,1
A14,A34,A43,5954,A152,A173,1
A12,A32,A40,3512,A152,A173,1
A14,A34,A41,2751,A152,A173,1
A12,A34,A46,5743,A153,A173,1
A14,A32,A43,3077,A152,A173,1
A13,A32,A42,3049,A152,A172,1
A14,A34,A49,1412,A152,A174,1
A11,A32,A41,6579,A153,A174,1
A12,A32,A41,7966,A152,A173,1
A14,A34,A42,2146,A151,A173,1
A11,A32,A42,3599,A151,A172,1
A14,A32,A49,1568,A151,A172,1
A14,A31,A49,1559,A152,A173,1
A11,A32,A410,15857,A152,A174,1
A14,A32,A40,1597,A151,A172,1
A14,A34,A46,2096,A152,A172,1
A14,A34,A46,2748,A153,A172,1
A14,A34,A43,1544,A152,A172,1
A14,A32,A40,2782,A152,A174,1
A14,A34,A40,1495,A152,A172,1
A14,A33,A40,717,A152,A173,1
A14,A32,A40,2133,A153,A174,1
A12,A34,A48,932,A152,A172,1
A13,A32,A42,1474,A152,A174,1
A14,A32,A46,1819,A153,A173,2
A14,A34,A40,1530,A152,A173,2
A12,A34,A49,1935,A152,A173,2
A12,A34,A410,11938,A152,A174,2
A11,A32,A42,3446,A152,A173,2
A11,A31,A43,2149,A153,A173,2
A11,A32,A42,2406,A151,A173,2
A11,A32,A40,1381,A152,A173,2
A11,A31,A46,1198,A153,A173,2
A11,A30,A41,4605,A153,A173,2
A11,A31,A43,1546,A151,A172,2
A13,A34,A40,1344,A152,A172,2
A14,A32,A42,2210,A151,A172,2
A11,A32,A42,2996,A152,A173,2
A11,A32,A40,654,A152,A172,2
A11,A31,A40,1647,A152,A172,2
A13,A32,A43,4210,A152,A173,2
A12,A32,A43,1534,A151,A173,2
A13,A33,A49,1908,A152,A174,2
A14,A33,A42,1808,A152,A173,2
A12,A32,A42,9034,A151,A174,2
A11,A32,A40,3123,A152,A173,2
A13,A30,A43,1337,A152,A174,2
A11,A32,A40,2303,A152,A173,2
A14,A34,A40,10127,A153,A173,2
A14,A33,A49,2169,A152,A173,2
A11,A32,A49,4308,A151,A173,2
A11,A31,A42,1553,A152,A173,2
A11,A34,A42,2246,A152,A173,2
A11,A33,A43,1024,A152,A173,2
A11,A33,A49,2145,A152,A173,2
A12,A32,A40,14555,A152,A171,2
A11,A32,A49,7297,A151,A173,2
A12,A30,A49,4241,A152,A172,2
A11,A32,A41,8335,A153,A173,2
A14,A34,A43,797,A152,A172,2
A12,A33,A42,4297,A152,A174,2
A12,A33,A40,2225,A153,A173,2
A11,A30,A49,11816,A151,A173,2
A11,A32,A42,2039,A151,A173,2
A11,A32,A42,3108,A152,A172,2
A12,A32,A43,3060,A152,A173,2
A11,A32,A41,10297,A153,A173,2
A11,A32,A43,1845,A153,A173,2
A12,A32,A42,1924,A151,A173,2
A12,A32,A40,14027,A152,A174,2
A11,A34,A42,2124,A151,A173,2
A11,A32,A43,727,A152,A172,2
A11,A34,A40,4843,A151,A173,2
A11,A33,A40,1333,A153,A173,2
A11,A32,A44,1275,A151,A173,2
A11,A32,A43,3965,A152,A173,2
A12,A32,A43,2039,A152,A173,2
A14,A30,A49,4165,A152,A173,2
A12,A32,A40,12389,A153,A173,2
A11,A30,A49,5293,A152,A173,2
A14,A32,A42,1980,A151,A173,2
