@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Guarantors {A101,A103,A102}
@attribute Job {A173,A172,A174,A171}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,A65,A75,A101,A173,A191,1
A14,A65,A72,A101,A173,A191,1
A14,A61,A73,A101,A173,A191,1
A14,A65,A74,A101,A173,A191,1
A14,A61,A71,A101,A174,A191,1
A13,A65,A74,A101,A172,A191,1
A11,A63,A71,A101,A171,A192,1
A11,A61,A75,A101,A174,A192,1
A11,A62,A74,A101,A174,A192,1
A12,A62,A75,A101,A173,A191,1
A14,A61,A75,A101,A173,A192,1
A14,A61,A74,A101,A173,A191,1
A11,A61,A73,A101,A172,A191,1
A12,A61,A72,A101,A173,A191,1
A14,A62,A72,A101,A173,A191,1
A14,A61,A75,A101,A173,A192,1
A12,A62,A75,A101,A173,A191,1
A12,A61,A75,A101,A172,A191,1
A12,A65,A72,A101,A173,A191,1
A14,A61,A75,A101,A173,A191,1
A14,A61,A73,A101,A172,A191,1
A12,A65,A73,A101,A174,A191,1
A14,A61,A74,A101,A172,A192,1
A14,A65,A75,A101,A172,A191,1
A11,A61,A73,A101,A172,A191,1
A14,A61,A73,A101,A173,A191,1
A13,A61,A73,A101,A172,A192,1
A12,A62,A73,A101,A172,A191,1
A12,A61,A74,A101,A173,A191,1
A11,A61,A73,A101,A173,A191,1
A14,A64,A75,A101,A173,A192,1
A14,A61,A72,A101,A173,A192,1
A14,A65,A75,A101,A174,A192,1
A11,A61,A75,A103,A172,A192,1
A11,A65,A74,A101,A173,A192,1
A12,A62,A74,A101,A174,A192,1
A14,A61,A75,A101,A173,A191,1
A14,A63,A74,A101,A173,A192,1
A14,A65,A73,A101,A173,A191,1
A14,A61,A72,A101,A172,A191,1
A12,A64,A72,A101,A173,A192,1
A11,A65,A71,A101,A174,A192,1
A14,A63,A73,A101,A173,A192,1
A12,A61,A73,A101,A173,A191,1
A11,A61,A73,A101,A172,A191,1
A11,A61,A73,A103,A172,A191,1
A13,A61,A75,A101,A173,A191,1
A14,A65,A72,A101,A173,A192,1
A14,A61,A73,A101,A173,A191,1
A14,A65,A74,A101,A173,A192,1
A11,A65,A75,A101,A173,A192,1
A14,A61,A73,A101,A173,A191,1
A12,A61,A71,A101,A174,A192,1
A14,A65,A74,A101,A172,A191,1
A12,A63,A74,A101,A174,A192,1
A12,A65,A74,A103,A173,A192,1
A12,A61,A73,A101,A172,A191,1
A14,A63,A75,A101,A173,A192,1
A11,A63,A73,A101,A173,A191,1
A14,A65,A73,A101,A173,A192,1
A14,A61,A73,A101,A173,A191,1
A13,A61,A73,A101,A173,A191,1
A14,A62,A73,A101,A173,A191,1
A11,A61,A72,A101,A173,A191,1
A11,A61,A71,A101,A174,A192,1
A14,A61,A74,A101,A174,A192,1
A12,A61,A73,A102,A173,A191,1
A14,A61,A74,A101,A173,A192,1
A14,A65,A75,A101,A173,A191,1
A14,A65,A75,A102,A172,A191,1
A13,A63,A73,A101,A173,A192,1
A14,A61,A75,A101,A173,A192,1
A14,A61,A72,A101,A173,A192,1
A12,A63,A73,A101,A172,A191,1
A14,A61,A75,A101,A174,A192,1
A12,A65,A73,A101,A173,A191,1
A12,A61,A73,A101,A173,A192,1
A11,A61,A73,A101,A172,A191,1
A12,A61,A74,A101,A173,A191,1
A14,A61,A75,A101,A173,A191,1
A12,A62,A75,A101,A173,A192,1
A11,A61,A75,A101,A173,A192,1
A14,A63,A73,A101,A172,A191,1
A14,A61,A75,A101,A173,A191,1
A13,A62,A75,A101,A173,A191,1
A14,A65,A74,A101,A173,A192,1
A14,A61,A72,A101,A173,A192,1
A12,A61,A75,A102,A174,A192,1
A12,A64,A73,A101,A173,A192,1
A14,A61,A73,A101,A172,A191,1
A14,A61,A73,A101,A173,A191,1
A14,A61,A75,A101,A173,A192,1
A14,A61,A74,A101,A173,A192,1
A13,A61,A73,A101,A173,A191,1
A14,A65,A71,A101,A174,A192,1
A14,A61,A74,A101,A174,A192,1
A11,A64,A73,A101,A173,A191,1
A12,A61,A72,A101,A174,A192,1
A14,A65,A75,A101,A173,A192,1
A12,A61,A73,A101,A174,A192,1
A14,A65,A73,A101,A173,A192,1
A11,A62,A74,A101,A173,A192,1
A14,A61,A75,A101,A174,A192,1
A12,A61,A72,A103,A172,A191,1
A12,A61,A75,A101,A173,A191,1
A14,A61,A73,A101,A173,A192,1
A12,A65,A75,A103,A173,A192,1
A14,A61,A74,A101,A172,A191,1
A11,A61,A75,A101,A172,A191,1
A14,A64,A74,A101,A172,A191,1
A13,A62,A75,A101,A173,A192,1
A14,A61,A74,A101,A173,A191,1
A11,A65,A73,A101,A173,A192,1
A13,A61,A75,A101,A173,A191,1
A11,A61,A72,A101,A173,A191,1
A14,A65,A72,A101,A173,A191,1
A11,A61,A75,A101,A174,A192,1
A13,A63,A71,A101,A171,A191,1
A12,A65,A72,A101,A171,A191,1
A14,A65,A71,A101,A174,A192,1
A11,A61,A71,A101,A173,A191,1
A14,A61,A72,A101,A172,A191,1
A11,A61,A75,A101,A173,A192,1
A12,A63,A71,A101,A171,A191,1
A12,A64,A75,A101,A173,A192,1
A12,A61,A72,A101,A172,A191,1
A12,A61,A75,A103,A172,A192,1
A11,A61,A75,A101,A172,A191,1
A12,A65,A74,A101,A173,A192,1
A14,A61,A72,A101,A173,A192,1
A14,A64,A73,A101,A173,A191,1
A14,A61,A72,A101,A172,A191,1
A14,A65,A73,A101,A173,A192,1
A11,A61,A73,A101,A172,A192,1
A14,A62,A75,A102,A173,A192,1
A12,A61,A72,A101,A174,A191,1
A14,A61,A73,A101,A173,A192,1
A14,A61,A73,A101,A173,A192,1
A14,A61,A73,A101,A173,A191,1
A14,A65,A73,A101,A174,A192,1
A12,A65,A75,A101,A173,A191,1
A11,A65,A75,A101,A173,A192,1
A11,A61,A74,A103,A173,A191,1
A11,A61,A73,A101,A173,A191,1
A14,A61,A74,A101,A173,A192,1
A11,A61,A74,A101,A174,A192,1
A14,A61,A74,A101,A173,A191,1
A13,A65,A75,A102,A173,A191,1
A14,A62,A73,A101,A173,A191,1
A12,A65,A71,A101,A171,A192,1
A14,A65,A75,A101,A172,A191,1
A14,A61,A74,A101,A173,A191,1
A11,A61,A74,A101,A172,A191,1
A14,A65,A72,A101,A174,A192,1
A12,A61,A73,A101,A172,A192,1
A13,A65,A75,A101,A174,A191,1
A13,A61,A72,A101,A173,A191,1
A14,A65,A75,A101,A173,A191,1
A14,A63,A75,A101,A174,A191,1
A14,A62,A73,A101,A173,A191,1
A14,A61,A74,A101,A173,A191,1
A11,A61,A72,A101,A172,A191,1
A12,A61,A75,A101,A173,A191,1
A14,A63,A74,A101,A172,A191,1
A14,A63,A73,A101,A173,A192,1
A12,A61,A73,A101,A172,A191,1
A11,A61,A71,A101,A174,A192,1
A14,A61,A73,A101,A172,A191,1
A13,A61,A73,A101,A173,A191,1
A12,A61,A73,A101,A172,A191,1
A14,A62,A74,A101,A173,A191,1
A14,A61,A73,A101,A173,A192,1
A12,A61,A71,A101,A174,A192,1
A14,A65,A73,A101,A172,A191,1
A14,A62,A74,A101,A173,A192,1
A12,A63,A75,A101,A173,A192,1
A12,A65,A73,A101,A174,A192,1
A11,A63,A75,A101,A173,A191,1
A12,A65,A71,A102,A174,A192,1
A14,A61,A73,A101,A173,A191,1
A12,A61,A73,A101,A172,A192,1
A14,A63,A75,A101,A173,A191,1
A14,A64,A74,A101,A173,A192,1
A14,A61,A74,A101,A173,A192,1
A14,A61,A74,A101,A173,A192,1
A11,A61,A73,A102,A173,A191,1
A14,A63,A74,A101,A173,A192,1
A14,A64,A75,A101,A173,A191,1
A14,A61,A72,A101,A173,A192,1
A12,A61,A73,A103,A173,A191,1
A14,A61,A75,A101,A173,A191,1
A14,A62,A74,A101,A173,A191,1
A11,A61,A75,A101,A173,A191,1
A11,A61,A71,A102,A171,A191,1
A14,A61,A75,A101,A173,A191,1
A11,A61,A74,A103,A173,A191,1
A14,A65,A75,A101,A173,A191,1
A11,A61,A75,A101,A173,A192,1
A14,A65,A75,A101,A173,A191,1
A14,A61,A73,A101,A173,A191,1
A11,A61,A71,A101,A173,A191,1
A12,A61,A74,A101,A173,A191,1
A14,A61,A75,A101,A172,A191,1
A13,A61,A74,A101,A173,A192,1
A12,A65,A73,A101,A173,A192,1
A14,A65,A72,A101,A172,A191,1
A11,A61,A72,A101,A173,A191,1
A12,A61,A72,A101,A173,A192,1
A11,A61,A75,A101,A174,A192,1
A14,A61,A71,A101,A171,A191,1
A11,A65,A72,A101,A172,A191,1
A12,A62,A74,A101,A172,A192,1
A14,A63,A75,A101,A174,A192,1
A11,A64,A74,A101,A172,A192,1
A12,A62,A74,A101,A172,A191,1
A14,A61,A73,A101,A173,A192,1
A14,A61,A74,A101,A174,A192,1
A14,A65,A72,A101,A173,A192,1
A14,A61,A75,A101,A173,A192,1
A14,A65,A75,A101,A172,A192,1
A11,A61,A74,A101,A173,A191,1
A14,A61,A73,A101,A173,A191,1
A14,A61,A73,A101,A173,A191,1
A14,A61,A72,A101,A174,A192,1
A12,A61,A75,A101,A173,A192,1
A11,A61,A73,A103,A172,A191,1
A14,A65,A74,A101,A173,A192,1
A12,A64,A74,A101,A173,A192,1
A14,A61,A72,A101,A173,A192,1
A12,A61,A72,A101,A173,A192,1
A12,A61,A75,A103,A172,A191,1
A11,A64,A75,A101,A173,A192,1
A11,A65,A74,A102,A172,A191,1
A11,A61,A73,A101,A172,A191,1
A14,A65,A73,A101,A173,A191,1
A11,A61,A72,A101,A173,A191,1
A12,A61,A73,A103,A172,A191,1
A14,A65,A75,A101,A174,A191,1
A14,A62,A75,A101,A173,A192,1
A14,A65,A73,A101,A173,A192,1
A14,A62,A73,A101,A172,A191,1
A12,A64,A73,A101,A173,A191,1
A14,A62,A73,A101,A172,A191,1
A12,A64,A72,A101,A172,A191,1
A14,A61,A74,A101,A172,A191,1
A12,A65,A74,A101,A172,A191,1
A14,A65,A73,A101,A173,A191,1
A12,A62,A72,A101,A173,A191,1
A14,A61,A71,A102,A174,A192,1
A14,A61,A73,A101,A173,A191,1
A12,A65,A75,A101,A173,A192,1
A14,A65,A73,A101,A173,A192,1
A11,A62,A75,A103,A173,A191,1
A14,A62,A73,A101,A172,A191,1
A14,A61,A73,A101,A173,A192,1
A12,A64,A72,A101,A173,A191,1
A14,A61,A72,A101,A174,A192,1
A14,A61,A74,A101,A173,A191,1
A12,A61,A75,A101,A172,A191,1
A12,A64,A75,A101,A173,A191,1
A12,A61,A72,A103,A173,A191,1
A12,A61,A73,A101,A173,A192,1
A14,A63,A75,A101,A173,A191,1
A14,A61,A72,A101,A172,A191,1
A14,A61,A75,A101,A173,A192,1
A14,A61,A73,A101,A173,A192,1
A14,A62,A74,A101,A173,A192,1
A12,A65,A71,A101,A171,A191,1
A11,A61,A75,A101,A173,A191,1
A14,A61,A75,A102,A173,A192,1
A12,A65,A73,A101,A174,A192,1
A13,A61,A73,A101,A172,A191,1
A12,A65,A73,A101,A173,A191,1
A14,A65,A74,A101,A173,A191,1
A14,A61,A73,A101,A173,A191,1
A14,A61,A72,A101,A174,A191,1
A14,A65,A74,A101,A173,A192,1
A14,A63,A75,A101,A173,A192,1
A13,A61,A73,A101,A173,A192,1
A14,A61,A75,A101,A173,A191,1
A12,A61,A75,A101,A173,A192,1
A12,A65,A73,A101,A172,A191,1
A14,A62,A72,A101,A173,A192,1
A14,A61,A73,A101,A173,A191,1
A14,A61,A73,A101,A173,A192,1
A14,A65,A73,A101,A173,A191,1
A14,A61,A74,A101,A174,A192,1
A12,A61,A74,A103,A173,A191,1
A14,A65,A72,A101,A173,A191,1
A14,A61,A72,A101,A173,A192,1
A14,A62,A75,A101,A174,A192,1
A11,A61,A75,A101,A172,A191,1
A14,A65,A75,A101,A173,A191,1
A11,A65,A72,A102,A173,A191,1
A14,A65,A75,A101,A173,A192,1
A13,A64,A73,A101,A173,A191,1
A14,A62,A75,A101,A172,A191,1
A14,A61,A74,A103,A173,A192,1
A11,A61,A73,A101,A173,A191,1
A11,A61,A75,A101,A173,A191,1
A11,A61,A71,A101,A174,A191,1
A11,A61,A71,A101,A174,A192,1
A14,A61,A74,A101,A173,A191,1
A12,A62,A75,A101,A173,A191,1
A14,A64,A73,A101,A173,A191,1
A14,A65,A74,A101,A173,A192,1
A12,A64,A73,A101,A173,A191,1
A11,A61,A72,A101,A173,A191,1
A12,A61,A75,A101,A173,A192,1
A14,A61,A73,A101,A173,A191,1
A11,A61,A73,A101,A173,A191,1
A14,A62,A75,A101,A172,A191,1
A12,A61,A73,A101,A173,A192,1
A14,A62,A74,A101,A174,A191,1
A14,A61,A74,A101,A173,A192,1
A12,A61,A74,A101,A173,A191,1
A14,A61,A75,A101,A173,A192,1
A13,A61,A73,A101,A173,A192,1
A11,A65,A74,A101,A174,A192,1
A12,A61,A73,A101,A173,A191,1
A11,A61,A73,A101,A172,A191,1
A14,A62,A71,A101,A172,A191,1
A14,A61,A75,A101,A174,A192,1
A14,A63,A73,A101,A173,A191,1
A14,A61,A75,A101,A173,A191,1
A14,A64,A73,A101,A173,A192,1
A14,A61,A73,A103,A173,A191,1
A12,A65,A75,A101,A173,A191,1
A14,A61,A72,A101,A173,A191,1
A14,A65,A75,A101,A173,A192,1
A14,A65,A74,A101,A173,A192,1
A11,A61,A75,A101,A172,A191,1
A14,A61,A75,A101,A173,A192,1
A14,A65,A73,A101,A173,A191,1
A12,A61,A72,A101,A173,A191,1
A14,A65,A75,A101,A173,A191,1
A11,A61,A73,A103,A173,A192,1
A12,A62,A75,A101,A173,A191,1
A12,A61,A74,A101,A173,A192,1
A14,A61,A72,A101,A173,A191,1
A11,A64,A72,A101,A173,A191,1
A11,A61,A73,A101,A173,A191,1
A11,A61,A73,A103,A173,A192,1
A14,A64,A73,A101,A172,A191,1
A11,A61,A73,A101,A174,A191,1
A13,A65,A75,A101,A174,A192,1
A11,A61,A73,A101,A174,A192,1
A14,A62,A73,A101,A173,A191,1
A12,A65,A75,A101,A173,A191,1
A14,A62,A73,A102,A173,A191,1
A14,A65,A73,A101,A173,A192,1
A12,A61,A74,A101,A174,A192,1
A13,A61,A72,A101,A173,A191,1
A14,A61,A75,A101,A173,A191,1
A12,A65,A75,A101,A173,A192,1
A13,A61,A73,A101,A172,A191,1
A11,A61,A73,A103,A173,A191,1
A13,A61,A72,A103,A172,A191,1
A14,A61,A75,A101,A172,A191,1
A12,A61,A75,A101,A174,A192,1
A14,A61,A72,A101,A173,A191,1
A14,A65,A75,A101,A174,A192,1
A14,A65,A73,A103,A172,A191,1
A11,A61,A71,A102,A174,A191,1
A14,A65,A75,A101,A173,A192,1
A12,A61,A72,A103,A173,A191,1
A14,A64,A73,A101,A173,A192,1
A12,A61,A72,A103,A172,A191,1
A12,A61,A73,A103,A172,A191,1
A14,A61,A73,A103,A174,A192,1
A14,A61,A75,A101,A173,A192,1
A12,A61,A74,A101,A173,A191,1
A13,A61,A72,A101,A173,A191,1
A11,A62,A74,A101,A173,A191,1
A12,A61,A73,A103,A173,A192,1
A11,A61,A74,A102,A173,A192,1
A14,A61,A75,A101,A172,A191,1
A14,A61,A73,A101,A173,A192,1
A14,A61,A73,A101,A173,A191,1
A14,A65,A74,A101,A173,A191,1
A11,A61,A73,A103,A173,A191,1
A13,A61,A72,A101,A173,A191,1
A11,A61,A75,A101,A174,A192,1
A14,A63,A75,A101,A173,A192,1
A13,A61,A75,A101,A173,A192,1
A11,A61,A72,A102,A174,A192,1
A11,A61,A72,A101,A172,A192,1
A12,A62,A74,A101,A173,A191,1
A14,A64,A72,A101,A172,A192,1
A14,A63,A75,A101,A172,A191,1
A11,A61,A73,A101,A172,A191,1
A14,A62,A74,A101,A173,A192,1
A14,A64,A73,A101,A173,A191,1
A11,A61,A72,A101,A173,A191,1
A14,A62,A75,A101,A173,A192,1
A13,A61,A73,A101,A173,A191,1
A14,A61,A74,A101,A173,A191,1
A12,A61,A73,A101,A172,A191,1
A11,A64,A73,A101,A173,A191,1
A14,A61,A73,A101,A173,A191,1
A12,A61,A74,A103,A172,A191,1
A11,A61,A75,A101,A173,A191,1
A14,A61,A73,A101,A174,A192,1
A11,A61,A75,A101,A173,A191,1
A13,A64,A72,A101,A171,A191,1
A14,A61,A72,A101,A173,A191,1
A14,A64,A75,A101,A173,A192,1
A11,A61,A75,A101,A173,A191,2
A11,A61,A73,A101,A173,A192,2
A11,A61,A74,A101,A173,A191,2
A12,A65,A72,A101,A173,A191,2
A12,A61,A75,A101,A173,A191,2
A11,A61,A74,A101,A173,A192,2
A11,A61,A72,A101,A173,A192,2
A12,A61,A75,A101,A173,A191,2
A12,A61,A73,A101,A173,A191,2
A12,A61,A73,A101,A174,A192,2
A12,A61,A72,A101,A172,A192,2
A11,A61,A74,A103,A173,A191,2
A12,A62,A72,A101,A173,A191,2
A12,A65,A73,A101,A173,A191,2
A11,A65,A75,A101,A173,A191,2
A12,A65,A71,A101,A171,A192,2
A11,A62,A74,A101,A173,A191,2
A12,A61,A71,A101,A174,A191,2
A11,A61,A72,A101,A173,A192,2
A14,A62,A73,A101,A174,A192,2
A12,A61,A71,A101,A174,A192,2
A12,A61,A73,A101,A173,A191,2
A12,A65,A73,A101,A173,A192,2
A11,A61,A73,A101,A173,A191,2
A11,A61,A75,A101,A173,A191,2
A11,A61,A73,A101,A173,A191,2
A12,A61,A72,A101,A173,A191,2
A11,A61,A75,A102,A173,A191,2
A11,A61,A73,A101,A173,A192,2
A11,A61,A73,A103,A173,A191,2
A14,A61,A72,A101,A173,A191,2
A13,A63,A74,A101,A173,A192,2
A12,A62,A73,A101,A173,A191,2
A11,A61,A72,A101,A173,A191,2
A11,A61,A73,A101,A173,A192,2
A11,A65,A74,A101,A174,A192,2
A11,A61,A73,A101,A173,A191,2
A12,A61,A73,A102,A174,A192,2
A12,A61,A72,A101,A173,A191,2
A14,A61,A73,A101,A173,A191,2
A13,A61,A72,A101,A171,A191,2
A12,A62,A75,A101,A174,A192,2
A11,A61,A74,A101,A173,A191,2
A11,A61,A73,A101,A173,A191,2
A14,A65,A73,A101,A173,A191,2
A11,A61,A71,A101,A171,A191,2
A12,A61,A74,A101,A173,A192,2
A12,A62,A73,A101,A173,A191,2
A11,A61,A73,A101,A173,A191,2
A11,A61,A74,A103,A173,A192,2
A11,A61,A73,A101,A172,A192,2
A12,A61,A75,A101,A174,A192,2
A12,A61,A75,A101,A174,A192,2
A12,A65,A73,A101,A173,A192,2
