@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A11,A32,A43,1603,A123,A143,A152,1,1
A14,A34,A43,2331,A121,A143,A152,1,1
A14,A34,A49,1264,A124,A143,A151,1,1
A12,A33,A49,2503,A122,A142,A152,2,1
A12,A32,A42,3976,A123,A143,A152,1,1
A14,A34,A42,4526,A121,A142,A152,2,1
A11,A32,A42,428,A122,A141,A152,1,1
A14,A32,A43,2284,A123,A143,A152,1,1
A14,A34,A41,3368,A124,A143,A151,2,1
A14,A34,A46,1597,A124,A143,A153,2,1
A14,A32,A41,3378,A122,A143,A152,1,1
A12,A32,A43,1444,A122,A143,A152,1,1
A14,A34,A42,5801,A122,A143,A151,1,1
A12,A34,A40,1995,A123,A143,A152,1,1
A14,A33,A41,3594,A122,A143,A152,2,1
A14,A33,A43,846,A124,A143,A153,1,1
A14,A32,A41,6313,A123,A143,A152,1,1
A11,A32,A42,1858,A123,A143,A151,1,1
A12,A32,A40,1318,A121,A143,A152,1,1
A11,A32,A410,15857,A123,A143,A152,1,1
A14,A32,A43,1453,A121,A143,A152,1,1
A14,A32,A43,2394,A123,A143,A152,1,1
A14,A34,A41,7596,A123,A143,A152,2,1
A12,A34,A43,882,A121,A143,A152,2,1
A13,A32,A42,2251,A123,A143,A152,1,1
A12,A33,A410,2629,A123,A141,A152,2,1
A13,A32,A42,3049,A122,A142,A152,1,1
A14,A34,A40,2134,A123,A143,A152,3,1
A12,A34,A40,3124,A121,A141,A152,2,1
A11,A34,A42,1478,A123,A143,A152,2,1
A14,A34,A43,1503,A121,A143,A152,2,1
A14,A32,A49,1076,A121,A143,A152,1,1
A14,A34,A43,1582,A123,A143,A152,2,1
A12,A32,A41,6468,A121,A143,A152,1,1
A14,A34,A43,1554,A123,A143,A151,2,1
A11,A32,A42,1845,A122,A143,A151,1,1
A14,A32,A40,2507,A124,A143,A153,1,1
A14,A32,A42,2708,A122,A141,A152,2,1
A12,A34,A41,4576,A123,A143,A152,1,1
A14,A34,A42,1520,A122,A143,A152,1,1
A14,A32,A40,3556,A124,A143,A152,1,1
A14,A32,A42,2301,A122,A143,A151,1,1
A14,A32,A43,1262,A123,A143,A152,1,1
A14,A32,A43,10144,A121,A143,A152,1,1
A14,A34,A43,1544,A121,A143,A152,3,1
A14,A32,A42,1313,A123,A143,A152,1,1
A14,A34,A41,3868,A123,A143,A151,2,1
A14,A34,A43,9566,A123,A142,A152,2,1
A14,A32,A43,3160,A122,A143,A152,1,1
A12,A32,A43,866,A121,A143,A152,1,1
A14,A34,A42,1817,A124,A143,A152,2,1
A14,A32,A42,763,A121,A143,A152,1,1
A14,A32,A43,3077,A123,A143,A152,1,1
A12,A34,A42,1919,A123,A143,A151,1,1
A14,A32,A42,1984,A124,A141,A153,2,1
A13,A32,A40,1961,A123,A143,A152,1,1
A12,A32,A45,454,A122,A143,A152,1,1
A12,A33,A49,1449,A123,A141,A152,2,1
A13,A31,A43,409,A121,A143,A151,2,1
A11,A34,A49,1382,A121,A143,A152,2,1
A14,A31,A49,3609,A121,A142,A152,1,1
A14,A32,A40,3186,A123,A143,A151,1,1
A14,A32,A43,4594,A123,A143,A152,1,1
A11,A32,A49,6568,A123,A142,A152,1,1
A13,A31,A43,1445,A123,A141,A152,1,1
A14,A32,A49,1572,A121,A141,A152,1,1
A11,A32,A43,3416,A123,A143,A152,1,1
A14,A33,A49,5117,A123,A143,A152,2,1
A14,A34,A43,3342,A123,A143,A152,1,1
A11,A32,A41,2910,A124,A143,A153,1,1
A14,A32,A40,2662,A122,A143,A152,1,1
A12,A30,A49,12204,A123,A141,A152,1,1
A14,A34,A42,1221,A122,A143,A152,2,1
A14,A31,A43,1569,A123,A141,A152,1,1
A13,A34,A49,1275,A121,A143,A152,2,1
A12,A34,A49,3590,A123,A143,A152,3,1
A11,A32,A42,4169,A122,A143,A152,1,1
A11,A32,A40,2511,A123,A143,A151,1,1
A14,A32,A46,9055,A124,A143,A153,1,1
A11,A31,A48,339,A123,A141,A152,1,1
A12,A32,A43,3213,A121,A143,A151,1,1
A14,A32,A43,1901,A123,A143,A151,1,1
A14,A32,A42,3422,A122,A141,A152,3,1
A14,A34,A43,1237,A122,A143,A152,2,1
A14,A34,A43,1851,A123,A143,A152,2,1
A12,A32,A40,1007,A121,A143,A152,1,1
A12,A32,A43,1414,A121,A143,A152,1,1
A11,A32,A41,1352,A122,A143,A151,1,1
A12,A33,A40,2899,A123,A143,A152,1,1
A12,A34,A49,3652,A122,A143,A152,2,1
A14,A32,A43,2753,A123,A143,A152,1,1
A12,A34,A41,1804,A122,A143,A152,1,1
A12,A34,A49,1887,A121,A141,A152,2,1
A14,A32,A40,2255,A122,A143,A152,1,1
A14,A32,A48,1238,A122,A143,A152,1,1
A14,A34,A43,1169,A122,A143,A152,2,1
A11,A34,A42,2348,A122,A143,A152,2,1
A14,A33,A41,2993,A121,A142,A152,2,1
A11,A34,A40,3905,A121,A143,A151,2,1
A12,A34,A43,1743,A122,A143,A152,2,1
A14,A32,A42,1768,A121,A143,A151,1,1
A12,A32,A42,3832,A122,A143,A152,1,1
A12,A34,A49,2825,A124,A143,A152,2,1
A14,A32,A41,9277,A124,A143,A153,1,1
A14,A33,A40,802,A123,A143,A152,2,1
A11,A32,A49,806,A122,A143,A152,1,1
A12,A32,A40,5866,A123,A143,A152,2,1
A13,A30,A49,6289,A122,A143,A152,2,1
A14,A32,A43,1505,A124,A143,A153,1,1
A14,A34,A40,2022,A123,A143,A152,1,1
A14,A34,A43,2743,A123,A143,A152,2,1
A14,A32,A43,776,A121,A143,A152,1,1
A14,A33,A40,10875,A123,A143,A152,2,1
A14,A32,A43,2108,A121,A143,A151,1,1
A14,A34,A40,1028,A121,A143,A152,2,1
A11,A32,A410,1755,A121,A143,A152,1,1
A11,A32,A43,3357,A123,A141,A152,1,1
A11,A32,A42,3149,A124,A141,A153,1,1
A11,A32,A42,2577,A123,A143,A152,1,1
A11,A32,A42,7882,A122,A143,A153,1,1
A14,A32,A43,1533,A123,A142,A152,1,1
A14,A34,A43,1459,A123,A143,A152,1,1
A14,A34,A42,1258,A122,A143,A151,2,1
A14,A32,A41,2603,A123,A143,A151,1,1
A11,A32,A44,343,A121,A143,A152,1,1
A14,A34,A45,996,A121,A143,A152,2,1
A14,A32,A40,1249,A121,A143,A152,1,1
A13,A33,A40,2247,A123,A142,A152,2,1
A11,A32,A42,7721,A122,A143,A152,1,1
A13,A32,A42,1474,A122,A141,A152,1,1
A14,A34,A43,1740,A121,A143,A151,2,1
A14,A34,A40,1224,A121,A143,A152,2,1
A14,A32,A42,2186,A121,A141,A151,1,1
A12,A34,A48,932,A122,A143,A152,2,1
A14,A33,A42,4151,A122,A143,A152,2,1
A14,A34,A41,5711,A123,A143,A152,2,1
A11,A31,A40,2325,A123,A141,A152,1,1
A12,A32,A43,760,A121,A143,A152,1,1
A14,A32,A42,2241,A121,A143,A152,2,1
A14,A32,A43,518,A121,A143,A152,1,1
A14,A34,A46,2012,A123,A143,A152,1,1
A14,A32,A43,2073,A121,A143,A152,1,1
A14,A32,A43,1409,A121,A143,A152,1,1
A14,A34,A40,1287,A121,A143,A152,2,1
A13,A32,A44,1225,A123,A143,A152,1,1
A14,A32,A41,2569,A123,A143,A152,1,1
A11,A32,A43,1364,A121,A143,A152,1,1
A12,A34,A43,3573,A121,A143,A152,1,1
A14,A34,A42,2069,A123,A143,A152,2,1
A14,A34,A42,4042,A121,A143,A152,2,1
A12,A32,A43,368,A122,A143,A152,1,1
A11,A32,A41,3857,A122,A143,A152,1,1
A11,A34,A40,1602,A123,A143,A152,2,1
A14,A32,A42,601,A121,A143,A151,1,1
A11,A34,A40,2799,A121,A143,A151,2,1
A14,A34,A40,250,A121,A141,A152,2,1
A14,A32,A43,999,A123,A143,A152,2,1
A14,A34,A43,1291,A122,A143,A152,2,1
A14,A30,A42,2759,A122,A143,A152,2,1
A12,A31,A41,9283,A124,A141,A153,1,1
A12,A33,A49,2427,A122,A143,A152,2,1
A14,A33,A42,960,A122,A143,A152,2,1
A14,A32,A41,8588,A123,A143,A152,1,1
A14,A32,A43,2697,A121,A143,A152,1,1
A12,A34,A43,2728,A121,A141,A152,3,1
A14,A32,A45,5190,A122,A143,A152,4,1
A11,A32,A42,2212,A123,A143,A152,1,1
A14,A33,A41,4679,A123,A143,A152,2,1
A14,A32,A43,3181,A122,A143,A152,1,1
A13,A32,A43,3399,A123,A143,A152,1,1
A11,A32,A40,1893,A122,A143,A152,1,1
A14,A34,A46,1532,A123,A143,A152,1,1
A14,A34,A41,11054,A123,A143,A152,1,1
A12,A32,A40,1549,A121,A143,A152,1,1
A12,A34,A42,7374,A122,A142,A152,2,1
A12,A33,A49,6681,A124,A143,A153,1,1
A14,A32,A43,1376,A123,A143,A152,1,1
A13,A32,A43,1377,A124,A143,A153,1,1
A12,A32,A43,1301,A121,A143,A152,1,1
A12,A31,A40,12169,A124,A143,A153,1,1
A12,A32,A40,3195,A121,A143,A152,1,1
A12,A32,A42,3001,A121,A143,A151,1,1
A14,A34,A43,6742,A122,A143,A152,2,1
A14,A33,A49,2764,A123,A143,A152,2,1
A13,A34,A42,3617,A124,A143,A151,2,1
A13,A34,A40,1299,A121,A143,A152,3,1
A14,A32,A44,1236,A121,A143,A151,1,1
A12,A34,A43,1537,A121,A143,A152,2,1
A12,A32,A41,6948,A123,A143,A151,1,1
A14,A33,A43,7238,A123,A141,A152,2,1
A12,A32,A43,1567,A123,A143,A152,1,1
A14,A34,A43,930,A121,A143,A152,4,1
A14,A32,A43,3595,A123,A143,A152,1,1
A12,A32,A43,1092,A121,A143,A152,2,1
A11,A34,A43,1880,A122,A143,A152,2,1
A14,A32,A49,1449,A123,A143,A152,2,1
A11,A34,A49,1797,A122,A141,A152,2,1
A14,A32,A40,3079,A121,A143,A152,1,1
A12,A33,A45,6204,A121,A143,A152,1,1
A11,A33,A46,8471,A123,A143,A151,2,1
A14,A32,A40,1884,A123,A143,A152,1,1
A12,A32,A40,2002,A122,A143,A151,1,1
A12,A33,A42,1050,A122,A142,A152,2,1
A14,A34,A43,700,A124,A143,A153,2,1
A14,A34,A49,1185,A121,A143,A152,2,1
A14,A34,A45,5507,A124,A143,A153,2,1
A11,A34,A45,3394,A123,A143,A152,2,1
A14,A34,A40,3380,A121,A143,A152,1,1
A14,A32,A43,3059,A121,A143,A152,1,1
A14,A34,A43,2424,A122,A143,A152,2,1
A14,A33,A43,4454,A121,A143,A152,2,1
A11,A34,A40,571,A121,A143,A152,2,1
A12,A34,A40,1175,A123,A143,A153,3,1
A14,A30,A41,9436,A122,A143,A152,1,1
A11,A34,A45,1288,A121,A143,A152,2,1
A11,A32,A43,2389,A123,A142,A152,1,1
A12,A32,A43,1158,A123,A143,A152,1,1
A12,A32,A45,2631,A121,A143,A152,1,1
A14,A34,A46,3565,A122,A143,A152,2,1
A14,A32,A49,7409,A122,A143,A152,2,1
A14,A32,A43,10222,A123,A142,A152,1,1
A13,A32,A43,3016,A123,A143,A152,1,1
A14,A32,A41,4811,A122,A142,A151,1,1
A11,A32,A40,662,A121,A143,A152,1,1
A12,A33,A41,7057,A122,A141,A151,2,1
A14,A32,A40,1418,A121,A143,A151,1,1
A13,A34,A43,1347,A122,A143,A152,2,1
A11,A32,A40,2249,A123,A143,A152,1,1
A14,A34,A43,629,A122,A141,A152,2,1
A14,A34,A43,1471,A124,A143,A153,2,1
A12,A34,A43,1154,A121,A143,A152,3,1
A14,A33,A41,8613,A123,A143,A152,2,1
A14,A32,A41,1413,A122,A143,A152,1,1
A12,A34,A41,1860,A123,A143,A152,2,1
A11,A34,A41,1409,A121,A143,A152,1,1
A14,A34,A46,701,A123,A143,A152,2,1
A14,A32,A43,804,A123,A143,A152,1,1
A14,A34,A41,5842,A122,A143,A152,2,1
A14,A34,A43,2872,A121,A143,A152,1,1
A14,A32,A42,1543,A121,A143,A152,1,1
A14,A32,A40,1283,A122,A143,A151,1,1
A13,A32,A42,2892,A124,A143,A153,1,1
A13,A32,A43,1881,A123,A143,A151,1,1
A11,A32,A40,1203,A122,A143,A152,1,1
A12,A32,A40,8487,A123,A143,A152,1,1
A13,A32,A42,2116,A121,A143,A152,1,1
A14,A32,A43,3568,A123,A141,A151,1,1
A14,A32,A43,3235,A123,A143,A152,1,1
A11,A32,A42,3620,A122,A143,A152,1,1
A14,A34,A43,1829,A123,A143,A152,2,1
A14,A34,A41,2197,A123,A143,A152,2,1
A14,A34,A43,1898,A121,A143,A152,2,1
A12,A30,A48,1410,A121,A143,A152,1,1
A14,A32,A40,1364,A123,A143,A152,1,1
A14,A34,A41,2346,A123,A143,A152,2,1
A12,A32,A43,2323,A123,A143,A151,1,1
A11,A30,A49,3104,A122,A141,A152,1,1
A12,A32,A43,1082,A123,A143,A152,2,1
A12,A34,A49,5954,A121,A141,A152,2,1
A14,A32,A43,886,A123,A143,A152,1,1
A12,A32,A43,484,A121,A141,A152,1,1
A14,A34,A40,1940,A121,A143,A152,1,1
A14,A34,A42,1592,A122,A143,A152,1,1
A13,A32,A43,1297,A121,A143,A151,1,1
A12,A32,A49,2622,A123,A143,A152,1,1
A11,A34,A40,2121,A122,A143,A152,2,1
A14,A34,A43,5954,A123,A143,A152,1,1
A14,A34,A43,1800,A123,A143,A152,2,1
A14,A33,A42,7678,A123,A143,A152,2,1
A14,A32,A42,5511,A123,A142,A152,1,1
A14,A34,A40,362,A123,A143,A152,2,1
A11,A32,A40,1168,A121,A143,A152,1,1
A14,A34,A46,2096,A121,A143,A152,1,1
A14,A34,A42,2146,A121,A143,A151,2,1
A12,A32,A42,983,A121,A143,A151,1,1
A12,A32,A41,2760,A124,A141,A153,1,1
A11,A32,A43,3660,A123,A143,A152,1,1
A13,A33,A43,683,A122,A141,A152,1,1
A14,A33,A41,8947,A123,A142,A152,1,1
A13,A34,A43,3656,A122,A142,A152,2,1
A13,A32,A43,1258,A123,A143,A152,1,1
A13,A32,A40,709,A121,A143,A152,1,1
A11,A34,A40,1038,A122,A143,A152,2,1
A14,A34,A43,730,A122,A143,A151,2,1
A11,A32,A42,1747,A122,A143,A152,1,1
A11,A34,A41,6419,A124,A143,A153,2,1
A11,A30,A42,4583,A121,A143,A152,2,1
A14,A32,A43,1867,A123,A143,A152,1,1
A13,A34,A40,1343,A121,A143,A152,2,1
A14,A34,A46,1244,A122,A143,A151,2,1
A14,A32,A46,727,A124,A143,A153,1,1
A12,A30,A42,3244,A123,A141,A152,2,1
A14,A32,A42,3972,A122,A143,A151,1,1
A12,A32,A43,1715,A123,A143,A152,1,1
A14,A32,A45,660,A121,A143,A151,1,1
A14,A34,A43,1316,A122,A143,A152,2,1
A11,A31,A42,2483,A121,A142,A152,1,1
A13,A34,A40,1323,A123,A143,A152,2,1
A14,A34,A40,1255,A121,A143,A152,2,1
A14,A34,A40,1231,A121,A143,A152,2,1
A14,A32,A41,2901,A121,A143,A151,1,1
A12,A34,A43,1795,A121,A141,A151,2,1
A14,A32,A43,1552,A123,A141,A152,1,1
A14,A32,A43,2675,A123,A143,A152,1,1
A12,A34,A42,3612,A122,A143,A152,1,1
A12,A33,A49,6967,A123,A143,A151,1,1
A14,A34,A41,3229,A124,A143,A152,1,1
A12,A33,A43,4771,A122,A143,A152,1,1
A12,A30,A49,4221,A123,A143,A152,2,1
A14,A32,A40,3757,A124,A143,A153,1,1
A13,A34,A43,3017,A122,A143,A152,1,1
A14,A32,A42,1766,A122,A143,A151,1,1
A12,A32,A43,1967,A123,A143,A152,1,1
A14,A32,A48,937,A123,A143,A152,2,1
A14,A34,A40,682,A123,A143,A152,2,1
A14,A32,A41,1236,A122,A143,A151,1,1
A12,A33,A41,5965,A123,A143,A152,2,1
A12,A32,A40,6078,A123,A143,A152,1,1
A14,A34,A43,976,A123,A143,A152,2,1
A12,A31,A42,3496,A123,A142,A152,1,1
A12,A32,A45,3872,A123,A143,A152,1,1
A14,A32,A44,1262,A122,A143,A152,2,1
A12,A32,A48,754,A122,A143,A152,2,1
A11,A32,A42,3021,A121,A143,A151,1,1
A13,A32,A40,3949,A122,A143,A152,1,1
A13,A34,A46,1047,A122,A143,A152,1,1
A12,A34,A41,5800,A123,A143,A152,2,1
A14,A34,A42,3780,A123,A143,A152,2,1
A14,A32,A41,4657,A123,A143,A152,1,1
A13,A32,A43,5848,A123,A143,A152,1,1
A11,A32,A43,1936,A123,A143,A151,2,1
A12,A34,A42,6361,A124,A143,A152,1,1
A12,A33,A43,7418,A121,A143,A152,1,1
A11,A34,A43,1169,A121,A143,A152,2,1
A14,A32,A40,3577,A121,A143,A151,1,1
A12,A32,A40,7472,A121,A143,A151,1,1
A12,A32,A41,2779,A123,A143,A151,1,1
A14,A32,A40,2390,A123,A143,A152,1,1
A12,A32,A43,2896,A123,A143,A152,1,1
A11,A32,A40,3651,A122,A143,A152,1,1
A14,A32,A40,10366,A122,A143,A152,1,1
A14,A34,A40,1393,A123,A143,A152,2,1
A14,A32,A41,1300,A124,A141,A153,1,1
A14,A34,A42,2406,A123,A143,A152,1,1
A12,A32,A45,1514,A121,A143,A152,1,1
A14,A32,A40,2782,A123,A141,A152,1,1
A14,A32,A43,2333,A123,A141,A152,1,1
A11,A32,A41,6579,A124,A143,A153,1,1
A14,A30,A43,426,A123,A143,A152,1,1
A14,A33,A40,717,A123,A143,A152,2,1
A14,A34,A43,5103,A124,A143,A153,3,1
A14,A34,A43,1655,A121,A143,A152,2,1
A12,A33,A43,585,A121,A143,A151,2,1
A12,A32,A43,2576,A121,A143,A152,1,1
A12,A32,A49,2528,A122,A143,A152,1,1
A11,A32,A42,3622,A122,A143,A151,2,1
A14,A34,A41,10477,A124,A143,A153,2,1
A14,A34,A49,6304,A121,A143,A152,2,1
A14,A32,A42,929,A123,A142,A152,1,1
A12,A32,A43,790,A121,A143,A152,1,1
A12,A30,A41,6148,A123,A141,A152,2,1
A12,A32,A43,1206,A121,A143,A152,1,1
A14,A32,A43,2141,A124,A143,A152,1,1
A12,A32,A46,1239,A124,A143,A153,1,1
A14,A34,A43,522,A122,A143,A152,2,1
A12,A32,A42,4351,A122,A143,A152,1,1
A11,A32,A41,2812,A121,A143,A151,1,1
A14,A33,A49,3863,A124,A143,A153,1,1
A11,A32,A42,3590,A122,A143,A152,1,1
A14,A34,A43,6070,A123,A143,A152,2,1
A14,A34,A40,1163,A121,A143,A152,1,1
A11,A32,A43,2384,A121,A141,A151,1,1
A14,A34,A40,7228,A122,A143,A152,2,1
A12,A33,A43,1553,A122,A143,A151,2,1
A12,A33,A410,7582,A124,A143,A153,1,1
A14,A32,A42,2835,A122,A143,A152,1,1
A14,A32,A46,1393,A122,A141,A152,3,1
A11,A34,A42,4272,A122,A143,A152,2,1
A12,A32,A42,1577,A121,A143,A152,1,1
A11,A32,A42,3959,A122,A143,A152,1,1
A14,A33,A43,15653,A123,A143,A152,2,1
A14,A32,A40,1469,A121,A143,A151,1,1
A12,A34,A41,7758,A124,A143,A151,1,1
A11,A32,A40,1721,A121,A143,A152,1,1
A11,A32,A43,2606,A122,A143,A151,1,1
A14,A32,A41,8133,A122,A141,A152,1,1
A12,A32,A49,1913,A121,A141,A152,1,1
A12,A32,A49,841,A121,A143,A151,1,1
A14,A34,A42,1585,A122,A143,A152,2,1
A12,A32,A42,2030,A123,A143,A152,1,1
A12,A34,A40,1322,A123,A143,A152,2,1
A11,A34,A40,2122,A121,A143,A151,2,1
A14,A33,A43,932,A121,A143,A152,1,1
A11,A32,A41,4788,A122,A143,A152,1,1
A11,A34,A40,3676,A121,A143,A151,3,1
A14,A34,A42,3777,A121,A143,A152,1,1
A12,A32,A46,2273,A123,A143,A152,2,1
A11,A32,A43,2647,A121,A143,A151,1,1
A11,A32,A46,1200,A122,A141,A151,1,1
A14,A32,A43,2279,A124,A143,A153,1,1
A11,A34,A43,385,A121,A143,A152,4,1
A14,A34,A43,3077,A123,A143,A152,2,1
A13,A34,A43,3148,A123,A143,A152,2,1
A14,A33,A42,1591,A121,A143,A152,2,1
A14,A34,A43,2223,A122,A141,A152,2,1
A14,A32,A43,1413,A122,A143,A152,1,1
A14,A34,A43,1098,A123,A143,A152,2,1
A12,A32,A49,907,A121,A143,A152,1,1
A14,A34,A46,1927,A123,A143,A152,2,1
A14,A32,A42,3062,A124,A143,A151,1,1
A13,A32,A46,1905,A123,A143,A151,1,1
A14,A32,A40,5324,A124,A143,A153,1,1
A12,A33,A40,2862,A124,A143,A153,1,1
A12,A32,A42,1521,A123,A143,A152,1,1
A13,A32,A43,5152,A123,A141,A152,1,1
A11,A33,A40,1344,A121,A143,A152,2,1
A11,A32,A40,3763,A121,A143,A152,1,1
A14,A33,A43,1478,A121,A141,A152,2,1
A12,A32,A49,4439,A121,A141,A152,1,1
A14,A32,A42,2221,A123,A143,A151,1,1
A12,A32,A43,2415,A121,A143,A152,1,1
A14,A32,A40,3518,A122,A143,A151,1,1
A14,A32,A40,1474,A121,A143,A152,1,1
A11,A34,A43,1138,A121,A143,A152,2,1
A14,A32,A42,1574,A121,A143,A152,1,1
A11,A32,A43,701,A121,A143,A152,1,1
