@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute ResidenceSince numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,A64,4,A143,A152,A173,1,1
A14,A65,1,A143,A152,A173,1,1
A13,A65,3,A143,A152,A174,1,1
A12,A65,2,A141,A152,A171,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A62,2,A143,A152,A172,1,1
A13,A61,2,A143,A152,A173,1,1
A13,A61,4,A143,A152,A173,1,1
A12,A61,4,A143,A152,A173,1,1
A14,A64,2,A143,A152,A173,1,1
A12,A65,2,A141,A152,A174,1,1
A12,A65,2,A143,A152,A172,1,1
A14,A65,4,A143,A153,A173,1,1
A11,A61,4,A143,A152,A172,2,1
A14,A62,4,A143,A151,A173,1,1
A13,A61,2,A142,A152,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A14,A62,3,A143,A152,A173,1,1
A12,A63,4,A143,A151,A171,1,1
A14,A61,3,A143,A153,A173,1,1
A14,A61,1,A143,A152,A173,1,1
A12,A61,2,A143,A152,A173,1,1
A14,A61,2,A143,A152,A174,1,1
A14,A62,2,A143,A152,A173,1,1
A12,A61,3,A143,A152,A173,1,1
A14,A61,3,A141,A153,A173,1,1
A12,A61,2,A141,A153,A174,1,1
A12,A61,2,A143,A152,A172,1,1
A14,A61,4,A143,A151,A173,1,1
A11,A61,2,A143,A152,A173,1,1
A14,A61,3,A143,A152,A173,1,1
A11,A64,2,A141,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A11,A61,4,A143,A152,A173,1,1
A11,A61,4,A143,A152,A173,2,1
A14,A61,2,A143,A152,A173,1,1
A11,A61,2,A143,A152,A172,2,1
A12,A61,3,A143,A151,A174,1,1
A11,A61,4,A141,A153,A174,2,1
A11,A61,3,A143,A152,A172,1,1
A11,A61,4,A143,A151,A173,1,1
A14,A65,2,A142,A152,A172,2,1
A12,A61,4,A143,A152,A172,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A61,3,A143,A152,A172,1,1
A12,A61,4,A143,A153,A173,1,1
A11,A61,1,A143,A153,A174,1,1
A11,A61,3,A143,A152,A173,1,1
A12,A65,2,A143,A151,A171,1,1
A14,A61,1,A143,A152,A172,2,1
A14,A61,3,A143,A152,A173,2,1
A11,A61,3,A143,A152,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A14,A61,2,A141,A152,A174,1,1
A14,A61,2,A143,A153,A174,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A62,4,A143,A151,A172,1,1
A14,A65,4,A142,A151,A172,1,1
A14,A61,4,A143,A152,A173,1,1
A14,A61,4,A143,A152,A174,1,1
A13,A63,4,A141,A153,A171,1,1
A11,A61,2,A141,A152,A172,1,1
A12,A65,4,A143,A153,A174,1,1
A14,A64,4,A143,A151,A173,1,1
A12,A61,3,A141,A152,A172,2,1
A14,A64,4,A141,A152,A172,1,1
A14,A65,1,A143,A152,A173,1,1
A14,A61,3,A141,A152,A173,1,1
A11,A61,4,A141,A151,A173,1,1
A11,A61,1,A143,A152,A174,1,1
A11,A61,1,A141,A152,A172,1,1
A12,A65,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A172,1,1
A14,A65,2,A143,A152,A173,1,1
A11,A64,4,A143,A151,A174,1,1
A14,A63,1,A143,A152,A174,1,1
A14,A62,2,A143,A151,A173,2,1
A14,A65,2,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A62,4,A141,A152,A172,2,1
A14,A65,4,A143,A151,A173,1,1
A12,A61,3,A143,A152,A173,1,1
A12,A61,3,A143,A151,A173,1,1
A12,A65,4,A143,A152,A172,1,1
A12,A62,4,A143,A152,A172,1,1
A14,A65,2,A143,A152,A173,2,1
A11,A65,2,A143,A152,A173,1,1
A13,A61,1,A141,A152,A174,1,1
A14,A65,4,A143,A151,A173,1,1
A14,A65,4,A143,A152,A174,1,1
A12,A61,4,A143,A152,A173,1,1
A12,A65,4,A143,A152,A173,1,1
A11,A61,4,A143,A153,A173,1,1
A11,A61,4,A143,A153,A173,2,1
A14,A62,4,A143,A152,A173,1,1
A12,A61,4,A143,A152,A172,1,1
A11,A61,4,A143,A152,A174,1,1
A11,A61,4,A143,A151,A172,1,1
A13,A61,4,A143,A153,A173,1,1
A11,A61,1,A143,A153,A174,1,1
A14,A64,1,A143,A152,A172,1,1
A12,A65,4,A143,A152,A173,1,1
A14,A62,3,A143,A152,A173,1,1
A11,A61,2,A143,A151,A172,1,1
A14,A61,4,A143,A152,A173,1,1
A12,A61,4,A143,A151,A173,1,1
A12,A62,2,A143,A152,A173,1,1
A12,A65,2,A141,A152,A174,1,1
A14,A65,4,A143,A152,A173,2,1
A11,A61,4,A143,A152,A172,1,1
A12,A65,4,A143,A152,A173,1,1
A14,A61,2,A141,A151,A174,1,1
A14,A63,2,A143,A152,A172,1,1
A12,A61,3,A143,A152,A173,1,1
A14,A63,4,A143,A151,A172,1,1
A11,A61,4,A143,A151,A174,1,1
A14,A61,1,A143,A152,A172,2,1
A14,A61,2,A143,A152,A173,2,1
A14,A61,4,A143,A152,A173,1,1
A12,A61,4,A143,A152,A172,2,1
A11,A61,2,A143,A151,A172,2,1
A14,A61,4,A143,A152,A172,2,1
A14,A63,4,A143,A153,A172,1,1
A14,A61,1,A143,A152,A172,2,1
A13,A61,2,A143,A152,A173,1,1
A11,A61,3,A143,A151,A173,2,1
A11,A61,2,A143,A152,A173,1,1
A11,A61,2,A142,A152,A173,1,1
A11,A61,1,A143,A152,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A13,A61,1,A143,A152,A173,1,1
A12,A65,2,A143,A152,A173,1,1
A13,A65,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A172,1,1
A12,A61,1,A143,A152,A173,1,1
A14,A63,2,A143,A152,A174,1,1
A14,A65,4,A143,A151,A173,1,1
A14,A61,3,A143,A151,A172,2,1
A11,A61,4,A143,A152,A172,1,1
A14,A61,4,A143,A152,A172,1,1
A14,A61,4,A143,A151,A173,1,1
A11,A61,4,A143,A152,A173,1,1
A12,A62,4,A143,A152,A173,1,1
A14,A65,4,A143,A152,A174,1,1
A12,A62,1,A143,A152,A173,1,1
A12,A61,4,A143,A152,A173,1,1
A14,A61,3,A143,A152,A173,1,1
A14,A62,2,A143,A152,A173,2,1
A12,A65,2,A143,A152,A173,1,1
A12,A62,3,A141,A152,A173,1,1
A14,A62,2,A143,A152,A173,1,1
A14,A61,3,A141,A152,A173,1,1
A11,A61,2,A142,A152,A172,1,1
A14,A65,4,A143,A153,A173,1,1
A11,A65,4,A143,A152,A173,1,1
A14,A65,3,A143,A152,A173,1,1
A14,A61,2,A143,A152,A172,1,1
A14,A61,2,A143,A152,A173,1,1
A13,A61,4,A143,A153,A173,1,1
A14,A61,4,A141,A153,A172,1,1
A12,A61,2,A143,A151,A173,1,1
A14,A65,1,A143,A153,A173,1,1
A14,A65,2,A142,A152,A173,1,1
A14,A61,2,A143,A152,A172,2,1
A12,A61,4,A143,A152,A173,1,1
A12,A65,2,A141,A152,A172,1,1
A14,A61,4,A143,A152,A172,2,1
A12,A62,4,A143,A153,A173,1,1
A11,A61,2,A143,A151,A173,2,1
A14,A65,3,A143,A152,A173,1,1
A14,A61,2,A143,A152,A172,1,1
A14,A65,2,A143,A152,A174,1,1
A14,A61,1,A143,A152,A173,1,1
A14,A62,3,A143,A152,A173,1,1
A14,A64,2,A141,A152,A172,1,1
A11,A61,4,A143,A153,A174,2,1
A14,A62,4,A143,A152,A173,1,1
A12,A61,1,A142,A152,A174,1,1
A14,A62,3,A143,A152,A172,1,1
A12,A61,3,A143,A151,A172,1,1
A14,A61,4,A143,A151,A173,1,1
A13,A61,1,A141,A152,A173,1,1
A14,A65,2,A143,A151,A172,1,1
A12,A61,3,A141,A152,A172,1,1
A12,A65,1,A143,A152,A173,1,1
A14,A61,3,A142,A152,A173,1,1
A14,A63,3,A141,A152,A174,1,1
A14,A61,2,A143,A151,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A11,A61,1,A143,A152,A173,1,1
A14,A61,1,A143,A152,A173,1,1
A14,A64,2,A143,A152,A174,1,1
A14,A64,2,A143,A152,A173,1,1
A11,A65,4,A143,A152,A173,1,1
A11,A65,3,A143,A151,A173,1,1
A11,A61,3,A143,A152,A172,1,1
A12,A61,3,A143,A151,A173,1,1
A12,A61,2,A143,A152,A172,1,1
A11,A65,4,A141,A153,A173,2,1
A14,A65,2,A141,A152,A174,2,1
A12,A61,4,A143,A152,A173,1,1
A14,A65,4,A143,A152,A172,1,1
A14,A61,4,A143,A152,A174,1,1
A14,A62,4,A143,A151,A172,1,1
A12,A62,3,A143,A152,A172,2,1
A12,A65,3,A143,A152,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A14,A61,3,A141,A152,A172,1,1
A14,A63,4,A143,A151,A173,1,1
A11,A61,4,A141,A153,A174,2,1
A14,A65,4,A143,A152,A173,1,1
A13,A61,2,A143,A152,A173,1,1
A11,A61,3,A143,A152,A173,1,1
A12,A65,4,A141,A153,A171,1,1
A12,A61,1,A143,A152,A172,1,1
A14,A61,2,A143,A152,A173,1,1
A12,A61,4,A143,A151,A173,1,1
A12,A61,2,A143,A152,A173,1,1
A14,A65,1,A143,A152,A173,1,1
A12,A61,3,A143,A152,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A11,A62,4,A143,A152,A172,2,1
A13,A61,4,A143,A151,A174,1,1
A14,A63,2,A143,A152,A173,1,1
A12,A65,4,A141,A152,A173,1,1
A11,A63,1,A143,A152,A173,1,1
A12,A61,4,A141,A151,A172,1,1
A14,A63,4,A143,A151,A173,1,1
A14,A62,2,A143,A152,A174,1,1
A14,A62,4,A143,A152,A173,1,1
A14,A63,3,A143,A152,A173,1,1
A14,A61,1,A142,A152,A173,1,1
A12,A61,4,A143,A152,A173,2,1
A13,A61,2,A143,A152,A174,1,1
A12,A62,4,A143,A152,A173,1,1
A14,A65,3,A143,A152,A173,1,1
A12,A61,4,A143,A151,A172,1,1
A11,A61,2,A143,A151,A174,2,1
A11,A61,4,A143,A152,A172,1,1
A14,A61,3,A143,A152,A174,2,1
A14,A65,4,A141,A151,A172,1,1
A12,A64,2,A142,A152,A173,2,1
A14,A61,4,A143,A152,A173,1,1
A14,A61,2,A143,A151,A173,1,1
A11,A61,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A11,A61,2,A143,A152,A173,1,1
A12,A64,4,A143,A151,A172,1,1
A14,A61,1,A141,A152,A173,2,1
A14,A65,4,A143,A151,A172,1,1
A11,A61,2,A143,A152,A174,1,1
A11,A61,2,A143,A152,A172,2,1
A13,A62,4,A143,A152,A173,1,1
A12,A64,4,A143,A152,A173,1,1
A14,A62,1,A143,A152,A173,1,1
A14,A63,4,A143,A152,A173,1,1
A14,A62,4,A143,A152,A173,2,1
A11,A61,4,A143,A153,A174,1,1
A14,A65,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A172,1,1
A14,A63,4,A143,A152,A173,1,1
A12,A61,3,A143,A152,A171,2,1
A14,A63,4,A143,A153,A173,1,1
A14,A61,1,A143,A152,A172,2,1
A11,A65,4,A143,A151,A172,1,1
A14,A63,2,A141,A152,A174,1,1
A14,A61,2,A143,A152,A173,1,1
A11,A64,4,A143,A151,A173,1,1
A14,A61,1,A143,A152,A173,1,1
A11,A61,4,A143,A152,A173,1,1
A14,A65,4,A143,A151,A173,1,1
A12,A65,4,A143,A152,A173,2,1
A14,A64,2,A143,A152,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A13,A61,2,A143,A152,A173,1,1
A14,A63,4,A143,A152,A173,1,1
A14,A64,3,A143,A152,A173,2,1
A12,A63,4,A141,A152,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A14,A61,1,A143,A152,A173,1,1
A12,A61,2,A143,A152,A173,1,1
A14,A61,3,A143,A152,A172,1,1
A13,A65,4,A143,A152,A174,1,1
A13,A62,1,A141,A152,A174,1,1
A12,A61,2,A143,A152,A172,2,1
A12,A62,4,A141,A152,A173,1,1
A11,A63,4,A142,A152,A173,1,1
A11,A62,1,A143,A152,A173,1,1
A12,A61,2,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,2,1
A12,A65,2,A141,A152,A173,1,1
A14,A62,4,A143,A152,A173,1,1
A14,A62,1,A142,A152,A173,1,1
A14,A61,1,A142,A152,A173,1,1
A14,A65,4,A143,A152,A174,2,1
A14,A61,4,A143,A152,A173,1,1
A12,A61,1,A141,A152,A172,1,1
A12,A61,4,A141,A152,A173,1,1
A12,A61,3,A143,A152,A172,1,1
A11,A61,1,A141,A152,A173,1,1
A14,A65,4,A143,A153,A173,1,1
A12,A61,1,A143,A152,A173,2,1
A13,A61,4,A143,A151,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A65,4,A143,A152,A173,2,1
A14,A61,3,A143,A151,A173,1,1
A11,A61,2,A143,A151,A173,2,1
A12,A65,4,A141,A151,A174,2,1
A14,A65,2,A143,A152,A173,1,1
A14,A61,2,A143,A153,A173,1,1
A14,A65,4,A143,A151,A173,1,1
A11,A61,4,A141,A151,A172,1,1
A14,A63,3,A142,A152,A173,1,1
A11,A61,1,A143,A152,A172,1,1
A14,A64,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A174,1,1
A11,A61,2,A143,A152,A172,2,1
A11,A64,2,A143,A152,A173,1,1
A11,A65,4,A143,A151,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A13,A61,2,A143,A152,A173,1,1
A11,A65,3,A141,A152,A173,1,1
A13,A64,4,A143,A152,A173,1,1
A14,A65,3,A141,A152,A173,2,1
A14,A61,2,A143,A152,A173,1,1
A14,A65,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A174,1,1
A14,A63,2,A143,A152,A173,1,1
A14,A65,4,A143,A151,A173,1,1
A14,A63,4,A143,A152,A173,1,1
A14,A62,2,A143,A151,A172,1,1
A11,A61,4,A143,A152,A171,1,1
A11,A62,2,A143,A152,A173,1,1
A11,A65,2,A143,A152,A172,1,1
A11,A61,1,A142,A152,A173,1,1
A11,A61,1,A141,A152,A173,1,1
A11,A61,4,A143,A153,A174,2,1
A14,A63,4,A143,A152,A173,1,1
A12,A61,4,A143,A152,A172,1,1
A12,A61,4,A143,A152,A172,1,1
A14,A61,2,A143,A153,A174,1,1
A12,A62,2,A143,A151,A173,1,1
A14,A62,3,A143,A152,A174,1,1
A12,A61,1,A143,A152,A173,2,1
A14,A62,4,A143,A152,A173,1,1
A12,A61,1,A143,A152,A173,1,1
A14,A65,4,A141,A153,A173,2,1
A14,A64,2,A143,A152,A173,1,1
A14,A63,2,A143,A152,A173,2,1
A12,A65,1,A143,A152,A173,2,1
A14,A65,4,A143,A152,A173,1,1
A12,A65,4,A141,A153,A173,1,1
A12,A64,2,A143,A152,A173,1,1
A14,A61,2,A143,A152,A171,1,1
A11,A61,1,A143,A151,A173,1,1
A11,A61,1,A143,A152,A173,1,1
A14,A61,3,A143,A152,A173,1,1
A11,A61,4,A143,A152,A172,2,1
A12,A65,4,A143,A153,A173,1,1
A14,A61,3,A143,A151,A173,1,1
A12,A65,2,A143,A152,A173,1,1
A14,A61,4,A143,A153,A173,1,1
A11,A61,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A65,1,A143,A152,A172,2,1
A14,A61,4,A143,A152,A173,1,1
A11,A61,3,A143,A152,A173,1,1
A14,A65,3,A143,A152,A174,2,1
A13,A62,2,A143,A153,A173,1,1
A14,A61,4,A143,A151,A172,1,1
A13,A61,1,A143,A152,A172,2,1
A11,A61,4,A143,A152,A173,1,1
A13,A61,2,A143,A152,A172,1,1
A12,A63,1,A143,A152,A173,1,1
A13,A61,1,A143,A152,A173,1,1
A12,A61,2,A143,A152,A172,1,1
A14,A64,4,A143,A152,A172,1,1
A14,A64,2,A143,A152,A173,1,1
A14,A61,3,A143,A152,A173,1,1
A14,A63,4,A143,A153,A173,1,1
A12,A63,3,A143,A152,A172,1,1
A14,A65,4,A143,A152,A173,1,1
A11,A61,2,A143,A152,A173,1,1
A12,A65,3,A143,A152,A173,2,1
A12,A61,1,A143,A152,A172,1,1
A14,A63,4,A143,A152,A173,1,1
A11,A65,2,A143,A151,A173,1,1
A11,A65,3,A143,A152,A172,2,1
A12,A61,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A64,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A12,A65,1,A143,A152,A173,1,1
A11,A64,4,A143,A152,A172,1,1
A14,A61,4,A143,A152,A171,1,1
A12,A65,3,A143,A152,A172,1,1
A11,A62,4,A143,A151,A173,1,1
A11,A61,4,A141,A153,A174,1,1
A12,A61,1,A143,A152,A173,1,1
A11,A61,4,A143,A151,A173,1,1
A12,A61,3,A143,A152,A172,2,1
A12,A61,3,A143,A153,A171,1,1
A11,A61,4,A143,A151,A173,1,1
A14,A61,4,A141,A152,A173,2,1
A14,A61,4,A143,A152,A173,1,1
A11,A61,1,A141,A152,A173,1,1
A11,A61,4,A141,A152,A173,2,1
A14,A65,3,A143,A152,A173,1,1
A14,A63,3,A143,A152,A172,2,1
A12,A61,3,A141,A152,A172,1,1
A14,A65,2,A143,A152,A172,2,1
A13,A61,4,A143,A152,A172,1,1
A11,A61,4,A143,A151,A173,1,1
A11,A65,4,A143,A152,A174,1,1
A11,A61,3,A143,A152,A174,1,1
A11,A61,2,A143,A153,A174,1,1
A14,A64,4,A143,A152,A173,1,1
A14,A65,4,A143,A153,A174,1,1
A12,A61,1,A143,A152,A173,1,1
A12,A61,2,A143,A152,A173,1,1
A12,A61,3,A141,A152,A173,1,1
A14,A62,3,A143,A152,A173,1,1
A14,A65,4,A143,A153,A173,2,1
A14,A61,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A65,2,A143,A152,A172,2,1
A11,A63,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A174,1,1
A13,A61,1,A143,A152,A171,2,1
A14,A61,2,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,2,1
A14,A65,3,A143,A152,A173,2,1
A12,A61,2,A143,A151,A174,1,1
A12,A61,2,A143,A152,A172,1,1
A13,A61,1,A142,A152,A172,1,1
A12,A61,2,A143,A152,A172,1,1
A12,A64,1,A143,A152,A173,1,1
A14,A61,4,A143,A153,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A12,A62,4,A143,A152,A173,1,1
A11,A61,2,A143,A152,A173,2,1
A13,A62,4,A143,A152,A173,2,1
A13,A61,4,A143,A152,A173,2,1
A13,A64,3,A143,A151,A173,1,1
A14,A61,2,A143,A152,A172,1,1
A11,A61,2,A143,A152,A172,1,1
A11,A61,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A172,1,1
A12,A61,4,A141,A153,A174,1,1
A11,A61,3,A143,A152,A173,1,1
A13,A61,1,A143,A152,A173,1,1
A11,A62,4,A143,A152,A173,2,1
A14,A65,4,A141,A151,A173,2,1
A14,A61,1,A143,A152,A174,1,1
A13,A61,4,A143,A151,A173,1,1
A12,A61,2,A143,A152,A172,1,1
A11,A65,4,A141,A151,A173,1,1
A14,A61,3,A143,A152,A174,1,1
A14,A61,4,A142,A152,A173,1,1
A12,A61,4,A143,A151,A173,2,1
A11,A61,4,A143,A153,A174,1,1
A14,A65,4,A143,A152,A173,1,1
A11,A62,3,A143,A152,A174,2,1
A14,A61,4,A143,A152,A173,1,1
A13,A61,2,A141,A152,A173,1,1
A13,A63,3,A143,A152,A172,1,1
A14,A61,4,A143,A153,A173,1,1
A12,A61,1,A143,A152,A174,1,1
A11,A61,3,A143,A152,A173,2,1
A11,A61,4,A143,A152,A173,1,1
A14,A61,3,A143,A152,A173,1,1
A14,A65,3,A143,A152,A173,1,1
A14,A61,2,A142,A152,A173,1,1
A12,A61,1,A141,A152,A174,1,1
A14,A65,4,A141,A153,A174,1,1
A14,A61,2,A141,A152,A173,1,1
A14,A61,1,A143,A152,A173,1,1
A11,A64,3,A143,A152,A173,2,1
A12,A62,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A11,A61,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A13,A61,4,A143,A151,A173,1,1
A12,A65,4,A143,A152,A173,1,1
A14,A64,2,A142,A152,A172,2,1
A12,A62,3,A143,A151,A173,1,1
A12,A61,1,A143,A152,A173,1,1
A12,A65,1,A143,A152,A172,1,1
A14,A61,4,A143,A152,A173,1,1
A11,A61,4,A143,A151,A173,1,1
A14,A63,2,A143,A152,A173,2,1
A14,A65,2,A143,A152,A173,1,1
A14,A65,4,A143,A152,A174,2,1
A14,A65,2,A143,A152,A173,2,1
A12,A61,1,A143,A152,A173,1,1
A14,A61,2,A141,A152,A173,1,1
A12,A62,2,A142,A152,A173,1,1
A14,A63,2,A143,A151,A172,2,1
A14,A63,2,A141,A152,A174,1,1
A12,A61,1,A143,A152,A173,1,1
A14,A61,4,A143,A153,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A11,A61,3,A143,A152,A174,1,1
A11,A61,4,A143,A153,A174,1,1
A12,A62,4,A143,A151,A174,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A63,4,A143,A151,A173,1,1
A12,A65,4,A143,A152,A174,1,1
A14,A65,4,A143,A152,A174,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A12,A65,4,A143,A152,A173,1,1
A11,A61,1,A141,A153,A173,1,1
A12,A61,1,A143,A152,A173,1,1
A11,A61,1,A143,A151,A173,1,1
A11,A65,4,A143,A152,A172,1,1
A11,A63,3,A143,A151,A173,2,1
A14,A61,2,A141,A152,A173,1,1
A13,A65,4,A141,A152,A172,1,1
A14,A61,4,A143,A151,A174,1,1
A14,A65,4,A143,A152,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A14,A62,3,A143,A152,A173,1,1
A11,A61,4,A143,A153,A174,1,1
A14,A64,3,A143,A152,A173,1,1
A14,A63,2,A143,A152,A173,1,1
A14,A65,2,A143,A152,A172,1,1
A14,A61,2,A143,A152,A173,1,1
A12,A62,2,A143,A152,A173,1,1
A11,A61,4,A143,A153,A174,1,1
A12,A62,4,A143,A153,A174,1,1
A14,A61,1,A143,A152,A174,1,1
A14,A63,3,A143,A151,A173,1,1
A14,A65,4,A143,A152,A172,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A62,4,A141,A152,A173,1,1
A14,A65,2,A143,A152,A173,1,1
A13,A61,2,A143,A151,A172,1,1
A12,A64,4,A143,A152,A173,1,1
A14,A62,4,A143,A152,A172,1,1
A12,A61,4,A142,A152,A172,1,1
A14,A61,4,A143,A152,A174,1,1
A14,A61,2,A142,A152,A172,1,1
A11,A63,4,A142,A152,A173,1,1
A14,A61,2,A143,A152,A172,1,1
A11,A61,1,A143,A152,A172,1,1
A11,A61,4,A141,A152,A172,1,1
A14,A65,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A171,1,1
A14,A61,2,A143,A151,A174,2,1
A14,A65,2,A143,A152,A173,1,1
A14,A62,3,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A62,2,A143,A152,A172,1,1
A14,A61,2,A143,A152,A174,1,1
A11,A61,4,A143,A152,A173,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A65,4,A143,A153,A172,2,1
A12,A61,4,A143,A152,A173,1,1
A14,A61,2,A143,A151,A173,1,1
A14,A61,2,A143,A151,A173,1,1
A11,A61,4,A143,A152,A173,1,1
A11,A61,3,A143,A152,A173,1,1
A14,A64,4,A143,A152,A173,1,1
A14,A64,4,A143,A151,A173,1,1
A13,A65,2,A143,A152,A173,1,1
A12,A61,3,A143,A152,A173,1,1
A14,A65,4,A143,A152,A173,1,1
A14,A61,2,A143,A151,A173,1,1
A12,A61,4,A143,A152,A173,1,1
A13,A61,2,A143,A152,A173,1,1
A12,A61,4,A143,A152,A173,1,1
A12,A61,2,A143,A152,A173,1,1
A14,A65,4,A143,A152,A174,2,1
A11,A65,3,A143,A152,A174,1,1
A12,A61,3,A143,A152,A173,1,1
A14,A61,4,A143,A152,A173,1,1
A14,A62,4,A143,A152,A172,1,1
A14,A61,2,A143,A152,A173,1,1
A14,A62,1,A141,A151,A173,1,1
A11,A61,3,A143,A152,A172,2,1
A14,A64,2,A143,A152,A173,1,1
A14,A61,4,A143,A152,A172,1,1
A14,A61,2,A141,A151,A172,1,2
A12,A61,3,A143,A152,A174,2,2
A12,A65,2,A143,A152,A173,1,2
A12,A62,2,A143,A151,A173,1,2
A12,A61,2,A143,A152,A173,1,2
A11,A61,1,A143,A152,A173,1,2
A11,A61,4,A143,A151,A173,1,2
A14,A61,2,A141,A152,A173,1,2
A14,A63,4,A143,A151,A172,1,2
A14,A63,2,A141,A153,A173,1,2
A11,A61,4,A141,A152,A173,1,2
A11,A61,4,A142,A152,A172,1,2
A14,A61,2,A143,A152,A174,1,2
A12,A61,2,A143,A152,A173,1,2
A14,A65,2,A141,A152,A173,1,2
A14,A61,2,A143,A152,A174,1,2
A14,A63,2,A141,A152,A172,2,2
A11,A61,1,A141,A152,A173,1,2
A11,A61,3,A143,A152,A173,1,2
A12,A61,4,A143,A153,A174,1,2
A14,A62,2,A143,A152,A174,1,2
