@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute InstallmentRate numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,12,1,A143,1,A191,1
A12,12,4,A143,1,A191,1
A14,24,3,A143,1,A192,1
A14,4,2,A143,3,A191,1
A11,18,3,A141,1,A192,1
A12,12,1,A143,1,A191,1
A12,24,2,A143,2,A192,1
A12,36,4,A143,1,A191,1
A14,24,4,A143,2,A191,1
A14,15,4,A143,2,A191,1
A14,33,2,A143,2,A192,1
A14,24,4,A143,1,A192,1
A14,12,2,A143,1,A192,1
A11,18,4,A143,1,A192,1
A14,12,4,A143,1,A191,1
A12,36,3,A143,2,A192,1
A14,18,4,A143,2,A191,1
A14,18,3,A143,2,A192,1
A14,12,3,A143,1,A191,1
A14,18,4,A143,2,A192,1
A11,39,4,A143,2,A192,1
A14,18,4,A141,2,A192,1
A12,13,2,A143,1,A191,1
A14,6,2,A141,1,A192,1
A14,18,3,A143,2,A191,1
A12,14,1,A143,1,A192,1
A14,10,3,A143,1,A191,1
A13,6,2,A143,1,A191,1
A12,18,1,A143,1,A191,1
A11,9,3,A143,2,A191,1
A13,21,1,A141,1,A192,1
A12,20,3,A141,2,A192,1
A11,8,4,A143,2,A191,1
A14,6,1,A143,2,A191,1
A14,12,4,A143,3,A191,1
A11,15,4,A143,2,A192,1
A14,6,1,A143,2,A192,1
A14,6,4,A141,1,A191,1
A14,18,3,A143,1,A192,1
A12,24,2,A143,1,A191,1
A14,21,4,A143,2,A191,1
A14,12,4,A143,2,A191,1
A11,27,3,A143,1,A191,1
A14,15,4,A143,1,A191,1
A12,20,1,A143,1,A192,1
A14,24,3,A143,2,A192,1
A14,7,4,A143,2,A192,1
A13,42,2,A143,2,A191,1
A14,15,4,A143,1,A192,1
A14,27,4,A143,4,A192,1
A11,10,2,A143,2,A191,1
A14,15,2,A143,1,A191,1
A14,6,4,A143,1,A191,1
A12,24,1,A143,1,A191,1
A14,12,4,A143,1,A191,1
A13,10,4,A143,2,A192,1
A14,12,2,A143,2,A191,1
A13,24,4,A141,1,A191,1
A12,12,4,A143,2,A191,1
A12,30,4,A143,1,A191,1
A11,15,1,A143,2,A191,1
A11,15,2,A143,2,A191,1
A12,30,2,A143,2,A191,1
A14,6,4,A143,2,A191,1
A14,12,4,A143,1,A192,1
A14,24,4,A143,2,A192,1
A12,12,4,A143,1,A191,1
A11,10,4,A143,2,A192,1
A14,12,4,A143,2,A191,1
A12,36,2,A143,1,A191,1
A14,15,4,A141,1,A191,1
A14,21,4,A143,1,A192,1
A11,24,4,A141,1,A191,1
A11,24,2,A143,2,A192,1
A14,24,3,A143,2,A191,1
A11,9,4,A143,2,A191,1
A14,24,4,A143,1,A192,1
A14,24,4,A142,1,A192,1
A14,30,4,A143,2,A191,1
A14,9,4,A143,2,A191,1
A14,24,4,A143,2,A192,1
A14,10,4,A143,1,A192,1
A14,36,4,A143,2,A192,1
A14,6,2,A141,2,A191,1
A14,10,4,A143,1,A192,1
A14,36,2,A143,2,A192,1
A13,24,3,A143,2,A192,1
A14,24,3,A143,1,A191,1
A14,12,3,A143,1,A191,1
A11,12,3,A143,1,A191,1
A14,21,1,A143,1,A191,1
A12,24,4,A141,1,A191,1
A11,24,4,A143,2,A192,1
A14,36,2,A143,2,A192,1
A14,24,4,A143,1,A192,1
A14,6,2,A143,1,A191,1
A12,6,2,A143,1,A191,1
A14,12,2,A143,1,A192,1
A14,18,4,A143,1,A192,1
A12,24,4,A143,1,A191,1
A14,12,3,A143,1,A192,1
A14,12,4,A143,1,A191,1
A12,48,3,A141,1,A192,1
A12,10,2,A141,1,A192,1
A14,9,2,A143,1,A191,1
A11,24,4,A143,2,A192,1
A12,12,4,A143,2,A192,1
A14,24,4,A143,1,A192,1
A14,6,1,A142,1,A191,1
A14,24,4,A143,1,A192,1
A12,24,4,A143,2,A192,1
A12,18,4,A143,1,A191,1
A14,15,4,A143,1,A191,1
A14,36,3,A142,1,A192,1
A11,9,2,A143,2,A191,1
A12,11,2,A143,1,A191,1
A14,11,1,A143,1,A192,1
A12,12,3,A143,1,A192,1
A12,6,3,A143,1,A191,1
A12,9,1,A143,1,A191,1
A14,36,2,A142,2,A191,1
A12,15,4,A141,3,A192,1
A12,24,4,A143,2,A191,1
A14,10,1,A143,1,A191,1
A14,5,1,A143,1,A191,1
A14,24,2,A143,1,A192,1
A11,24,4,A141,1,A192,1
A14,9,4,A143,1,A191,1
A12,12,1,A143,1,A191,1
A12,12,4,A143,2,A191,1
A14,30,3,A143,2,A192,1
A12,6,4,A142,2,A192,1
A14,24,4,A143,2,A191,1
A12,39,2,A143,1,A192,1
A11,12,2,A143,1,A191,1
A14,12,2,A143,2,A191,1
A14,36,2,A143,1,A192,1
A14,12,4,A143,2,A192,1
A12,48,1,A143,1,A191,1
A14,9,1,A143,1,A191,1
A13,24,2,A143,1,A191,1
A14,12,2,A143,1,A191,1
A14,24,3,A143,2,A192,1
A14,18,4,A143,2,A191,1
A11,48,4,A143,1,A192,1
A14,30,2,A143,2,A191,1
A11,12,4,A143,1,A191,1
A14,27,2,A143,2,A191,1
A14,36,4,A143,1,A192,1
A14,11,4,A143,3,A191,1
A14,36,2,A143,2,A192,1
A11,12,2,A143,1,A191,1
A14,6,3,A143,1,A191,1
A14,24,4,A143,1,A192,1
A11,12,3,A143,2,A191,1
A12,7,3,A143,1,A191,1
A14,30,4,A141,1,A191,1
A14,39,4,A143,1,A192,1
A14,4,2,A143,3,A191,1
A12,6,4,A143,1,A192,1
A14,36,3,A143,2,A191,1
A14,24,4,A143,1,A192,1
A14,20,2,A143,2,A192,1
A14,24,2,A143,2,A191,1
A11,18,4,A142,1,A191,1
A11,12,4,A143,1,A192,1
A14,18,4,A143,2,A191,1
A14,6,4,A143,1,A192,1
A14,36,4,A143,2,A191,1
A14,24,4,A143,1,A192,1
A14,15,1,A143,2,A191,1
A12,24,4,A143,1,A192,1
A12,15,4,A143,1,A191,1
A12,6,4,A143,1,A191,1
A14,21,3,A142,2,A191,1
A12,12,2,A143,1,A192,1
A14,15,1,A143,1,A192,1
A11,12,1,A143,1,A191,1
A12,12,3,A143,1,A191,1
A14,10,2,A143,1,A192,1
A14,12,4,A143,2,A191,1
A14,24,4,A143,1,A191,1
A11,36,2,A141,1,A192,1
A14,9,1,A143,1,A191,1
A14,28,4,A143,2,A191,1
A12,10,4,A143,1,A191,1
A11,18,4,A143,2,A192,1
A14,12,4,A143,2,A192,1
A14,60,2,A143,2,A192,1
A14,36,4,A143,2,A191,1
A12,24,1,A143,1,A191,1
A11,9,3,A143,1,A191,1
A14,4,1,A143,1,A191,1
A12,18,4,A143,2,A191,1
A14,15,3,A143,2,A192,1
A12,9,4,A143,1,A191,1
A14,48,3,A141,2,A191,1
A11,12,4,A141,1,A191,1
A14,42,2,A143,1,A192,1
A14,24,2,A143,1,A192,1
A12,18,4,A143,1,A191,1
A14,18,3,A143,1,A191,1
A14,24,2,A143,1,A191,1
A11,18,4,A143,1,A191,1
A14,15,4,A143,1,A191,1
A12,24,2,A141,2,A192,1
A14,24,4,A143,1,A192,1
A13,6,1,A143,2,A191,1
A12,12,1,A143,1,A192,1
A13,36,2,A143,1,A192,1
A12,18,4,A143,1,A191,1
A14,9,1,A143,2,A191,1
A11,8,3,A141,2,A192,1
A11,6,2,A143,1,A191,1
A14,24,4,A143,2,A191,1
A12,30,2,A143,1,A191,1
A14,18,4,A141,3,A192,1
A14,15,4,A141,2,A191,1
A14,12,2,A143,2,A191,1
A11,21,1,A143,1,A191,1
A12,12,4,A143,2,A192,1
A14,6,1,A143,1,A191,1
A14,24,4,A143,2,A192,1
A14,60,2,A143,1,A192,1
A12,27,4,A143,1,A192,1
A14,24,4,A142,1,A192,1
A14,12,4,A143,1,A192,1
A12,60,1,A143,1,A191,1
A12,12,4,A143,1,A192,1
A12,48,4,A143,2,A192,1
A12,9,4,A143,1,A191,1
A11,24,2,A142,1,A191,1
A11,21,4,A143,1,A192,1
A12,36,1,A143,2,A192,1
A14,15,2,A143,1,A191,1
A14,36,4,A143,1,A191,1
A13,10,4,A143,2,A192,1
A12,18,4,A143,2,A191,1
A11,11,1,A143,2,A191,1
A11,12,4,A143,1,A191,1
A14,12,2,A143,1,A192,1
A12,18,4,A143,1,A192,1
A12,6,4,A143,1,A191,1
A14,48,4,A143,2,A192,1
A13,12,3,A143,1,A191,1
A14,27,3,A143,2,A191,1
A11,18,2,A143,2,A191,1
A12,24,4,A143,1,A191,1
A12,11,4,A143,1,A191,1
A12,26,2,A143,2,A191,1
A11,6,4,A143,1,A192,1
A11,21,4,A141,1,A191,1
A14,24,4,A143,1,A191,1
A12,18,2,A143,1,A192,1
A12,6,3,A143,1,A191,1
A12,30,4,A142,1,A192,1
A14,24,3,A143,2,A192,1
A11,36,3,A143,2,A191,1
A11,15,1,A143,1,A191,1
A11,8,1,A143,2,A191,1
A14,12,4,A141,2,A191,1
A14,24,4,A143,2,A192,1
A14,54,2,A143,1,A191,1
A14,36,4,A143,2,A191,1
A14,10,1,A143,2,A191,1
A14,6,1,A143,2,A191,1
A13,15,2,A143,1,A192,1
A14,6,2,A143,2,A191,1
A11,6,2,A143,1,A191,1
A14,24,2,A143,2,A192,1
A13,12,3,A143,1,A191,1
A13,10,1,A143,1,A191,1
A12,18,2,A143,1,A192,1
A11,24,4,A143,2,A192,1
A14,21,4,A143,2,A191,1
A14,24,4,A143,1,A192,1
A13,10,2,A143,1,A192,1
A14,36,2,A143,2,A192,1
A14,15,3,A143,1,A191,1
A11,30,3,A143,3,A192,1
A14,10,1,A143,1,A192,1
A14,6,1,A143,2,A192,1
A14,24,3,A143,1,A192,1
A11,24,4,A143,1,A191,1
A14,30,4,A143,1,A192,1
A11,12,4,A143,1,A191,1
A14,10,3,A143,1,A191,1
A14,24,3,A143,1,A192,1
A13,6,2,A143,2,A192,1
A14,12,3,A143,1,A191,1
A12,36,4,A143,1,A191,1
A12,42,1,A141,1,A192,1
A11,24,4,A142,1,A192,1
A13,24,3,A143,1,A191,1
A13,12,3,A143,2,A191,1
A12,45,3,A143,1,A191,1
A14,15,2,A141,2,A191,1
A12,12,2,A143,1,A191,1
A14,18,2,A143,2,A191,1
A11,24,2,A143,1,A191,1
A11,15,4,A143,1,A191,1
A14,12,1,A143,1,A191,1
A14,6,1,A143,2,A191,1
A13,6,2,A143,1,A192,1
A14,36,4,A143,1,A191,1
A11,10,1,A143,2,A191,1
A13,18,1,A142,1,A191,1
A11,12,3,A143,1,A191,1
A11,24,4,A143,1,A191,1
A14,24,4,A143,2,A191,1
A11,12,4,A143,1,A191,1
A11,21,2,A143,1,A191,1
A12,12,4,A143,2,A191,1
A12,60,2,A143,1,A191,1
A14,42,4,A143,2,A192,1
A14,24,1,A143,1,A191,1
A12,18,3,A141,2,A192,1
A13,36,4,A143,1,A191,1
A13,18,3,A143,1,A191,1
A12,12,3,A143,1,A191,1
A14,12,4,A143,1,A191,1
A11,6,3,A143,2,A192,1
A14,24,4,A141,2,A192,1
A12,18,4,A141,2,A191,1
A14,12,3,A143,1,A191,1
A14,48,4,A143,1,A192,1
A11,15,4,A143,2,A191,1
A14,12,4,A143,4,A191,1
A12,12,2,A143,1,A191,1
A11,6,3,A143,1,A192,1
A14,24,4,A143,2,A192,1
A11,12,4,A143,1,A191,1
A12,24,4,A143,2,A192,1
A12,21,2,A143,1,A192,1
A14,18,3,A143,1,A192,1
A12,9,4,A143,2,A191,1
A12,21,2,A143,2,A191,1
A12,18,1,A141,1,A192,1
A11,42,2,A143,1,A191,1
A14,24,4,A143,2,A191,1
A14,36,4,A143,2,A192,1
A14,12,4,A143,1,A191,1
A13,36,4,A143,1,A191,1
A12,48,4,A143,1,A192,1
A11,6,2,A141,1,A192,1
A14,28,3,A141,2,A192,1
A11,18,1,A143,1,A191,1
A12,18,4,A142,2,A192,1
A14,12,2,A142,1,A191,1
A14,36,4,A143,1,A191,1
A14,24,4,A143,1,A192,1
A11,30,1,A143,2,A191,1
A13,30,4,A142,2,A191,1
A14,18,4,A143,2,A191,1
A11,24,1,A143,1,A192,1
A14,21,4,A143,1,A192,1
A14,12,4,A143,2,A191,1
A12,12,3,A143,1,A191,1
A12,24,3,A143,2,A192,1
A14,12,3,A143,2,A192,1
A12,10,4,A142,1,A191,1
A12,12,4,A143,1,A191,1
A12,15,3,A143,1,A191,1
A14,24,4,A143,2,A192,1
A11,21,4,A143,2,A191,1
A12,15,4,A143,2,A191,1
A14,21,1,A143,1,A192,1
A11,6,3,A143,1,A192,1
A11,15,4,A143,1,A191,1
A14,24,4,A143,1,A191,1
A11,18,4,A143,1,A191,1
A14,12,4,A143,1,A192,1
A14,24,4,A143,1,A192,1
A14,11,4,A143,2,A191,1
A13,15,2,A143,1,A192,1
A12,18,3,A143,1,A192,1
A14,12,4,A143,1,A192,1
A14,30,3,A143,1,A191,1
A12,9,4,A143,2,A192,1
A11,24,4,A143,1,A192,1
A11,20,1,A143,2,A191,1
A14,24,4,A143,2,A191,1
A14,48,1,A141,1,A192,1
A11,12,4,A143,4,A192,1
A14,60,2,A143,1,A192,1
A11,18,2,A143,3,A192,1
A14,9,2,A143,1,A191,1
A12,12,2,A143,1,A191,1
A14,18,2,A143,1,A192,1
A12,18,4,A143,1,A191,1
A14,12,2,A143,1,A192,1
A12,7,2,A143,1,A191,1
A12,20,2,A141,2,A192,1
A14,24,2,A143,1,A192,1
A14,36,2,A143,1,A192,1
A14,12,2,A143,2,A191,1
A11,14,1,A143,1,A191,1
A12,12,3,A143,1,A192,1
A12,18,1,A143,1,A192,1
A12,18,3,A143,3,A192,1
A14,18,2,A143,2,A191,1
A14,21,4,A141,1,A191,1
A14,12,4,A143,2,A191,1
A11,6,1,A143,1,A192,1
A12,24,1,A143,1,A192,1
A14,12,4,A143,2,A192,1
A11,11,2,A143,2,A191,1
A11,15,2,A143,1,A191,1
A12,36,4,A143,1,A192,1
A14,24,4,A143,2,A192,1
A11,18,4,A143,1,A191,1
A14,12,4,A143,3,A192,1
A14,6,2,A143,1,A191,1
A12,12,1,A141,2,A191,1
A14,36,1,A141,1,A191,1
A11,24,3,A141,1,A192,1
A14,12,4,A143,1,A192,1
A14,10,2,A143,2,A191,1
A14,24,4,A141,1,A192,1
A12,9,2,A141,1,A192,1
A14,6,3,A143,1,A191,1
A14,12,4,A143,1,A191,1
A14,18,2,A143,1,A192,1
A11,24,2,A143,2,A192,1
A12,48,2,A141,1,A192,1
A14,24,4,A143,2,A191,1
A12,18,4,A143,1,A191,1
A12,36,2,A143,1,A191,1
A12,6,1,A141,2,A191,1
A11,12,4,A141,2,A191,1
A12,18,2,A143,1,A192,1
A11,12,4,A143,2,A191,1
A14,12,4,A143,2,A192,1
A11,24,1,A141,1,A191,1
A12,30,4,A143,2,A191,1
A12,42,2,A141,2,A191,1
A12,21,1,A143,2,A191,1
A14,10,3,A143,1,A191,1
A12,8,3,A143,1,A192,1
A12,48,4,A143,1,A191,1
A14,24,2,A143,1,A192,1
A14,6,1,A143,1,A191,1
A14,60,4,A143,1,A192,1
A11,30,4,A143,2,A192,1
A14,15,4,A143,1,A191,1
A13,6,2,A141,1,A191,1
A12,18,3,A143,1,A191,1
A14,30,4,A143,1,A192,1
A14,12,2,A143,2,A192,1
A14,30,4,A143,1,A192,1
A12,24,2,A143,1,A191,1
A14,12,4,A143,1,A191,1
A14,48,4,A143,1,A192,1
A14,15,1,A143,1,A191,1
A13,9,2,A143,1,A191,1
A12,24,4,A141,2,A192,1
A13,24,3,A143,1,A191,1
A13,24,2,A143,1,A191,1
A14,9,1,A143,1,A192,1
A13,24,4,A143,1,A192,1
A14,11,1,A143,2,A191,1
A12,9,2,A143,1,A191,1
A14,27,4,A142,2,A192,1
A11,30,4,A143,1,A192,1
A14,48,4,A142,1,A192,1
A11,12,2,A143,1,A191,1
A14,18,3,A143,2,A192,1
A14,6,1,A143,2,A191,1
A13,24,4,A143,2,A191,1
A14,12,4,A143,1,A191,1
A14,4,2,A143,2,A191,1
A14,12,4,A143,2,A191,1
A11,36,4,A143,1,A192,1
A14,18,2,A143,1,A192,1
A14,36,4,A143,1,A191,1
A13,4,1,A143,1,A191,1
A14,9,3,A143,1,A192,1
A13,12,2,A143,1,A192,1
A11,24,4,A141,1,A191,1
A11,18,3,A141,1,A192,1
A14,36,2,A143,1,A192,1
A14,9,1,A143,1,A191,1
A14,9,4,A143,3,A192,1
A12,48,2,A143,1,A191,2
A11,18,2,A143,1,A191,2
A11,36,4,A141,1,A191,2
A11,24,4,A143,1,A192,2
A11,33,1,A143,2,A191,2
A14,12,4,A143,1,A191,2
A11,12,2,A143,1,A191,2
A11,18,4,A143,1,A192,2
A12,15,3,A142,2,A191,2
A12,12,1,A143,1,A191,2
A13,10,1,A143,1,A191,2
A12,15,4,A143,1,A191,2
A11,24,4,A142,1,A192,2
A12,36,4,A143,1,A191,2
A12,36,2,A143,4,A192,2
A11,24,4,A143,1,A191,2
A14,36,4,A143,2,A192,2
A14,24,2,A143,3,A192,2
A11,24,4,A143,1,A192,2
A11,24,3,A141,2,A191,2
A14,24,2,A141,2,A192,2
A12,9,2,A143,2,A192,2
A11,9,4,A143,1,A191,2
A14,21,1,A141,2,A192,2
A14,18,4,A143,1,A191,2
A14,6,1,A143,1,A191,2
A12,6,4,A141,1,A191,2
A14,18,2,A141,2,A191,2
A11,48,3,A143,1,A191,2
A11,48,4,A143,1,A191,2
A12,27,2,A143,2,A192,2
A12,24,3,A143,1,A192,2
A14,24,3,A141,2,A192,2
A11,36,4,A143,1,A191,2
A14,18,4,A143,1,A192,2
A11,12,4,A143,1,A191,2
A11,20,4,A141,2,A191,2
A12,36,4,A143,1,A192,2
A11,16,2,A141,1,A192,2
A12,36,4,A143,1,A192,2
A13,18,2,A143,1,A191,2
A12,30,4,A143,2,A191,2
A12,9,4,A143,1,A191,2
A12,36,1,A143,1,A192,2
A12,30,4,A143,2,A191,2
A11,18,4,A143,1,A191,2
A11,18,1,A143,1,A191,2
A12,12,1,A143,2,A191,2
A12,48,4,A143,2,A191,2
A11,12,4,A143,1,A191,2
A12,45,4,A143,1,A191,2
A14,12,4,A141,1,A191,2
A11,18,1,A141,3,A192,2
A11,15,4,A143,2,A191,2
A11,36,4,A143,1,A191,2
A11,36,2,A141,1,A191,2
A14,18,2,A143,2,A191,2
A14,36,4,A142,1,A192,2
A13,15,3,A143,2,A192,2
A12,24,4,A143,1,A192,2
A11,12,3,A143,1,A191,2
A12,36,4,A143,1,A191,2
A11,24,4,A143,1,A192,2
A12,6,1,A142,1,A191,2
A11,48,1,A143,2,A192,2
A11,18,4,A143,1,A191,2
A11,30,1,A143,1,A192,2
A13,15,2,A143,1,A191,2
A11,12,4,A141,2,A192,2
A14,30,4,A141,1,A192,2
A12,24,3,A143,1,A192,2
A11,21,3,A143,2,A192,2
A11,30,4,A143,1,A191,2
A12,24,4,A141,1,A191,2
A11,36,4,A143,1,A192,2
A11,45,4,A143,1,A192,2
A11,24,3,A141,1,A191,2
A11,24,2,A143,1,A191,2
A11,18,4,A141,2,A191,2
A11,12,3,A143,2,A191,2
A11,18,4,A141,1,A191,2
A11,6,1,A143,1,A192,2
A12,9,2,A143,1,A191,2
A11,48,2,A143,1,A191,2
A13,21,2,A143,1,A191,2
A11,24,4,A143,1,A192,2
A11,36,3,A143,2,A192,2
A11,9,3,A143,1,A192,2
A11,36,4,A143,1,A191,2
A11,36,2,A143,2,A192,2
A13,30,4,A143,1,A192,2
A11,36,4,A143,2,A192,2
A11,24,4,A142,1,A191,2
A11,30,4,A143,1,A191,2
A11,24,1,A143,2,A191,2
A11,12,3,A143,1,A192,2
A14,36,4,A143,2,A192,2
A12,24,4,A141,2,A191,2
A12,12,4,A141,4,A191,2
A12,12,4,A143,2,A191,2
A12,48,1,A141,2,A192,2
A14,18,2,A141,2,A192,2
A12,24,3,A143,1,A192,2
A11,60,3,A143,2,A192,2
A14,12,4,A143,2,A191,2
A12,48,1,A143,1,A192,2
A11,12,4,A143,1,A191,2
A11,12,4,A143,1,A191,2
A12,15,2,A143,2,A191,2
A14,48,3,A141,1,A192,2
A12,9,1,A143,1,A191,2
A12,21,2,A143,1,A191,2
A14,12,2,A143,1,A191,2
A12,12,2,A143,1,A192,2
A12,24,4,A142,1,A191,2
A12,36,2,A142,2,A192,2
A11,18,1,A143,1,A191,2
A13,9,4,A143,2,A192,2
A12,18,3,A143,2,A191,2
A11,15,4,A143,1,A191,2
A12,18,4,A143,1,A191,2
A12,36,1,A143,1,A192,2
A12,48,4,A143,1,A191,2
A12,24,3,A143,1,A192,2
A12,12,4,A143,1,A191,2
A11,24,4,A141,1,A191,2
A12,36,4,A143,2,A191,2
A11,24,2,A143,1,A192,2
A11,36,2,A143,1,A191,2
A13,12,4,A143,1,A191,2
A14,48,4,A141,1,A191,2
A14,12,4,A141,1,A191,2
A12,30,2,A143,1,A191,2
A11,12,4,A143,1,A192,2
A11,36,4,A143,1,A192,2
A13,36,4,A143,1,A191,2
A14,36,4,A142,2,A192,2
A12,72,2,A143,1,A191,2
A14,24,4,A143,2,A191,2
A11,12,4,A142,1,A191,2
A11,12,4,A141,2,A191,2
A11,30,2,A143,1,A191,2
A12,21,4,A141,2,A191,2
A11,18,2,A143,1,A191,2
A14,36,4,A143,1,A192,2
A11,15,3,A143,1,A192,2
A11,18,4,A143,2,A191,2
A11,12,4,A141,1,A191,2
A11,18,4,A141,1,A191,2
A12,15,2,A143,1,A191,2
A11,42,3,A141,2,A192,2
A11,24,4,A143,1,A192,2
A12,12,4,A141,1,A191,2
A11,12,4,A143,1,A191,2
A12,9,2,A141,1,A192,2
A12,24,3,A143,1,A191,2
A11,42,4,A143,1,A191,2
A11,48,4,A141,1,A191,2
A13,12,4,A143,3,A192,2
A14,18,3,A141,2,A191,2
A11,24,2,A143,1,A191,2
A12,36,4,A143,1,A192,2
A14,24,1,A143,2,A192,2
A11,12,4,A143,1,A191,2
A11,18,4,A143,1,A191,2
A14,36,2,A143,2,A192,2
A12,24,4,A143,2,A192,2
A13,24,4,A141,1,A191,2
A14,21,4,A143,1,A192,2
A12,48,4,A143,1,A191,2
A12,18,4,A143,1,A192,2
A14,10,4,A143,1,A191,2
A11,24,4,A143,1,A191,2
A11,12,3,A143,2,A191,2
A11,21,4,A143,2,A191,2
A12,12,4,A143,1,A191,2
A14,18,2,A142,2,A191,2
A12,36,4,A141,2,A192,2
