@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,1418,3,35,1,A191,1
A12,458,4,24,1,A191,1
A14,6614,4,34,2,A192,1
A11,1603,4,55,1,A191,1
A12,2629,2,29,2,A192,1
A14,874,4,24,1,A191,1
A14,1213,4,47,1,A192,1
A12,4795,4,30,1,A192,1
A12,4712,4,37,2,A192,1
A14,9055,2,35,1,A192,1
A14,1544,2,42,3,A191,1
A12,866,4,25,1,A191,1
A12,2576,2,35,1,A191,1
A12,7374,4,40,2,A192,1
A11,3676,1,37,3,A191,1
A14,3835,2,45,1,A192,1
A14,1346,2,42,1,A192,1
A11,2799,2,36,2,A191,1
A14,6314,4,27,2,A192,1
A12,4439,1,33,1,A192,1
A14,1538,1,56,1,A191,1
A12,1804,3,44,1,A191,1
A14,1572,4,36,1,A191,1
A11,2214,4,24,1,A191,1
A12,1048,4,23,1,A191,1
A14,640,4,49,1,A191,1
A11,1957,1,31,1,A191,1
A14,629,4,32,2,A192,1
A14,3850,3,27,2,A191,1
A14,10222,4,37,1,A192,1
A14,3275,1,36,1,A192,1
A11,3620,1,37,1,A191,1
A14,2223,4,52,2,A191,1
A14,1221,1,27,2,A191,1
A14,5771,4,25,2,A191,1
A12,7057,3,36,2,A192,1
A14,1055,4,30,2,A191,1
A14,1169,4,29,2,A192,1
A14,909,4,36,1,A191,1
A14,4594,3,32,1,A192,1
A12,1553,3,23,2,A192,1
A12,8358,1,30,2,A191,1
A14,3578,4,47,1,A192,1
A12,1103,4,29,2,A191,1
A11,5371,3,28,2,A191,1
A14,1884,4,39,1,A192,1
A14,1568,3,24,1,A191,1
A13,1347,4,27,2,A192,1
A14,2662,4,32,1,A191,1
A14,426,4,39,1,A191,1
A14,1592,3,35,1,A191,1
A12,1887,4,28,2,A191,1
A11,1288,3,48,2,A191,1
A12,907,3,26,1,A192,1
A14,1453,3,26,1,A191,1
A14,804,4,38,1,A191,1
A11,7882,2,45,1,A191,1
A11,2606,4,28,1,A192,1
A11,2348,3,46,2,A192,1
A14,926,1,38,1,A191,1
A14,2032,4,60,2,A192,1
A14,717,4,54,2,A192,1
A14,10144,2,21,1,A192,1
A14,1313,1,20,1,A191,1
A12,2427,4,42,2,A191,1
A14,2978,4,32,2,A192,1
A12,2118,2,37,1,A191,1
A14,1364,2,64,1,A192,1
A14,2569,4,24,1,A191,1
A12,3069,4,30,1,A191,1
A11,1168,4,27,1,A191,1
A14,3565,2,37,2,A191,1
A14,1258,2,22,2,A191,1
A11,6579,4,29,1,A192,1
A14,1591,4,34,2,A191,1
A14,2238,2,25,2,A191,1
A12,5866,2,30,2,A192,1
A14,763,4,26,1,A192,1
A11,8072,2,25,3,A191,1
A14,1543,4,33,1,A191,1
A14,1338,1,62,1,A191,1
A14,5103,3,47,3,A192,1
A12,1743,4,48,2,A191,1
A14,7409,3,37,2,A191,1
A14,1278,4,36,1,A192,1
A12,3872,2,67,1,A192,1
A14,2299,4,39,1,A191,1
A13,1343,1,46,2,A191,1
A11,1382,4,26,2,A192,1
A14,1503,2,42,2,A191,1
A11,6615,2,75,2,A192,1
A14,2848,1,32,1,A191,1
A11,975,2,25,2,A191,1
A14,1224,3,30,2,A191,1
A12,1577,4,20,1,A191,1
A14,2578,2,34,1,A191,1
A14,1940,4,60,1,A192,1
A14,8613,2,27,2,A191,1
A14,3594,1,46,2,A191,1
A11,3632,1,22,1,A191,1
A14,2782,1,31,1,A191,1
A12,790,4,66,1,A191,1
A11,1200,4,23,1,A192,1
A12,2631,3,25,1,A191,1
A14,5433,2,26,1,A192,1
A14,1595,3,51,1,A191,1
A14,2197,4,43,2,A192,1
A14,2759,2,34,2,A191,1
A12,1206,4,25,1,A191,1
A11,3959,4,30,1,A192,1
A14,2406,2,31,1,A191,1
A11,3905,2,36,2,A191,1
A14,960,3,30,2,A191,1
A14,1149,4,46,2,A191,1
A14,802,4,27,2,A191,1
A13,3913,2,23,1,A192,1
A14,2394,4,25,1,A191,1
A14,5324,1,35,1,A191,1
A11,1936,2,23,2,A191,1
A12,4351,1,48,1,A192,1
A14,3527,2,45,1,A192,1
A14,1820,2,30,1,A192,1
A13,3749,2,26,1,A191,1
A11,385,4,58,4,A192,1
A14,4272,2,26,2,A191,1
A11,860,1,39,2,A192,1
A11,2315,3,52,1,A191,1
A11,2136,3,25,1,A191,1
A14,2390,4,50,1,A192,1
A11,2483,4,22,1,A192,1
A14,3029,2,33,1,A191,1
A14,8858,2,35,2,A192,1
A14,2753,3,35,1,A192,1
A14,4811,2,24,1,A191,1
A14,1503,4,41,1,A191,1
A11,708,2,38,1,A191,1
A12,5800,3,34,2,A192,1
A14,5954,3,38,1,A191,1
A12,9157,2,27,1,A191,1
A14,9566,2,31,2,A191,1
A11,3416,3,27,1,A191,1
A14,2613,4,27,2,A191,1
A14,3229,2,38,1,A192,1
A12,1913,3,36,1,A192,1
A14,8133,1,30,1,A191,1
A14,1393,2,31,1,A192,1
A14,3556,3,29,1,A191,1
A11,3651,1,31,1,A191,1
A14,2748,2,57,3,A191,1
A14,2679,4,29,1,A192,1
A12,5743,2,24,2,A192,1
A14,2255,4,54,1,A191,1
A14,7393,1,43,1,A191,1
A12,1567,1,22,1,A192,1
A12,1549,4,35,1,A191,1
A14,1934,2,26,2,A191,1
A12,1199,4,67,2,A192,1
A14,1525,4,34,1,A192,1
A12,1537,4,50,2,A192,1
A14,2515,3,43,1,A192,1
A11,2389,4,27,1,A191,1
A12,1158,3,26,1,A192,1
A11,4169,4,28,1,A191,1
A13,781,4,63,2,A192,1
A12,1919,4,35,1,A192,1
A14,1554,1,24,2,A192,1
A11,4020,2,27,1,A191,1
A11,2171,4,38,2,A191,1
A14,2743,4,29,2,A191,1
A14,1851,4,33,2,A192,1
A14,5801,2,49,1,A192,1
A11,1289,4,21,1,A191,1
A14,3331,2,42,1,A191,1
A12,2333,4,29,1,A191,1
A11,2957,4,63,2,A192,1
A14,1311,4,26,1,A192,1
A13,1299,1,74,3,A191,1
A11,3398,1,39,2,A191,1
A12,12204,2,48,1,A192,1
A13,1424,3,55,1,A192,1
A12,2899,4,43,1,A191,1
A14,707,4,30,2,A191,1
A11,1364,3,59,1,A191,1
A14,1076,2,26,1,A192,1
A11,2812,2,26,1,A191,1
A11,1049,4,21,1,A191,1
A12,2002,3,30,1,A192,1
A14,1238,4,36,1,A192,1
A12,841,2,23,1,A191,1
A12,3017,3,34,1,A191,1
A12,7418,1,27,1,A191,1
A13,1961,3,23,1,A191,1
A12,1860,4,34,2,A192,1
A12,6403,1,33,1,A191,1
A12,1295,4,27,2,A191,1
A12,753,2,64,1,A191,1
A11,14179,4,30,2,A192,1
A11,6568,2,21,1,A191,1
A14,2445,2,26,1,A192,1
A14,518,3,29,1,A191,1
A14,1520,4,63,1,A191,1
A14,3342,4,51,1,A192,1
A12,2991,2,25,1,A191,1
A14,4139,3,27,2,A192,1
A13,1474,4,33,1,A192,1
A14,894,4,40,1,A192,1
A11,3643,1,27,2,A191,1
A14,886,4,21,1,A191,1
A11,1409,4,54,1,A191,1
A14,6842,2,46,2,A192,1
A12,2181,4,36,2,A191,1
A14,1867,4,58,1,A192,1
A14,3757,4,62,1,A192,1
A14,5190,4,48,4,A192,1
A11,3021,2,24,1,A191,1
A11,3599,1,26,1,A191,1
A12,1201,4,26,1,A191,1
A12,1995,4,27,1,A191,1
A12,3979,4,41,2,A192,1
A14,3595,4,28,1,A191,1
A14,3059,2,61,1,A191,1
A11,2910,2,34,1,A192,1
A11,2578,3,55,1,A191,1
A11,1797,3,28,2,A191,1
A14,3422,4,47,3,A192,1
A14,1300,4,45,1,A191,1
A11,1872,4,36,3,A192,1
A14,9277,2,48,1,A192,1
A14,7814,3,38,1,A192,1
A14,2708,2,27,2,A191,1
A11,4716,1,44,2,A191,1
A14,3535,4,37,2,A192,1
A11,1352,1,23,1,A192,1
A14,601,1,23,1,A191,1
A11,4272,1,24,2,A191,1
A11,2132,2,27,2,A191,1
A11,6187,1,24,2,A191,1
A14,1546,3,31,1,A191,1
A14,4675,1,20,1,A191,1
A11,1138,4,25,2,A191,1
A14,730,4,46,2,A192,1
A11,3394,4,65,2,A191,1
A12,1050,4,35,2,A192,1
A14,1927,3,33,2,A192,1
A11,1361,2,40,1,A191,1
A12,3832,2,22,1,A191,1
A14,4042,4,36,2,A192,1
A13,1126,2,49,1,A191,1
A12,3758,1,23,1,A191,1
A11,2659,4,28,1,A191,1
A14,362,4,52,2,A191,1
A13,683,2,29,1,A191,1
A12,2728,4,35,3,A192,1
A14,930,4,65,4,A191,1
A13,4473,4,31,1,A191,1
A14,1473,3,39,1,A192,1
A14,1597,3,40,1,A191,1
A12,3512,2,38,2,A192,1
A14,2186,1,33,1,A191,1
A11,701,4,40,1,A191,1
A12,983,1,19,1,A191,1
A12,1092,4,49,2,A192,1
A14,250,2,41,2,A191,1
A14,3378,2,31,1,A192,1
A13,3049,1,45,1,A191,1
A14,3062,4,32,1,A192,1
A11,5302,2,36,3,A192,1
A14,1750,2,45,1,A191,1
A13,2687,2,26,1,A192,1
A11,2522,1,39,1,A191,1
A11,2325,2,32,1,A191,1
A12,1410,2,31,1,A192,1
A12,2930,2,27,1,A191,1
A11,2577,2,42,1,A191,1
A12,5381,3,40,1,A192,1
A14,1736,3,31,1,A191,1
A14,717,4,52,3,A191,1
A14,2279,4,37,1,A192,1
A14,1240,4,38,2,A192,1
A14,6304,4,36,2,A191,1
A14,682,4,51,2,A192,1
A12,2323,4,24,1,A191,1
A12,1308,4,38,2,A191,1
A14,4454,4,34,2,A191,1
A14,3780,3,35,2,A192,1
A13,2116,2,41,1,A192,1
A11,1602,4,30,2,A192,1
A14,4042,3,43,2,A192,1
A14,1474,4,33,1,A192,1
A11,3622,4,57,2,A192,1
A14,8947,3,31,1,A192,1
A14,3777,4,50,1,A192,1
A14,6070,3,33,2,A192,1
A12,5084,2,42,1,A192,1
A14,1829,4,46,2,A192,1
A11,3973,1,22,1,A191,1
A14,3380,1,37,1,A191,1
A12,3612,3,37,1,A192,1
A14,1743,1,34,2,A191,1
A13,2923,1,28,1,A192,1
A13,1377,4,47,1,A192,1
A14,1255,4,61,2,A191,1
A12,1082,4,27,2,A191,1
A12,1795,3,48,2,A192,1
A14,2022,4,37,1,A192,1
A12,9857,1,31,2,A192,1
A12,454,3,22,1,A191,1
A14,3181,4,26,1,A192,1
A11,662,3,41,1,A192,1
A14,1163,4,44,1,A192,1
A14,2096,2,49,1,A191,1
A12,368,4,38,1,A191,1
A13,1881,2,44,1,A192,1
A14,1516,4,43,2,A191,1
A14,5117,3,26,2,A191,1
A12,6204,2,44,1,A192,1
A12,1715,4,26,1,A191,1
A14,2146,1,23,2,A191,1
A11,2964,4,49,1,A192,1
A11,1721,2,36,1,A191,1
A12,2779,1,21,1,A192,1
A11,2121,4,30,2,A191,1
A12,3124,1,49,2,A191,1
A14,1236,1,23,1,A192,1
A11,1374,4,75,1,A192,1
A12,7582,2,31,1,A192,1
A12,1444,4,23,1,A191,1
A11,7721,1,30,1,A192,1
A14,783,1,26,1,A191,1
A11,4583,2,32,2,A191,1
A14,1495,4,38,2,A191,1
A12,1410,1,35,1,A192,1
A14,8588,4,45,1,A192,1
A14,9436,2,39,1,A191,1
A11,1893,4,29,1,A192,1
A12,3976,2,35,1,A192,1
A12,2063,4,30,1,A192,1
A14,1244,4,41,2,A191,1
A12,1155,3,40,2,A191,1
A12,1007,4,22,1,A191,1
A12,3878,4,37,1,A192,1
A12,1967,4,20,1,A192,1
A11,3104,3,31,1,A192,1
A14,999,4,25,2,A191,1
A12,2622,4,34,1,A191,1
A14,2993,3,28,2,A191,1
A14,1287,4,45,1,A191,1
A14,2134,4,48,3,A192,1
A14,1569,4,34,1,A191,1
A11,3590,2,29,1,A191,1
A14,2331,1,49,1,A192,1
A11,666,3,39,2,A192,1
A11,2249,4,30,1,A192,1
A14,1126,4,21,1,A192,1
A11,428,2,49,1,A192,1
A12,1322,4,40,2,A191,1
A14,1984,4,47,2,A191,1
A14,701,4,32,2,A191,1
A14,2751,4,38,2,A192,1
A14,5804,4,27,2,A191,1
A12,6078,2,32,1,A191,1
A14,1817,4,28,2,A191,1
A14,522,4,42,2,A192,1
A14,3343,4,28,1,A192,1
A11,1680,3,35,1,A191,1
A12,1068,4,28,1,A191,1
A11,1164,3,51,2,A192,1
A14,11054,4,30,1,A192,1
A12,3213,1,25,1,A191,1
A11,1526,4,66,2,A191,1
A12,3590,3,40,3,A192,1
A12,7758,2,29,1,A191,1
A13,1225,2,37,1,A192,1
A14,846,3,36,1,A191,1
A14,6742,2,36,2,A191,1
A11,1433,4,25,2,A191,1
A14,4686,2,32,1,A192,1
A13,3017,4,47,1,A191,1
A12,2353,1,47,2,A191,1
A14,1360,4,31,2,A191,1
A14,2684,4,35,2,A191,1
A11,652,4,24,1,A191,1
A12,1521,4,31,1,A191,1
A14,1559,4,50,1,A192,1
A13,709,2,27,1,A191,1
A12,932,1,39,2,A191,1
A14,1898,1,34,2,A191,1
A12,3566,4,30,1,A191,1
A11,2212,4,39,1,A192,1
A14,3577,1,26,1,A191,1
A13,2251,1,46,1,A191,1
A11,2384,4,64,1,A191,1
A14,1291,4,35,2,A191,1
A14,1409,2,64,1,A191,1
A14,3077,3,40,2,A192,1
A11,1403,2,28,1,A191,1
A14,1963,4,31,2,A192,1
A12,1449,1,31,2,A191,1
A11,1374,1,36,1,A192,1
A14,2012,4,61,1,A191,1
A14,3186,2,20,1,A191,1
A14,6527,4,34,1,A192,1
A11,6419,2,44,2,A192,1
A14,1542,2,36,1,A192,1
A14,12749,4,37,1,A192,1
A14,618,4,56,1,A191,1
A14,3448,1,74,1,A191,1
A12,625,4,26,1,A191,1
A11,4788,4,26,1,A191,1
A12,1424,4,26,1,A191,1
A14,2108,2,29,1,A191,1
A14,976,4,35,2,A191,1
A12,1414,4,33,1,A191,1
A14,6110,1,31,1,A192,1
A12,9283,1,55,1,A192,1
A14,1098,4,65,2,A191,1
A14,5150,4,33,1,A192,1
A14,1402,3,37,1,A192,1
A12,760,4,44,1,A191,1
A14,2603,2,28,1,A192,1
A13,3617,4,20,2,A191,1
A12,3652,2,27,2,A191,1
A11,3149,4,22,1,A191,1
A14,5507,3,44,2,A191,1
A14,2301,2,22,1,A191,1
A14,7678,2,40,2,A192,1
A12,3001,2,40,1,A191,1
A12,1318,4,54,1,A192,1
A12,6967,4,36,1,A192,1
A11,3249,2,39,1,A192,1
A14,2288,4,23,1,A192,1
A12,7308,2,70,1,A192,1
A12,2528,4,32,1,A192,1
A11,10623,3,38,3,A192,1
A14,3485,2,44,2,A192,1
A12,2415,3,34,1,A191,1
A12,8487,1,24,1,A191,1
A11,15857,2,43,1,A191,1
A14,1236,2,50,1,A191,1
A14,4530,4,26,1,A192,1
A14,2859,4,38,1,A192,1
A14,1582,4,46,2,A191,1
A11,1845,4,46,1,A191,1
A13,3399,2,37,1,A191,1
A12,590,3,26,1,A191,1
A14,1459,4,43,1,A191,1
A14,2831,4,33,1,A192,1
A12,7432,2,54,1,A191,1
A13,5152,4,25,1,A191,1
A13,1297,3,23,1,A191,1
A14,5248,1,26,1,A191,1
A14,2051,4,33,1,A191,1
A12,2101,2,23,1,A191,1
A11,571,4,65,2,A191,1
A14,7238,3,32,2,A191,1
A13,1258,3,57,1,A191,1
A14,1413,4,28,1,A191,1
A14,1552,3,32,1,A191,1
A14,2080,1,24,1,A191,1
A14,10875,2,45,2,A192,1
A14,1455,2,42,3,A191,1
A14,2424,4,53,2,A191,1
A12,2760,4,36,1,A192,1
A14,2284,4,28,1,A192,1
A11,8471,1,23,2,A192,1
A14,1249,4,28,1,A191,1
A11,2511,1,23,1,A191,1
A11,2924,3,63,1,A192,1
A14,2221,2,20,1,A191,1
A13,2892,3,51,1,A191,1
A12,2337,4,36,1,A191,1
A12,6468,1,60,1,A192,1
A14,2141,3,35,1,A191,1
A14,996,4,23,2,A191,1
A14,1597,4,54,2,A191,1
A13,3148,3,31,2,A192,1
A12,2862,4,30,1,A191,1
A12,7472,1,24,1,A191,1
A13,4796,4,56,1,A191,1
A11,1231,4,57,2,A192,1
A12,3711,2,27,1,A191,1
A12,484,3,28,1,A191,1
A14,2764,2,26,2,A192,1
A14,2375,4,44,2,A192,1
A14,1237,1,27,2,A191,1
A12,2896,2,29,1,A191,1
A12,1037,3,39,1,A191,1
A11,1107,2,20,1,A192,1
A11,1657,2,27,1,A191,1
A14,1204,4,35,1,A191,1
A14,7824,3,40,2,A192,1
A13,3016,3,24,1,A191,1
A11,2647,2,44,1,A191,1
A14,3568,4,54,1,A192,1
A11,1169,4,67,2,A192,1
A11,1053,4,27,1,A191,1
A14,7228,1,39,2,A191,1
A14,7253,3,35,2,A192,1
A14,1287,4,37,2,A192,1
A12,4221,2,28,2,A191,1
A12,11760,2,32,1,A192,1
A14,4151,2,35,2,A191,1
A14,1585,4,40,2,A191,1
A11,3939,1,40,2,A191,1
A14,5742,2,31,2,A192,1
A12,276,4,22,1,A191,1
A14,3447,4,35,1,A191,1
A14,10366,2,42,1,A192,1
A14,2320,2,34,2,A191,1
A14,5842,2,35,2,A192,1
A14,1388,4,26,1,A191,1
A12,2825,4,34,2,A192,1
A14,3235,3,26,1,A192,1
A12,1941,4,35,1,A192,1
A14,2611,4,46,2,A191,1
A14,1469,4,41,1,A191,1
A14,4526,3,74,1,A192,1
A14,1376,4,28,1,A191,1
A14,2463,4,27,2,A192,1
A12,4576,3,27,1,A191,1
A11,1478,4,44,2,A192,1
A14,1979,4,35,1,A191,1
A14,1393,4,35,2,A191,1
A14,10477,2,42,2,A191,1
A11,2442,4,43,4,A192,1
A14,1768,3,24,1,A191,1
A14,5045,1,59,1,A192,1
A14,1924,1,38,1,A192,1
A14,776,4,28,1,A191,1
A14,1258,4,25,1,A192,1
A14,1800,4,24,2,A191,1
A11,7476,4,50,1,A192,1
A11,4380,3,35,1,A192,1
A14,15653,2,21,2,A192,1
A11,1620,2,30,1,A191,1
A14,3368,3,23,2,A192,1
A14,1478,4,33,2,A191,1
A12,6260,3,28,1,A191,1
A14,2073,4,28,1,A191,1
A11,10722,1,35,1,A192,1
A14,1935,4,43,3,A192,1
A11,3857,4,40,1,A192,1
A12,3496,4,34,1,A192,1
A11,1203,3,43,1,A192,1
A14,2697,1,32,1,A191,1
A11,343,4,27,1,A191,1
A14,660,2,23,1,A191,1
A11,731,4,47,2,A191,1
A14,1574,4,50,1,A191,1
A11,1747,4,24,1,A191,1
A14,1101,3,27,2,A192,1
A12,1301,4,32,1,A191,1
A14,3074,1,33,2,A191,1
A14,3609,1,27,1,A191,1
A13,5848,4,24,1,A191,1
A14,1393,4,47,3,A192,1
A14,3812,1,23,1,A192,1
A14,2142,1,28,1,A192,1
A14,2333,4,30,1,A191,1
A12,1154,2,37,3,A191,1
A14,727,4,46,1,A192,1
A14,2404,2,26,2,A191,1
A13,2360,2,36,1,A192,1
A13,3656,4,49,2,A191,1
A11,1498,4,23,1,A191,1
A14,1471,4,35,2,A192,1
A12,3195,1,33,1,A191,1
A11,806,4,22,1,A191,1
A14,2241,4,50,2,A191,1
A14,7166,2,29,1,A192,1
A14,1740,2,30,2,A191,1
A12,2028,4,30,1,A191,1
A14,4591,2,54,3,A192,2
A11,3499,3,29,2,A191,2
A11,7865,4,53,1,A192,2
A11,2406,4,23,1,A191,2
A12,639,4,30,1,A191,2
A14,1309,4,27,1,A191,2
A11,7119,3,53,2,A191,2
A11,7174,4,30,1,A192,2
A11,3161,4,31,1,A192,2
A12,8086,2,42,4,A192,2
A11,11816,2,29,2,A191,2
A12,4746,4,25,2,A191,2
A14,1943,4,23,1,A191,2
A12,2150,4,24,1,A191,2
A11,741,4,22,1,A191,2
A12,1484,2,25,1,A192,2
A12,3031,4,21,1,A191,2
A13,939,4,28,3,A192,2
A14,719,4,41,1,A191,2
A12,1136,4,32,2,A191,2
A11,9629,4,24,2,A192,2
A12,1223,1,46,2,A191,2
A11,1190,2,55,3,A191,2
A12,12389,1,37,1,A192,2
A12,2820,4,27,2,A191,2
A11,1207,4,24,1,A191,2
A11,4370,3,26,2,A192,2
A11,7297,4,36,1,A191,2
A11,2149,4,29,1,A191,2
A12,6850,1,34,1,A192,2
A14,10974,4,26,2,A192,2
A12,12976,3,38,1,A192,2
A11,5998,4,27,1,A192,2
A14,4844,3,33,1,A192,2
A14,1386,2,26,1,A191,2
A12,2064,3,34,1,A192,2
A13,4210,4,26,1,A191,2
A11,2145,2,24,2,A192,2
A12,6560,3,24,1,A191,2
A11,3931,4,46,1,A191,2
A11,4281,1,23,2,A191,2
A11,5293,2,50,2,A192,2
A12,3915,4,36,1,A192,2
A12,9034,4,29,1,A192,2
A11,1647,4,40,2,A191,2
A14,433,3,22,1,A191,2
A11,2039,1,20,1,A191,2
A12,9398,1,28,1,A192,2
A14,6458,2,39,2,A192,2
A14,1864,4,30,2,A191,2
A11,3446,4,42,1,A191,2
A11,3414,2,26,2,A191,2
A11,654,4,28,1,A191,2
A11,626,4,24,1,A191,2
A11,8978,1,45,1,A192,2
A11,4110,3,23,2,A191,2
A11,7763,4,42,1,A191,2
A11,1977,4,40,1,A192,2
A11,3966,1,33,3,A192,2
A11,3959,3,29,1,A192,2
A12,14318,4,57,1,A192,2
A13,2100,4,37,1,A191,2
A11,2246,3,60,2,A191,2
A12,1778,2,26,2,A191,2
A11,727,4,33,1,A192,2
A14,3914,4,38,1,A191,2
A11,2746,4,31,1,A191,2
A14,1980,2,19,2,A191,2
A11,3965,4,34,1,A191,2
A11,1217,4,47,1,A192,2
A12,3844,4,34,1,A191,2
A12,1437,2,29,1,A191,2
A12,433,4,24,1,A191,2
A11,3386,3,35,1,A192,2
A12,4113,3,28,1,A191,2
A14,4463,4,26,2,A192,2
A11,1835,3,25,2,A192,2
A12,12612,1,47,1,A192,2
A13,2864,2,34,1,A191,2
A11,1938,4,32,1,A191,2
A11,900,4,23,1,A191,2
A11,1228,4,24,1,A191,2
A11,8335,3,47,1,A191,2
A14,1530,3,32,2,A191,2
A13,1271,3,39,2,A192,2
A13,2319,2,33,1,A191,2
A14,6761,2,68,2,A191,2
A14,12680,4,30,1,A192,2
A13,1240,1,48,1,A191,2
A11,3190,2,24,1,A191,2
A11,9271,2,24,1,A192,2
A12,1924,4,27,1,A191,2
A12,2631,2,28,2,A192,2
A12,2384,4,33,1,A191,2
A12,3804,4,42,1,A192,2
A12,2671,4,50,1,A191,2
A12,15945,3,58,1,A192,2
A12,14555,1,23,1,A192,2
A11,6872,2,55,1,A192,2
A11,6758,3,31,1,A192,2
A11,1659,4,29,1,A192,2
A11,1024,4,48,1,A191,2
A11,2579,4,33,1,A191,2
A11,6836,3,63,2,A192,2
A14,1808,4,22,1,A191,2
A11,3384,1,44,1,A192,2
A11,6887,4,29,1,A192,2
A14,11590,2,24,2,A191,2
A11,1546,4,24,1,A191,2
A11,3108,2,31,1,A191,2
A11,4870,3,53,2,A191,2
A12,4933,2,25,2,A191,2
A11,1131,4,33,1,A191,2
A12,1501,2,34,2,A192,2
A12,2225,4,57,2,A192,2
A12,1188,2,39,1,A191,2
A11,950,4,33,2,A191,2
A12,1246,4,23,1,A191,2
A11,1198,4,35,1,A191,2
A11,4153,2,42,1,A191,2
A12,4455,2,30,2,A192,2
A11,2235,4,33,2,A191,2
A11,1282,4,32,1,A191,2
A12,2520,4,23,2,A191,2
A14,7980,4,27,2,A192,2
A12,1935,4,31,2,A192,2
A11,3114,1,26,1,A191,2
A11,2303,4,45,1,A191,2
A14,7127,2,23,2,A192,2
A14,3349,4,28,1,A192,2
A11,10297,4,39,3,A192,2
A12,951,4,27,4,A191,2
A11,3349,4,30,1,A192,2
A12,4736,2,25,1,A191,2
A11,2473,4,25,1,A191,2
A11,1366,3,22,1,A191,2
A11,1882,4,25,2,A191,2
A12,10961,1,27,2,A192,2
A12,7408,4,24,1,A191,2
A11,1422,3,27,1,A192,2
A12,2278,3,28,2,A191,2
A14,4165,2,36,2,A191,2
A11,1372,2,36,1,A191,2
A12,931,1,32,1,A191,2
A12,9960,1,26,1,A192,2
A11,1345,4,26,1,A191,2
A12,5595,2,24,1,A191,2
A11,1358,4,40,1,A192,2
A11,1275,4,24,1,A191,2
A11,697,4,46,2,A192,2
A14,1533,4,43,1,A191,2
A14,4623,3,40,1,A192,2
A14,797,4,33,1,A191,2
A11,1442,4,23,2,A191,2
A11,6229,4,23,2,A192,2
A11,1216,4,23,1,A192,2
A13,1344,4,37,2,A191,2
A12,3060,4,28,2,A191,2
A11,5179,4,29,1,A191,2
A11,1381,4,35,1,A191,2
A11,2600,4,65,2,A191,2
A12,1534,1,23,1,A191,2
A14,8648,2,27,2,A192,2
A11,7511,1,51,1,A192,2
A13,1337,4,34,2,A192,2
A11,2302,4,31,1,A191,2
A12,1056,3,30,2,A191,2
A12,888,4,41,1,A191,2
A11,1082,4,48,2,A191,2
A12,959,1,29,1,A191,2
A12,1928,2,31,2,A191,2
A11,4006,3,45,1,A191,2
A12,1042,4,33,1,A191,2
A11,1442,4,32,2,A191,2
A12,2969,4,25,2,A191,2
A14,2775,2,31,2,A191,2
A12,3092,3,22,1,A192,2
A11,759,4,26,1,A191,2
A11,8065,3,25,2,A192,2
A12,1512,3,61,2,A191,2
A12,4297,4,40,1,A192,2
A11,6143,4,58,2,A191,2
A11,3051,3,54,1,A191,2
A14,2210,2,25,1,A191,2
A12,836,4,23,1,A191,2
