@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Customer {1,2}

@data
12,A32,A75,1
12,A32,A74,1
12,A34,A72,1
24,A32,A74,1
24,A32,A72,1
20,A33,A74,1
12,A34,A75,1
10,A32,A74,1
20,A32,A74,1
15,A34,A75,1
10,A34,A72,1
24,A32,A73,1
6,A31,A73,1
15,A32,A73,1
15,A32,A75,1
45,A34,A71,1
24,A32,A71,1
6,A34,A75,1
60,A34,A75,1
24,A32,A75,1
6,A32,A73,1
24,A33,A74,1
24,A32,A73,1
18,A34,A71,1
36,A34,A73,1
20,A30,A75,1
12,A32,A73,1
24,A32,A75,1
24,A34,A75,1
12,A34,A75,1
16,A34,A71,1
12,A34,A75,1
18,A34,A73,1
18,A34,A75,1
6,A32,A72,1
18,A32,A73,1
12,A32,A72,1
24,A34,A72,1
18,A32,A75,1
36,A34,A74,1
21,A33,A73,1
9,A32,A75,1
24,A32,A73,1
24,A32,A73,1
15,A33,A72,1
18,A32,A75,1
12,A32,A75,1
30,A32,A72,1
36,A32,A75,1
24,A32,A75,1
15,A33,A75,1
4,A32,A72,1
36,A34,A75,1
6,A32,A73,1
24,A32,A74,1
6,A34,A73,1
12,A32,A72,1
18,A32,A74,1
15,A32,A75,1
9,A32,A74,1
18,A32,A72,1
9,A32,A73,1
15,A32,A73,1
9,A32,A75,1
24,A32,A73,1
18,A32,A74,1
6,A32,A71,1
12,A32,A75,1
12,A32,A72,1
24,A34,A75,1
10,A32,A73,1
48,A33,A75,1
12,A32,A72,1
15,A32,A73,1
12,A34,A72,1
6,A32,A75,1
24,A32,A75,1
18,A32,A73,1
21,A32,A73,1
48,A33,A71,1
15,A32,A73,1
15,A32,A73,1
12,A32,A73,1
30,A30,A73,1
18,A32,A73,1
24,A34,A73,1
15,A34,A74,1
24,A32,A73,1
24,A34,A75,1
24,A34,A73,1
10,A31,A73,1
18,A32,A72,1
6,A34,A73,1
12,A34,A72,1
18,A32,A72,1
12,A32,A73,1
10,A32,A72,1
36,A32,A75,1
6,A32,A75,1
30,A32,A75,1
12,A34,A75,1
12,A32,A73,1
18,A32,A75,1
60,A33,A73,1
24,A32,A72,1
18,A34,A73,1
24,A34,A75,1
24,A32,A74,1
24,A34,A75,1
39,A32,A75,1
42,A31,A71,1
10,A32,A73,1
12,A34,A73,1
12,A32,A74,1
15,A32,A74,1
9,A34,A75,1
24,A34,A75,1
15,A34,A73,1
12,A32,A72,1
48,A30,A72,1
24,A32,A71,1
6,A32,A71,1
18,A32,A73,1
9,A32,A73,1
48,A34,A73,1
15,A32,A75,1
24,A34,A72,1
24,A32,A75,1
9,A32,A73,1
21,A32,A72,1
15,A34,A75,1
24,A32,A72,1
24,A34,A74,1
12,A32,A73,1
4,A34,A74,1
9,A34,A73,1
21,A32,A72,1
12,A32,A73,1
27,A32,A72,1
36,A32,A72,1
21,A34,A75,1
15,A32,A73,1
4,A34,A74,1
47,A32,A72,1
12,A32,A73,1
6,A33,A75,1
15,A34,A75,1
24,A34,A75,1
6,A32,A73,1
10,A32,A73,1
11,A32,A72,1
30,A34,A75,1
18,A32,A73,1
6,A34,A74,1
48,A32,A71,1
24,A32,A75,1
12,A32,A71,1
6,A33,A71,1
18,A34,A72,1
30,A32,A75,1
6,A34,A73,1
12,A34,A74,1
12,A32,A73,1
18,A34,A75,1
24,A33,A74,1
36,A32,A73,1
24,A33,A74,1
12,A32,A72,1
24,A31,A73,1
12,A34,A73,1
12,A32,A73,1
24,A32,A74,1
24,A34,A74,1
24,A32,A72,1
6,A32,A74,1
36,A34,A75,1
18,A34,A74,1
9,A32,A73,1
9,A32,A73,1
15,A32,A72,1
18,A34,A73,1
10,A34,A75,1
24,A32,A71,1
18,A32,A73,1
20,A34,A72,1
24,A32,A73,1
15,A32,A72,1
6,A32,A73,1
48,A30,A73,1
27,A32,A73,1
18,A33,A71,1
21,A34,A74,1
24,A34,A74,1
24,A33,A73,1
9,A32,A74,1
24,A34,A75,1
42,A30,A72,1
9,A34,A75,1
15,A32,A72,1
12,A34,A71,1
24,A32,A72,1
6,A32,A75,1
12,A32,A75,1
24,A32,A72,1
12,A34,A74,1
12,A32,A73,1
12,A32,A73,1
12,A32,A73,1
12,A32,A73,1
10,A34,A72,1
48,A34,A75,1
24,A32,A72,1
24,A34,A74,1
18,A34,A73,1
18,A34,A71,1
24,A32,A75,1
6,A32,A73,1
6,A30,A73,1
10,A32,A73,1
15,A32,A71,1
6,A34,A73,1
36,A34,A73,1
6,A34,A75,1
9,A32,A73,1
21,A33,A74,1
36,A32,A73,1
24,A32,A75,1
18,A32,A73,1
12,A32,A73,1
21,A32,A74,1
27,A33,A74,1
6,A32,A74,1
18,A33,A75,1
21,A32,A74,1
6,A34,A74,1
12,A32,A75,1
18,A34,A71,1
12,A34,A73,1
24,A33,A73,1
12,A34,A75,1
6,A34,A75,1
30,A32,A73,1
18,A32,A74,1
48,A34,A75,1
24,A32,A73,1
14,A32,A71,1
24,A33,A73,1
24,A32,A75,1
36,A31,A72,1
48,A32,A74,1
12,A33,A73,1
12,A34,A74,1
12,A32,A73,1
18,A34,A74,1
36,A32,A71,1
7,A33,A75,1
36,A30,A73,1
12,A32,A73,1
6,A32,A75,1
18,A34,A75,1
22,A32,A75,1
18,A34,A75,1
12,A32,A74,1
6,A34,A75,1
6,A32,A74,1
12,A33,A73,1
15,A32,A75,1
12,A31,A73,1
24,A34,A75,1
6,A32,A73,1
12,A34,A73,1
24,A32,A73,1
48,A31,A73,1
12,A34,A71,1
30,A33,A73,1
9,A34,A75,1
24,A32,A72,1
18,A32,A72,1
48,A32,A74,1
30,A34,A74,1
24,A32,A75,1
15,A34,A73,1
12,A34,A75,1
6,A34,A73,1
48,A33,A73,1
24,A32,A73,1
18,A34,A72,1
14,A32,A75,1
12,A32,A72,1
18,A34,A75,1
12,A32,A74,1
15,A32,A72,1
24,A32,A72,1
6,A32,A73,1
48,A32,A74,1
18,A32,A72,1
6,A34,A72,1
5,A32,A74,1
18,A31,A72,1
48,A31,A71,1
12,A32,A73,1
12,A32,A73,1
12,A32,A73,1
10,A32,A75,1
9,A32,A75,1
12,A32,A73,1
6,A34,A73,1
24,A31,A74,1
36,A33,A74,1
12,A32,A75,1
9,A34,A73,1
30,A32,A75,1
36,A32,A75,1
18,A32,A73,1
42,A32,A74,1
36,A32,A74,1
4,A32,A72,1
24,A34,A75,1
18,A34,A73,1
24,A34,A75,1
6,A34,A73,1
15,A32,A75,1
24,A33,A72,1
13,A32,A72,1
12,A32,A72,1
15,A32,A74,1
15,A34,A73,1
24,A34,A73,1
8,A32,A74,1
24,A32,A73,1
24,A31,A73,1
12,A34,A71,1
24,A34,A72,1
36,A32,A73,1
48,A31,A74,1
21,A32,A75,1
36,A32,A74,1
24,A32,A75,1
12,A32,A75,1
12,A32,A72,1
10,A32,A71,1
36,A33,A74,1
15,A31,A75,1
24,A34,A73,1
24,A34,A73,1
24,A32,A75,1
18,A34,A73,1
24,A32,A75,1
24,A34,A74,1
6,A34,A74,1
36,A33,A73,1
10,A32,A75,1
12,A34,A73,1
24,A32,A72,1
9,A34,A73,1
15,A32,A72,1
36,A32,A73,1
12,A32,A73,1
12,A34,A75,1
24,A34,A75,1
27,A33,A75,1
42,A32,A74,1
6,A32,A73,1
15,A32,A74,1
24,A32,A74,1
30,A34,A73,1
36,A32,A75,1
13,A34,A72,1
20,A34,A75,1
12,A34,A72,1
18,A34,A73,1
13,A32,A71,1
6,A32,A73,1
18,A32,A73,1
12,A32,A71,1
9,A32,A75,1
6,A34,A71,1
6,A33,A72,1
12,A32,A73,1
12,A34,A75,1
15,A34,A75,1
24,A34,A75,1
20,A32,A71,1
36,A32,A73,1
15,A34,A75,1
24,A31,A74,1
24,A32,A75,1
36,A32,A73,1
10,A32,A73,1
36,A33,A75,1
30,A30,A73,1
12,A34,A74,1
10,A32,A72,1
10,A34,A74,1
12,A32,A73,1
18,A32,A73,1
24,A32,A73,1
18,A32,A72,1
8,A34,A75,1
27,A33,A73,1
24,A34,A73,1
36,A32,A75,1
10,A34,A72,1
30,A34,A74,1
8,A32,A72,1
36,A32,A73,1
6,A34,A74,1
60,A33,A73,1
36,A32,A73,1
7,A32,A72,1
36,A33,A74,1
12,A34,A75,1
12,A32,A73,1
12,A34,A75,1
12,A32,A71,1
6,A32,A72,1
36,A32,A71,1
24,A32,A74,1
24,A32,A72,1
4,A34,A74,1
21,A32,A75,1
6,A34,A75,1
10,A32,A75,1
12,A32,A74,1
24,A32,A75,1
12,A32,A74,1
15,A34,A73,1
12,A34,A74,1
9,A32,A75,1
12,A34,A74,1
30,A34,A75,1
21,A32,A74,1
15,A34,A75,1
10,A34,A74,1
30,A32,A74,1
48,A32,A74,1
12,A32,A72,1
7,A34,A75,1
21,A34,A72,1
11,A34,A73,1
9,A32,A72,1
6,A31,A75,1
15,A32,A75,1
12,A32,A75,1
30,A30,A72,1
21,A34,A74,1
12,A32,A73,1
54,A30,A73,1
24,A34,A73,1
7,A32,A73,1
15,A34,A73,1
12,A34,A75,1
21,A33,A73,1
12,A32,A73,1
12,A31,A75,1
18,A32,A73,1
12,A34,A75,1
11,A34,A73,1
12,A34,A73,1
36,A33,A75,1
9,A32,A72,1
22,A32,A74,1
9,A32,A73,1
18,A34,A72,1
18,A32,A74,1
30,A32,A73,1
24,A32,A74,1
36,A32,A74,1
24,A34,A75,1
21,A32,A73,1
12,A32,A73,1
24,A32,A74,1
11,A34,A73,1
24,A34,A74,1
15,A32,A75,1
12,A34,A75,1
24,A32,A73,1
12,A34,A75,1
9,A34,A71,1
24,A34,A74,1
12,A34,A74,1
6,A32,A71,1
11,A34,A72,1
6,A32,A73,1
30,A33,A75,1
39,A34,A74,1
36,A34,A75,1
15,A34,A73,1
4,A34,A74,1
24,A32,A73,1
18,A33,A73,1
8,A32,A73,1
12,A32,A73,1
8,A34,A75,1
24,A32,A74,1
9,A34,A73,1
30,A34,A75,1
21,A34,A75,1
24,A32,A74,1
24,A32,A73,1
12,A33,A73,1
60,A32,A74,1
12,A32,A73,1
18,A32,A75,1
12,A34,A74,1
12,A32,A74,1
42,A34,A73,1
11,A33,A74,1
12,A32,A73,1
12,A32,A73,1
7,A32,A73,1
15,A32,A74,1
12,A34,A74,1
18,A32,A72,1
9,A32,A73,1
15,A32,A73,1
21,A32,A74,1
36,A33,A73,2
48,A32,A73,2
24,A32,A73,2
18,A31,A74,2
36,A32,A73,2
42,A32,A72,2
48,A34,A75,2
12,A32,A75,2
12,A32,A73,2
24,A33,A73,2
18,A32,A72,2
12,A32,A74,2
18,A32,A71,2
12,A32,A71,2
18,A32,A73,2
10,A32,A73,2
12,A32,A73,2
24,A32,A74,2
9,A32,A72,2
6,A32,A75,2
12,A32,A72,2
12,A32,A74,2
12,A32,A75,2
18,A32,A71,2
24,A32,A75,2
36,A32,A75,2
24,A32,A75,2
18,A34,A73,2
27,A34,A73,2
24,A32,A72,2
48,A34,A73,2
45,A32,A73,2
36,A32,A74,2
24,A34,A75,2
12,A31,A72,2
12,A32,A75,2
24,A34,A73,2
18,A32,A73,2
24,A31,A74,2
18,A32,A73,2
21,A30,A73,2
60,A32,A75,2
24,A32,A74,2
12,A34,A75,2
36,A32,A72,2
27,A32,A73,2
48,A30,A73,2
24,A30,A73,2
18,A33,A73,2
18,A32,A73,2
36,A32,A73,2
21,A31,A73,2
36,A33,A75,2
18,A32,A72,2
24,A31,A71,2
24,A32,A74,2
12,A32,A72,2
48,A30,A74,2
24,A33,A71,2
18,A32,A72,2
12,A34,A74,2
36,A31,A75,2
36,A30,A73,2
12,A32,A74,2
18,A32,A71,2
12,A33,A75,2
27,A32,A73,2
36,A34,A74,2
36,A32,A73,2
24,A32,A75,2
24,A32,A75,2
18,A30,A72,2
18,A34,A73,2
48,A32,A72,2
36,A33,A75,2
9,A32,A72,2
36,A32,A72,2
36,A32,A75,2
18,A32,A72,2
12,A34,A73,2
24,A33,A72,2
18,A32,A71,2
12,A32,A72,2
24,A32,A72,2
15,A32,A73,2
12,A32,A73,2
36,A32,A75,2
36,A32,A73,2
48,A32,A74,2
48,A34,A75,2
16,A34,A75,2
10,A32,A73,2
30,A32,A72,2
12,A32,A71,2
21,A32,A73,2
12,A32,A74,2
48,A32,A71,2
12,A32,A74,2
12,A32,A72,2
12,A34,A75,2
21,A32,A75,2
48,A32,A73,2
48,A32,A74,2
48,A32,A74,2
12,A32,A72,2
30,A33,A75,2
18,A34,A71,2
60,A32,A73,2
18,A34,A75,2
36,A32,A71,2
8,A32,A73,2
24,A32,A71,2
18,A33,A75,2
15,A31,A71,2
24,A32,A72,2
48,A30,A75,2
36,A34,A72,2
48,A31,A75,2
36,A32,A74,2
48,A33,A75,2
12,A30,A72,2
18,A32,A75,2
36,A34,A72,2
24,A30,A75,2
60,A32,A74,2
27,A30,A71,2
48,A32,A74,2
28,A32,A73,2
24,A31,A75,2
24,A31,A73,2
12,A32,A73,2
24,A31,A72,2
15,A30,A75,2
24,A33,A72,2
42,A33,A74,2
12,A30,A74,2
18,A32,A72,2
18,A32,A73,2
36,A32,A73,2
18,A34,A75,2
6,A31,A72,2
36,A32,A72,2
15,A32,A73,2
15,A32,A72,2
24,A32,A73,2
18,A31,A73,2
36,A34,A72,2
18,A32,A73,2
12,A32,A75,2
30,A32,A75,2
18,A34,A73,2
40,A34,A73,2
24,A32,A73,2
24,A31,A74,2
21,A33,A72,2
33,A34,A73,2
12,A34,A75,2
18,A32,A73,2
30,A31,A71,2
18,A31,A75,2
12,A32,A73,2
9,A32,A73,2
21,A32,A75,2
30,A33,A72,2
6,A32,A72,2
36,A33,A72,2
24,A32,A73,2
27,A30,A75,2
36,A33,A73,2
48,A32,A72,2
36,A33,A72,2
9,A32,A73,2
30,A34,A74,2
15,A31,A73,2
42,A32,A74,2
48,A34,A73,2
36,A30,A75,2
24,A32,A73,2
12,A31,A72,2
12,A30,A73,2
36,A32,A73,2
9,A31,A74,2
36,A32,A72,2
30,A30,A73,2
36,A32,A75,2
12,A30,A73,2
15,A33,A73,2
36,A32,A73,2
6,A32,A71,2
24,A32,A73,2
24,A32,A73,2
12,A34,A71,2
10,A32,A75,2
36,A32,A75,2
15,A30,A72,2
24,A32,A74,2
6,A31,A75,2
18,A34,A73,2
45,A34,A72,2
12,A32,A73,2
12,A32,A75,2
24,A32,A72,2
72,A32,A73,2
18,A32,A73,2
24,A31,A72,2
12,A32,A75,2
36,A34,A73,2
24,A34,A74,2
12,A32,A73,2
24,A32,A72,2
60,A33,A75,2
15,A32,A75,2
24,A33,A71,2
48,A32,A74,2
6,A31,A72,2
18,A33,A74,2
12,A34,A75,2
30,A32,A74,2
24,A32,A72,2
18,A30,A73,2
48,A32,A73,2
24,A32,A73,2
45,A30,A75,2
24,A34,A72,2
30,A32,A72,2
12,A32,A72,2
24,A32,A72,2
48,A30,A73,2
30,A34,A71,2
14,A32,A75,2
24,A34,A72,2
24,A32,A75,2
9,A32,A74,2
30,A32,A73,2
24,A32,A72,2
24,A31,A74,2
48,A32,A75,2
24,A33,A72,2
36,A32,A73,2
12,A32,A73,2
6,A32,A72,2
36,A34,A73,2
12,A32,A73,2
30,A32,A73,2
12,A32,A72,2
21,A33,A72,2
18,A32,A73,2
30,A34,A71,2
12,A32,A72,2
18,A34,A72,2
18,A32,A71,2
48,A32,A73,2
9,A34,A75,2
9,A32,A72,2
15,A32,A73,2
45,A32,A73,2
12,A32,A73,2
9,A32,A73,2
18,A32,A73,2
39,A34,A74,2
36,A33,A73,2
60,A31,A75,2
6,A33,A71,2
15,A34,A73,2
12,A31,A73,2
54,A30,A72,2
21,A34,A75,2
24,A34,A75,2
18,A32,A73,2
6,A34,A73,2
