@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Property {A121,A122,A124,A123}
@attribute NCredits numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A34,A43,1316,A73,A122,2,A201,1
A34,A42,6361,A75,A124,1,A201,1
A32,A41,4686,A73,A124,1,A201,1
A33,A49,2764,A73,A123,2,A201,1
A32,A43,1107,A73,A121,1,A201,1
A33,A41,2993,A73,A121,2,A201,1
A34,A40,3939,A73,A121,2,A201,1
A32,A40,3512,A74,A123,2,A201,1
A34,A43,2331,A75,A121,1,A201,1
A34,A42,1592,A74,A122,1,A202,1
A32,A48,894,A74,A122,1,A201,1
A32,A43,2118,A73,A121,1,A201,1
A32,A42,4020,A73,A123,1,A201,1
A32,A43,368,A75,A122,1,A201,1
A33,A41,1503,A73,A121,1,A201,1
A34,A43,1898,A73,A121,2,A201,1
A33,A43,1553,A74,A122,2,A201,1
A32,A43,1155,A75,A121,2,A201,1
A32,A43,1206,A75,A121,1,A201,1
A32,A49,841,A74,A121,1,A201,1
A32,A43,2315,A75,A121,1,A201,1
A34,A43,3077,A75,A123,2,A201,1
A34,A41,3229,A71,A124,1,A201,1
A32,A41,3857,A73,A122,1,A201,1
A34,A46,3565,A72,A122,2,A201,1
A34,A42,5371,A73,A122,2,A201,1
A32,A43,1278,A75,A121,1,A201,1
A34,A49,1264,A75,A124,1,A201,1
A34,A40,2134,A73,A123,3,A201,1
A32,A40,3577,A73,A121,1,A202,1
A32,A43,2675,A75,A123,1,A201,1
A34,A49,1797,A72,A122,2,A201,1
A31,A49,3566,A74,A123,1,A201,1
A32,A42,1262,A75,A122,1,A201,1
A34,A40,7228,A73,A122,2,A201,1
A32,A40,2390,A75,A123,1,A201,1
A32,A41,1413,A74,A122,1,A202,1
A32,A42,3049,A72,A122,1,A201,1
A34,A43,1957,A74,A123,1,A201,1
A32,A41,2910,A74,A124,1,A201,1
A32,A43,1979,A75,A123,1,A201,1
A32,A43,3568,A75,A123,1,A201,1
A34,A43,1851,A74,A123,2,A201,1
A32,A42,1543,A73,A121,1,A201,1
A34,A46,1532,A73,A123,1,A201,1
A34,A46,1597,A75,A124,2,A201,1
A32,A40,1201,A72,A122,1,A201,1
A32,A40,640,A73,A121,1,A201,1
A34,A40,3485,A72,A121,2,A201,1
A32,A43,1158,A73,A123,1,A201,1
A34,A40,1038,A74,A122,2,A201,1
A34,A46,2096,A74,A121,1,A201,1
A31,A43,1940,A72,A124,1,A201,1
A34,A41,3850,A74,A123,2,A201,1
A32,A40,1203,A75,A122,1,A201,1
A32,A49,7409,A75,A122,2,A201,1
A34,A42,3331,A75,A122,1,A201,1
A32,A42,3001,A74,A121,1,A201,1
A34,A46,2748,A75,A124,3,A201,1
A32,A41,2901,A72,A121,1,A201,1
A34,A40,1393,A72,A123,2,A201,1
A32,A40,3195,A73,A121,1,A201,1
A34,A40,1323,A75,A123,2,A201,1
A33,A43,7418,A73,A121,1,A201,1
A31,A43,1750,A75,A122,1,A201,1
A32,A43,3357,A72,A123,1,A201,1
A32,A43,2697,A73,A121,1,A201,1
A34,A40,2171,A73,A122,2,A202,1
A34,A42,1919,A74,A123,1,A201,1
A32,A43,3181,A72,A122,1,A201,1
A32,A43,2576,A73,A121,1,A201,1
A33,A43,7238,A75,A123,2,A201,1
A32,A44,1225,A73,A123,1,A201,1
A32,A43,2389,A72,A123,1,A201,1
A32,A42,1984,A73,A124,2,A201,1
A33,A40,1344,A73,A121,2,A201,1
A34,A43,1655,A75,A121,2,A201,1
A34,A42,1817,A73,A124,2,A201,1
A34,A43,1537,A75,A121,2,A201,1
A32,A40,3757,A75,A124,1,A201,1
A32,A43,3059,A74,A121,1,A201,1
A32,A42,3972,A74,A122,1,A201,1
A32,A43,1126,A75,A121,1,A201,1
A30,A43,426,A75,A123,1,A201,1
A31,A40,2325,A74,A123,1,A201,1
A34,A40,13756,A75,A124,1,A201,1
A32,A42,1768,A73,A121,1,A201,1
A34,A41,3275,A75,A123,1,A201,1
A34,A43,1829,A75,A123,2,A201,1
A32,A40,1597,A73,A124,1,A202,1
A34,A43,1291,A73,A122,2,A201,1
A32,A41,3488,A74,A123,1,A201,1
A34,A41,2751,A75,A123,2,A201,1
A34,A42,1295,A72,A122,2,A201,1
A32,A49,1410,A75,A121,1,A201,1
A32,A43,1867,A75,A123,1,A201,1
A32,A43,1301,A75,A121,1,A201,1
A32,A43,1963,A74,A123,2,A201,1
A32,A40,1287,A75,A122,1,A202,1
A34,A40,3535,A74,A123,2,A201,1
A34,A49,3652,A74,A122,2,A201,1
A31,A43,1445,A74,A123,1,A201,1
A32,A43,1552,A74,A123,1,A201,1
A32,A40,3518,A73,A122,1,A201,1
A32,A40,1374,A71,A122,1,A201,1
A33,A42,3643,A75,A122,2,A201,1
A34,A43,882,A72,A121,2,A201,1
A34,A40,1224,A73,A121,2,A201,1
A31,A43,1569,A75,A123,1,A201,1
A32,A43,1413,A73,A122,1,A201,1
A32,A41,1300,A75,A124,1,A201,1
A34,A43,2337,A75,A121,1,A201,1
A31,A40,12169,A71,A124,1,A201,1
A34,A46,701,A73,A123,2,A201,1
A32,A40,2249,A74,A123,1,A201,1
A34,A40,571,A75,A121,2,A201,1
A32,A42,428,A75,A122,1,A201,1
A32,A43,1498,A73,A123,1,A201,1
A34,A45,3394,A71,A123,2,A201,1
A34,A43,1554,A74,A123,2,A201,1
A32,A43,4594,A72,A123,1,A201,1
A31,A42,3496,A73,A123,1,A201,1
A34,A41,5800,A73,A123,2,A201,1
A32,A41,4675,A72,A123,1,A201,1
A34,A43,3656,A75,A122,2,A201,1
A32,A46,392,A72,A122,1,A201,1
A34,A46,936,A75,A123,2,A201,1
A32,A40,3186,A74,A123,1,A201,1
A32,A40,1525,A74,A123,1,A201,1
A33,A43,1478,A73,A121,2,A201,1
A32,A43,590,A72,A121,1,A202,1
A32,A41,2779,A73,A123,1,A201,1
A33,A49,1449,A75,A123,2,A201,1
A32,A41,4657,A73,A123,1,A201,1
A34,A41,2346,A74,A123,2,A201,1
A32,A42,1845,A72,A122,1,A201,1
A34,A410,6314,A71,A124,2,A201,1
A34,A49,6304,A75,A121,2,A201,1
A34,A40,1995,A72,A123,1,A201,1
A32,A40,10722,A72,A121,1,A201,1
A32,A41,5493,A75,A124,1,A201,1
A32,A44,343,A72,A121,1,A201,1
A31,A48,3447,A73,A121,1,A201,1
A34,A46,5743,A72,A124,2,A201,1
A30,A45,2613,A73,A123,2,A201,1
A34,A40,1028,A73,A121,2,A201,1
A33,A40,1965,A73,A123,2,A201,1
A32,A41,2569,A73,A123,1,A201,1
A32,A43,484,A74,A121,1,A201,1
A33,A49,6681,A73,A124,1,A201,1
A32,A43,1595,A74,A122,1,A201,1
A32,A42,2186,A74,A121,1,A201,1
A32,A42,1766,A73,A122,1,A201,1
A34,A40,731,A75,A121,2,A201,1
A34,A40,3398,A74,A121,2,A202,1
A34,A40,1361,A72,A121,1,A202,1
A32,A43,3758,A71,A124,1,A201,1
A32,A42,708,A73,A122,1,A201,1
A32,A49,1941,A73,A122,1,A201,1
A32,A40,1549,A72,A121,1,A201,1
A32,A49,4439,A75,A121,1,A201,1
A34,A42,1402,A74,A123,1,A201,1
A34,A48,932,A74,A122,2,A201,1
A34,A42,2132,A72,A121,2,A202,1
A34,A40,1175,A71,A123,3,A201,1
A30,A42,4583,A73,A121,2,A201,1
A34,A41,1409,A75,A121,1,A201,1
A33,A41,3594,A72,A122,2,A201,1
A34,A43,1582,A75,A123,2,A201,1
A32,A43,1715,A73,A123,1,A201,1
A34,A43,1169,A75,A121,2,A201,1
A32,A43,3077,A73,A123,1,A201,1
A32,A42,2978,A73,A123,1,A201,1
A32,A40,1364,A73,A123,1,A201,1
A34,A43,385,A74,A121,4,A201,1
A32,A40,2002,A74,A122,1,A201,1
A32,A42,1521,A73,A123,1,A201,1
A32,A40,7308,A71,A124,1,A201,1
A32,A45,2631,A73,A121,1,A201,1
A34,A42,3612,A75,A122,1,A201,1
A34,A43,2872,A75,A121,1,A201,1
A34,A41,7758,A75,A124,1,A201,1
A33,A40,10875,A75,A123,2,A201,1
A34,A42,1221,A73,A122,2,A201,1
A32,A40,1007,A73,A121,1,A201,1
A32,A42,2116,A73,A121,1,A201,1
A34,A43,3074,A73,A121,2,A201,1
A34,A43,1800,A73,A123,2,A201,1
A33,A40,717,A75,A123,2,A201,1
A34,A40,1455,A74,A121,3,A201,1
A34,A45,996,A74,A121,2,A201,1
A34,A49,7629,A75,A123,2,A201,1
A32,A40,1820,A73,A122,1,A201,1
A34,A42,3617,A75,A123,3,A201,1
A32,A40,1283,A74,A122,1,A201,1
A34,A49,2326,A73,A123,1,A201,1
A32,A42,983,A72,A121,1,A201,1
A32,A43,1068,A75,A123,1,A201,1
A34,A42,1872,A71,A124,3,A201,1
A34,A41,7596,A75,A123,2,A201,1
A32,A43,5084,A75,A123,1,A201,1
A34,A43,1240,A75,A121,2,A201,1
A33,A43,9157,A73,A124,1,A201,1
A32,A43,1213,A75,A122,1,A201,1
A34,A43,6070,A75,A123,2,A201,1
A32,A42,1424,A75,A121,1,A201,1
A34,A43,1934,A75,A124,2,A201,1
A32,A40,1474,A72,A121,1,A201,1
A34,A43,1169,A73,A122,2,A201,1
A33,A49,2978,A73,A121,2,A201,1
A32,A44,1236,A72,A121,1,A201,1
A33,A40,2247,A73,A123,2,A201,1
A32,A43,1082,A75,A123,2,A201,1
A31,A49,3609,A73,A121,1,A201,1
A32,A43,3595,A75,A123,1,A201,1
A34,A41,4796,A75,A124,1,A201,1
A34,A40,1602,A75,A123,2,A201,1
A34,A43,2728,A74,A121,3,A201,1
A33,A43,12749,A74,A123,1,A201,1
A34,A43,1237,A73,A122,2,A201,1
A32,A42,2030,A74,A123,1,A201,1
A32,A40,6527,A73,A124,1,A201,1
A34,A43,338,A75,A123,2,A201,1
A34,A49,1185,A73,A121,2,A201,1
A32,A43,1346,A75,A124,1,A201,1
A32,A43,1473,A72,A121,1,A201,1
A32,A43,1126,A72,A121,1,A201,1
A32,A40,1961,A75,A123,1,A201,1
A32,A40,3249,A74,A124,1,A201,1
A32,A40,10366,A75,A122,1,A201,1
A32,A42,1747,A72,A122,1,A202,1
A34,A42,2788,A74,A123,2,A201,1
A34,A41,1804,A72,A122,1,A201,1
A32,A49,1913,A72,A121,1,A201,1
A34,A43,717,A75,A121,3,A201,1
A34,A41,7253,A74,A123,2,A201,1
A32,A42,3599,A74,A123,1,A201,1
A32,A42,7721,A72,A122,1,A202,1
A32,A49,2142,A75,A121,1,A201,1
A32,A40,2507,A75,A124,1,A201,1
A32,A49,1449,A74,A123,2,A201,1
A32,A43,1924,A73,A122,1,A202,1
A32,A42,3832,A72,A122,1,A201,1
A32,A46,727,A75,A124,1,A201,1
A32,A43,10222,A74,A123,1,A201,1
A34,A43,1138,A73,A121,2,A201,1
A34,A42,2348,A73,A122,2,A201,1
A34,A40,2121,A73,A122,2,A201,1
A34,A41,6615,A71,A124,2,A201,1
A34,A41,3868,A75,A123,2,A201,1
A34,A40,6761,A74,A124,2,A201,1
A30,A41,6148,A75,A123,2,A201,1
A31,A41,7824,A72,A121,2,A201,1
A32,A49,1568,A73,A122,1,A201,1
A32,A42,1657,A73,A121,1,A201,1
A32,A43,625,A72,A121,1,A201,1
A32,A46,1538,A72,A124,1,A201,1
A32,A40,1884,A75,A123,1,A201,1
A34,A49,5954,A74,A121,2,A201,1
A32,A41,2445,A72,A123,1,A201,1
A32,A41,2603,A73,A123,1,A201,1
A34,A40,3380,A74,A121,1,A201,1
A32,A41,2964,A75,A124,1,A201,1
A34,A410,1164,A75,A124,2,A201,1
A34,A46,1927,A73,A123,2,A201,1
A32,A40,7393,A73,A122,1,A201,1
A32,A43,1967,A75,A123,1,A201,1
A32,A41,6948,A73,A123,1,A201,1
A34,A43,1098,A71,A123,2,A201,1
A32,A42,929,A74,A123,1,A201,1
A32,A46,1200,A73,A122,1,A201,1
A32,A43,2171,A72,A123,1,A201,1
A32,A43,3430,A75,A123,1,A201,1
A32,A42,1858,A72,A123,1,A201,1
A34,A42,1478,A75,A123,2,A201,1
A32,A43,2299,A75,A123,1,A201,1
A34,A40,2022,A73,A123,1,A201,1
A33,A49,9857,A74,A122,2,A201,1
A33,A40,7432,A73,A122,1,A201,1
A30,A42,2759,A75,A122,2,A201,1
A32,A49,2528,A72,A122,1,A201,1
A34,A40,1322,A73,A123,2,A201,1
A33,A49,3863,A73,A124,1,A201,1
A32,A45,1308,A75,A123,2,A201,1
A32,A43,458,A73,A121,1,A201,1
A32,A42,1574,A73,A121,1,A201,1
A33,A410,7582,A71,A124,1,A201,1
A34,A45,2058,A73,A121,2,A201,1
A34,A42,4272,A75,A122,2,A201,1
A34,A43,1743,A75,A122,2,A201,1
A32,A42,1736,A74,A121,1,A201,1
A31,A49,1559,A74,A123,1,A201,1
A34,A43,976,A75,A123,2,A201,1
A30,A49,8072,A72,A123,3,A201,1
A32,A43,2323,A74,A123,1,A201,1
A32,A40,7472,A71,A121,1,A201,1
A34,A41,6187,A74,A123,2,A201,1
A34,A40,1231,A75,A121,2,A202,1
A32,A43,2753,A75,A123,1,A201,1
A34,A40,362,A73,A123,2,A201,1
A32,A410,1755,A75,A121,1,A201,1
A34,A41,1860,A71,A123,2,A201,1
A34,A49,2442,A75,A123,4,A201,1
A33,A41,8613,A73,A123,2,A201,1
A32,A49,2687,A74,A122,1,A201,1
A32,A43,1533,A72,A123,1,A201,1
A34,A41,8858,A74,A124,2,A201,1
A34,A45,1288,A75,A121,2,A202,1
A34,A43,3017,A75,A122,1,A201,1
A34,A42,2028,A74,A122,2,A201,1
A32,A42,3622,A75,A122,2,A201,1
A34,A42,1935,A75,A121,3,A201,1
A34,A43,3578,A75,A121,1,A201,1
A34,A40,5045,A75,A123,1,A201,1
A32,A42,2136,A73,A121,1,A201,1
A34,A40,958,A74,A121,2,A201,1
A32,A43,2051,A72,A121,1,A201,1
A33,A40,2899,A75,A123,1,A201,1
A34,A43,930,A75,A121,4,A201,1
A32,A41,3812,A72,A123,1,A201,1
A32,A43,1092,A73,A121,2,A201,1
A33,A49,4272,A73,A122,2,A201,1
A32,A41,4811,A74,A122,1,A201,1
A31,A43,409,A73,A121,2,A201,1
A34,A40,666,A74,A121,2,A201,1
A32,A42,2892,A75,A124,1,A201,1
A34,A41,4576,A71,A123,1,A201,1
A32,A45,1514,A73,A121,1,A201,1
A33,A49,6967,A74,A123,1,A201,1
A32,A43,707,A73,A121,2,A201,1
A32,A42,1374,A73,A121,1,A201,1
A32,A41,2679,A72,A124,1,A201,1
A34,A43,1516,A73,A121,2,A201,1
A34,A41,10623,A75,A124,3,A201,1
A33,A410,2629,A73,A123,2,A201,1
A32,A43,5152,A74,A123,1,A201,1
A34,A43,4530,A74,A123,1,A201,1
A33,A43,585,A73,A121,2,A201,1
A32,A40,3651,A73,A122,1,A201,1
A34,A43,2238,A73,A123,2,A201,1
A34,A42,2745,A74,A123,2,A201,1
A32,A43,753,A73,A121,1,A201,1
A34,A42,3780,A72,A123,2,A201,1
A33,A40,2862,A75,A124,1,A201,1
A32,A42,2578,A71,A124,1,A201,1
A34,A46,2012,A74,A123,1,A201,1
A34,A40,926,A71,A122,1,A201,1
A33,A42,2333,A72,A122,1,A201,1
A32,A42,3017,A72,A121,1,A201,1
A32,A43,3835,A75,A121,1,A201,1
A32,A43,2073,A73,A121,1,A201,1
A34,A43,2743,A75,A123,2,A201,1
A32,A49,1950,A74,A123,2,A201,1
A32,A43,5848,A73,A123,1,A201,1
A32,A42,601,A72,A121,1,A201,1
A34,A43,5771,A74,A123,2,A201,1
A34,A42,3343,A73,A124,1,A201,1
A34,A43,3573,A73,A121,1,A201,1
A34,A43,1149,A73,A121,2,A201,1
A32,A41,2476,A75,A121,1,A201,1
A34,A40,2366,A74,A123,1,A201,1
A32,A41,6579,A71,A124,1,A201,1
A32,A42,2515,A73,A121,1,A201,1
A32,A42,3149,A72,A124,1,A201,1
A34,A40,1255,A75,A121,2,A201,1
A34,A41,11054,A73,A123,1,A201,1
A32,A43,3979,A74,A123,2,A201,1
A32,A43,3913,A73,A121,1,A201,1
A32,A40,1101,A73,A121,2,A201,1
A32,A49,1037,A74,A121,1,A201,1
A32,A43,1680,A75,A121,1,A201,1
A33,A42,7678,A74,A123,2,A201,1
A32,A43,2141,A74,A124,1,A201,1
A32,A48,1238,A71,A122,1,A201,1
A30,A49,3104,A74,A122,1,A201,1
A32,A42,3422,A75,A122,3,A201,1
A32,A45,660,A74,A121,1,A201,1
A34,A43,2831,A73,A123,1,A201,1
A34,A49,1412,A73,A121,2,A201,1
A32,A42,2835,A75,A122,1,A201,1
A32,A40,1469,A75,A121,1,A201,1
A34,A43,9566,A73,A123,2,A201,1
A34,A41,6842,A73,A122,2,A201,1
A31,A43,1048,A73,A121,1,A201,1
A32,A43,1901,A73,A123,1,A201,1
A32,A46,1393,A75,A122,3,A201,1
A32,A43,2279,A73,A124,1,A201,1
A32,A43,2284,A74,A123,1,A201,1
A32,A42,3062,A75,A124,1,A201,1
A32,A42,3620,A73,A122,1,A201,1
A32,A41,2924,A73,A124,1,A201,1
A34,A40,2080,A73,A123,1,A201,1
A34,A42,5150,A75,A123,1,A201,1
A33,A41,4679,A74,A123,2,A201,1
A32,A410,15857,A71,A123,1,A201,1
A32,A40,1330,A72,A121,1,A201,1
A33,A42,1591,A74,A121,2,A201,1
A32,A41,2670,A75,A123,1,A201,1
A34,A42,7374,A71,A122,2,A201,1
A34,A43,2578,A75,A123,1,A201,1
A32,A40,1494,A72,A121,1,A202,1
A33,A43,846,A75,A124,1,A201,1
A34,A40,6614,A75,A123,2,A201,1
A32,A49,2622,A73,A123,1,A201,1
A32,A42,1289,A73,A122,1,A201,1
A32,A41,2028,A73,A123,1,A201,1
A34,A43,1382,A73,A123,2,A201,1
A32,A41,5248,A73,A123,1,A201,1
A32,A43,2108,A74,A121,1,A201,1
A30,A42,3244,A73,A123,2,A201,1
A33,A49,5117,A74,A123,2,A201,1
A32,A40,1168,A73,A121,1,A201,1
A32,A43,1603,A75,A123,1,A201,1
A32,A41,4788,A74,A122,1,A201,1
A33,A49,2503,A75,A122,2,A201,1
A32,A42,1925,A73,A121,1,A201,1
A32,A43,2101,A72,A122,1,A201,1
A32,A43,1262,A73,A123,1,A201,1
A34,A43,1231,A75,A122,2,A201,1
A32,A40,1721,A72,A121,1,A201,1
A34,A41,3368,A75,A124,2,A201,1
A32,A43,1297,A73,A121,1,A201,1
A34,A43,1795,A75,A121,2,A201,1
A34,A41,2957,A75,A122,2,A201,1
A32,A43,866,A73,A121,1,A201,1
A32,A43,886,A73,A123,1,A201,1
A32,A42,763,A73,A121,1,A201,1
A32,A43,3105,A72,A123,2,A201,1
A30,A49,12204,A73,A123,1,A201,1
A31,A41,3632,A73,A123,1,A202,1
A32,A410,5381,A71,A124,1,A201,1
A32,A45,5190,A75,A122,4,A201,1
A32,A43,3160,A75,A122,1,A201,1
A33,A43,932,A73,A121,1,A201,1
A32,A43,3416,A73,A123,1,A201,1
A34,A42,3617,A75,A124,2,A201,1
A33,A40,2032,A75,A124,2,A201,1
A34,A40,4716,A72,A121,2,A201,1
A34,A42,1520,A75,A122,1,A201,1
A32,A42,2212,A74,A123,1,A201,1
A32,A43,1444,A72,A122,1,A201,1
A32,A40,709,A72,A121,1,A202,1
A32,A43,4795,A72,A124,1,A201,1
A32,A43,2415,A73,A121,1,A201,1
A32,A41,2848,A73,A121,1,A201,1
A32,A40,2133,A75,A124,1,A201,1
A33,A49,2375,A73,A123,2,A201,1
A34,A43,1347,A74,A122,2,A201,1
A32,A43,1376,A74,A123,1,A201,1
A33,A46,8471,A73,A123,2,A201,1
A34,A43,6742,A74,A122,2,A201,1
A32,A45,454,A72,A122,1,A201,1
A32,A43,7166,A74,A122,1,A201,1
A32,A44,874,A72,A121,1,A201,1
A34,A40,1163,A73,A121,1,A201,1
A34,A43,5103,A72,A124,3,A201,1
A32,A41,7814,A74,A123,1,A201,1
A32,A43,1103,A74,A121,2,A202,1
A32,A40,3973,A71,A124,1,A201,1
A34,A43,3342,A75,A123,1,A201,1
A34,A40,2122,A73,A121,2,A202,1
A34,A41,10477,A75,A124,2,A201,1
A32,A40,3763,A74,A121,1,A202,1
A32,A41,2812,A75,A121,1,A201,1
A32,A42,2659,A73,A123,1,A201,1
A32,A40,1546,A73,A121,1,A202,1
A34,A43,700,A75,A124,2,A201,1
A34,A44,1424,A74,A122,1,A201,1
A33,A43,15653,A74,A123,2,A201,1
A34,A40,682,A74,A123,2,A201,1
A32,A40,2662,A74,A122,1,A202,1
A32,A40,8487,A74,A123,1,A201,1
A34,A43,1360,A73,A122,2,A201,1
A34,A42,1585,A74,A122,2,A201,1
A34,A43,1544,A74,A121,3,A201,1
A34,A43,629,A75,A122,2,A201,1
A32,A41,8133,A73,A122,1,A201,1
A32,A40,6260,A74,A121,1,A201,1
A33,A41,5965,A75,A123,2,A201,1
A32,A41,1352,A71,A122,1,A201,1
A33,A42,4151,A73,A122,2,A201,1
A34,A49,4139,A73,A122,2,A201,1
A34,A43,1471,A73,A124,2,A201,1
A32,A41,7966,A72,A123,2,A201,1
A32,A43,2930,A74,A121,1,A201,1
A32,A40,1318,A75,A121,1,A201,1
A34,A42,975,A73,A122,2,A201,1
A32,A49,1076,A73,A121,1,A202,1
A32,A43,3213,A72,A121,1,A201,1
A32,A43,1311,A74,A122,1,A201,1
A32,A48,937,A72,A123,2,A201,1
A32,A40,6078,A74,A123,1,A201,1
A32,A42,1388,A73,A121,1,A201,1
A34,A40,1287,A75,A121,2,A201,1
A32,A40,2255,A72,A122,1,A201,1
A32,A40,2859,A71,A124,1,A201,1
A34,A40,3124,A72,A121,2,A201,1
A32,A43,3660,A73,A123,1,A201,1
A34,A40,1495,A75,A121,2,A201,1
A32,A43,1453,A72,A121,1,A201,1
A32,A49,1391,A73,A121,1,A201,1
A32,A43,776,A73,A121,1,A201,1
A32,A42,4169,A73,A122,1,A201,1
A33,A49,4712,A73,A122,2,A201,1
A32,A43,1493,A72,A123,1,A201,1
A32,A40,3949,A72,A122,1,A201,1
A32,A41,3378,A73,A122,1,A201,1
A34,A42,2288,A72,A122,1,A201,1
A34,A41,2360,A73,A123,1,A201,1
A30,A49,4221,A73,A123,2,A201,1
A32,A41,5433,A71,A122,1,A201,1
A32,A40,1249,A72,A121,1,A201,1
A34,A43,618,A75,A121,1,A201,1
A32,A41,3029,A74,A123,1,A201,1
A34,A41,5711,A75,A123,2,A201,1
A31,A42,2828,A73,A121,1,A201,1
A32,A40,5324,A75,A124,1,A201,1
A32,A42,1275,A72,A122,1,A201,1
A32,A43,2384,A75,A121,1,A201,1
A34,A40,781,A75,A124,2,A201,1
A32,A42,2241,A75,A121,2,A201,1
A32,A43,2333,A75,A123,1,A201,1
A31,A42,2483,A73,A121,1,A201,1
A34,A41,6419,A75,A124,2,A201,1
A32,A43,2606,A72,A122,1,A201,1
A34,A40,5302,A75,A124,3,A201,1
A34,A43,2611,A75,A121,2,A201,1
A32,A46,2273,A74,A123,2,A201,1
A32,A43,1258,A73,A123,1,A201,1
A32,A43,804,A75,A123,1,A201,1
A32,A46,3832,A75,A121,1,A201,1
A34,A40,1940,A75,A121,1,A201,1
A32,A43,518,A73,A121,1,A201,1
A32,A42,1620,A73,A122,1,A201,1
A32,A40,3079,A73,A121,1,A201,1
A32,A43,1386,A73,A121,1,A201,1
A34,A41,1526,A75,A124,2,A201,1
A32,A42,5511,A73,A123,1,A201,1
A32,A40,3556,A73,A124,1,A201,1
A32,A41,2760,A75,A124,1,A201,1
A32,A42,2251,A73,A123,1,A201,1
A32,A40,4380,A73,A123,1,A201,1
A30,A48,1410,A73,A121,1,A201,1
A34,A42,2069,A73,A123,2,A202,1
A32,A49,806,A73,A122,1,A201,1
A32,A42,7882,A74,A122,1,A201,1
A32,A40,672,A71,A121,1,A201,1
A34,A43,1740,A75,A121,2,A201,1
A32,A43,2991,A75,A123,1,A201,1
A32,A42,3749,A72,A123,1,A201,1
A34,A42,2406,A71,A123,1,A201,1
A32,A43,3399,A75,A123,1,A201,1
A30,A40,8358,A72,A123,2,A201,1
A34,A43,1880,A74,A122,2,A201,1
