@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute ResidenceSince numeric
@attribute Housing {A152,A153,A151}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,A61,4,A152,1,A201,1
A14,A61,1,A152,2,A201,1
A14,A61,4,A153,1,A201,1
A14,A63,2,A152,1,A201,1
A13,A61,1,A152,1,A201,1
A11,A61,3,A152,1,A201,1
A14,A63,2,A152,1,A201,1
A11,A61,1,A151,1,A201,1
A12,A61,2,A152,1,A201,1
A12,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A61,1,A152,1,A201,1
A12,A63,2,A152,1,A201,1
A14,A61,2,A153,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A14,A61,3,A152,1,A201,1
A12,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A61,3,A152,1,A202,1
A14,A61,2,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A65,2,A152,1,A201,1
A13,A65,3,A152,1,A201,1
A14,A65,2,A152,1,A201,1
A11,A61,2,A152,2,A201,1
A14,A65,2,A151,1,A201,1
A11,A61,4,A152,2,A201,1
A14,A63,4,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A14,A65,4,A153,1,A201,1
A13,A65,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A12,A65,2,A152,1,A201,1
A11,A61,4,A153,1,A201,1
A14,A65,1,A152,1,A201,1
A13,A61,1,A152,1,A201,1
A12,A64,2,A152,1,A201,1
A11,A61,4,A152,2,A201,1
A11,A61,2,A152,1,A201,1
A14,A64,4,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A13,A61,1,A152,1,A201,1
A14,A61,3,A151,2,A201,1
A12,A62,4,A152,1,A201,1
A14,A61,2,A153,1,A201,1
A11,A61,2,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A62,2,A152,2,A201,1
A14,A63,2,A152,2,A201,1
A14,A63,4,A152,1,A201,1
A11,A61,1,A152,1,A201,1
A13,A61,4,A151,1,A201,1
A14,A65,2,A152,2,A201,1
A14,A62,4,A151,1,A201,1
A13,A61,1,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A11,A61,2,A152,1,A201,1
A11,A64,3,A152,2,A201,1
A12,A62,3,A152,1,A201,1
A11,A61,4,A151,1,A201,1
A14,A63,4,A151,1,A201,1
A11,A61,3,A151,1,A201,1
A12,A65,1,A152,1,A201,1
A12,A65,2,A152,1,A201,1
A14,A65,4,A151,2,A201,1
A14,A65,4,A152,1,A201,1
A11,A63,4,A152,1,A201,1
A14,A63,2,A152,1,A201,1
A14,A61,4,A153,1,A201,1
A13,A61,4,A151,1,A201,1
A12,A61,4,A153,1,A201,1
A12,A63,3,A152,1,A201,1
A14,A64,2,A152,1,A201,1
A11,A62,4,A152,2,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,4,A151,1,A201,1
A13,A65,4,A152,1,A201,1
A14,A61,2,A153,1,A201,1
A11,A61,4,A152,2,A202,1
A11,A61,3,A152,1,A201,1
A14,A64,1,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A61,3,A152,1,A201,1
A11,A61,4,A151,1,A201,1
A12,A61,1,A152,1,A201,1
A12,A65,2,A152,1,A201,1
A14,A61,3,A152,1,A201,1
A12,A65,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A65,2,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A11,A65,2,A152,1,A202,1
A12,A62,4,A153,1,A201,1
A11,A64,4,A151,1,A201,1
A14,A64,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,2,A152,2,A201,1
A14,A61,2,A151,1,A201,1
A14,A65,4,A152,2,A201,1
A14,A61,1,A152,1,A201,1
A14,A61,4,A153,1,A201,1
A11,A61,2,A151,2,A202,1
A14,A61,2,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A11,A61,4,A153,1,A201,1
A14,A61,3,A152,1,A201,1
A14,A62,3,A152,1,A201,1
A11,A62,4,A151,1,A201,1
A14,A61,3,A152,1,A201,1
A12,A65,4,A152,1,A201,1
A12,A63,3,A151,1,A201,1
A14,A65,3,A152,2,A201,1
A13,A61,2,A152,1,A201,1
A12,A61,2,A152,1,A201,1
A14,A65,4,A151,1,A201,1
A11,A61,2,A152,1,A201,1
A12,A61,4,A152,2,A201,1
A14,A62,1,A151,1,A202,1
A14,A64,2,A152,1,A201,1
A14,A61,1,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A14,A65,4,A153,1,A201,1
A14,A62,3,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A14,A61,2,A153,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A61,4,A152,2,A201,1
A12,A65,1,A152,1,A201,1
A13,A61,1,A152,1,A201,1
A12,A61,2,A152,1,A201,1
A12,A65,4,A153,1,A201,1
A14,A62,3,A152,1,A201,1
A12,A65,4,A152,1,A201,1
A14,A63,3,A152,1,A201,1
A14,A64,4,A151,1,A201,1
A14,A61,3,A152,1,A201,1
A11,A61,3,A152,1,A201,1
A14,A61,3,A152,1,A201,1
A11,A61,2,A151,1,A201,1
A12,A61,2,A152,1,A202,1
A12,A62,2,A152,2,A201,1
A14,A65,2,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A14,A65,4,A153,1,A201,1
A14,A64,4,A152,1,A201,1
A14,A65,2,A151,1,A201,1
A12,A61,4,A152,1,A201,1
A14,A65,2,A151,1,A201,1
A14,A61,1,A152,2,A201,1
A13,A61,4,A153,1,A201,1
A14,A61,4,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A14,A65,1,A152,1,A201,1
A14,A61,2,A151,1,A201,1
A14,A65,1,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A63,2,A152,1,A201,1
A14,A62,2,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,1,A152,2,A201,1
A12,A65,4,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A13,A65,2,A152,1,A201,1
A11,A61,3,A151,2,A201,1
A14,A61,4,A152,1,A201,1
A11,A62,1,A152,1,A201,1
A13,A62,4,A152,1,A201,1
A14,A61,3,A152,1,A201,1
A14,A65,2,A152,1,A202,1
A12,A61,1,A152,1,A201,1
A14,A63,3,A152,1,A201,1
A11,A63,4,A152,1,A201,1
A14,A62,2,A151,1,A202,1
A14,A65,4,A151,1,A201,1
A14,A65,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A14,A63,4,A152,1,A201,1
A12,A65,4,A152,2,A201,1
A11,A65,2,A151,1,A201,1
A11,A61,2,A152,1,A201,1
A12,A62,4,A152,1,A201,1
A13,A63,4,A153,1,A201,1
A14,A65,3,A152,2,A201,1
A14,A65,4,A152,1,A201,1
A14,A65,4,A153,1,A201,1
A12,A61,2,A152,1,A201,1
A12,A65,1,A152,1,A201,1
A14,A61,3,A152,1,A201,1
A14,A62,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A61,4,A151,1,A201,1
A11,A65,4,A151,1,A201,1
A14,A61,3,A151,1,A201,1
A13,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A62,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A62,4,A152,2,A201,1
A12,A64,3,A152,1,A201,1
A11,A61,1,A152,1,A201,1
A14,A65,4,A152,2,A201,1
A13,A61,4,A153,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A62,3,A152,1,A201,1
A12,A63,1,A152,1,A201,1
A12,A62,3,A153,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A65,4,A152,1,A201,1
A12,A64,1,A152,1,A201,1
A14,A65,2,A152,1,A201,1
A12,A62,2,A151,1,A201,1
A14,A65,3,A152,2,A201,1
A11,A61,3,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A12,A63,3,A152,1,A201,1
A14,A65,4,A151,1,A201,1
A14,A61,1,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A11,A61,4,A151,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A65,4,A152,1,A201,1
A14,A61,2,A152,2,A201,1
A14,A65,2,A152,2,A201,1
A12,A65,3,A152,1,A201,1
A14,A65,2,A152,2,A201,1
A12,A61,2,A152,1,A201,1
A13,A61,4,A152,1,A201,1
A14,A62,1,A152,1,A201,1
A14,A61,4,A152,2,A201,1
A14,A63,4,A152,2,A201,1
A11,A61,4,A152,1,A201,1
A12,A62,2,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A11,A61,4,A152,1,A202,1
A14,A65,4,A152,2,A201,1
A13,A63,3,A152,1,A201,1
A14,A61,3,A153,1,A201,1
A13,A65,4,A151,1,A201,1
A12,A65,4,A152,1,A201,1
A11,A61,1,A152,1,A201,1
A11,A61,3,A152,1,A201,1
A14,A62,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,4,A151,1,A201,1
A14,A65,4,A152,1,A201,1
A11,A65,4,A151,1,A201,1
A14,A61,1,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,1,A152,1,A202,1
A14,A64,2,A152,1,A201,1
A14,A63,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,4,A153,1,A201,1
A14,A64,4,A152,1,A201,1
A12,A64,2,A152,2,A201,1
A14,A65,2,A152,1,A201,1
A11,A61,4,A153,2,A201,1
A12,A61,3,A152,1,A201,1
A14,A65,3,A152,1,A201,1
A14,A62,4,A152,2,A201,1
A14,A61,4,A151,1,A201,1
A11,A65,3,A152,1,A201,1
A12,A61,3,A152,1,A202,1
A14,A65,4,A151,1,A201,1
A12,A65,2,A152,1,A201,1
A14,A61,1,A152,1,A201,1
A11,A61,1,A152,1,A201,1
A14,A62,4,A151,1,A201,1
A11,A61,3,A152,2,A201,1
A14,A61,2,A151,1,A201,1
A13,A61,4,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A12,A65,3,A152,1,A201,1
A14,A61,1,A152,2,A201,1
A12,A61,4,A152,2,A201,1
A11,A61,1,A153,1,A201,1
A12,A65,2,A152,1,A201,1
A12,A61,2,A152,1,A201,1
A12,A62,2,A152,1,A201,1
A12,A63,4,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A12,A61,4,A151,1,A201,1
A14,A61,3,A152,2,A201,1
A11,A61,3,A151,2,A202,1
A14,A63,2,A152,1,A201,1
A14,A61,4,A152,2,A201,1
A14,A62,4,A152,1,A201,1
A14,A65,2,A152,2,A201,1
A11,A61,4,A153,2,A201,1
A14,A63,4,A152,2,A201,1
A14,A63,3,A152,2,A201,1
A12,A61,4,A153,1,A201,1
A11,A65,4,A151,1,A201,1
A11,A61,1,A152,1,A201,1
A11,A65,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A12,A61,4,A151,1,A201,1
A12,A61,4,A152,1,A201,1
A13,A65,2,A152,1,A201,1
A14,A63,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A12,A61,1,A152,1,A201,1
A14,A61,4,A151,1,A201,1
A14,A62,2,A152,1,A201,1
A14,A64,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A65,4,A152,2,A201,1
A11,A61,1,A153,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A13,A61,2,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A14,A62,4,A153,2,A201,1
A11,A61,4,A153,2,A201,1
A12,A61,4,A151,1,A201,1
A12,A62,3,A152,2,A201,1
A12,A65,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A61,4,A153,2,A201,1
A14,A64,3,A151,1,A201,1
A14,A65,4,A151,1,A201,1
A14,A65,4,A152,2,A201,1
A11,A65,4,A153,2,A201,1
A12,A61,3,A152,1,A201,1
A12,A65,4,A153,2,A201,1
A12,A61,3,A152,1,A201,1
A12,A61,2,A151,1,A201,1
A12,A61,3,A153,1,A201,1
A14,A65,4,A152,1,A201,1
A11,A61,3,A152,2,A201,1
A14,A61,2,A152,1,A201,1
A12,A61,3,A152,2,A201,1
A12,A61,1,A152,2,A201,1
A12,A64,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A12,A61,2,A152,1,A201,1
A14,A61,4,A153,1,A201,1
A11,A61,1,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A63,4,A151,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A13,A65,4,A152,1,A201,1
A11,A61,4,A152,2,A201,1
A11,A61,4,A151,1,A201,1
A11,A61,4,A152,1,A201,1
A12,A61,3,A151,1,A201,1
A14,A65,4,A153,2,A201,1
A14,A64,2,A152,1,A202,1
A12,A65,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A64,4,A151,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A63,4,A151,1,A201,1
A13,A62,2,A153,1,A201,1
A12,A61,3,A152,1,A201,1
A12,A65,2,A151,1,A201,1
A14,A65,3,A152,1,A201,1
A11,A61,2,A151,2,A201,1
A14,A65,4,A152,1,A201,1
A11,A61,1,A152,1,A201,1
A12,A65,4,A152,1,A201,1
A12,A61,1,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A61,1,A152,2,A201,1
A12,A64,4,A151,1,A201,1
A14,A61,4,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A14,A61,3,A152,2,A201,1
A14,A61,4,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A12,A65,3,A152,2,A201,1
A11,A61,1,A152,1,A201,1
A14,A65,3,A152,1,A202,1
A14,A62,4,A151,1,A201,1
A14,A61,2,A152,2,A202,1
A14,A61,4,A152,1,A201,1
A11,A62,3,A152,1,A201,1
A14,A61,4,A152,1,A202,1
A12,A61,4,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A11,A61,3,A152,2,A201,1
A12,A61,3,A152,2,A201,1
A14,A61,3,A152,1,A201,1
A14,A62,2,A152,1,A201,1
A14,A61,2,A151,1,A201,1
A11,A61,4,A153,1,A201,1
A14,A61,3,A152,1,A201,1
A12,A62,3,A151,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A65,3,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A61,1,A152,1,A201,1
A12,A62,1,A152,1,A201,1
A14,A61,2,A151,2,A201,1
A14,A61,2,A152,1,A201,1
A12,A64,2,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A14,A64,3,A152,2,A201,1
A14,A65,4,A152,1,A201,1
A13,A61,4,A152,2,A202,1
A14,A65,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A61,1,A152,1,A202,1
A12,A65,2,A152,1,A201,1
A12,A62,4,A153,1,A201,1
A14,A64,2,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A11,A64,2,A152,1,A201,1
A14,A65,2,A152,1,A201,1
A13,A61,2,A152,1,A201,1
A13,A64,3,A151,1,A201,1
A14,A61,2,A152,1,A201,1
A11,A61,2,A152,2,A201,1
A12,A62,2,A152,1,A201,1
A13,A61,2,A152,1,A201,1
A11,A64,2,A152,1,A201,1
A14,A65,1,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A13,A61,1,A152,1,A201,1
A11,A61,2,A152,2,A201,1
A14,A65,2,A152,1,A201,1
A12,A65,4,A152,1,A201,1
A14,A63,4,A152,1,A201,1
A14,A61,2,A151,1,A201,1
A11,A65,2,A152,1,A202,1
A14,A63,2,A152,2,A201,1
A11,A61,4,A152,1,A201,1
A13,A61,2,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A12,A65,4,A151,2,A201,1
A14,A61,1,A152,1,A201,1
A14,A65,3,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A12,A61,1,A152,1,A201,1
A12,A61,1,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A11,A61,2,A152,1,A201,1
A12,A65,2,A153,1,A201,1
A12,A61,1,A152,1,A201,1
A11,A61,1,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A14,A61,4,A153,2,A201,1
A12,A61,2,A153,1,A201,1
A14,A61,1,A152,1,A201,1
A12,A61,1,A152,1,A201,1
A12,A65,4,A153,1,A201,1
A14,A62,3,A152,1,A201,1
A14,A62,3,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A63,2,A151,2,A202,1
A14,A63,3,A151,1,A201,1
A14,A65,3,A152,1,A201,1
A11,A61,4,A153,1,A201,1
A14,A62,1,A152,1,A201,1
A14,A65,4,A151,1,A201,1
A14,A61,3,A152,1,A201,1
A11,A61,4,A152,1,A202,1
A12,A61,1,A152,1,A201,1
A12,A62,2,A152,1,A201,1
A14,A63,4,A151,1,A201,1
A14,A61,4,A151,1,A201,1
A11,A61,1,A152,1,A201,1
A14,A61,4,A151,1,A201,1
A11,A61,2,A152,1,A201,1
A11,A61,4,A152,1,A201,1
A12,A65,4,A153,1,A201,1
A14,A61,4,A152,1,A201,1
A11,A61,1,A152,1,A201,1
A12,A61,3,A152,1,A201,1
A12,A65,2,A152,1,A201,1
A14,A62,4,A152,1,A201,1
A14,A61,2,A152,1,A201,1
A14,A61,2,A152,2,A201,1
A12,A62,2,A152,1,A201,1
A14,A62,3,A152,1,A201,1
A12,A61,1,A152,1,A201,1
A12,A61,4,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A12,A62,1,A152,1,A201,1
A14,A61,1,A152,1,A201,1
A11,A61,4,A151,1,A201,1
A14,A64,2,A152,1,A201,1
A14,A62,2,A152,1,A201,1
A11,A61,4,A153,1,A201,1
A13,A61,2,A152,1,A201,1
A12,A62,4,A152,1,A201,1
A12,A62,4,A152,1,A201,1
A14,A65,4,A152,1,A201,1
A11,A63,2,A151,1,A201,1
A11,A61,3,A152,1,A201,1
A11,A63,1,A152,1,A201,1
A12,A61,1,A152,1,A201,1
A14,A61,4,A152,1,A201,1
A14,A64,2,A152,2,A201,1
A14,A61,2,A152,1,A201,1
A12,A61,3,A151,1,A201,1
A12,A62,2,A152,1,A201,1
A14,A61,3,A153,1,A201,1
A14,A65,4,A153,1,A201,1
A11,A61,2,A152,1,A201,2
A12,A61,3,A152,1,A201,2
A11,A61,4,A153,1,A201,2
A11,A65,2,A152,1,A201,2
A12,A61,1,A151,1,A201,2
A11,A61,1,A152,1,A201,2
A11,A61,1,A152,1,A201,2
A11,A61,2,A151,1,A202,2
A12,A62,3,A152,1,A201,2
A12,A65,2,A152,1,A201,2
A14,A63,2,A153,1,A201,2
A11,A61,4,A152,1,A201,2
A11,A61,4,A151,1,A201,2
A11,A61,2,A151,1,A201,2
A11,A61,4,A151,1,A201,2
A12,A61,2,A152,1,A201,2
A11,A62,2,A152,1,A201,2
A12,A62,4,A151,1,A201,2
A12,A61,3,A152,1,A201,2
A14,A61,4,A153,1,A201,2
A11,A61,4,A151,2,A201,2
A12,A61,2,A152,2,A201,2
A12,A61,4,A153,1,A201,2
A12,A62,4,A153,2,A201,2
A11,A61,3,A152,1,A201,2
A14,A61,4,A151,1,A201,2
A12,A62,4,A153,1,A201,2
A12,A62,2,A152,1,A201,2
A11,A62,1,A152,1,A201,2
A14,A61,2,A152,1,A201,2
A11,A61,3,A152,1,A201,2
A12,A61,2,A152,1,A201,2
A14,A61,2,A152,1,A201,2
A12,A62,4,A153,1,A201,2
A11,A61,2,A152,1,A201,2
A13,A61,2,A152,1,A201,2
A14,A65,1,A152,1,A201,2
A11,A61,3,A152,1,A201,2
A11,A65,4,A152,1,A201,2
A11,A61,4,A153,1,A201,2
A12,A62,4,A152,2,A201,2
A11,A65,2,A152,1,A201,2
A14,A62,2,A152,1,A201,2
A12,A61,2,A152,1,A201,2
A14,A61,3,A151,1,A201,2
A11,A61,4,A151,1,A201,2
A11,A61,3,A151,1,A201,2
A11,A61,2,A152,1,A201,2
A11,A61,4,A152,1,A201,2
A12,A61,4,A152,2,A201,2
A11,A61,4,A151,1,A201,2
A12,A61,2,A152,1,A201,2
A12,A62,1,A151,1,A201,2
A12,A61,2,A152,1,A202,2
A12,A61,3,A152,1,A201,2
A11,A61,2,A152,1,A201,2
A11,A61,2,A152,1,A201,2
A12,A61,4,A152,1,A201,2
A12,A61,2,A152,1,A201,2
A11,A61,4,A151,1,A201,2
A11,A61,2,A151,1,A201,2
A12,A65,1,A152,1,A201,2
A11,A61,4,A153,1,A201,2
A11,A61,2,A152,2,A201,2
A11,A61,4,A151,1,A201,2
A12,A61,1,A152,1,A201,2
A11,A61,1,A152,1,A201,2
A14,A61,2,A152,1,A201,2
A12,A64,2,A152,1,A201,2
A11,A61,4,A152,1,A201,2
A11,A61,3,A152,1,A201,2
A11,A61,4,A151,1,A201,2
A11,A61,4,A151,1,A201,2
A12,A62,4,A151,1,A201,2
A12,A62,2,A152,1,A201,2
A12,A61,4,A153,2,A201,2
A14,A61,1,A152,1,A201,2
A11,A61,4,A151,1,A201,2
A11,A61,2,A152,1,A201,2
A11,A62,1,A152,1,A201,2
A14,A62,2,A152,1,A201,2
A12,A64,3,A152,1,A201,2
A11,A61,2,A152,1,A201,2
A11,A61,3,A152,1,A201,2
A12,A62,4,A153,2,A201,2
A11,A61,4,A153,1,A201,2
A11,A63,4,A152,1,A201,2
A12,A61,1,A151,1,A201,2
A11,A65,3,A152,1,A201,2
A12,A61,1,A151,1,A201,2
A14,A65,4,A152,1,A201,2
A11,A62,3,A152,1,A201,2
A11,A65,4,A151,1,A201,2
A12,A63,4,A151,1,A201,2
A12,A63,2,A152,1,A201,2
A14,A63,2,A152,2,A201,2
A11,A65,4,A153,1,A201,2
A14,A65,4,A151,1,A201,2
A12,A61,2,A152,1,A202,2
A11,A61,1,A152,1,A201,2
A12,A61,2,A152,1,A201,2
A12,A62,2,A151,1,A201,2
A12,A61,3,A152,1,A201,2
A11,A61,3,A152,1,A201,2
A11,A61,2,A152,1,A201,2
A12,A61,2,A152,1,A201,2
A12,A65,1,A152,1,A201,2
A11,A61,4,A153,2,A201,2
A11,A61,2,A152,1,A201,2
A12,A61,4,A152,2,A201,2
A11,A61,4,A151,2,A201,2
A11,A61,4,A151,1,A201,2
A11,A61,4,A153,1,A201,2
A14,A61,4,A152,2,A201,2
A11,A61,4,A151,1,A201,2
A12,A65,2,A152,1,A201,2
A11,A61,4,A152,1,A201,2
A14,A61,2,A151,1,A201,2
A11,A61,2,A153,1,A201,2
A11,A61,3,A152,1,A201,2
A14,A61,2,A152,1,A201,2
A12,A61,2,A152,1,A201,2
A11,A61,2,A152,2,A201,2
A12,A61,2,A153,1,A201,2
A12,A61,1,A151,1,A201,2
A12,A62,2,A152,1,A201,2
A11,A61,2,A153,2,A201,2
A11,A65,2,A151,1,A201,2
A12,A61,1,A151,1,A201,2
A13,A61,3,A152,1,A201,2
A11,A63,4,A153,2,A201,2
A11,A61,2,A151,1,A201,2
