@relation magic

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
19.7692,2.5359,0.4017,65.2853,g
51.9288,3.9398,0.138,15.0666,g
12.7592,2.2162,0.7234,1.2142,g
112.373,3.4071,0.1383,4.9835,g
63.6676,2.5877,0.3256,20.872,g
45.3582,2.7997,0.2331,41.4223,g
39.8388,3.0354,0.2157,19.3127,g
99.968,2.9645,0.2778,3.093,g
20.0986,2.4057,0.4558,21.675,g
25.9826,2.6556,0.4243,4.752,g
23.0076,2.2648,0.5489,62.1533,g
42.1745,3.0432,0.2698,4.9357,g
24.9637,2.5605,0.3769,3.412,g
19.6828,2.2227,0.5748,42.4886,g
87.487,3.5659,0.1628,12.056,g
32.9345,2.6739,0.4301,9.6233,g
67.3071,3.095,0.2194,4.0631,g
32.3276,2.6091,0.2878,3.8476,g
65.6069,3.8528,0.1433,0.7567,g
63.1196,3.3687,0.1823,6.423,g
24.2392,2.5308,0.5184,13.001,g
36.7909,2.8748,0.2842,8.0884,g
12.96,2.2,0.7445,63.541,g
67.9392,3.4596,0.2141,5.3057,g
48.8599,2.6803,0.3695,1.7526,g
29.4785,2.4306,0.3636,59.3545,g
38.2285,2.899,0.2801,23.28,g
20.6588,2.5717,0.5442,18.3184,g
77.7367,2.9574,0.2449,14.363,g
37.2728,2.4742,0.4027,18.1987,g
33.7566,2.6906,0.316,6.81,g
80.7503,3.8613,0.1555,5.239,g
20.6147,2.1414,0.722,25.643,g
60.8587,3.3442,0.263,0.7451,g
52.4604,3.2099,0.2288,8.145,g
48.6283,2.7486,0.3854,2.809,g
25.7902,2.317,0.4627,22.684,g
23.9993,2.4141,0.5125,50.4126,g
99.4538,3.5179,0.1884,4.5762,g
72.555,3.2222,0.1936,5.411,g
20.4878,2.2529,0.6313,4.1929,g
50.3748,2.9633,0.2905,0.9822,g
92.7752,2.3522,0.6267,3.0299,g
26.9279,2.5944,0.3919,3.3499,g
25.6509,2.3909,0.6667,15.7881,g
18.7822,2.1987,0.5506,61.8767,g
13.0451,2.1319,0.7601,81.2793,g
39.6409,3.0267,0.1693,25.219,g
57.0682,3.2718,0.2134,3.016,g
19.1106,2.6609,0.5087,19.125,g
61.6932,3.1707,0.1903,9.209,g
13.15,2.1477,0.7687,28.553,g
28.5756,2.5916,0.4507,15.48,g
19.3082,2.3551,0.521,60.871,g
21.5515,2.8218,0.431,56.071,g
24.657,2.8785,0.4246,1.87,g
19.5342,2.1717,0.7273,25.883,g
34.4717,2.7903,0.3063,8.3289,g
20.473,2.1658,0.744,79.154,g
58.0304,3.1171,0.1634,4.9761,g
12.9947,2.1688,0.7525,15.465,g
29.1024,2.6196,0.3169,31.366,g
25.8419,2.6304,0.377,1.8424,g
23.801,2.5688,0.4318,5.753,g
17.8001,2.1673,0.5306,90,g
47.8357,3.3922,0.2562,0.468,g
110.097,3.0168,0.2357,5.346,g
21.4843,2.1508,0.6855,66.4912,g
40.3463,2.9474,0.2178,14.5122,g
12.796,2.1569,0.7247,76.5332,g
40.2456,2.8851,0.2567,1.706,g
28.3612,3.0404,0.3098,61.7,g
24.7379,2.5717,0.4826,2.748,g
24.6528,2.6998,0.3513,0.881,g
32.4251,2.4393,0.4364,6.6791,g
81.4962,3.3741,0.2185,0.386,g
17.1794,2.2967,0.5909,13.117,g
20.8126,2.2443,0.7977,49.2261,g
13.0183,2.2999,0.7619,84.3683,g
84.9403,3.5457,0.1307,4.5847,g
34.6124,2.6749,0.3192,53.2181,g
94.1338,3.0077,0.2692,3.4297,g
19.1862,2.1818,0.5461,0.167,g
75.5011,2.9773,0.451,1.1556,g
75.0843,3.2955,0.234,1.2947,g
55.9064,3.2402,0.2272,1.324,g
28.2701,2.3522,0.6089,10.181,g
28.4428,2.6299,0.2978,36.2739,g
27.1802,2.7551,0.3673,50.664,g
38.3618,2.6561,0.4547,13.47,g
25.3624,2.6721,0.5106,0.964,g
18.2835,2.1553,0.5594,26.9047,g
72.3442,3.3645,0.1841,0.723,g
85.0494,3.4957,0.1977,4.5512,g
35.5642,2.7164,0.3305,2.03,g
35.8348,2.9355,0.3132,3.335,g
77.5343,3.2671,0.2584,1.892,g
34.9166,2.4713,0.4358,11.566,g
12.5215,2.0394,0.6941,59.206,g
18.4261,2.2304,0.6,37.882,g
28.1121,2.3909,0.4187,56.0863,g
19.5229,2.0952,0.755,38.5188,g
90.0058,3.6342,0.1333,2.058,g
46.2583,3.4098,0.1919,14.769,g
99.1508,3.995,0.1123,4.199,g
19.7158,2.4257,0.4991,68.308,g
59.0802,2.9457,0.2538,1.0501,g
117.879,2.8146,0.2851,3.408,g
59.2332,2.9687,0.2493,3.6478,g
23.8054,2.5641,0.4175,39.691,g
142.563,2.7447,0.4572,0.8956,g
37.1967,3.2235,0.2062,10.3638,g
19.0166,2.1399,0.5362,68.8859,g
20.2899,2.8546,0.464,0.159,g
22.7309,2.4298,0.3978,66.851,g
51.3033,3.2916,0.1395,9.668,g
22.9984,2.7033,0.3881,41.034,g
19.9697,2.2989,0.6533,2.681,g
61.2692,3.3153,0.2153,12.18,g
33.6476,2.7532,0.2648,26.137,g
12.8,2.1383,0.7273,63.8866,g
79.7636,3.426,0.1489,6.664,g
24.1754,2.4314,0.463,1.3133,g
57.278,2.8808,0.2868,1.741,g
27.0722,2.8231,0.272,17.847,g
41.8946,3.5714,0.1629,33.757,g
21.8056,2.1833,0.8066,55.95,g
13.2555,2.1508,0.7845,71.43,g
44.089,3.0934,0.2379,13.5997,g
76.1338,2.2175,0.5758,1.1506,g
26.8132,2.4976,0.3752,33.5185,g
19.5635,2.3962,0.6667,15,g
41.9622,2.711,0.2977,10.3535,g
46.3641,2.9763,0.3675,10.4919,g
49.6538,2.8041,0.2198,7.9929,g
12.9955,2.1508,0.7562,77.375,g
44.7821,2.889,0.2569,4.0468,g
71.929,3.8532,0.1125,0.975,g
23.2704,2.4232,0.7057,12.99,g
101.841,4.1331,0.0869,2.153,g
27.4986,2.2279,0.568,43.9124,g
56.4815,3.3925,0.1632,1.129,g
23.578,2.4354,0.5394,50.598,g
23.0429,2.7324,0.3296,0.326,g
35.7062,2.3664,0.5204,1.2543,g
23.3895,2.5334,0.4305,12.6605,g
33.9302,2.6238,0.4328,4.7267,g
27.1931,2.8742,0.3166,12.8303,g
93.9743,3.0918,0.2169,2.2699,g
24.0061,2.6053,0.3697,43.73,g
33.429,2.7792,0.2976,29.644,g
28.2507,2.5447,0.3566,1.282,g
18.8944,2.3918,0.5152,9.9795,g
52.8214,2.7828,0.3001,14.834,g
38.025,2.5353,0.312,12.1567,g
29.6299,2.7903,0.3274,24.196,g
63.4209,3.0955,0.2063,0.782,g
50.6501,3.032,0.3781,4.2206,g
20.5372,2.0233,0.7014,89.6566,g
26.3995,2.5159,0.4634,1.679,g
82.7882,3.5019,0.1212,1.5868,g
17.4031,2.4378,0.5511,52.56,g
49.9467,2.6217,0.4922,19.672,g
24.9054,2.5557,0.42,12.967,g
34.6319,2.6721,0.4255,1.553,g
28.3143,2.444,0.4101,10.678,g
48.8508,3.0372,0.2487,5.328,g
92.406,3.1279,0.2264,8.6244,g
28.4858,2.4224,0.4802,40.871,g
20.3836,2.3365,0.6359,43.0032,g
78.8116,3.5756,0.2011,2.442,g
20.4767,2.3701,0.7761,29.3704,g
32.9178,2.9251,0.3125,7.387,g
50.8677,3.0874,0.2527,9.6532,g
33.9143,2.4616,0.38,13.4021,g
21.1452,2.2082,0.6749,13.7571,g
84.2564,3.0953,0.2489,1.605,g
22.329,2.1861,0.7492,39.9572,g
43.6493,2.7846,0.2496,3.517,g
19.8269,2.3385,0.4174,24.6377,g
33.0776,2.5126,0.3963,29.307,g
48.4695,2.9917,0.2345,6.955,g
59.534,3.3914,0.2441,6.0118,g
45.6671,3.0924,0.1779,3.197,g
42.023,3.0695,0.2488,8.047,g
40.6277,2.6064,0.4257,20.656,g
29.0007,2.8774,0.3979,32.224,g
13.2301,2.1383,0.7855,58.504,g
77.0789,3.4049,0.1909,6.8425,g
33.0297,3.1074,0.2663,20.0384,g
24.8168,2.6684,0.4206,3.542,g
50.5395,2.7864,0.2796,8.5216,g
46.1956,3.7257,0.1475,0.305,g
30.0509,2.8859,0.3381,1.293,g
35.3572,2.5832,0.4151,30.3721,g
43.2557,2.5205,0.3831,9.697,g
42.7269,2.9829,0.1747,2.057,g
30.2852,2.683,0.3921,12.395,g
30.4477,2.4216,0.4053,36.6265,g
25.643,2.4409,0.4058,33.9455,g
61.4663,3.1552,0.1728,2.742,g
21.0425,2.3128,0.5353,15.654,g
18.8644,2.3263,0.5613,34.4181,g
61.1136,2.9009,0.2626,7.7249,g
33.3893,2.7945,0.3178,10.7282,g
21.9021,2.238,0.6185,56.0249,g
30.8816,2.6201,0.3621,27.0824,g
16.5728,2.5072,0.5443,88.0664,g
44.6175,2.9292,0.3096,10.913,g
54.6633,3.3003,0.2054,1.7,g
24.2748,2.4949,0.3808,9.6844,g
22.9349,2.4158,0.5413,47.1919,g
22.0456,2.1987,0.6139,63.367,g
12.9816,2.1717,0.7407,0,g
58.1803,2.8727,0.3123,0.625,g
32.1014,3.134,0.2203,4.977,g
42.6463,2.7612,0.2548,5.392,g
20.7424,2.3222,0.619,14.987,g
26.9333,2.5447,0.408,32.125,g
33.2355,2.6776,0.3782,7.387,g
20.1937,2.1508,0.7279,45.009,g
93.4709,3.5695,0.167,2.6846,g
24.8547,2.372,0.4798,57.769,g
24.978,2.372,0.4713,52.3631,g
93.5072,3.3054,0.1678,2.266,g
85.2065,3.9939,0.1148,3.613,g
55.4206,3.3071,0.319,2.0902,g
23.1716,2.2742,0.6223,30.652,g
36.7954,2.6395,0.3761,6.47,g
24.8069,2.6527,0.3582,6.1642,g
71.1507,3.2766,0.1264,6.1414,g
19.1839,2.5152,0.5191,79.2185,g
46.2801,2.8979,0.2745,50.944,g
25.0535,2.6803,0.4154,27.262,g
77.2773,2.4502,0.3936,5.475,g
18.8161,2.1189,0.7452,81.0125,g
58.9042,3.1488,0.2641,2.3595,g
78.1114,3.2918,0.2763,8.8309,g
12.7416,2.2317,0.7214,75.493,g
79.0219,3.0416,0.3289,1.202,g
69.0975,3.5674,0.1725,1.7409,g
28.3529,2.4289,0.54,6.737,g
43.2815,2.2068,0.5466,6.025,g
69.7856,3.237,0.1437,21.1032,g
33.0182,2.4843,0.482,31.8921,g
104.356,3.1273,0.1619,1.603,g
79.8079,3.3959,0.2126,1.1324,g
30.0087,2.2405,0.5632,6.388,g
33.2617,2.8932,0.3389,2.825,g
28.2082,2.4099,0.4163,64.547,g
61.0956,3.3568,0.1649,6.514,g
27.5457,2.4401,0.5917,16.7712,g
75.6875,3.2299,0.3522,0.7458,g
52.7282,3.2543,0.1269,8.2437,g
23.137,2.2613,0.4274,82.2627,g
49.0727,2.9183,0.2426,5.1931,g
99.9709,3.8151,0.157,0.459,g
18.7703,2.4031,0.6166,50.86,g
38.7182,2.4616,0.3282,14.391,g
101.551,3.7108,0.2041,1.7955,g
32.6585,2.7585,0.3522,6.5984,g
19.9527,2.2292,0.8201,56.684,g
68.2762,2.786,0.2979,53.6537,g
24.5451,2.5092,0.4241,10.576,g
39.9551,3.2417,0.2459,7.511,g
17.6496,2.1553,0.5385,32.8778,g
50.9109,3.0364,0.2336,10.865,g
25.6487,2.5723,0.3989,25.688,g
18.5107,2.3793,0.5678,5.534,g
20.7386,2.5334,0.5593,29.934,g
17.0923,2.2844,0.8468,29.5538,g
46.302,3.517,0.2189,80.7067,g
18.1728,2.567,0.4688,29.6658,g
21.942,2.2041,0.6,21.49,g
39.4615,2.8552,0.2415,2.068,g
20.4599,2.2601,0.5934,54.01,g
35.2593,3.3384,0.2092,29.8043,g
87.0597,3.8268,0.1097,2.127,g
66.4618,2.7177,0.3123,20.661,g
90.9129,3.1958,0.1886,1.116,g
28.5274,2.8859,0.4746,31.4456,g
49.0913,2.9773,0.1665,7.0683,g
33.7304,2.7593,0.3359,10.213,g
57.9074,2.9365,0.3866,10.159,g
22.555,2.2989,0.5678,56.916,g
44.613,3.0717,0.2289,7.436,g
79.8595,3.675,0.2153,1.827,g
81.0409,3.3754,0.2262,2.8681,g
119.161,3.7452,0.1568,3.634,g
32.6194,2.9175,0.3168,15.634,g
114.476,2.567,0.4797,1.1708,g
18.0731,2.4125,0.5803,9.6089,g
20.2089,2.1055,0.7373,24.451,g
21.3922,2.3233,0.5273,13.93,g
31.7847,2.9791,0.2697,10.4772,g
53.7433,3.0471,0.1974,0.9229,g
54.5413,2.6449,0.4507,14.244,g
20.5596,2.3747,0.6413,82.4568,g
26.9416,2.2467,0.4646,10.626,g
26.2968,2.5051,0.4344,0.085,g
34.8534,2.5353,0.5306,1.207,g
26.1968,2.317,0.4819,11.7823,g
37.737,2.8639,0.2886,20.583,g
30.9633,2.781,0.2467,15.8283,g
30.0611,2.5798,0.2895,16.3955,g
89.6345,3.468,0.1951,13.8802,g
30.3706,2.5711,0.2926,60.7795,g
28.7928,2.6449,0.4236,86.9663,g
58.8047,3.5673,0.1798,4.687,g
129.232,3.513,0.1323,6.204,g
34.2513,2.7202,0.2762,4.939,g
23.9025,2.5185,0.5121,14.9967,g
27.6918,2.3847,0.4536,2.0797,g
41.9098,2.6201,0.3597,15.3551,g
113.661,2.9784,0.2449,49.3005,g
37.5494,2.6253,0.372,8.782,g
21.2811,2.2279,0.6036,23.9828,g
20.3418,2.5099,0.5039,11.572,g
29.4758,2.6479,0.324,33.685,g
92.9499,2.747,0.3527,12.255,g
21.7471,2.2201,0.6145,16.005,g
20.9159,2.4281,0.5037,41.0503,g
40.7215,3.0255,0.264,4.1303,g
76.7307,3.037,0.3021,3.436,g
66.4048,3.3304,0.1467,1.464,g
64.3781,3.0613,0.2336,16.783,g
45.247,2.76,0.278,2.3869,g
112.704,4.3784,0.0668,6.2016,g
92.3071,3.9473,0.1339,0.0972,g
58.8496,3.0586,0.291,4.4572,g
34.8054,2.6594,0.3242,0.9214,g
51.7149,3.1692,0.2303,3.726,g
70.3815,3.3391,0.1425,5.247,g
31.4288,2.7547,0.3764,5.278,g
16.2593,2.4857,0.6078,33.4257,g
26.15,2.3032,0.6169,29.3444,g
56.5458,3.1081,0.2308,1.1326,g
51.3827,2.9526,0.2733,15.231,g
21.479,2.6042,0.4627,25.464,g
89.9267,3.7577,0.1838,0.42,g
21.4858,2.3454,0.465,3.3258,g
20.7957,2.2292,0.4543,70.028,g
96.8446,3.4076,0.2097,0.7867,g
21.2877,2.179,0.5828,8.167,g
22.08,2.3149,0.4891,9.168,g
64.5397,3.0086,0.2912,13.377,g
20.8593,2.1255,0.764,63.211,g
63.3708,2.78,0.3685,7.406,g
18.1188,2.2529,0.5642,83.0585,g
62.1149,2.846,0.4376,22.76,g
80.1881,3.3555,0.1724,19.3195,g
44.3948,2.6744,0.3852,1.465,g
44.1526,2.7312,0.3305,10.434,g
60.8875,2.894,0.2578,4.14,g
91.4628,3.5434,0.2793,2.331,g
18.5398,2.4487,0.548,35.495,g
57.0078,3.033,0.2215,7.705,g
89.2198,3.6657,0.1943,3.667,g
22.3636,2.4393,0.5091,9.9173,g
25.235,2.7324,0.3759,40.5095,g
47.2951,3.0137,0.251,9.3398,g
25.4438,2.5605,0.3769,17.21,g
131.487,2.8954,0.3079,2.915,g
44.7687,2.954,0.2879,10.7127,g
92.937,3.0885,0.3108,3.497,g
61.5172,2.7694,0.3248,1.2306,g
31.0746,2.2934,0.4275,36.8443,g
26.3386,2.3918,0.5274,11.8733,g
79.4527,3.9385,0.1112,8.4526,g
26.466,2.6107,0.4044,6.6995,g
25.5642,2.5729,0.4786,13.3833,g
35.5214,2.7683,0.2592,3.6208,g
24.0413,2.3375,0.469,87.1172,g
48.6413,2.8048,0.2978,11.287,g
92.1441,4.0217,0.1247,3.949,g
42.2599,2.9322,0.2583,6.81,g
28.9099,3.3228,0.3039,19.1765,g
12.4751,2.1222,0.6868,16.29,g
34.6563,2.9112,0.2896,24.765,g
22.1817,2.5366,0.4622,26.4744,g
67.3736,2.7878,0.4189,2.135,g
80.3285,2.6571,0.293,66.855,g
22.3702,2.1255,0.7416,31.77,g
47.7946,3.2281,0.1922,3.1846,g
21.8358,2.4232,0.4528,53.28,g
91.7756,3.0179,0.2294,2.4654,g
24.5139,2.3901,0.5336,42.0438,g
24.1987,2.6964,0.5332,28.9777,g
35.2264,3.099,0.2978,15.103,g
19.1996,2.1538,0.7719,70.736,g
22.3748,2.4224,0.4991,21.5184,g
28.2195,2.6133,0.4312,12.214,g
24.6782,2.4713,0.4628,74.264,g
39.0194,2.6201,0.4245,22.1841,g
48.1296,3.0312,0.2159,0.688,g
20.9635,2.2253,0.619,40.2935,g
20.9063,2.4541,0.4288,42.3501,g
72.9495,2.9196,0.1998,82.1398,g
85.9632,3.4029,0.2939,5.703,g
23.6261,2.6707,0.4418,10.738,g
23.2115,2.6753,0.4794,16.4065,g
21.5918,2.1847,0.5686,36.0879,g
86.4077,4.0415,0.1018,18.0251,g
45.9228,2.6207,0.3305,10.455,g
43.5993,2.9814,0.2787,7.8899,g
22.2656,2.4273,0.4972,28.109,g
26.6961,2.5988,0.3224,50.74,g
87.033,3.1422,0.2818,1.3845,g
85.3224,3.1875,0.2058,0.137,g
70.3337,2.8058,0.3393,4.6368,g
23.9177,2.5888,0.4124,17.7064,g
34.434,2.7016,0.334,12.113,g
35.059,2.5635,0.4153,4.005,g
17.2893,2.2355,0.5698,23.4938,g
51.2645,2.7675,0.3126,7.901,g
32.4734,2.7271,0.4799,6.915,g
42.9078,3.0126,0.2234,13.9853,g
20.6085,2.2455,0.5852,27.234,g
65.9214,3.2049,0.2402,3.118,g
45.349,3.1064,0.3045,6.1306,g
32.3364,2.4793,0.3582,26.53,g
95.271,3.8555,0.1594,2.211,g
59.4502,2.6493,0.3991,0.1321,g
35.1579,2.6279,0.3039,2.6246,g
23.9569,2.0273,0.6948,66.733,g
78.0294,3.2696,0.1924,0.4823,g
34.3556,2.5315,0.3824,1.1303,g
30.8233,2.4631,0.5439,31.3026,g
32.6311,2.4082,0.3984,14.8675,g
98.0655,3.3231,0.1734,0.712,g
35.852,2.8417,0.2808,17.547,g
46.549,2.8837,0.3712,14.536,g
40.6292,2.679,0.3162,11.7327,g
27.8673,2.6212,0.3373,21.151,g
26.0623,2.3909,0.4837,33.861,g
22.6135,2.1931,0.5385,10.7152,g
28.5834,2.6075,0.3852,5.0486,g
99.4896,4.1312,0.0973,2.297,g
21.3145,2.3454,0.4515,13.2097,g
84.6767,3.4433,0.1586,6.325,g
13.0965,2.1599,0.7751,66.481,g
51.0077,2.734,0.2214,19.198,g
26.533,2.695,0.2967,39.3249,g
30.1393,2.673,0.3524,24.192,g
56.428,2.938,0.2445,30.919,g
85.7345,3.9618,0.1705,5.6722,g
99.674,2.7003,0.323,6.932,g
63.3917,2.8099,0.33,11.228,g
18.1463,2.2393,0.8242,86.0119,g
20.0503,2.1477,0.7616,4.075,g
20.2874,2.2227,0.6168,11.804,g
23.5281,2.3692,0.6624,24.368,g
15.2955,2.2718,0.6524,54.997,g
40.2265,2.8038,0.2294,17.067,g
95.2785,2.9689,0.2825,4.9547,g
34.7572,2.6004,0.3563,18.3397,g
43.0994,2.7239,0.3362,7.5064,g
32.2136,2.8995,0.344,0.596,g
68.8466,2.7835,0.3029,0.137,g
15.5675,2.3636,0.6407,62.452,g
28.6317,2.5051,0.4219,17.9029,g
19.3929,2.4955,0.4058,12.553,g
39.4843,2.4914,0.4452,1.4023,g
20.7078,2.2304,0.6118,88.9011,g
26.2348,2.3355,0.5127,14.1872,g
28.0589,2.4448,0.6104,11.659,g
79.3831,2.7427,0.3436,9.4384,g
27.9238,2.7189,0.2904,81.4656,g
113.789,2.7616,0.2511,2.3023,g
39.3421,3.0118,0.2453,1.8662,g
18.7125,2.4495,0.5435,17.1307,g
47.2337,3.2439,0.2144,3.5641,g
36.744,2.6542,0.3725,25.831,g
84.8731,3.0382,0.2802,1.92,g
29.4021,2.4125,0.5687,11.165,g
75.8672,2.9738,0.2772,1.861,g
46.2564,2.9609,0.2276,6.5852,g
20.9356,2.1945,0.7476,24.9416,g
77.8088,3.233,0.1901,19.558,g
33.0788,2.7649,0.3729,2.2025,g
55.5756,2.8312,0.2876,2.858,g
60.8649,2.8689,0.307,4.081,g
74.3186,3.4752,0.1624,1.714,g
26.1518,2.5237,0.4401,10.531,g
65.3255,3.1535,0.1812,31.2579,g
126.665,3.4115,0.14,14.227,g
139.204,3.3597,0.1747,0.35,g
19.1023,2.4914,0.4774,55.833,g
56.2863,2.9266,0.1918,20.5187,g
37.1941,2.9673,0.2598,4.9759,g
37.5148,2.8621,0.3187,7.0452,g
90.6992,3.3862,0.1755,7.369,g
36.0196,2.8062,0.2953,6.399,g
41.6749,2.708,0.4074,0.5379,g
53.7352,2.8199,0.1893,11.7065,g
16.8357,2.3483,0.5785,39.434,g
37.7252,2.964,0.2618,4.0561,g
31.7635,2.5641,0.3493,16.9799,g
103.549,4.1949,0.0916,1.0667,g
12.8312,2.2292,0.7316,60.579,g
22.8654,2.5185,0.6182,7.576,g
65.9154,3.5573,0.1688,3.5743,g
25.2455,2.6191,0.3678,81.6368,g
49.2705,3.1229,0.3188,8.8233,g
22.1643,2.2765,0.5926,21.283,g
17.5084,2.4425,0.6282,44.4946,g
29.7456,2.912,0.365,19.182,g
32.916,2.7114,0.2332,19.7462,g
31.3716,2.9952,0.3387,4.2561,g
82.6882,3.8316,0.0984,2.312,g
54.1757,3.6714,0.2087,47.73,g
47.7879,2.939,0.1968,8.5086,g
17.3028,2.3674,0.5966,50.682,g
24.0731,2.666,0.3862,0.132,g
12.4729,2.0588,0.69,19.1153,g
28.972,2.5955,0.533,10.5327,g
28.7984,2.7578,0.3546,40.71,g
24.1434,2.0881,0.7102,59.3964,g
29.1413,2.4074,0.5793,13.171,g
18.0762,2.4464,0.5868,20.997,g
81.5335,2.894,0.2591,3.1709,g
16.9257,2.2625,0.6339,88.6483,g
26.4583,2.4624,0.4724,3.3458,g
40.7164,3.1565,0.2441,3.235,g
51.5731,3.3256,0.1777,3.174,g
29.0348,2.7763,0.3397,54.004,g
20.2191,2.3444,0.6109,34.0559,g
37.0047,2.8448,0.3617,4.1448,g
18.5402,2.233,0.5848,76.5195,g
34.4357,2.721,0.3156,2.701,g
37.8358,2.9415,0.3227,3.108,g
94.2885,4.2157,0.0769,1.4735,g
25.0728,2.081,0.7054,0.0003,g
40.8633,3.2075,0.1904,4.428,g
21.9413,2.29,0.5641,15.8411,g
122.273,4.3901,0.0568,1.3933,g
20.5928,2.2844,0.4208,37.511,g
36.5468,2.5575,0.2936,7.4566,g
42.1245,2.8684,0.2668,11.3741,g
88.4197,3.2221,0.3664,0.1076,g
59.0364,2.943,0.3615,12.026,g
81.4626,3.2404,0.4179,3.1267,g
26.2912,2.4786,0.412,23.678,g
25.5694,2.5428,0.4441,9.7343,g
12.717,2.224,0.7045,27.85,g
20.8716,2.3243,0.6588,23.769,g
12.9833,2.07,0.7489,37.207,g
13.3396,2.1917,0.791,10.7959,g
21.1123,2.5198,0.4411,75.2845,g
21.9807,2.3997,0.6056,24.17,g
22.0402,2.1508,0.7208,14.3447,g
52.1761,2.7828,0.3545,11.9522,g
26.7552,2.4166,0.4636,32.4811,g
28.906,2.6042,0.3806,21.497,g
27.6835,2.6542,0.2971,17.02,g
29.2226,2.6053,0.3027,5.7595,g
29.4939,2.4533,0.4542,10.11,g
39.7794,2.6707,0.3458,7.225,g
