@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,5,9,18,20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Hedge-sd numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
227,0,0.807373,0.458364,7
49,0,0.266668,0.223879,2
186,0,1.781593,0.306161,6
190,0,1.405018,0.308799,6
136,0,0.444444,0.529541,1
191,0,4.607407,0.35037,7
114,0,0.122222,0.56746,1
111,0,0.443053,0.299664,4
68,0,0.962963,0.265053,4
25,0,0.477775,0.299583,2
187,0,2.389019,0.305755,6
51,0,0.888889,0.446118,1
54,0,1.003697,0.202708,2
71,0.111111,5.677779,0.416299,1
237,0,2.564718,0.472826,7
111,0,0.240741,1,3
105,0,1.67778,0.295992,4
125,0,0.691215,0.923809,3
202,0,1.003697,0.293527,6
101,0,0.607407,0.376852,1
77,0,0.533333,0.269192,4
226,0,1.020167,0.404749,7
62,0,0.501848,0.67037,5
193,0,2.489236,0.278387,6
125,0,0.574133,0.317206,4
84,0,0.344265,0.477222,5
27,0,0.255555,0.096263,2
91,0.111111,889.3629,0.398824,3
186,0.111111,3.507134,0.298302,6
123,0,0.062963,0.555776,1
209,0,0.928958,0.464325,7
110,0,0.02963,0.620643,5
109,0.111111,3.084009,0.694627,3
122,0,0.403687,0.555556,3
201,0,5.795274,0.275368,6
68,0,0.651852,0.179629,2
32,0,1.310922,0.190625,2
153,0.111111,3.896296,0.769577,5
124,0,0.107407,0.571649,1
125,0,0.760117,0.324639,4
140,0,0.02963,0.777778,5
50,0,0.952579,0.247337,2
143,0,0.133333,0.674074,1
72,0,0.744447,0.19129,2
191,0,2.800133,0.313611,6
102,0,3.262961,0.390329,1
154,0,1.218518,0.561927,5
189,0,114.59634,0.271473,6
118,0,0.4,0.56433,1
137,0.111111,37.500004,0.837478,3
199,0,3.466775,0.317006,6
56,0,1.022222,0.422689,1
123,0,0.122222,0.573413,1
34,0,2.033333,0.466345,1
121,0,0.833334,0.907407,3
129,0,0.151852,0.777778,3
165,0,1.140741,0.318129,7
133,0,0.077778,0.53858,1
120,0,1.869838,0.681266,3
196,0,0.816497,0.430243,7
183,0,1.798147,0.420244,7
140,0,0.088889,0.564153,1
155,0,151.68887,0.646298,5
113,0,1.066667,0.144134,2
145,0,4.385186,0.457672,3
98,0,1.29386,0.448676,5
90,0,8.507409,0.465278,5
198,0,1.22963,0.400903,7
21,0,0.408248,0.184022,2
133,0,1.218682,0.270271,4
17,0.222222,2.319004,0.268186,4
166,0,0.32963,0.330513,7
90,0,0.399999,0.420598,1
233,0,1.327766,0.422174,7
133,0,0.750308,0.313397,4
22,0,0.488884,0.109655,2
38,0,2.294114,0.547232,5
68,0,0.534027,0.534151,5
62,0,1.333336,0.169635,2
33,0,2.973961,0.547103,5
124,0,0.311111,0.550044,1
115,0.111111,2.936362,0.767235,3
117,0,0.860663,0.335026,4
182,0,9.218522,0.285756,6
161,0,99.63333,0.27504,6
158,0,1.048807,0.264152,4
195,0,2.888676,0.284495,6
63,0,5.675157,0.248136,2
115,0,0.033333,0.933333,5
56,0,0.107408,0.179483,2
18,0,1.289561,0.317156,4
87,0,1.746955,0.862771,3
48,0,4.305036,0.245241,4
106,0,53.244434,0.270907,4
245,0,0.507408,0.44538,7
154,0,0.02963,0.222222,5
122,0,1.996293,0.54583,3
108,0,1.563473,0.252458,4
177,0,27.333357,0.28109,6
89,0,0.285185,0.509462,5
34,0,0.779362,0.317542,4
141,0,0.182574,1,5
