@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,7,11,13-14,16,20'

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
235,1.840741,7.555555,15.777778,-10,14.666667,7
138,10.074077,8.222222,9.111111,-11.888889,-9.222222,5
219,1.00554,10.888889,17.222223,-7.444445,11.555555,7
189,1.323576,45.77778,44.22222,-16,-20.666666,6
65,0.785188,82.77778,88.111115,-43.666668,-27.666666,2
51,0.389683,95.22222,104,-40.555557,-14.222222,2
89,0.340741,0.111111,0.333333,-6.555555,-5.888889,3
81,0.344265,51.88889,52,-22.666666,-22.333334,4
94,0.077778,16.88889,17,-13.666667,-13.333333,5
208,0.418519,12.777778,20.777779,-10.222222,13.777778,7
113,4.122656,17.11111,22.333334,-32.333332,-16.666666,3
89,1.306678,13,13.444445,-12,-10.666667,5
134,0.251852,7.444445,3.666667,4.111111,-7.222222,1
209,0.712326,43,42.555557,-17.333334,-18.666666,6
201,1.678846,47.11111,46.77778,-19.777779,-20.777779,6
81,0.651852,39.444443,37.77778,-10.444445,-15.444445,4
93,3.896308,70.66667,76.111115,-46.88889,-30.555555,2
146,0.611616,36.88889,36.666668,-18.777779,-19.444445,4
108,0.64693,0.555556,1.666667,-3.888889,-0.555556,3
53,0.444444,104.333336,104.888885,-26.444445,-24.777779,2
107,0.655556,18.333334,12.555555,3.444444,-13.888889,1
133,0.266667,8.333334,3.888889,5,-8.333333,1
84,0.490653,18.666668,19.777779,-13.777778,-10.444445,5
179,1.531158,44.88889,42.88889,-12.888889,-18.88889,6
89,0.340741,0.111111,0.333333,-6.555555,-5.888889,3
138,0.172133,0.444444,0,-2.333333,-3.666667,5
113,0.623608,24.333334,25.777779,-12,-7.666666,5
82,0.41852,34.555557,33.666668,-13,-15.666667,4
116,1.611303,29.11111,28.777779,-12.222222,-13.222222,4
116,0.196296,7.555555,3.888889,2.777778,-8.222222,1
21,0.611615,115,122.55556,-35.444443,-12.777778,2
65,1.23678,52.666668,53,-12.111111,-11.111111,4
123,0.151852,14.777778,15.888889,-20.555555,-17.222221,4
180,1.481991,44.11111,42.555557,-13.333333,-18,6
138,3.879672,9.888889,14.888889,-19.88889,-4.888889,3
93,0.772203,54.77778,54.555557,-24.222221,-24.88889,4
41,0.809664,0.555556,0.333333,-0.444444,-1.111111,5
87,1.962613,1.222222,1.888889,-5.111111,-3.111111,3
201,5.495115,35.77778,36.11111,-13.555555,-12.555555,6
190,1.822697,47.333332,46.555557,-18.777779,-21.11111,6
120,4.359749,44.77778,42.444443,-9.222222,-16.222221,4
17,0.107405,120.77778,126.22222,-28.555555,-12.222222,2
102,1.854923,47.11111,45.555557,-13.666667,-18.333334,4
159,0.960324,25.222221,23.555555,-2.666667,-7.666666,4
39,1.129629,102.55556,105.55556,-32.444443,-23.444445,2
28,0.403686,96.44444,107.666664,-45.444443,-11.777778,2
19,0.551851,97.666664,103,-37.88889,-21.88889,2
183,0.869228,40.22222,37.333336,-8.888889,-17.555555,6
51,0.712324,113.22222,118.888885,-33.555557,-16.555555,2
105,15.662961,1.666667,2.444444,-7.444445,-5.111111,3
121,0.843274,1.111111,3.111111,-6.888889,-0.888889,3
215,0.958394,17.11111,29.444445,-17.777779,19.222221,7
131,0.062963,0.777778,0.666667,-1.888889,-2.222222,5
28,1.278022,96.111115,107.22222,-46.22222,-12.888889,2
189,2.87407,29,28.222221,-8.777778,-11.111111,6
65,1.110556,50.444443,50.11111,-21.88889,-22.88889,4
86,1.06284,4.666667,4.555555,-6.111111,-6.444445,5
46,0.240742,93.888885,99.77778,-40.88889,-23.222221,2
192,2.82384,50.333332,48.77778,-20.222221,-24.88889,6
90,1.885185,0.888889,1.444444,-7.555555,-5.888889,3
193,1.90516,53.11111,52.11111,-21,-24,6
11,0.311116,136.88889,142.55556,-19.666666,-2.666667,2
145,0.018518,5.555555,2.222222,4.888889,-5.111111,1
105,0.501849,22.555555,23.666666,-12.555555,-9.222222,5
218,3.496296,5.444445,12.555555,-9,12.333333,7
238,0.827759,9.666667,17.444445,-10.777778,12.555555,7
107,3.14074,0.222222,0.555556,-4.666666,-3.666667,3
238,0.877777,7.444445,12.444445,-3.222222,11.777778,7
162,0.62361,19.666668,29.555555,-16.333334,13.333333,7
103,0.534027,52.22222,51.77778,-20,-21.333334,4
185,1.806368,44,42.444443,-15.111111,-19.777779,6
177,0.474073,12.555555,20.777779,-11.111111,13.555555,7
77,1.851852,24.11111,19.11111,-3.222222,-18.222221,1
109,0.834444,24.777779,26.333334,-13.888889,-9.222222,5
143,0,0,0,0,0,5
99,0.82963,0.111111,0.444444,-5.777778,-4.777778,3
251,1.881686,21.444445,22.777779,2.333333,6.333334,7
109,0.809666,89.44444,95.77778,-39.11111,-20.11111,2
189,2.462961,28.444445,27.666666,-8.777778,-11.111111,6
150,0,0,0,0,0,5
189,0.340741,9.444445,16.444445,-7.666666,13.333333,7
20,0.490655,114,120.44444,-33,-13.666667,2
93,0.151851,103.888885,105,-25.222221,-21.88889,2
106,3.544443,1,2.111111,-8,-4.666666,3
106,0.418518,0.333333,1.333333,-5.555555,-2.555556,3
135,0.296296,7.111111,3,4.777778,-7.555555,1
183,0.429629,14.222222,23.222221,-11.888889,15.111111,7
193,2.225275,13.333333,21,-8.555555,14.444445,7
36,0.1963,128.55556,131.22223,-20.222221,-12.222222,2
135,0.182574,0,0,-1.444444,-1.444444,5
74,0.088889,89.111115,93.22222,-38.22222,-25.88889,2
119,1.293861,36.22222,35.11111,-10.888889,-14.222222,4
107,0.344445,18.777779,11.888889,6.222222,-14.444445,1
188,1.563472,44.666668,42.666668,-15.111111,-21.11111,6
77,3.940742,23.444445,18.444445,-3.111111,-18.11111,1
98,3.887301,24.88889,24.333334,-11.666667,-13.333333,4
110,0.088889,0.111111,0.444444,-4.666666,-3.666667,3
122,1.241266,8,12.111111,-24.444445,-12.111111,3
187,1.730981,43.333332,41.666668,-15.111111,-20.11111,6
60,2.329629,24.666666,20.333334,-6.222222,-19.222221,1
148,0.172133,0,0,-0.111111,-0.111111,5
25,1.46667,117.77778,123.888885,-30.666666,-12.333333,2
120,46.933327,3.333333,4.777778,-10.888889,-6.555555,3
152,1.143419,19.666668,29.666666,-16.11111,13.888889,7
154,18.162964,2.555556,2.666667,-5.222222,-4.888889,5
211,6.08889,12.444445,18.666668,-9,9.666667,7
106,2.518518,20,14.888889,0,-15.333333,1
114,0.809664,23,24.11111,-12.555555,-9.222222,5
80,0.166666,102.888885,103,-24.555555,-24.222221,2
190,1.032796,42,40.88889,-14.666667,-18,6
27,0.240737,132.55556,133.44444,-14.888889,-12.222222,2
63,1.1,20.333334,17.11111,-6.111111,-15.777778,1
196,1.260512,56,55.444443,-22.555555,-24.222221,6
142,0.062963,6.222222,2.333334,4.888889,-6.777778,1
96,0.507407,1.111111,1.777778,-8.111111,-6.111111,3
197,7.54074,17.444445,27.555555,-11.444445,18.88889,7
134,1.12875,37.11111,38.77778,-22.777779,-17.777779,4
126,0.118519,7.666666,2.888889,6.777778,-7.555555,1
80,0.58373,11.888889,12.444445,-11.888889,-10.222222,5
136,0.522222,0.666667,0.888889,-5.333334,-4.666666,5
69,1.531158,53.444443,52,-18.333334,-22.666666,4
138,0.088889,0,0,-2.333333,-2.333333,3
189,1.047041,53.444443,51.444443,-19.444445,-25.444445,6
122,0.240741,0,0.333333,-4.777778,-3.777778,3
133,0.172133,1,0.111111,-1.666667,-4.333334,5
145,0.151852,5.333334,1.888889,3.777778,-6.555555,1
131,0.02963,0,0,-1.555556,-1.555556,3
111,0.162963,4.111111,1.777778,0.888889,-6.111111,1
104,0.729627,52.77778,51,-13.666667,-19,4
128,5.955534,32.11111,30.88889,-10.444445,-14.111111,4
214,0.651852,5,10.666667,-5.444445,11.555555,7
158,1.054093,16.444445,27.88889,-17.222221,17.11111,7
131,0.172133,0,0,-0.666667,-0.666667,5
139,0.107407,7.555555,3.555556,4.333334,-7.666666,1
140,0.462963,7.888889,3.777778,4.666666,-7.666666,1
90,0.250924,4.666667,3.888889,-5.777778,-8.111111,5
43,0.433333,117.333336,121.55556,-27.444445,-14.777778,2
113,0.389682,0,0.111111,-2.888889,-2.555556,3
82,0.474074,1.777778,4.777778,-11.444445,-2.444444,3
56,0.951851,21.11111,16.88889,-4.888889,-17.555555,1
18,0.729626,133.33334,135,-15.888889,-10.888889,2
93,13.496301,9.888889,10.444445,-13.555555,-11.888889,5
184,1.520233,43.88889,42.22222,-13.111111,-18.11111,6
185,2.977074,50.11111,50,-20.88889,-21.222221,6
148,2.551854,21.444445,24.222221,-22.88889,-14.555555,4
176,1.148269,46.333332,45.444443,-19.777779,-22.444445,6
189,1.088662,45.11111,43,-13.666667,-20,6
138,1.143419,2,4.222222,-9.555555,-2.888889,3
23,0.365148,111,118.22222,-36,-14.333333,2
143,0.172133,0.222222,0,-1.333333,-2,5
215,5.096295,14.333333,22.88889,-8.555555,17.11111,7
118,0.018518,7,3.222222,4.111111,-7.222222,1
133,0,0,0,0,0,3
145,0.162963,6.333334,3,3.111111,-6.888889,1
124,0.122222,6.888889,2.777778,5.333334,-7,1
107,1.288892,125.77778,130,-23.666666,-11,2
104,2.107407,20.555555,16.555555,-4.111111,-16.11111,1
138,0.64693,0.111111,0.555556,-3.111111,-1.777778,3
96,0.196297,76,80.77778,-44.444443,-30.11111,2
104,1.420747,48.88889,48.77778,-20.555555,-20.88889,4
246,1.619328,18.88889,29.88889,-11.777778,21.222221,7
207,1.306679,46,45.444443,-18.333334,-20,6
15,0.25185,134.33334,137.88889,-19.333334,-8.666667,2
176,1.470702,45.22222,43,-13.555555,-20.222221,6
194,1.143419,16.555555,26.11111,-10.888889,17.777779,7
116,0.107407,6.777778,3.111111,3.444444,-7.555555,1
28,3.761896,53.444443,54.666668,-26.88889,-23.222221,4
195,2.8784,42.555557,42,-16.11111,-17.777779,6
199,0.443053,11.111111,17.88889,-10.222222,10.111111,7
221,1.485185,10.666667,19.11111,-10.222222,15.111111,7
134,0.240741,7.666666,3.333333,5.333334,-7.666666,1
154,0.118519,1.555556,1,-0.888889,-2.555556,5
236,0.255556,12.888889,22.222221,-11.111111,16.88889,7
33,0.611111,96.77778,102.333336,-39.333332,-22.666666,2
34,3.05808,9.777778,10.555555,-11.888889,-9.555555,5
66,0.95258,41,39,-4.777778,-10.777778,4
32,0.418519,99.22222,104.333336,-38.444443,-23.11111,2
156,1.277778,13.444445,24,-14.444445,17.222221,7
126,0.4,16.11111,16.88889,-13.333333,-11,4
95,0.607408,15.555555,16.222223,-13.888889,-11.888889,5
133,0.02963,0,0,-2.222222,-2.222222,3
33,13.024195,31.333334,30.555555,-13.444445,-15.777778,4
47,0.122223,127.44444,131.11111,-22,-11,2
101,0.779363,39,39,-18.11111,-18.11111,4
125,0.211111,14.888889,15,-10,-9.666667,4
119,0.854184,40.666668,40.22222,-14.888889,-16.222221,4
110,0.24074,23,24.444445,-18.88889,-14.555555,5
106,0.151852,0.444444,0.666667,-5.888889,-5.222222,3
189,1.511683,55,53.77778,-19.222221,-22.88889,6
116,0.151852,6.555555,2.888889,3.444444,-7.555555,1
98,0.611616,0.555556,2,-4.444445,-0.111111,3
93,0.211111,18.88889,15.444445,-4.444445,-14.777778,1
24,0.907406,117.666664,123.55556,-29.88889,-12.222222,2
133,0.172133,0,0.111111,-2.888889,-2.555556,3
