@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,13-14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-5 numeric
@attribute Short-line-density-2 numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
194,0,0.222222,42.555557,-16.88889,-18.222221,60.333332,6
175,0,0,20.11111,-8.777778,14.222222,20.11111,7
137,0,0,3.333333,5.777778,-7.555555,7.777778,1
88,0.111111,0,4.111111,-11.111111,-3.444444,10.111111,3
50,0,0,57.666668,-23.333334,-22.333334,80.333336,4
121,0,0,48.444443,-21.555555,-19.555555,68.66667,4
187,0,0,51.333332,-20.11111,-24.11111,74.111115,6
219,0.111111,0,19.666668,-10.333333,14.333333,19.666668,7
29,0,0,94.666664,-43.444443,-25.777779,126.333336,2
121,0,0,27.88889,-11.111111,-13.444445,40.555557,4
50,0,0,101.888885,-38.333332,-16.666666,125.77778,2
142,0,0,2.777778,4.555555,-6.777778,6.555555,1
96,0,0,2.333334,-8.333333,-4.333334,8,3
81,0,0.111111,10.888889,-14.444445,-4.777778,18.88889,3
135,0,0,0,-2.333333,-2.333333,2.333334,5
90,0,0,1,-6.777778,-5.444445,6.888889,3
156,0,0,21.777779,-10.444445,14.555555,21.777779,7
12,0,0,3.555556,-7.111111,-8.111111,11.333333,5
196,0.111111,0,54.11111,-19.777779,-22.444445,75.66667,6
184,0,0,22.222221,-12.222222,13.777778,22.222221,7
73,0,0,4.444445,-10.444445,-4.111111,10.666667,3
162,0,0,39.22222,-19.333334,-12,53.666668,6
122,0,0,3.444444,3.666667,-7.666666,7.666666,1
25,0,0,121.55556,-35.11111,-13.444445,142.22223,2
190,0,0,51,-19,-19,70,6
125,0,0,3.555556,3.444444,-7.888889,7.777778,1
194,0,0,25.333334,-10.666667,20.333334,25.333334,7
15,0,0,109.111115,-40.88889,-13.888889,132,2
60,0.111111,0,16.555555,-3.888889,-18.222221,30,1
115,0,0,13,-19,-5.333334,22.88889,3
121,0,0,11.888889,-16.222221,-9.222222,23.444445,3
139,0,0,15.666667,-6.222222,-7.222222,23.88889,3
108,0,0,35.77778,-12,-12.666667,48.22222,4
108,0.111111,0,16.555555,-2.777778,-16.11111,28.222221,1
106,0,0,0,-1.666667,-1.666667,1.666667,3
112,0,0,25.777779,-12.888889,-9.222222,36.22222,5
141,0,0,0,0,0,0,5
51,0,0,117.44444,-36.88889,-16.555555,140.77779,2
204,0,0,25.555555,-14,19.666666,25.555555,7
189,0,0,22.88889,-9,-10.666667,33,6
236,0,0,18.666668,-9.555555,14.111111,18.666668,7
247,0,0,15.888889,-9.222222,9.777778,15.888889,7
58,0,0,117.111115,-35.666668,-14.666667,138.77779,2
34,0,0,120.77778,-35.444443,-14.111111,142,2
92,0.111111,0,14.555555,2.555556,-14.444445,23.333334,1
70,0.111111,0,52.88889,-23,-24.666666,77,4
81,0,0,79.111115,-44.22222,-33.88889,116.44444,2
83,0,0,6.666666,-11.666667,-9.666667,17,5
97,0,0,0.666667,-6,-4.333334,5.555555,3
192,0,0,39.22222,-16.222221,-20.222221,58.11111,6
67,0,0,53.333332,-23.222221,-22.222221,75.888885,4
86,0.111111,0,20.222221,-6.777778,-18.777779,35,1
71,0,0,116.77778,-32.22222,-16.222221,138.33334,2
147,0.111111,0,4.555555,-1.444444,-5.111111,8.666667,4
140,0,0,3.777778,4.666666,-7.666666,8.222222,1
198,0,0,52.22222,-20,-22.666666,74,6
173,0.111111,0,47.444443,-19.88889,-23.222221,69.55556,6
25,0,0,123.888885,-30.666666,-12.333333,142.33334,2
39,0,0,123.111115,-32.88889,-13.222222,142.88889,2
115,0,0,4,3,-8.333333,8.666667,1
127,0,0,0,-1.888889,-1.888889,1.888889,3
197,0.111111,0,15.333333,-7.222222,7.444445,15.333333,7
195,0,0,41.22222,-16.333334,-16,57.333332,6
119,0.111111,0,4.222222,-6.777778,-0.444444,6.777778,3
114,0,0,3.666667,4,-7.666666,7.888889,1
235,0,0,19.222221,-11.555555,10.777778,19.222221,7
104,0,0,13.666667,1.555556,-15.111111,23.222221,1
196,0,0,20.444445,-3.666667,15.333333,20.444445,7
191,0,0,43.11111,-15.666667,-18.333334,60.555557,6
182,0.111111,0,35,-7.888889,-14.555555,47.333332,6
159,0,0,31.88889,-16,-11.666667,45.444443,6
125,0,0,58.555557,-15.444445,-23.11111,79.111115,4
245,0,0,7,-0.555556,1.777778,7.222222,7
101,0,0,131.11111,-25.444445,-11.444445,147.22223,2
31,0,0,8.888889,-8.777778,-7.111111,16.555555,5
190,0,0,43,-14.111111,-19.444445,60.666668,6
64,0,0,17.666668,-4.222222,-19.222221,31.88889,1
154,0,0,27.333334,-23.666666,-17,46.555557,4
182,0,0,37.88889,-9.777778,-17.11111,52.555557,6
217,0,0,17,-6.444445,15.222222,17,7
29,0,0,123.22222,-27.666666,-15.666667,142.88889,2
131,0,0,0,0,0,0,5
47,0,0,87.333336,-43.666668,-29.333334,121.44444,2
111,0,0,25.777779,-12.555555,-8.888889,35.88889,5
156,0,0,28.333334,-19.11111,13.888889,28.333334,7
182,0,0,49.666668,-18.333334,-25,72.44444,6
116,0,0,2.111111,-6.333334,-2.666667,6,3
218,0,0,17.777779,-9.111111,12.222222,17.777779,7
64,0,0,103.77778,-37.333332,-15,126.22222,2
145,0,0,22.777779,-7.666666,-12,33.333336,4
33,0,0,106.333336,-41.444443,-12.777778,128.66667,2
92,0,0,7.222222,-8.555555,-8.222222,15.555555,5
185,0,0,28.777779,-10,-11.333333,39.666668,6
196,0,0,19.555555,-9.777778,11.555555,19.555555,7
149,0,0,3.555556,-4,-5.666666,8.666667,1
118,0,0,16.11111,-11.555555,-9.888889,26.555555,5
124,0,0,0,-2,-2,2,3
55,0,0,119.111115,-30.666666,-15,139.33334,2
216,0,0,11.111111,-5.888889,12.111111,11.111111,7
142,0,0,0,-0.333333,-0.333333,0.333333,5
99,0,0,47.77778,0,-12.333333,56,4
240,0,0,28.11111,-8.777778,16.88889,28.11111,7
135,0,0,1,-3.666667,-5.666666,6,5
212,0.111111,0,17.88889,-6.888889,16.777779,17.88889,7
117,0,0,0.222222,-3.333333,-3.333333,3.555556,3
152,0,0,0,0,0,0,5
193,0,0,36.11111,-11.222222,-15.222222,50,6
110,0,0,13.444445,2.888889,-13.444445,21.444445,1
116,0.111111,0,41.555557,-13.444445,-15.777778,56.555557,4
136,0,0,3.777778,4.555555,-7.444445,8,1
61,0,0,103.77778,-41.88889,-15.888889,128.33334,2
169,0,0,32,-15.222222,18.11111,32,7
125,0,0,50.666668,-24,-22.666666,73.77778,4
127,0,0,32.666668,-1.888889,-11.555555,41,4
103,0,0,3.444444,-5.888889,-1.222222,6.222222,3
54,0,0,103.666664,-36.22222,-15.555555,126.111115,2
32,0,0,53.333332,-15.777778,-18.444445,70.88889,4
65,0,0,52.77778,-19.11111,-22.11111,73.888885,4
40,0,0,118.888885,-30.555555,-17.222221,140.55556,2
80,0,0,87.22222,-41.666668,-27.333334,119.333336,2
91,0,0,1.222222,-8.111111,-6.111111,8,3
138,0,0,3.333333,4.777778,-7.222222,7.333334,1
54,0,0,108.77778,-23,-24,132.44444,2
75,0,0.111111,52.11111,-22.666666,-8.666667,65.44444,3
139,0,0,0,-1.444444,-4.111111,3.222222,5
167,0,0,24.666666,-6.777778,16.88889,24.666666,7
115,0.111111,0,41.444443,-12.888889,-15.888889,56.333332,4
109,0,0,3,-8.555555,-3.888889,8.444445,3
120,0.111111,0,18.444445,-12,-9.333333,28.666666,5
180,0.111111,0,27.222221,-12,14.666667,27.222221,7
42,0,0,51.444443,-24.666666,-22.333334,74.55556,4
99,0,0,5.222222,-9.888889,-4.555555,11.555555,3
124,0,0,37.444443,-20.222221,-18.222221,56.333332,4
122,0,0,3.888889,5.111111,-7.555555,8.111112,1
59,0,0,121.44444,-28.777779,-14.111111,140.44444,2
95,0,0,2.444444,-7.888889,-3.222222,7.222222,3
155,0,0,5.555555,-5.888889,-5.222222,11,5
82,0,0,12.444445,-11.555555,-9.222222,22.444445,5
222,0.111111,0,17.555555,-9.666667,10.666667,17.555555,7
23,0,0,119.77778,-37.666668,-14,141.66667,2
216,0,0,19.11111,-11,13.666667,19.11111,7
73,0,0,37.77778,-43.666668,-26.666666,70.111115,3
87,0.111111,0,12.777778,2.666667,-13.666667,21.11111,1
123,0,0,2.333334,4.333334,-6.666666,6,1
66,0,0,38,-3.222222,-10.888889,46.333332,4
116,0,0,3.111111,3.444444,-7.555555,7.333334,1
102,0,0,51,-23.11111,-22.11111,73.44444,4
236,0.111111,0,17.222223,-8.888889,14.111111,17.222223,7
160,0,0,37.555557,-20.444445,-19.11111,57.11111,6
201,0,0.111111,51,-17.444445,-23.11111,72.22222,6
28,0,0,54.666668,-26.88889,-23.222221,79.111115,4
139,0,0,41.666668,-17,-19.666666,60.444443,4
138,0,0,1.666667,-5.333334,-5.666666,7.222222,5
108,0,0,13.777778,-10.111111,-9.444445,23.444445,5
116,0,0,2.222222,-6.777778,-1.777778,5.666666,3
102,0,0,15.444445,0.222222,-14.444445,25,1
