@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vegde-sd numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
55,0,2.82963,0.862964,21.037037,0.404791,-1.634416,1
124,0,0.122222,0.062963,5.111111,0.595899,-0.752669,1
116,0,0.107407,0.133333,5.62963,0.575397,-1.099624,1
131,0,0.088889,0.088889,5.222222,0.581349,-0.621222,1
108,0,0.640741,0.151852,21.925926,0.412134,-1.683529,1
57,0,3.411111,1.718517,26.296297,0.425691,-1.739017,1
111,0,0.374074,0.429629,6.037037,0.562919,-1.175773,1
109,0,0.488889,2.729629,17.25926,0.384997,-1.131204,1
147,0,0.42963,0.107407,6.037037,0.652248,-1.50837,1
111,0,0.311111,0.507407,5.703704,0.566138,-1.065066,1
63,0,1.1,2.462962,22.37037,0.422651,-1.813886,1
81,0,2.21111,1.01111,19.851852,0.41031,-1.472378,1
118,0,0.118518,0.162963,6.259259,0.543871,-1.076198,1
34,0,3.688889,2.033333,20.333334,0.466345,-1.823148,1
116,0,0.196296,0.207407,6.62963,0.546517,-1.233945,1
116,0,0.285185,0.074074,22.11111,0.398448,-1.670314,1
113,0,0.207407,0.118519,5.518518,0.566138,-0.989308,1
124,0,0.162963,0.02963,5.111111,0.608466,-0.877707,1
88,0,1.885185,3.396294,21.148148,0.405118,-1.512555,1
118,0,0.385186,4.285184,21.11111,0.416884,-1.620749,1
142,0,0.122222,0.522222,4.666666,0.662037,-0.604864,1
129,0,0.433333,0.177778,6.333334,0.540123,-0.932783,1
136,0,0.196296,0.074074,5.62963,0.535714,-0.896533,1
90,0,2.074072,3.274074,22.62963,0.420486,-1.622331,1
114,0,0.062963,0.122222,5.888889,0.56746,-1.151837,1
50,0,0.462963,0.488889,23.037037,0.418746,-1.741254,1
67,0,3.362964,1.185185,23.74074,0.429897,-1.670171,1
62,0,2.118518,6.374074,27.37037,0.450305,-1.888408,1
149,0,0.785185,1.244444,5.518518,0.588163,-2.009108,1
78,0,2.34074,5.86667,24.592592,0.401965,-1.610448,1
145,0,0.018518,0.374074,3.925926,0.600529,-0.57094,1
71,0.111111,0.785185,5.677779,22.333334,0.416299,-1.636863,1
64,0,5.496297,4.34074,23.62963,0.424819,-1.756712,1
92,0,2.977778,0.651851,22.88889,0.422223,-1.682651,1
110,0,5.351851,1.022223,17.925926,0.368848,-1.345096,1
117,0,0.151852,0.211111,5.888889,0.553571,-1.179692,1
118,0,0.385185,0.4,6.444445,0.56433,-1.134543,1
135,0,0.151852,0.374074,5.703704,0.565476,-0.787376,1
122,0,0.062963,0.177778,5.555555,0.581349,-0.953435,1
143,0,0.044444,0.133333,4.518518,0.674074,-0.87829,1
134,0,0.240741,0.062963,5.888889,0.577601,-0.806042,1
117,0,0.255556,0.444445,21.222221,0.382629,-1.574477,1
115,0,1.440742,2.829631,19.925926,0.375321,-1.440963,1
115,0,0.033333,0.133333,6.666666,0.53858,-0.965144,1
121,0,0.118518,0.107407,6.407407,0.528219,-0.914324,1
91,0,2.177777,2.162962,19.74074,0.394157,-1.55225,1
102,0,0.607408,1.485186,23.074074,0.417763,-1.68544,1
103,0,0.596296,2.151852,16.148148,0.398903,-1.219211,1
146,0,0.122222,0.266667,5.111111,0.571429,-1.258358,1
53,0,1.718519,3.011111,27.074074,0.474773,-1.937482,1
125,0,0.062963,0.311111,6.185185,0.545635,-1.121818,1
62,0,0.833334,0.966668,21.185184,0.419469,-1.650123,1
89,0,1.762962,3.496296,18.962963,0.402507,-1.544214,1
129,0,0.562963,0.874074,6.666666,0.530556,-0.843904,1
117,0,0.207407,2.151851,19.88889,0.381277,-1.420087,1
55,0,3.674073,0.785185,23.444445,0.43507,-1.771163,1
142,0,0.107407,0.374074,5.037037,0.574735,-0.829712,1
83,0,4.918518,2.374072,18.74074,0.399927,-1.456819,1
133,0,0.266667,0.077778,6.666666,0.53858,-0.924817,1
122,0,0.133333,0.3,6,0.551808,-1.05144,1
113,0,0.996296,2.785182,14.703704,0.451359,-0.9757,1
107,0,0.655556,1.92963,17.185184,0.395253,-1.312499,1
149,0,0.251852,0.151852,5.444445,0.578339,-1.985703,1
139,0,0.177778,0.207407,5.333334,0.566799,-1.004936,1
126,0,0.374074,0.844445,6.481482,0.551587,-1.118131,1
139,0,0.107407,0.522222,6.111111,0.532628,-0.965946,1
117,0,0.207407,0.062963,6.333334,0.510362,-0.983947,1
108,0,0.8,0.951852,17.666666,0.388756,-1.302133,1
113,0,0.077778,0.151852,6.148148,0.563492,-1.175454,1
51,0,1.999999,2.107407,19.592592,0.442861,-1.68129,1
122,0,0.107407,0.118519,5.62963,0.551587,-0.964797,1
135,0,0.118519,0.122222,5,0.613757,-0.692028,1
92,0,0.488889,1.277778,18.703703,0.42886,-1.548296,1
104,0,0.962963,5.040743,20.185184,0.380367,-1.555376,1
54,0,1.674073,4.329629,24.592592,0.432167,-1.760752,1
123,0,0.118518,0.118519,4.555555,0.61164,-0.853547,1
92,0,2.418516,0.877778,19.074074,0.401025,-1.570588,1
116,0,0.477778,0.611111,6.111111,0.544733,-1.163245,1
140,0,0.462963,0.577778,6.333334,0.537017,-0.909267,1
107,0,0.344445,1.540741,16.703703,0.399311,-1.131973,1
101,0,0.329629,0.651852,19.037037,0.410267,-1.457591,1
140,0,0.462963,0.577778,6.333334,0.537017,-0.909267,1
66,0,1.007407,1.01111,18.666666,0.437855,-1.569253,1
103,0,1.52963,1.096296,18.962963,0.388385,-1.334127,1
83,0,0.340741,0.429631,19.444445,0.410073,-1.507007,1
40,0,2.711112,2.118518,17.185184,0.46306,-1.783602,1
132,0,0.077778,0.162963,5.37037,0.593254,-0.808383,1
122,0,0.02963,0.166667,6.407407,0.520062,-0.83212,1
95,0,1.007408,0.551851,21.407408,0.390436,-1.567327,1
56,0,3.644444,1.574072,28.62963,0.41394,-1.819915,1
128,0,0.3,0.044444,5.962963,0.563713,-1.005054,1
137,0,0.166667,0.474074,5.851852,0.573633,-0.744272,1
106,0,2.518518,3.14074,20,0.408155,-1.55762,1
74,0,1.555556,0.133333,22.407408,0.422206,-1.646671,1
114,0,2.018517,3.762962,17.222221,0.393691,-1.176662,1
86,0,0.833333,2.162964,23.814816,0.405541,-1.60859,1
113,0,0.255556,0.207407,5.592593,0.579365,-0.942558,1
42,0,0.151851,0.507407,22.592592,0.462752,-1.842494,1
67,0,1.007407,1.544446,22.25926,0.414836,-1.524771,1
117,0,0.133333,0.074074,5.777778,0.543651,-1.353896,1
77,0,3.940742,6.029632,24.481482,0.415737,-1.68954,1
67,0,0.88889,3.185185,20,0.436939,-1.623202,1
111,0,0.151852,0.122222,5.444445,0.60119,-1.181388,1
147,0,0.107407,0.562963,6.777778,0.643678,-1.783388,1
107,0,1.940741,2.740741,18.88889,0.394656,-1.357871,1
111,0,0.240741,0.151852,5.407407,0.564153,-0.897859,1
68,0,1.007408,0.877779,27.185184,0.445652,-1.848523,1
118,0,0.062963,0.118518,5.481482,0.545855,-1.053347,1
61,0,3.185182,7.185185,18.962963,0.419522,-1.591206,1
124,0,0.151852,0.311111,6.185185,0.550044,-0.95784,1
73,0,0.72963,3.129627,19.074074,0.421504,-1.524253,1
128,0,0.340741,0.207407,5.925926,0.563713,-0.7213,1
145,0,0.162963,0.062963,5.296296,0.564153,-1.068968,1
67,0,0.88889,3.185185,20,0.436939,-1.623202,1
109,0,0.240741,0.800001,17.777779,0.376024,-1.276562,1
104,0,3.629631,1.322222,18.703703,0.410009,-1.446641,1
135,0,0.207407,0.355555,4.148148,0.647222,-0.807848,1
74,0,9.940739,2.477778,23.592592,0.420252,-1.66658,1
96,0,1.022222,3.362961,21.88889,0.406451,-1.530686,1
92,0,4.518517,1.022222,19.37037,0.376574,-1.408242,1
98,0,0.666667,0.551853,17.481482,0.356724,-1.360437,1
141,0,0.433333,0.385185,5.407407,0.574074,-0.843732,1
123,0,0.240741,0.266667,6.740741,0.524471,-0.985729,1
143,0,0.133333,0.074074,5.037037,0.595238,-0.907416,1
85,0,0.518519,0.655555,21.11111,0.428735,-1.603957,1
114,0,1.129629,0.596297,19.851852,0.394964,-1.508658,1
74,0,0.577777,0.907407,21.148148,0.419204,-1.554234,1
102,0,0.118518,0.8,20.25926,0.381059,-1.555097,1
128,0,0.118518,0.488889,5.666666,0.597443,-0.837598,1
95,0,1.007408,0.551851,21.407408,0.390436,-1.567327,1
56,0,0.951851,1.6,22.74074,0.440708,-1.759414,1
111,0,0.151852,0.118519,5.666666,0.59127,-1.041434,1
118,0,0.151852,0.196296,6.074074,0.537698,-0.87829,1
75,0,1.407408,2.21111,22.74074,0.423501,-1.641882,1
89,0,0.385185,4.044442,22.333334,0.403687,-1.625587,1
124,0,0.166667,0.107407,6.037037,0.563492,-1.02473,1
61,0,1.574074,1.940741,21.74074,0.437042,-1.737293,1
115,0,2.388889,4.96296,16.555555,0.425538,-1.54801,1
98,0,0.42963,3.229632,20.88889,0.389147,-1.528895,1
81,0,1.674073,2.399998,22.703703,0.409201,-1.606794,1
72,0,4.744444,6.296294,26.481482,0.436895,-1.846158,1
104,0,2.107407,2.000002,21.925926,0.421395,-1.72879,1
115,0,1.822221,4.211112,22.037037,0.397362,-1.619549,1
136,0,0.122222,0.088889,6.814815,0.526235,-0.963931,1
142,0,0.062963,0.151852,4.814815,0.646164,-0.675123,1
92,0,0.429631,2.240742,23.444445,0.414356,-1.653926,1
86,0,0.651853,1.307409,18.592592,0.417916,-1.541502,1
130,0,0.507407,0.685185,5.851852,0.570106,-0.963048,1
101,0,1.288888,1.218518,21.296297,0.404792,-1.558599,1
57,0,3.411111,1.718517,26.296297,0.425691,-1.739017,1
135,0,0.296296,0.074074,5.518518,0.599427,-0.892179,1
115,0,0.388889,0.607407,6.296296,0.541887,-1.175454,1
124,0,0.074074,0.340741,5.888889,0.545855,-1.037663,1
116,0,1.633333,0.874074,21.703703,0.407364,-1.632243,1
144,0,0.062963,0.32963,4.814815,0.574603,-0.969119,1
138,0,0.074074,0.074074,5.444445,0.56746,-0.880521,1
87,0,3.096294,4.374074,17.333334,0.391731,-1.318373,1
133,0,0.444444,0.211111,6.444445,0.558201,-1.077659,1
125,0,0.062963,0.177778,5.851852,0.529762,-0.944272,1
116,0,0.151852,0.207407,6.481482,0.559171,-1.19107,1
147,0,0.074074,0.077778,4.148148,0.713228,-1.475643,1
44,0,2.388888,1.529629,18.74074,0.457681,-1.753726,1
113,0,1.52963,1.529629,20.25926,0.396589,-1.585609,1
133,0,0.266667,0.077778,6.666666,0.53858,-0.924817,1
114,0,0.788889,1.274074,14.518518,0.408644,-1.179347,1
80,0,1.851851,3.866667,24.814816,0.412094,-1.620451,1
60,0,2.329629,2.874074,26.74074,0.4223,-1.776113,1
90,0,0.577778,0.399999,24.851852,0.420598,-1.705942,1
139,0,0.107407,0.522222,6.111111,0.532628,-0.965946,1
118,0,1.529629,9.496296,22.74074,0.390398,-1.707392,1
96,0,1.007407,3.855554,21.74074,0.399499,-1.676921,1
145,0,0.018518,0.374074,3.925926,0.600529,-0.57094,1
57,0,1.618517,1.974073,26.814816,0.440509,-1.837675,1
142,0,0.062963,0.151852,4.592593,0.630159,-0.776334,1
149,0,0.122222,0.507407,7.518518,0.578708,-2.018631,1
110,0,5.351851,1.022223,17.925926,0.368848,-1.345096,1
67,0,1.396297,1.229631,27.148148,0.429308,-1.768356,1
131,0,0.42963,0.207407,5.962963,0.515873,-0.804846,1
143,0,0.207407,0.162963,5.444445,0.601852,-1.048222,1
95,0,3.733334,7.188887,21.11111,0.388363,-1.555549,1
60,0,2.329629,2.874074,26.74074,0.4223,-1.776113,1
85,0,1.051853,0.962963,17.962963,0.399751,-1.386867,1
117,0,0.122222,0.311111,6.444445,0.53858,-1.233256,1
61,0,0.507407,0.388889,23.74074,0.415751,-1.700913,1
125,0,0.062963,0.311111,6.185185,0.545635,-1.121818,1
63,0,1.574073,3.096295,20.925926,0.44725,-1.72683,1
111,0,0.374074,0.429629,6.037037,0.562919,-1.175773,1
138,0,0.122222,0.077778,4.962963,0.603836,-0.722894,1
124,0,0.166667,0.107407,6.037037,0.563492,-1.02473,1
75,0,4.611113,3.718518,25.962963,0.429663,-1.8356,1
75,0,0.32963,0.196296,21.333334,0.417046,-1.590164,1
131,0,0.162963,0.711111,5.333334,0.592813,-0.850783,1
90,0,0.596296,1.822224,18.11111,0.38846,-1.425885,1
126,0,0.207407,0.074074,4.925926,0.611111,-0.877707,1
58,0,0.162963,2.285186,20.925926,0.434743,-1.685074,1
59,0,0.774073,2.55185,25.074074,0.459427,-1.836328,1
123,0,0.088889,0.151852,5.814815,0.531746,-0.988413,1
71,0,1.807406,2.077779,22.777779,0.43357,-1.66796,1
89,0,1.485185,3.688889,23.88889,0.405022,-1.664008,1
60,0,1.140741,1.94074,22.62963,0.446636,-1.709389,1
129,0,0.251852,0.296296,6.407407,0.541887,-0.912766,1
134,0,0.251852,0.296296,6.074074,0.529982,-0.966318,1
101,0,1.288888,1.218518,21.296297,0.404792,-1.558599,1
121,0,0.800001,2.444443,23.11111,0.415524,-1.740736,1
118,0,0.018518,0.107407,5.62963,0.545635,-0.960827,1
126,0,0.118519,0.418519,5.407407,0.623016,-0.612886,1
85,0,1.051853,0.962963,17.962963,0.399751,-1.386867,1
70,0,0.311111,2.196296,26.037037,0.421281,-1.74518,1
110,0,0.122222,2.374073,4.222222,0.708333,-1.539762,1
114,0,0.062963,0.044444,5.259259,0.534392,-0.91061,1
69,0,2.907408,2.562964,25.666666,0.44486,-1.79139,1
132,0,0.122222,0.32963,5.740741,0.529982,-0.726018,1
66,0,2.162962,5.144446,22.62963,0.438246,-1.733544,1
111,0,0.162963,0.385187,3.814815,0.715608,-1.43724,1
64,0,1.144445,0.462963,24.074074,0.446354,-1.724894,1
136,0,0.418519,0.444444,6.259259,0.529541,-0.924607,1
113,0,0.240741,0.151852,5.481482,0.580026,-0.851202,1
84,0,1.277777,2.285188,23.851852,0.398791,-1.598867,1
72,0,0.507407,0.577776,26.222221,0.450926,-1.807866,1
143,0,0.062963,0.033333,5.666666,0.60119,-0.796918,1
128,0,0.077778,0.311111,5.555555,0.561508,-0.985811,1
70,0,0.72963,1.144442,23.666666,0.406015,-1.649603,1
68,0,1.485186,5.096297,21.592592,0.440354,-1.700324,1
100,0,0.266666,0.907407,22.222221,0.421994,-1.623301,1
64,0,2.118519,3.440744,22.481482,0.426923,-1.625668,1
138,0,0.562963,0.3,5.740741,0.543871,-0.862108,1
92,0,0.562964,3.822222,23.666666,0.420973,-1.637777,1
111,0,0.240741,0.151852,5.407407,0.564153,-0.897859,1
62,0,0.518519,1.051853,21.222221,0.423121,-1.620398,1
73,0,1.085185,2.507408,20.62963,0.426973,-1.675465,1
138,0,0.562963,0.3,5.740741,0.543871,-0.862108,1
129,0,0.433333,0.177778,6.333334,0.540123,-0.932783,1
103,0,3.411113,2.166668,21.851852,0.416239,-1.634396,1
126,0,0.062963,0.251852,5.777778,0.581349,-0.895807,1
124,0,0.074074,0.340741,5.888889,0.545855,-1.037663,1
111,0,1.466666,1.022222,18.62963,0.374312,-1.333792,1
140,0,0.118519,0.088889,5,0.564153,-0.783647,1
134,0,0.107407,0.444444,4.740741,0.603704,-0.730465,1
106,0,0.596296,2.72963,23.037037,0.423346,-1.695804,1
116,0,0.107407,0.133333,5.62963,0.575397,-1.099624,1
112,0,0.385185,0.088889,6.222222,0.559171,-1.273992,1
147,0,0.133333,0.418518,4.592593,0.698445,-1.561754,1
56,0,0.207407,1.022222,19.851852,0.422689,-1.622211,1
130,0,0.122222,0.151852,5.333334,0.587963,-0.889024,1
93,0,3.896308,4.907409,86.296295,0.369638,-2.231558,2
90,0,0.374076,0.285185,113.111115,0.181789,-2.078418,2
45,0,0.455421,0.455419,122.85185,0.210174,-2.35936,2
45,0,0.207408,0.829628,121.51852,0.190912,-2.292668,2
61,0,0.490653,0.272164,109.07407,0.258869,-2.367396,2
18,0,0.729626,0.374079,138.62962,0.096352,-2.214612,2
75,0,0.266666,0.385187,88.55556,0.378682,-2.232,2
68,0,0.57778,0.829629,105.77778,0.239143,-2.169999,2
41,0,0.774073,0.874068,137.14815,0.112421,-2.268529,2
51,0,1.099995,1.944436,126.333336,0.165549,-2.306687,2
34,0,0.966091,0.632455,123.22222,0.20392,-2.343381,2
26,0,1.0074,0.207411,136.88889,0.106102,-2.230725,2
13,0,0.47778,0.207406,131.77777,0.156568,-2.386251,2
51,0,0.712324,0.742867,124.40741,0.197569,-2.30531,2
64,0,0.699205,0.918936,108.77778,0.236797,-2.355443,2
39,0,0.062963,0.474075,127.07407,0.183242,-2.336025,2
77,0,0.311108,1.351844,135.92592,0.127385,-2.277146,2
54,0,0.443054,0.928958,108.85185,0.232219,-2.33633,2
31,0,0.418517,0.71111,136.40741,0.10071,-2.251504,2
25,0,0.730297,0.760117,126.03704,0.196093,-2.36518,2
17,0,0.107405,0.311108,130.2963,0.160604,-2.339493,2
26,0,0.272165,0.403686,112.22222,0.248698,-2.38614,2
85,0,0.166668,0.429629,93.55556,0.328603,-2.208414,2
41,0,0.355559,0.151852,135.22223,0.119532,-2.270225,2
58,0,0.388888,0.533334,93.14815,0.348863,-2.246316,2
34,0,0.928956,0.879814,125.48148,0.199516,-2.357272,2
29,0,0.403687,0.403686,112.07407,0.245093,-2.373206,2
30,0,0.501847,0.547723,123.333336,0.19251,-2.27951,2
13,0,0.444445,0.400002,130.40741,0.177191,-2.355244,2
49,0,0.240742,0.41852,108.888885,0.246491,-2.211659,2
70,0,0.177776,0.562963,112.51852,0.186099,-2.17166,2
101,0,0.385187,0.329633,134.92592,0.141107,-2.328735,2
66,0,1.440741,0.607411,95.111115,0.320664,-2.235701,2
58,0,0.459469,0.421638,122,0.206503,-2.349269,2
27,0,0.462964,0.255555,138.07408,0.096263,-2.264532,2
13,0,0.207408,0.296294,104.111115,0.313159,-2.28708,2
13,0,0.207407,0.162961,140.25926,0.09906,-2.292384,2
40,0,0.207408,0.488891,124.62963,0.185749,-2.270219,2
36,0,0.800462,0.854182,114.03704,0.239085,-2.362237,2
52,0,0.018518,0.177779,125.77778,0.175849,-2.348494,2
21,0,0.443054,1.218685,125.59259,0.203582,-2.362526,2
33,0,0.936897,0.854183,125.888885,0.191215,-2.348002,2
20,0,0.327729,0.327729,111.703705,0.240108,-2.385213,2
42,0,0.54433,1.264908,108.92593,0.241934,-2.410388,2
67,0,1.135293,1.94079,106.07407,0.26644,-2.357338,2
36,0,0.1963,0.222216,135.2963,0.12003,-2.247156,2
96,0,0.418521,0.240741,111.59259,0.197734,-2.085954,2
36,0,0.340743,1.455557,103.03704,0.284654,-2.232346,2
78,0,1.025599,2.290076,106.85185,0.258182,-2.368082,2
45,0,0.596299,0.222219,101.92593,0.292503,-2.238324,2
73,0,0.062964,1.218518,125.51852,0.178636,-2.307396,2
50,0,1.003694,0.91084,109.25926,0.2797,-2.37202,2
90,0,0.044444,0.562963,113.48148,0.179697,-2.097815,2
57,0,0.740742,0.488889,126.111115,0.175605,-2.362514,2
28,0,0.136081,0.455421,112.96296,0.241511,-2.387884,2
20,0,0.75031,0.928959,127.333336,0.181475,-2.326919,2
53,0,0.455419,0.490652,123.44444,0.187217,-2.39327,2
12,0,0.518519,0.785183,127.44444,0.19252,-2.402917,2
66,0,1.57407,2.874073,122.55556,0.205803,-2.307094,2
25,0,0.329628,0.477775,102.48148,0.299583,-2.253408,2
107,0,1.288892,0.418522,133.66667,0.13383,-2.317384,2
19,0,0.151853,0.31111,137.77777,0.101515,-2.358602,2
41,0,0.327731,0.327733,109.703705,0.262046,-2.404745,2
14,0,0.574134,1.333332,117,0.222856,-2.390383,2
51,0,0.389683,0.772203,108.74074,0.250137,-2.383438,2
46,0,0.611616,0.781735,124.55556,0.200124,-2.357688,2
115,0,0.02963,1.229636,132.77777,0.152134,-2.405477,2
30,0,0.272164,0.720082,113.25926,0.225384,-2.385308,2
24,0,0.966665,0.418519,121.62963,0.195977,-2.307914,2
31,0,1.496296,0.711108,135.92592,0.107616,-2.255012,2
11,0,0.311116,5.051852,143.44444,0.092773,-2.521648,2
24,0,0.907406,1.140749,127.62963,0.169397,-2.349252,2
81,0,0.329631,0.551853,90.40741,0.350039,-2.18233,2
55,0,2.877772,1.185184,103.07407,0.274795,-2.251012,2
18,0,0.455422,0.272164,112.111115,0.254668,-2.45498,2
79,0,0.344265,0.403686,107.74074,0.258079,-2.377965,2
39,0,1.129629,0.699999,113.37037,0.222954,-2.198158,2
57,0,0.418515,0.38889,135.96297,0.111695,-2.215046,2
40,0,0.166667,2.118513,127.40741,0.174209,-2.308766,2
18,0,1.29386,1.25462,125.62963,0.197105,-2.352184,2
18,0,0.088889,0.385184,114.14815,0.225725,-2.278452,2
32,0,1.062842,1.310922,126.22222,0.190625,-2.333746,2
40,0,0.596295,1.544443,123.77778,0.188503,-2.292201,2
31,0,0.45542,0.344265,126.85185,0.192456,-2.334831,2
21,0,0.760117,0.516396,127.296295,0.187853,-2.339377,2
27,0,0.596293,0.577774,136.2963,0.10447,-2.264129,2
17,0,0.5164,1.020167,126.14815,0.189464,-2.348415,2
99,0,0.474074,0.474074,93.40741,0.330418,-2.207756,2
20,0,0.490655,0.752773,125,0.188892,-2.348006,2
65,0,0.785188,0.329629,97.333336,0.316474,-2.239144,2
15,0,0.557772,0.699205,113.74074,0.241576,-2.389025,2
30,0,0.272165,0.611616,111.22222,0.24285,-2.405295,2
33,0,0.623609,0.349603,110.59259,0.247776,-2.408019,2
50,0,0.544332,0.688533,122.07407,0.213809,-2.325679,2
14,0,0.807371,0.779361,113.81481,0.24216,-2.391113,2
79,0,0.344265,0.403686,107.74074,0.258079,-2.377965,2
11,0,0.311116,5.051852,143.44444,0.092773,-2.521648,2
43,0,0.32963,0.34074,107.14815,0.266023,-2.247952,2
32,0,0.418519,0.655558,112.03704,0.25142,-2.255674,2
48,0,0.251852,0.074074,122.37037,0.187362,-2.278604,2
46,0,0.399996,0.862948,135.51852,0.110653,-2.232616,2
56,0,0.029629,0.566668,126,0.176061,-2.326783,2
21,0,0.611615,0.869227,126.81481,0.195127,-2.377814,2
104,0,1.436302,1.378405,100.51852,0.272403,-2.326201,2
12,0,0.272164,0.975626,119.03704,0.207675,-2.368866,2
21,0,0.516398,0.408248,126.77778,0.184022,-2.370372,2
62,0,0.207406,0.355555,99.666664,0.294583,-2.277142,2
35,0,1.05185,0.562963,124.55556,0.183109,-2.282923,2
30,0,0.272164,0.720082,113.25926,0.225384,-2.385308,2
45,0,0.666666,0.54433,108.96296,0.244289,-2.371807,2
18,0,0.691216,0.278888,113.77778,0.213257,-2.340839,2
93,0,0.151851,1.396291,112.296295,0.188313,-2.141419,2
25,0,1.46667,0.118518,128,0.172504,-2.354552,2
43,0,1.1,0.740737,125.25926,0.174948,-2.270653,2
42,0,0.54433,1.264908,108.92593,0.241934,-2.410388,2
47,0,0.211113,0.488889,97.111115,0.320097,-2.223218,2
59,0,0.166667,0.285185,126.14815,0.170091,-2.308637,2
54,0,0.107408,0.551855,116.77778,0.181149,-2.079152,2
49,0,0.385186,0.266668,120.703705,0.223879,-2.315477,2
16,0,0.344443,0.385184,111.81481,0.244021,-2.293933,2
57,0,0.774071,0.418517,100.44444,0.294515,-2.288131,2
55,0,0.490652,0.557774,113.666664,0.235894,-2.319697,2
47,0,0.355557,1.155558,126.37037,0.181012,-2.315792,2
75,0,0.471403,10.014803,116.703705,0.20299,-2.295488,2
44,0,0.574135,1.048809,123.81481,0.178428,-2.367282,2
83,0,0.518519,0.507406,90.62963,0.362062,-2.239053,2
89,0,0.272169,0.772203,106.07407,0.257746,-2.306204,2
39,0,0.730297,1.333333,113,0.241459,-2.393564,2
58,0,0.774072,0.711108,92.703705,0.351331,-2.239301,2
25,0,0.84444,0.774075,103.62963,0.297528,-2.252101,2
48,0,0.207406,1.26297,134.85185,0.126968,-2.278428,2
75,0,0.774077,0.596296,126.07407,0.179353,-2.309804,2
21,0,0.607407,0.118518,130.14815,0.15668,-2.357178,2
