@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13-15,17,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
91,33.444447,39.88889,-20.777779,29.555555,52.666668,-2.346057,3
186,5.5,46.22222,-15.666667,37.333332,65.88889,-1.988249,6
123,0.388889,3.555556,5.666666,2,8,-0.761648,1
209,1.388889,16.11111,-6.222222,-7.222222,16.11111,2.060955,7
110,0.222222,6.333334,-10,19.333334,15.888889,-2.120265,5
109,3.999999,10.555555,-18.88889,27.11111,22.333334,-2.344093,3
122,0.444444,0.444444,-1.666667,2,1.222222,-2.444563,3
201,5.555555,36.11111,-13.555555,26.11111,49,-2.175826,6
68,0.777779,120.666664,-30.333334,45.666668,141,-2.300618,2
32,1.777779,121.333336,-33.333332,48,142.22223,-2.333746,2
153,1.111111,6.222222,-9,15.333333,13.444445,-2.14389,5
124,0.611111,3.333333,4.333334,3.666667,7.777778,-0.987873,1
125,1.333333,37.444443,-18,35.333332,55,-2.096474,4
140,0.222222,0,-0.777778,1.555556,0.777778,-2.094395,5
50,0.944445,101.888885,-38.333332,55,125.77778,-2.337296,2
143,0.666667,2,4.777778,2.777778,6.111111,-0.87829,1
72,1.499999,121.111115,-34,47,141.11111,-2.366197,2
191,3.277778,51.555557,-20.555555,45.11111,74.77778,-2.03548,6
102,1.944444,13.333333,1.888889,11.888889,21.88889,-1.447037,1
154,1.611111,4.777778,9.888889,-5.111111,9.666667,-0.004927,5
189,11.722221,22.88889,-9,19.666666,33,-2.101002,6
118,0.666667,3.666667,3.333333,5,8.444445,-1.134543,1
137,3.833333,3.444444,-7.333334,12,9,-2.193967,3
199,6.388889,47.77778,-21.222221,42.77778,69.22222,-2.084754,6
56,1.333334,14.666667,-1.222222,16.777779,25.444445,-1.622211,1
123,0.5,3.222222,5.222222,2.555556,7.555555,-0.837598,1
34,1.5,14.888889,-6.333334,22.666666,27.88889,-1.823148,1
121,1.166667,2.555556,-8.777778,12.222222,7.777778,-2.351514,3
129,0.388889,0,-1.555556,3.111111,1.555556,-2.094395,3
165,2.444444,16.777779,-6.888889,-0.555556,17.555555,2.593543,7
133,0.5,3.888889,5,3.333333,8.444445,-0.924817,1
120,1.444444,13.555555,-25.555555,42.11111,33.11111,-2.231261,3
196,1.333333,18.11111,-5.444445,-8.777778,18.11111,1.956772,7
183,2.166667,21,-8.111111,-8.777778,21,2.075874,7
140,0.666667,2.888889,4.666666,1.666667,6.666666,-0.783647,1
155,18,11.333333,-4,13,21.444445,-1.797435,5
113,1.333333,129,-25.333334,37.666668,145.66667,-2.309551,2
145,2.111111,2,-4.222222,4.444445,3.555556,-2.569768,3
98,1.222222,17.222223,-13.888889,26.777779,30.444445,-2.118236,5
90,3.611111,15.777778,-13.444445,26.555555,29,-2.101515,5
198,1.111111,20.777779,-10.111111,-4.777778,20.777779,2.32489,7
21,1.166667,122.666664,-33,45.333332,141.88889,-2.370372,2
133,1.277777,18.666668,-4.666666,13,25.777779,-1.90381,4
17,5,39.444443,-12.777778,28.222221,54,-2.030048,4
166,0.722222,16.777779,-6.444445,-3.777778,16.777779,2.264277,7
90,2,18.666668,-3.555556,22.11111,32.22222,-1.705942,1
233,2.111111,19.555555,-5.777778,-9.444445,19.555555,1.950405,7
133,0.888889,32,-14.333333,28.666666,46.333332,-2.091572,4
22,1,132.88889,-16.555555,30.777779,147.88889,-2.146204,2
38,2.944445,11.222222,-13,22.666666,22,-2.193098,5
68,1.055556,4.666667,-3.666667,10.333333,10.333334,-1.780255,5
62,1.666669,120.77778,-28.666666,42.333332,139.44444,-2.314232,2
33,4.333334,6.666666,-6.888889,13.111111,13.111111,-2.056119,5
124,0.666667,3.555556,4.444445,3.444444,7.888889,-0.95784,1
115,5,6.222222,-12,16,12.888889,-2.390992,3
117,1.444443,33.77778,-16.444445,32.22222,49.77778,-2.106235,4
182,3.611111,30.444445,-10.444445,23.88889,42.88889,-2.001125,6
161,11.5,38.555557,-16.444445,27.88889,51.77778,-2.395566,6
158,1.833333,35,-11.333333,24.333334,47.444443,-2.049172,4
195,3.500001,41.88889,-14.888889,32.444443,58.555557,-2.038956,6
63,6.222223,100.888885,-38.77778,52.88889,123.22222,-2.375282,2
115,0.166667,0.333333,-2.333333,5,2.888889,-2.065536,5
56,0.722221,121.44444,-30.666666,45.666668,141.66667,-2.307657,2
18,1.722223,59.77778,-27.88889,53.444443,86.111115,-2.123641,4
87,1.888889,1.888889,-5.111111,8.222222,5.666666,-2.229493,3
48,4.666666,37.555557,-9.888889,23.444445,49.88889,-2.003259,4
106,7,33.22222,-10.777778,24.222221,45.77778,-2.010178,4
245,1.055555,21.444445,-12.666667,-3.333333,21.444445,2.432783,7
154,0.111111,0,-0.222222,0.444444,0.222222,-2.094395,5
122,1.555556,15.111111,-17.777779,32.88889,31.11111,-2.06017,3
108,1.666666,52,-16.222221,34.444443,69.55556,-2.053869,4
177,8.333332,29,-11.666667,23.333334,40.666668,-2.10084,6
89,1.055556,18,-18.666666,32.666668,33.555557,-2.188149,5
34,0.777779,41.666668,-19.444445,37.22222,60,-2.122875,4
141,0.166667,0,-2.333333,4.666666,2.333334,-2.094395,5
