@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1,6,8,11,18-20'

@attribute Region-centroid-col numeric
@attribute Vedge-mean numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
58,0.888889,2.833333,1.444444,0.864482,-2.283787,3
206,0.277777,0.611111,45.666668,0.277106,-1.991964,4
121,2.388889,0.5,19.444445,0.409544,-2.085248,5
201,1.000001,2.944444,44.666668,0.278886,-1.998993,6
90,0.388889,0.944444,1,0.881481,-2.013143,5
86,1.611112,1.277779,56.22222,0.285333,-2.06802,6
137,1.555556,2.055556,20.555555,0.468165,-2.204575,4
236,4.388889,0.444444,10.666667,0.533126,-2.151625,5
219,1.444445,1.111111,29.555555,0.354746,-2.146969,4
75,2.444444,2.111111,17,0.417218,2.175522,7
97,0.722221,0.333332,96.22222,0.23689,-2.382438,2
219,1.277777,0.666667,36.333336,0.282964,-1.962646,4
219,2.111112,5.111111,53.333332,0.314462,-2.030648,6
112,0.555555,1.555556,0.555556,0.940741,-2.275159,3
163,1.777778,2.444445,12.333333,0.446214,2.515826,7
18,0.777778,0.277778,0.111111,0.416667,-2.159563,3
247,0.722222,2.111111,11.333333,0.45603,-2.127161,5
229,0.888889,7.944444,37,0.318271,-2.088579,4
2,3.611111,2.5,3.555556,0.754703,-2.394493,3
85,1.777778,1.944444,12.666667,0.423123,1.966536,7
34,0.5,1.111111,7.777778,0.573633,-0.744272,1
188,1.944445,2.055556,44.22222,0.292307,-1.986307,6
3,14.833332,43.333332,70.77778,0.269733,-2.411645,3
238,0.722224,1,101,0.235894,-2.319697,2
114,2.055556,0.777776,54.22222,0.30598,-2.126989,4
75,0.833336,1.166668,117,0.182398,-2.297839,2
69,0.833332,0.777777,49.22222,0.316026,-2.069541,4
94,0.444444,0.5,0,1,-2.094395,3
64,2.333333,1.000001,46,0.294056,-1.98088,6
124,3.388889,6.444445,5.777778,0.700087,-2.44804,3
49,0.999999,0.833333,114,0.194537,-2.313685,2
119,2.499999,6.166667,52.555557,0.312796,-2.038177,6
76,2.555555,1.444444,41.88889,0.341111,-2.086914,4
220,0.111111,0.111111,0,0.111111,-2.094395,5
152,0.777777,0.555557,97.22222,0.254668,-2.45498,2
156,1.944444,4.777778,10.555555,0.485044,-2.175843,5
123,0.555555,0.666667,0.111111,0.986111,-2.110974,3
139,1.999999,1.222222,52.22222,0.29644,-2.073869,6
157,1.222222,0.222222,14.555555,0.459024,-2.160912,5
151,8.388889,0.722222,27.333334,0.351273,-2.046542,4
45,2.166666,1.944444,14.666667,0.400872,2.361827,7
33,0.5,1.833333,11.888889,0.539116,-2.125976,5
104,0.5,0.666667,8.333334,0.526235,-0.963931,1
90,2.444444,2.722222,17.555555,0.413746,2.280289,7
211,0.333333,0.277778,3.222222,0.696605,-2.04457,5
121,2.277778,4.944445,54.77778,0.305404,-2.054084,6
26,0.055556,0.111111,0,0.777778,-2.094395,3
56,0.166667,0.333333,0,0.555556,-2.094395,5
239,2.000001,1.388889,50.444443,0.320261,-2.069045,6
80,1.222223,1.444444,51.333332,0.314606,-2.090221,4
