@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,11,13,16,19-20'

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
122,3.333333,5.222222,-4.222222,-2.349017,3
186,9.333334,16.11111,12.111111,2.31952,7
71,25.555555,29.777779,-6.222222,-2.401825,3
83,74.55556,80.44444,-30.555555,-2.239053,2
158,16.777779,17.333334,-11.111111,-2.142701,4
187,13.222222,19.666668,13.333333,2.038483,7
49,113.111115,118.55556,-16.444445,-2.303412,2
176,19,27.777779,16.777779,2.179845,7
76,47.666668,46.11111,-17,-1.989922,4
118,0,0,-0.111111,-2.094395,3
56,115.888885,121.44444,-13.666667,-2.326783,2
161,36,37.88889,-12.444445,-2.282295,6
209,17.666668,29,19.444445,2.389391,7
118,0,0.222222,-2.111111,-2.17128,3
124,1.444444,1.666667,-4,-2.118937,3
200,50.444443,49,-22.11111,-2.021172,6
94,15.777778,15.666667,-13.111111,-2.084255,5
124,0.222222,1.222222,-3.888889,-2.267462,3
182,31.555555,29.777779,-14.222222,-1.943038,6
64,3.666667,3.111111,-7.777778,-2.015428,5
109,36.11111,35.666668,-18.444445,-2.068644,4
90,105.666664,105.333336,-23.333334,-2.078418,2
73,38.77778,38.77778,-14.222222,-2.096415,4
70,24.444445,19.666668,-19.11111,-1.74518,1
116,19.333334,19.444445,-11.888889,-2.104978,5
191,12.111111,18.555555,10.111111,2.545329,7
54,127.55556,129.88889,-13.333333,-2.231555,2
104,20.222221,15.444445,-14.222222,-1.555376,1
196,44.333332,43.666668,-19.222221,-2.054753,6
134,1,0.666667,-3.555556,-1.997796,5
183,14.555555,26,18.444445,2.506807,7
110,46.11111,45.444443,-15.666667,-2.032518,4
160,34.11111,36.77778,-12.333333,-2.335837,6
15,118.333336,125.44444,-11.444445,-2.38244,2
64,53.666668,54.22222,-23.333334,-2.118087,4
131,7.555555,3.666667,-6.888889,-0.804846,1
98,47.555557,46.333332,-19.555555,-2.025773,4
156,17.333334,28.333334,13.888889,2.864931,7
111,30.333334,29.777779,-13,-2.005742,4
190,42.444443,41.333336,-18.444445,-2.025942,6
95,1,3.666667,-2.888889,-2.429449,3
162,15.777778,23.88889,14.666667,2.291415,7
165,30.777779,33.77778,-6.111111,-2.470153,6
88,7.555555,8.111112,-12.444445,-2.136677,5
30,6.111111,6.222222,-6.777778,-2.05997,5
152,1,0.777778,-1.777778,-2.007351,5
120,1.444444,2.111111,-4.888889,-2.180291,3
66,79.111115,83.888885,-28.666666,-2.224845,2
247,21.11111,19.555555,-7.111111,-1.755483,7
239,12.222222,18.666668,10.555555,2.482445,7
141,0.444444,1.666667,-4.777778,-2.257122,3
102,37.444443,42,-6.111111,-2.416817,3
161,15.111111,25,17.88889,2.292736,7
194,52.88889,52.444443,-19.555555,-2.081891,6
161,36.555557,38.11111,-11.555555,-2.38829,6
221,10.222222,18,17.666666,1.877146,7
44,113.44444,119.888885,-11.777778,-2.367282,2
121,46.88889,47.22222,-19.333334,-2.110233,4
202,52,51,-21,-2.045943,6
186,44.666668,42.555557,-20.666666,-1.974394,6
118,50.11111,48.77778,-18.88889,-2.007117,4
111,6.888889,3.222222,-7.444445,-1.065066,1
18,131.44444,134.33334,-10.666667,-2.27511,2
147,5.444445,3.888889,-8.666667,-1.783388,1
80,6.555555,8.444445,-4.777778,-2.326257,3
200,46.444443,46.88889,-20,-2.116733,6
74,89.111115,93.22222,-25.88889,-2.220553,2
164,21.777779,28.555555,16.222221,1.798302,7
163,35.444447,38.22222,-10.333333,-2.384441,6
206,13.555555,20.11111,12.111111,2.252368,7
249,8,10.111111,4.666666,1.917421,7
181,9,16.222223,13.666667,2.206642,7
33,96.77778,106.333336,-12.777778,-2.408019,2
90,105.888885,106,-22.444445,-2.097815,2
211,8.888889,15.888889,15.222222,1.940832,7
144,0,0,0,0,5
152,20.333334,21.666666,-14.666667,-2.165731,4
110,27.222221,28.333334,-9.888889,-2.187242,5
178,17,23.555555,12,2.274128,7
123,7.888889,4.555555,-7.222222,-1.18068,1
89,10.222222,10.333334,-11.666667,-2.107311,5
89,14.444445,14.555555,-10.444445,-2.102295,5
90,5.111111,4.333334,-8.555555,-1.989546,5
121,1.111111,3.111111,-0.888889,-2.519165,3
176,50.444443,48.88889,-24.11111,-2.021784,6
102,56.77778,56.555557,-20.777779,-2.083043,4
104,58.22222,56.11111,-22.555555,-1.986567,4
87,12.222222,15.666667,-4.333334,-2.418074,3
57,112.22222,119.44444,-12.333333,-2.376054,2
186,49.11111,47.88889,-21.222221,-2.028618,6
114,18.333334,23.88889,-17.777779,-2.295381,3
15,59.333332,60.666668,-24.88889,-2.145323,4
65,111.666664,117.333336,-17,-2.303991,2
198,42.77778,42.333336,-19.11111,-2.070717,6
116,21.333334,16.88889,-15.666667,-1.670314,1
184,27.777779,28,-10.555555,-2.183125,6
120,0,0,-3,-2.094395,3
145,5.555555,2.222222,-5.111111,-0.57094,1
178,20.222221,30.11111,18.88889,2.190305,7
85,14.555555,15.333333,-10.777778,-2.160912,5
149,0,0,0,0,5
27,111.55556,117.77778,-14.666667,-2.334512,2
86,18.555555,13.666667,-14.777778,-1.541502,1
126,5.222222,8.333334,-8.555555,-2.313534,3
98,0,0.111111,-3.888889,-2.11372,3
148,0,0,0,0,5
29,119,123.666664,-14.444445,-2.29776,2
246,12.555555,20.444445,15.222222,2.170543,7
134,0,0,-0.111111,-2.094395,3
153,0,0,0,0,5
197,44.333332,43.444443,-18.88889,-2.043399,6
34,65,64.55556,-25,-2.078154,4
107,13,18.666668,-11.666667,-2.354617,3
241,10.888889,18.11111,11.333333,2.544142,7
152,0.333333,0.333333,-1.333333,-2.094395,5
32,54.22222,53.333332,-18.444445,-2.042422,4
58,77.333336,83.333336,-29.444445,-2.246316,2
59,22.333334,18.555555,-19.555555,-1.836328,1
147,20.88889,22.333334,-14.888889,-2.174468,4
93,0.555556,1.222222,-5.333334,-2.18361,3
130,6.888889,2.888889,-7.333334,-0.889024,1
141,0.333333,0,-2.111111,-1.921217,5
226,5.777778,11.222222,10.111111,2.259398,7
163,35,37.77778,-8,-2.392741,6
126,33.555557,32,-12.555555,-1.942179,4
202,11.666667,19.777779,13.888889,2.401137,7
242,11.333333,17.444445,7.888889,2.835614,7
78,93.22222,101.666664,-15.555555,-2.368082,2
103,21.222221,16.333334,-16.555555,-1.634396,1
76,36,36.77778,-16.555555,-2.139002,4
113,0.111111,0.666667,-2.222222,-2.237562,3
45,95.888885,104.111115,-14.555555,-2.371807,2
157,19.222221,29.444445,15.444445,2.604303,7
243,5.111111,9.444445,8.888889,2.033629,7
18,133.33334,135,-10.888889,-2.214612,2
145,52.444443,54.11111,-21,-2.166151,4
78,24,18.555555,-18.11111,-1.610448,1
135,1,0.333333,-4.777778,-1.931332,5
195,43.22222,42.666668,-18.555555,-2.063044,6
157,16.88889,17.444445,-12,-2.1343,4
80,2.888889,5.888889,-3.555556,-2.417517,3
14,104.22222,112.666664,-13,-2.390383,2
132,33.22222,33.88889,-14.666667,-2.129523,4
114,21,21.777779,-12.111111,-2.15274,5
237,6.111111,11.222222,11.222222,1.938468,7
124,6.666666,2.666667,-7.333334,-0.877707,1
201,47.11111,46.77778,-20.777779,-2.075226,6
41,128.44444,131.33334,-11.666667,-2.270225,2
40,96.22222,106.888885,-11.444445,-2.434692,2
122,0.555556,1,-3.777778,-2.173204,3
88,18.777779,15.666667,-14.777778,-1.785147,1
197,48.88889,47.666668,-21.555555,-2.033505,6
152,2.666667,2.333334,-3.777778,-1.997796,5
137,0.333333,0.111111,-1.888889,-2.007606,5
118,0,0.111111,-1.777778,-2.132635,3
182,40.333336,37.666668,-17.88889,-1.904978,6
182,52.88889,50.666668,-24.88889,-1.992052,6
50,21.666666,17.444445,-16.777779,-1.741254,1
139,12.444445,13,-10.111111,-2.118223,4
140,2.666667,2.666667,-0.666667,-2.094395,5
35,32.333336,33,-13.777778,-2.138762,4
90,105.888885,106,-22.444445,-2.097815,2
11,136.88889,142.55556,-2.666667,-2.521648,2
182,50.11111,48.333332,-22.555555,-2.001558,6
