@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,11,16,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
189,9,28.333334,-13.333333,6
80,9,37.77778,-13.222222,4
194,9,44.22222,-19.333334,6
75,9,115.888885,-14.888889,2
124,9,0.222222,-1.777778,3
105,9,53.333332,-19.222221,4
189,9,51.333332,-20.88889,6
62,9,100.77778,-21.11111,2
135,9,41,-20.777779,4
185,9,49.88889,-21.777779,6
21,9,120.77778,-11.111111,2
124,9,1,-2.777778,3
206,9,50.444443,-21.88889,6
34,9,131.44444,-12.111111,2
150,9,16.222223,-11.888889,4
144,9,0.333333,-1.777778,5
72,9,23.777779,-20.333334,1
81,9,1,-4.444445,3
117,9,21.11111,-15,1
145,9,0,0,5
215,9,5.111111,12.888889,7
91,9,0.888889,-3.666667,3
195,9,39.666668,-15.222222,6
128,9,7.333334,-7.888889,1
83,9,19.11111,-14.555555,1
193,9,54.77778,-24.444445,6
96,9,2.666667,-5.888889,3
129,9,7.888889,-7.666666,1
135,9,0,-1.888889,3
203,9,8.777778,16.88889,7
39,9,102.55556,-23.444445,2
96,9,22.11111,-17,1
154,9,0,-0.777778,5
186,9,44,-19.333334,6
118,9,7.666666,-7.555555,1
139,9,16,-7.222222,3
53,9,112.333336,-11,2
198,9,51.88889,-22.666666,6
135,9,20.222221,-13,5
134,9,0.111111,-1.333333,3
138,9,0,-0.444444,3
183,9,12.666667,16.88889,7
200,9,41.333336,-17,6
217,9,11.444445,13,7
185,9,44.11111,-16.555555,6
59,9,109.22222,-14.444445,2
103,9,53.333332,-19.555555,4
123,9,0,-3.111111,3
19,9,115.44444,-13.666667,2
196,9,42.11111,-17.88889,6
149,9,14.444445,11.333333,7
208,9,13,14.111111,7
125,9,1.555556,-4.444445,3
117,9,20.666668,-15,1
201,9,14,20.666666,7
41,9,95.111115,-13.777778,2
112,9,7.111111,-7.444445,1
48,9,107.44444,-25,2
186,9,31.11111,-13.888889,6
128,9,6.888889,-7.333334,1
240,9,10.888889,13.222222,7
184,9,28.777779,-10.111111,6
137,9,18.666668,-13.666667,5
102,9,22.11111,-17.222221,1
120,9,48.22222,-15.888889,4
141,9,7,-7.222222,1
22,9,133,-12.222222,2
73,9,35.666668,-15.222222,4
103,9,20.222221,-15.222222,1
190,9,46.88889,-20.333334,6
91,9,7.555555,-11.777778,5
89,9,23.11111,-17.333334,1
129,9,33.11111,-14.333333,4
186,9,46.555557,-20,6
134,9,4.666667,-5.888889,5
32,9,48.555557,-25.777779,4
75,9,40.333336,-11.333333,4
108,9,5.111111,-5.666666,3
196,9,47.333332,-19,6
126,9,16.444445,-10.666667,4
202,9,12,10.333333,7
121,9,37.444443,-14.444445,4
245,9,13.555555,14.555555,7
135,9,4,-6,5
56,9,26.11111,-19.555555,1
32,9,129.77779,-10.555555,2
135,9,6.888889,-7,1
57,9,114.22222,-13.444445,2
63,9,19.666668,-16.777779,1
69,9,23.444445,-19.666666,1
193,9,11.666667,14,7
148,9,21.444445,-14.555555,4
114,9,20,-14.888889,1
86,9,13.222222,-10.777778,5
191,9,55.333332,-25.222221,6
90,9,41.22222,-18.666666,4
221,9,10.666667,15.111111,7
98,9,18.333334,-12.444445,1
210,9,45.444443,-21.555555,6
110,9,29.11111,-16,4
56,9,22.11111,-18.11111,1
121,9,0,-3.111111,3
130,9,7.444445,-7.666666,1
41,9,99,-12.333333,2
19,9,121,-11.444445,2
57,9,59.444443,-22.444445,4
149,9,4.111111,-5.555555,1
110,9,0.111111,-3.666667,3
122,9,7.333334,-7.555555,1
177,9,28.444445,-11.666667,6
51,9,111.77778,-12.888889,2
158,9,7,-7,4
135,9,0,-0.444444,5
117,9,6.888889,-7.666666,1
62,9,53.444443,-22.777779,4
224,9,15.444445,21.88889,7
201,9,6.222222,11.333333,7
95,9,2.111111,-1.111111,5
34,9,111.44444,-15,2
203,9,47.666668,-22,6
57,9,86.22222,-22.666666,2
83,9,1.555556,-0.444444,3
57,9,76.44444,-29.777779,2
151,9,23.11111,-14.777778,4
184,9,11.444445,13.444445,7
147,9,3.888889,-6.777778,1
