@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10,14-16,19-20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
186,49.51852,-13.222222,34.77778,-21.555555,-1.940813,6
120,1.444444,-4.333334,7.666666,-3.333333,-2.156366,3
195,57.11111,-17.333334,39,-21.666666,-2.015595,6
64,40,-14.333333,30.333334,-16,-2.030269,4
78,30.296297,-9.555555,21.444445,-11.888889,-2.017779,4
116,6.481482,3.222222,5.222222,-8.444445,-1.19107,1
226,11.888889,-5.333334,-11.666667,17,1.872506,7
115,6.666666,4.666666,3.666667,-8.333333,-0.965144,1
49,108.888885,-35.333332,60,-24.666666,-2.211659,2
17,126.14815,-33.444443,47.22222,-13.777778,-2.348415,2
79,16.814816,1.555556,12.555555,-14.111111,-1.453114,1
180,50.407406,-15.555555,35.77778,-20.222221,-2.008719,6
73,4.851852,-9.222222,14.444445,-5.222222,-2.268176,3
110,17.222221,-24,35.333332,-11.333333,-2.321226,3
194,49.74074,-15.888889,35.77778,-19.88889,-2.021838,6
88,7.333334,-6.666666,14.666667,-8,-2.035769,5
53,40.444443,-10.666667,24.666666,-14,-2.00456,4
237,5.851852,-4.888889,-3.888889,8.777778,2.180526,7
78,43.814816,-8.111111,24.222221,-16.11111,-1.886072,4
135,2.185185,-4.222222,8.111111,-3.888889,-2.110974,5
95,5.185185,-8.888889,12.777778,-3.888889,-2.326455,3
198,14.555555,-7.333334,-8.333333,15.666667,2.055672,7
111,28.74074,-12.555555,21.444445,-8.888889,-2.202667,5
211,15.444445,-9,-0.666667,9.666667,2.554965,7
93,17.925926,-14.111111,27.555555,-13.444445,-2.110457,5
50,60.851852,-23.555555,44.77778,-21.222221,-2.129479,4
81,42.555557,-23,27.666666,-4.666666,-2.476481,3
114,5.259259,3.888889,2.555556,-6.444445,-0.91061,1
41,121.48148,-33.77778,52.22222,-18.444445,-2.280803,2
35,69.44444,-23,47.666668,-24.666666,-2.0742,4
52,111.62963,-31.88889,52.77778,-20.88889,-2.229685,2
133,0.592593,-1.777778,3.555556,-1.777778,-2.094395,5
111,1.296296,-3.888889,6.777778,-2.888889,-2.139494,3
70,36.74074,-9.222222,23.11111,-13.888889,-1.960582,4
127,17.592592,-25.777779,37.555557,-11.777778,-2.326275,3
69,11.074074,-12.555555,14.777778,-2.222222,-2.481874,3
189,29.62963,-8.555555,20.777779,-12.222222,-1.954574,6
177,51.074074,-14.222222,36.11111,-21.88889,-1.956005,6
144,0,0,0,0,0,5
28,122.51852,-34.555557,48.444443,-13.888889,-2.35398,2
249,18,-10,-7,17,2.214996,7
95,2.259259,-4.777778,4.888889,-0.111111,-2.552724,3
129,6.333334,4.666666,3,-7.666666,-0.932783,1
136,0.703704,-1.777778,3.555556,-1.777778,-2.094395,3
92,18.703703,0.222222,15.222222,-15.444445,-1.548296,1
182,19.88889,-9,-5.333334,14.333333,2.271693,7
176,18.481482,-10.111111,-4.444445,14.555555,2.332243,7
129,6.407407,4.777778,3.111111,-7.888889,-0.912766,1
121,23.11111,-4.333334,21,-16.666666,-1.740736,1
66,18.666666,-0.333333,16,-15.666667,-1.569253,1
104,65.296295,-16.555555,38.11111,-21.555555,-2.007832,4
145,0.851852,-1.555556,1.777778,-0.222222,-2.53095,3
139,5.333334,3.666667,3.333333,-7,-1.004936,1
92,19.074074,-0.888889,15.111111,-14.222222,-1.570588,1
29,112.07407,-40.555557,55.444443,-14.888889,-2.373206,2
144,0,0,0,0,0,5
39,113,-40.666668,54.333332,-13.666667,-2.393564,2
177,19.592592,-11.444445,-3.444444,14.888889,2.413262,7
15,70.07407,-27.222221,52.11111,-24.88889,-2.124981,4
94,95.296295,-43.22222,71.77778,-28.555555,-2.227114,2
176,50.296295,-14.555555,35.444443,-20.88889,-1.97757,6
190,52.407406,-15.222222,36.444443,-21.222221,-1.985899,6
65,8.925926,-8.444445,16.222221,-7.777778,-2.121878,5
21,125.59259,-36.444443,50.555557,-14.111111,-2.362526,2
35,124.55556,-30.333334,46.666668,-16.333334,-2.282923,2
114,1.740741,-2.888889,6.444445,-3.555556,-2.02703,3
129,6.666666,5.333334,2.666667,-8,-0.843904,1
128,5.666666,5.333334,2.666667,-8,-0.837598,1
80,58.333332,-21.333334,41.333332,-20,-2.116351,4
64,8,-5.666666,13.666667,-8,-1.965246,5
191,48.22222,-13,31.333334,-18.333334,-1.964901,6
145,0.555556,-0.666667,2,-1.333333,-1.920944,5
125,37.444443,-15.333333,30.333334,-15,-2.100687,4
77,5,-11.333333,15.666667,-4.333334,-2.354881,3
102,56.77778,-17,37,-20,-2.034054,4
95,21.407408,-0.222222,15.777778,-15.555555,-1.567327,1
113,20.25926,-0.777778,15.555555,-14.777778,-1.585609,1
70,23.666666,-2,19.333334,-17.333334,-1.649603,1
124,14.666667,-21.333334,28.333334,-7,-2.396682,3
132,0.740741,-1.888889,3.777778,-1.888889,-2.094395,3
174,23.185184,-7.555555,-9.888889,17.444445,2.033698,7
110,17.925926,2.888889,10.555555,-13.444445,-1.345096,1
123,57.48148,-14.777778,33.22222,-18.444445,-2.021502,4
33,124.55556,-34,49,-15,-2.333537,2
25,103.62963,-43.555557,69.77778,-26.222221,-2.252101,2
111,5.925926,5.222222,2.888889,-8.111111,-0.872666,1
139,1.296296,-3.888889,7.777778,-3.888889,-2.094395,5
178,47.962963,-15.888889,32.77778,-16.88889,-2.102536,6
73,43.851852,-2.555556,14.777778,-12.222222,-1.720441,4
211,13.62963,-8.555555,-2.222222,10.777778,2.441017,7
123,52.814816,-14.444445,33.88889,-19.444445,-1.994105,4
12,119.03704,-35.444443,48.88889,-13.444445,-2.368866,2
113,20.851852,-11.888889,22.777779,-10.888889,-2.125693,5
78,69.74074,-30.222221,56.11111,-25.88889,-2.145541,4
119,39.851852,-10.888889,25.11111,-14.222222,-2.006,4
105,45.74074,-13.555555,31.777779,-18.222221,-1.996082,4
138,3.185185,-5.222222,10.444445,-5.222222,-2.08783,5
199,17.518518,-13.222222,1.111111,12.111111,2.690112,7
200,55.962963,-20.88889,42.77778,-21.88889,-2.080206,6
66,39.88889,-22.666666,29,-6.333334,-2.43063,3
132,5.37037,5.222222,2.222222,-7.444445,-0.808383,1
63,120.22222,-35.333332,52,-16.666666,-2.315885,2
79,4.851852,-8.555555,13.111111,-4.555555,-2.288981,3
115,132.77777,-28.666666,37.666668,-9,-2.405477,2
115,1.888889,-5,8.333333,-3.333333,-2.216604,3
145,5.296296,3.111111,3.777778,-6.888889,-1.068968,1
79,107.74074,-41.555557,56.444443,-14.888889,-2.377965,2
91,6,-4.333334,11.333333,-7,-1.93491,5
112,0.444444,-1.333333,2.333333,-1,-2.151914,3
80,26,-6,25.333334,-19.333334,-1.773594,1
69,40.666668,0.666667,11.666667,-12.333333,-1.518761,4
163,39.444443,-16.333334,25,-8.666667,-2.425324,6
191,7.333334,-6,-5.666666,11.666667,2.122422,7
95,7.62963,-2.555556,9.444445,-6.888889,-1.749258,5
193,60.703705,-18.777779,42.555557,-23.777779,-2.018211,6
53,27.074074,-12.888889,33.77778,-20.88889,-1.937482,1
172,30.11111,-16.666666,0,16.666666,2.617801,7
46,124.55556,-35.333332,49.333332,-14,-2.357688,2
124,0.888889,-2.666667,4.666666,-2,-2.16176,3
89,0,0,0,0,0,5
131,35.703705,-15.111111,30.222221,-15.111111,-2.089186,4
95,6.481482,-12.444445,18.222221,-5.777778,-2.322295,3
210,11.851851,-7.555555,-8.888889,16.444445,2.043726,7
42,108.92593,-39.77778,51.88889,-12.111111,-2.410388,2
170,25.444445,-16,-0.333333,16.333334,2.604013,7
66,122.55556,-34.666668,51.666668,-17,-2.307094,2
40,123.77778,-31.333334,47.666668,-16.333334,-2.292201,2
197,50.333332,-17,35.666668,-18.666666,-2.071221,6
185,30.88889,-9.333333,18.333334,-9,-2.45058,6
185,54.22222,-17,39,-22,-2.008008,6
21,126.77778,-33,45.333332,-12.333333,-2.370372,2
126,23.296297,-6.888889,16.777779,-9.888889,-1.96874,4
144,1.148148,-3.444444,6.888889,-3.444444,-2.094395,3
200,54.703705,-20.444445,42.88889,-22.444445,-2.065663,6
190,49.48148,-14.111111,33.555557,-19.444445,-1.987599,6
182,34.925926,-10.444445,23.88889,-13.444445,-2.001125,6
85,4.296296,-8.888889,13.777778,-4.888889,-2.271544,3
135,2.407408,-3.222222,8.111111,-4.888889,-1.972186,5
75,116.703705,-32.444443,48.88889,-16.444445,-2.295488,2
99,4.148148,-9.111111,14.555555,-5.444445,-2.255673,3
46,124.55556,-35.333332,49.333332,-14,-2.357688,2
120,49.407406,-13.555555,29.777779,-16.222221,-2.035243,4
137,40.851852,-2.888889,13.444445,-10.555555,-1.75799,4
231,12.296296,-10.555555,-3.555556,14.111111,2.391307,7
59,122.03704,-34.444443,50.22222,-15.777778,-2.323173,2
237,8,-4.333334,-7,11.333333,1.946502,7
170,16.407408,-10.888889,1.444444,9.444445,2.737074,7
188,49.962963,-14.555555,34.444443,-19.88889,-1.99344,6
211,13.740741,-7.888889,-4.222222,12.111111,2.292041,7
188,60.333332,-20.333334,43.666668,-23.333334,-2.047211,6
188,29.962963,-9.222222,19.444445,-10.222222,-2.083566,6
113,5.592593,4.555555,3.222222,-7.777778,-0.942558,1
137,0.222222,-0.666667,1.333333,-0.666667,-2.094395,3
108,17.666666,4,10.333333,-14.333333,-1.302133,1
182,34.925926,-10.444445,23.88889,-13.444445,-2.001125,6
176,60.296295,-20.88889,46.11111,-25.222221,-2.030648,6
185,19.25926,-13.111111,-3.111111,16.222221,2.451836,7
61,18.962963,-0.888889,15.777778,-14.888889,-1.591206,1
96,19.592592,-13.111111,26.555555,-13.444445,-2.086083,5
174,13.481482,-7.777778,-2.777778,10.555555,2.377854,7
55,21.037037,-1.444444,16.88889,-15.444445,-1.634416,1
136,5.62963,4.444445,2.444444,-6.888889,-0.896533,1
31,126.85185,-33.88889,48.77778,-14.888889,-2.334831,2
116,61,-25.666666,46.333332,-20.666666,-2.161793,4
64,108.77778,-37.333332,52.333332,-15,-2.355443,2
157,19.666666,-9.666667,-3,12.666667,2.405202,7
135,5.703704,5.222222,2.222222,-7.444445,-0.787376,1
122,39.22222,-10.333333,25,-14.666667,-1.985027,4
114,16.11111,-13,24,-11,-2.149073,5
117,45.88889,-19,37.666668,-18.666666,-2.09948,4
15,132.22223,-27.666666,39.333332,-11.666667,-2.341041,2
35,97.92593,-44.77778,72.22222,-27.444445,-2.248235,2
125,1.37037,-4.111111,7.555555,-3.444444,-2.130339,3
109,1.962963,-4.888889,8.444445,-3.555556,-2.146531,3
64,56.592594,-20.777779,43.22222,-22.444445,-2.067168,4
90,2.814815,-6.777778,12.222222,-5.444445,-2.164323,3
67,20,-1.333333,17.666666,-16.333334,-1.623202,1
161,44.074074,-18.222221,31.444445,-13.222222,-2.238293,6
173,17.148148,-10.777778,-4.777778,15.555555,2.332739,7
122,0.555556,-1.666667,2,-0.333333,-2.444563,3
121,17.222221,-25,36,-11,-2.335871,3
136,19.444445,-7.666666,19,-11.333333,-1.61572,3
61,8.777778,-8.666667,16.666666,-8,-2.121837,5
