@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,14,17,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
64,9,0.666667,-14.333333,50.11111,4
78,9,2.944444,-9.555555,37.444443,4
116,9,0.444445,3.222222,8.333334,1
226,9,2.388889,-5.333334,17.555555,7
115,9,0.333333,4.666666,8.444445,1
49,9,0.722225,-35.333332,128.88889,2
17,9,1.277779,-33.444443,141.88889,2
79,9,2.111111,1.555556,21,1
180,9,3.833332,-15.555555,62.333332,6
73,9,1.722222,-9.222222,9.666667,3
110,9,2.277777,-24,29,3
194,9,2.277778,-15.888889,61.666668,6
88,9,0.333333,-6.666666,12.222222,5
53,9,0.944443,-10.666667,48.666668,4
237,9,1.777778,-4.888889,8.777778,7
78,9,2.555556,-8.111111,51.88889,4
135,9,0.555555,-4.222222,4.888889,5
95,9,3,-8.888889,9.444445,3
198,9,1.5,-7.333334,19.777779,7
111,9,0.555555,-12.555555,35.88889,5
211,9,1.666667,-9,18.666668,7
93,9,0.222222,-14.111111,27.11111,5
50,9,1.333334,-23.555555,75.77778,4
81,9,22.111109,-23,51.77778,3
114,9,0.666667,3.888889,6.666666,1
41,9,1.888889,-33.77778,138.88889,2
35,9,1.055555,-23,85.333336,4
52,9,0.777777,-31.88889,129.22223,2
133,9,0.111111,-1.777778,1.777778,5
111,9,0.944444,-3.888889,3.555556,3
70,9,8.777778,-9.222222,44.444443,4
127,9,1.055556,-25.777779,30.11111,3
69,9,4.333333,-12.555555,16,3
189,9,5.888889,-8.555555,36.555557,6
177,9,1.666667,-14.222222,63.11111,6
144,9,0,0,0,5
28,9,1.444441,-34.555557,138.66667,2
249,9,4.555555,-10,23.666666,7
95,9,1.111111,-4.777778,3.888889,3
129,9,0.666667,4.666666,8.222222,1
136,9,0.388889,-1.777778,1.888889,3
92,9,2.166667,0.222222,23.777779,1
182,9,0.611111,-9,24.666666,7
176,9,1,-10.111111,23.333334,7
129,9,1.111111,4.777778,8.222222,1
121,9,2,-4.333334,30.11111,1
66,9,1.5,-0.333333,24,1
104,9,1.5,-16.555555,78,4
145,9,1.277778,-1.555556,1.444444,3
139,9,0.777778,3.666667,6.888889,1
92,9,2.5,-0.888889,24.11111,1
29,9,0.444443,-40.555557,130.55556,2
144,9,0,0,0,5
39,9,1.333333,-40.666668,131.11111,2
177,9,1.444444,-11.444445,24.555555,7
15,9,1.111111,-27.222221,87.44444,4
94,9,1.277776,-43.22222,119.22222,2
176,9,1.555556,-14.555555,62.11111,6
190,9,1.388889,-15.222222,64.55556,6
65,9,1,-8.444445,14.333333,5
21,9,2.055556,-36.444443,142.44444,2
35,9,1.111113,-30.333334,140.11111,2
114,9,0.277778,-2.888889,3.888889,3
129,9,0.888889,5.333334,8.444445,1
128,9,0.666667,5.333334,7.444445,1
80,9,0.833334,-21.333334,72.111115,4
64,9,1.833333,-5.666666,12.555555,5
191,9,5.722222,-13,58.666668,6
145,9,0.222222,-0.666667,1.222222,5
125,9,1.944445,-15.333333,47.555557,4
77,9,1.611111,-11.333333,10.222222,3
102,9,0.444445,-17,69.111115,4
95,9,0.944444,-0.222222,26.666666,1
113,9,2.944444,-0.777778,25.444445,1
70,9,1.833333,-2,30.11111,1
124,9,2.388889,-21.333334,24.11111,3
132,9,0.555555,-1.888889,2,3
174,9,1.666667,-7.555555,29,7
110,9,2.666667,2.888889,21.444445,1
123,9,1.111111,-14.777778,68.55556,4
33,9,0.888888,-34,140.88889,2
25,9,1.277776,-43.555557,126.888885,2
111,9,0.611111,5.222222,7.666666,1
139,9,0.111111,-3.888889,3.888889,5
178,9,5.222221,-15.888889,58.88889,6
73,9,0.61111,-2.555556,48.77778,4
211,9,2,-8.555555,17.222223,7
123,9,13.222221,-14.444445,64.111115,4
12,9,1.611112,-35.444443,135.33334,2
113,9,0.722222,-11.888889,28.444445,5
78,9,2.611111,-30.222221,88.44444,4
119,9,0.944446,-10.888889,48.22222,4
105,9,2.166666,-13.555555,56.333332,4
138,9,0.5,-5.222222,6.666666,5
199,9,1.055556,-13.222222,21.555555,7
200,9,3.444445,-20.88889,70.22222,6
66,9,10.944443,-22.666666,49.555557,3
132,9,0.222222,5.222222,7.111111,1
63,9,0.666668,-35.333332,137.55556,2
79,9,1.333333,-8.555555,9.222222,3
115,9,1.444445,-28.666666,145.33334,2
115,9,0.555555,-5,4.666667,3
145,9,0.722222,3.111111,7,1
79,9,0.777779,-41.555557,126.55556,2
91,9,0.555555,-4.333334,9.777778,5
112,9,0.5,-1.333333,1.222222,3
80,9,2.5,-6,34.444447,1
69,9,0.944444,0.666667,44.555557,4
163,9,18.666666,-16.333334,48.11111,6
191,9,1.5,-6,11.222222,7
95,9,1.333333,-2.555556,10.777778,5
193,9,2.555556,-18.777779,74.888885,6
53,9,2.833333,-12.888889,38.333336,1
172,9,2.333334,-16.666666,35.666668,7
46,9,2.166668,-35.333332,141,2
124,9,0.444444,-2.666667,2.444444,3
89,9,0,0,0,5
131,9,9.222222,-15.111111,45.77778,4
95,9,1.111111,-12.444445,12.555555,3
210,9,1.5,-7.555555,17.333334,7
42,9,1.666668,-39.77778,126.22222,2
170,9,0.944444,-16,30.88889,7
66,9,1.444443,-34.666668,139.77779,2
40,9,1.499999,-31.333334,139.66667,2
197,9,4.944445,-17,62.22222,6
185,9,9.888888,-9.333333,37.555557,6
185,9,2,-17,67.22222,6
21,9,1.166667,-33,141.88889,2
126,9,3.388889,-6.888889,28.88889,4
144,9,0.5,-3.444444,3.444444,3
200,9,4.833333,-20.444445,69,6
190,9,1.611111,-14.111111,60.666668,6
182,9,3.611111,-10.444445,42.88889,6
85,9,2.055556,-8.888889,8.888889,3
135,9,0.444444,-3.222222,5.111111,5
75,9,11.111111,-32.444443,133,2
99,9,3.055555,-9.111111,9,3
46,9,2.166668,-35.333332,141,2
120,9,4.277778,-13.555555,59.333332,4
137,9,3.444445,-2.888889,45.333332,4
231,9,2.666667,-10.555555,17,7
59,9,1.333333,-34.444443,138.77779,2
237,9,0.555555,-4.333334,11.777778,7
170,9,1.222222,-10.888889,19.555555,7
188,9,1.944443,-14.555555,61.444443,6
211,9,1.611111,-7.888889,17.777779,7
188,9,1.111111,-20.333334,74.888885,6
188,9,5.111111,-9.222222,36.444443,6
113,9,0.777778,4.555555,7.111111,1
137,9,0.277778,-0.666667,0.666667,3
108,9,1.388889,4,21.11111,1
182,9,3.611111,-10.444445,42.88889,6
176,9,5.111111,-20.88889,75.66667,6
185,9,0.944444,-13.111111,24.666666,7
61,9,3.111111,-0.888889,24.222221,1
96,9,0.666666,-13.111111,28.444445,5
174,9,1.722222,-7.777778,17,7
55,9,1.277778,-1.444444,26.666666,1
136,9,0.444444,4.444445,7.222222,1
31,9,0.888889,-33.88889,143.11111,2
116,9,0.499999,-25.666666,76.44444,4
64,9,1.333331,-37.333332,126.22222,2
157,9,2.111111,-9.666667,23.88889,7
135,9,1.055556,5.222222,7.444445,1
122,9,11.444444,-10.333333,47.555557,4
114,9,0.5,-13,24.11111,5
117,9,1.277778,-19,58.444443,4
15,9,1.222221,-27.666666,145.33334,2
35,9,1.222221,-44.77778,122,2
125,9,0.5,-4.111111,3.888889,3
109,9,1.111111,-4.888889,4.777778,3
64,9,2,-20.777779,71,4
90,9,0.666667,-6.777778,6.888889,3
67,9,2.444445,-1.333333,25.88889,1
161,9,9.222222,-18.222221,54.555557,6
173,9,2.111111,-10.777778,22.333334,7
122,9,0.444444,-1.666667,1.222222,3
121,9,0.944445,-25,29.222221,3
136,9,2.777778,-7.666666,26.666666,3
61,9,0.722222,-8.666667,14.333333,5
